id_salle,nom_etablissement,circuit_cinema,commune,code_departement,nom_region,nombre_ecrans,nombre_fauteuils,classification_art_et_essai
CIN-00054,Pathé Gaumont Lyon,Pathé Gaumont,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,16,1800,False
CIN-00055,Pathé Gaumont Strasbourg,Pathé Gaumont,Strasbourg,67 - Bas-Rhin,Grand Est,12,2400,False
CIN-00056,Pathé Gaumont Nice,Pathé Gaumont,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,20,1800,False
CIN-00057,Pathé Gaumont Nice,Pathé Gaumont,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,12,1800,False
CIN-00058,Pathé Gaumont Montpellier,Pathé Gaumont,Montpellier,34 - Hérault,Occitanie,16,3200,False
CIN-00059,Pathé Gaumont Rennes,Pathé Gaumont,Rennes,35 - Ille-et-Vilaine,Bretagne,12,3200,False
CIN-00060,Pathé Gaumont Nice,Pathé Gaumont,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,16,2400,False
CIN-00061,Pathé Gaumont Rennes,Pathé Gaumont,Rennes,35 - Ille-et-Vilaine,Bretagne,20,1800,True
CIN-00062,Pathé Gaumont Lille,Pathé Gaumont,Lille,59 - Nord,Hauts-de-France,20,2400,False
CIN-00063,Pathé Gaumont Toulouse,Pathé Gaumont,Toulouse,31 - Haute-Garonne,Occitanie,20,1800,False
CIN-00064,Pathé Gaumont Nice,Pathé Gaumont,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,20,2400,False
CIN-00065,Pathé Gaumont Strasbourg,Pathé Gaumont,Strasbourg,67 - Bas-Rhin,Grand Est,12,1800,True
CIN-00066,Pathé Gaumont Lille,Pathé Gaumont,Lille,59 - Nord,Hauts-de-France,20,3200,False
CIN-00067,Pathé Gaumont Montpellier,Pathé Gaumont,Montpellier,34 - Hérault,Occitanie,20,3200,False
CIN-00068,Pathé Gaumont Marseille,Pathé Gaumont,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,16,1800,True
CIN-00069,Pathé Gaumont Lille,Pathé Gaumont,Lille,59 - Nord,Hauts-de-France,12,2400,False
CIN-00070,Pathé Gaumont Lille,Pathé Gaumont,Lille,59 - Nord,Hauts-de-France,12,1800,False
CIN-00071,Pathé Gaumont Strasbourg,Pathé Gaumont,Strasbourg,67 - Bas-Rhin,Grand Est,12,2400,False
CIN-00072,Pathé Gaumont Annecy,Pathé Gaumont,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,20,2400,False
CIN-00073,Pathé Gaumont Strasbourg,Pathé Gaumont,Strasbourg,67 - Bas-Rhin,Grand Est,12,3200,True
CIN-00074,Pathé Gaumont Nice,Pathé Gaumont,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,16,3200,False
CIN-00075,Pathé Gaumont Nantes,Pathé Gaumont,Nantes,44 - Loire-Atlantique,Pays de la Loire,12,3200,False
CIN-00076,Pathé Gaumont Marseille,Pathé Gaumont,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,16,1800,False
CIN-00077,Pathé Gaumont Lille,Pathé Gaumont,Lille,59 - Nord,Hauts-de-France,20,3200,False
CIN-00078,Pathé Gaumont Toulouse,Pathé Gaumont,Toulouse,31 - Haute-Garonne,Occitanie,16,1800,False
CIN-00079,Pathé Gaumont Montpellier,Pathé Gaumont,Montpellier,34 - Hérault,Occitanie,20,2400,False
CIN-00080,Pathé Gaumont Lille,Pathé Gaumont,Lille,59 - Nord,Hauts-de-France,20,1800,False
CIN-00081,Pathé Gaumont Lille,Pathé Gaumont,Lille,59 - Nord,Hauts-de-France,16,3200,False
CIN-00082,Pathé Gaumont Annecy,Pathé Gaumont,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,12,1800,False
CIN-00083,Pathé Gaumont Lyon,Pathé Gaumont,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,16,1800,False
CIN-00084,Pathé Gaumont Toulouse,Pathé Gaumont,Toulouse,31 - Haute-Garonne,Occitanie,12,2400,False
CIN-00085,Pathé Gaumont Lyon,Pathé Gaumont,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,12,2400,True
CIN-00086,Pathé Gaumont Bordeaux,Pathé Gaumont,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,16,3200,False
CIN-00087,Pathé Gaumont Nantes,Pathé Gaumont,Nantes,44 - Loire-Atlantique,Pays de la Loire,16,3200,False
CIN-00088,Pathé Gaumont Paris,Pathé Gaumont,Paris,75 - Paris,Île-de-France,16,2400,True
CIN-00089,Pathé Gaumont Lyon,Pathé Gaumont,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,12,1800,False
CIN-00090,Pathé Gaumont Nice,Pathé Gaumont,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,16,1800,False
CIN-00091,Pathé Gaumont Lyon,Pathé Gaumont,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,20,2400,False
CIN-00092,Pathé Gaumont Nantes,Pathé Gaumont,Nantes,44 - Loire-Atlantique,Pays de la Loire,12,1800,True
CIN-00093,Pathé Gaumont Annecy,Pathé Gaumont,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,12,2400,True
CIN-00094,Pathé Gaumont Lille,Pathé Gaumont,Lille,59 - Nord,Hauts-de-France,20,1800,True
CIN-00095,Pathé Gaumont Annecy,Pathé Gaumont,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,20,1800,False
CIN-00096,Pathé Gaumont Nantes,Pathé Gaumont,Nantes,44 - Loire-Atlantique,Pays de la Loire,12,1800,True
CIN-00097,Pathé Gaumont Montpellier,Pathé Gaumont,Montpellier,34 - Hérault,Occitanie,20,3200,True
CIN-00098,Pathé Gaumont Paris,Pathé Gaumont,Paris,75 - Paris,Île-de-France,12,1800,False
CIN-00099,Pathé Gaumont Montpellier,Pathé Gaumont,Montpellier,34 - Hérault,Occitanie,12,3200,False
CIN-00100,Pathé Gaumont Strasbourg,Pathé Gaumont,Strasbourg,67 - Bas-Rhin,Grand Est,12,3200,True
CIN-00101,Pathé Gaumont Rennes,Pathé Gaumont,Rennes,35 - Ille-et-Vilaine,Bretagne,12,2400,False
CIN-00102,Pathé Gaumont Marseille,Pathé Gaumont,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,12,2400,True
CIN-00103,Pathé Gaumont Paris,Pathé Gaumont,Paris,75 - Paris,Île-de-France,20,2400,False
CIN-00104,Pathé Gaumont Bordeaux,Pathé Gaumont,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,20,2400,True
CIN-00105,Pathé Gaumont Nantes,Pathé Gaumont,Nantes,44 - Loire-Atlantique,Pays de la Loire,12,2400,False
CIN-00106,Pathé Gaumont Rennes,Pathé Gaumont,Rennes,35 - Ille-et-Vilaine,Bretagne,20,2400,True
CIN-00107,Pathé Gaumont Toulouse,Pathé Gaumont,Toulouse,31 - Haute-Garonne,Occitanie,20,3200,True
CIN-00108,Pathé Gaumont Lille,Pathé Gaumont,Lille,59 - Nord,Hauts-de-France,12,2400,True
CIN-00109,Pathé Gaumont Nice,Pathé Gaumont,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,20,2400,True
CIN-00110,Pathé Gaumont Strasbourg,Pathé Gaumont,Strasbourg,67 - Bas-Rhin,Grand Est,16,3200,False
CIN-00111,Pathé Gaumont Nantes,Pathé Gaumont,Nantes,44 - Loire-Atlantique,Pays de la Loire,12,3200,False
CIN-00112,Pathé Gaumont Montpellier,Pathé Gaumont,Montpellier,34 - Hérault,Occitanie,12,1800,False
CIN-00113,Pathé Gaumont Strasbourg,Pathé Gaumont,Strasbourg,67 - Bas-Rhin,Grand Est,12,1800,False
CIN-00114,Pathé Gaumont Montpellier,Pathé Gaumont,Montpellier,34 - Hérault,Occitanie,20,1800,True
CIN-00115,Pathé Gaumont Annecy,Pathé Gaumont,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,16,3200,False
CIN-00116,Pathé Gaumont Nantes,Pathé Gaumont,Nantes,44 - Loire-Atlantique,Pays de la Loire,16,1800,False
CIN-00117,Pathé Gaumont Nantes,Pathé Gaumont,Nantes,44 - Loire-Atlantique,Pays de la Loire,12,1800,False
CIN-00118,Pathé Gaumont Marseille,Pathé Gaumont,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,12,2400,False
CIN-00119,Pathé Gaumont Nice,Pathé Gaumont,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,20,1800,False
CIN-00120,Pathé Gaumont Toulouse,Pathé Gaumont,Toulouse,31 - Haute-Garonne,Occitanie,12,2400,False
CIN-00121,UGC Ciné Cité Montpellier,UGC Ciné Cité,Montpellier,34 - Hérault,Occitanie,10,1500,False
CIN-00122,UGC Ciné Cité Marseille,UGC Ciné Cité,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,18,2100,False
CIN-00123,UGC Ciné Cité Paris,UGC Ciné Cité,Paris,75 - Paris,Île-de-France,14,2100,False
CIN-00124,UGC Ciné Cité Montpellier,UGC Ciné Cité,Montpellier,34 - Hérault,Occitanie,14,1500,False
CIN-00125,UGC Ciné Cité Lyon,UGC Ciné Cité,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,18,2800,False
CIN-00126,UGC Ciné Cité Annecy,UGC Ciné Cité,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,14,2800,False
CIN-00127,UGC Ciné Cité Rennes,UGC Ciné Cité,Rennes,35 - Ille-et-Vilaine,Bretagne,14,2100,True
CIN-00128,UGC Ciné Cité Nantes,UGC Ciné Cité,Nantes,44 - Loire-Atlantique,Pays de la Loire,18,2800,False
CIN-00129,UGC Ciné Cité Marseille,UGC Ciné Cité,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,18,2800,False
CIN-00130,UGC Ciné Cité Toulouse,UGC Ciné Cité,Toulouse,31 - Haute-Garonne,Occitanie,10,2800,True
CIN-00131,UGC Ciné Cité Marseille,UGC Ciné Cité,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,10,1500,False
CIN-00132,UGC Ciné Cité Marseille,UGC Ciné Cité,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,14,2100,True
CIN-00133,UGC Ciné Cité Nice,UGC Ciné Cité,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,18,2100,False
CIN-00134,UGC Ciné Cité Lille,UGC Ciné Cité,Lille,59 - Nord,Hauts-de-France,14,2800,False
CIN-00135,UGC Ciné Cité Nice,UGC Ciné Cité,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,18,2800,False
CIN-00136,UGC Ciné Cité Marseille,UGC Ciné Cité,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,18,2800,False
CIN-00137,UGC Ciné Cité Nantes,UGC Ciné Cité,Nantes,44 - Loire-Atlantique,Pays de la Loire,18,1500,False
CIN-00138,UGC Ciné Cité Rennes,UGC Ciné Cité,Rennes,35 - Ille-et-Vilaine,Bretagne,10,2100,True
CIN-00139,UGC Ciné Cité Nantes,UGC Ciné Cité,Nantes,44 - Loire-Atlantique,Pays de la Loire,10,2800,False
CIN-00140,UGC Ciné Cité Bordeaux,UGC Ciné Cité,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,10,2800,True
CIN-00141,UGC Ciné Cité Paris,UGC Ciné Cité,Paris,75 - Paris,Île-de-France,14,2800,True
CIN-00142,UGC Ciné Cité Nantes,UGC Ciné Cité,Nantes,44 - Loire-Atlantique,Pays de la Loire,18,1500,False
CIN-00143,UGC Ciné Cité Toulouse,UGC Ciné Cité,Toulouse,31 - Haute-Garonne,Occitanie,18,2100,False
CIN-00144,UGC Ciné Cité Bordeaux,UGC Ciné Cité,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,10,2800,True
CIN-00145,UGC Ciné Cité Marseille,UGC Ciné Cité,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,18,2800,True
CIN-00146,UGC Ciné Cité Lille,UGC Ciné Cité,Lille,59 - Nord,Hauts-de-France,18,2800,False
CIN-00147,UGC Ciné Cité Nice,UGC Ciné Cité,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,14,1500,False
CIN-00148,UGC Ciné Cité Lille,UGC Ciné Cité,Lille,59 - Nord,Hauts-de-France,18,2800,False
CIN-00149,UGC Ciné Cité Lyon,UGC Ciné Cité,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,10,2800,False
CIN-00150,UGC Ciné Cité Montpellier,UGC Ciné Cité,Montpellier,34 - Hérault,Occitanie,14,2800,False
CIN-00151,UGC Ciné Cité Paris,UGC Ciné Cité,Paris,75 - Paris,Île-de-France,14,2800,False
CIN-00152,UGC Ciné Cité Marseille,UGC Ciné Cité,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,10,1500,True
CIN-00153,UGC Ciné Cité Annecy,UGC Ciné Cité,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,18,1500,False
CIN-00154,UGC Ciné Cité Rennes,UGC Ciné Cité,Rennes,35 - Ille-et-Vilaine,Bretagne,18,2100,True
CIN-00155,UGC Ciné Cité Bordeaux,UGC Ciné Cité,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,10,1500,False
CIN-00156,UGC Ciné Cité Paris,UGC Ciné Cité,Paris,75 - Paris,Île-de-France,14,2100,False
CIN-00157,UGC Ciné Cité Nice,UGC Ciné Cité,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,18,2100,False
CIN-00158,UGC Ciné Cité Nantes,UGC Ciné Cité,Nantes,44 - Loire-Atlantique,Pays de la Loire,14,1500,False
CIN-00159,UGC Ciné Cité Lille,UGC Ciné Cité,Lille,59 - Nord,Hauts-de-France,10,2800,False
CIN-00160,UGC Ciné Cité Nantes,UGC Ciné Cité,Nantes,44 - Loire-Atlantique,Pays de la Loire,14,1500,True
CIN-00161,UGC Ciné Cité Paris,UGC Ciné Cité,Paris,75 - Paris,Île-de-France,10,2800,False
CIN-00162,UGC Ciné Cité Bordeaux,UGC Ciné Cité,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,18,2800,False
CIN-00163,UGC Ciné Cité Lille,UGC Ciné Cité,Lille,59 - Nord,Hauts-de-France,18,2800,False
CIN-00164,UGC Ciné Cité Bordeaux,UGC Ciné Cité,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,14,2100,False
CIN-00165,UGC Ciné Cité Rennes,UGC Ciné Cité,Rennes,35 - Ille-et-Vilaine,Bretagne,14,1500,False
CIN-00166,UGC Ciné Cité Paris,UGC Ciné Cité,Paris,75 - Paris,Île-de-France,18,1500,False
CIN-00167,UGC Ciné Cité Marseille,UGC Ciné Cité,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,14,2800,False
CIN-00168,UGC Ciné Cité Lyon,UGC Ciné Cité,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,10,1500,False
CIN-00169,UGC Ciné Cité Strasbourg,UGC Ciné Cité,Strasbourg,67 - Bas-Rhin,Grand Est,14,2800,False
CIN-00170,UGC Ciné Cité Bordeaux,UGC Ciné Cité,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,14,2800,False
CIN-00171,UGC Ciné Cité Lyon,UGC Ciné Cité,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,10,2800,False
CIN-00172,UGC Ciné Cité Strasbourg,UGC Ciné Cité,Strasbourg,67 - Bas-Rhin,Grand Est,18,2800,False
CIN-00173,UGC Ciné Cité Annecy,UGC Ciné Cité,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,18,1500,True
CIN-00174,UGC Ciné Cité Paris,UGC Ciné Cité,Paris,75 - Paris,Île-de-France,10,1500,False
CIN-00175,UGC Ciné Cité Toulouse,UGC Ciné Cité,Toulouse,31 - Haute-Garonne,Occitanie,18,2100,False
CIN-00176,UGC Ciné Cité Lille,UGC Ciné Cité,Lille,59 - Nord,Hauts-de-France,14,2800,False
CIN-00177,UGC Ciné Cité Strasbourg,UGC Ciné Cité,Strasbourg,67 - Bas-Rhin,Grand Est,14,2800,False
CIN-00178,UGC Ciné Cité Bordeaux,UGC Ciné Cité,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,10,2100,True
CIN-00179,UGC Ciné Cité Paris,UGC Ciné Cité,Paris,75 - Paris,Île-de-France,14,1500,False
CIN-00180,UGC Ciné Cité Nice,UGC Ciné Cité,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,14,2100,True
CIN-00181,UGC Ciné Cité Marseille,UGC Ciné Cité,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,14,2800,True
CIN-00182,UGC Ciné Cité Paris,UGC Ciné Cité,Paris,75 - Paris,Île-de-France,10,2100,False
CIN-00183,UGC Ciné Cité Annecy,UGC Ciné Cité,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,10,2100,False
CIN-00184,UGC Ciné Cité Lille,UGC Ciné Cité,Lille,59 - Nord,Hauts-de-France,18,2800,False
CIN-00185,UGC Ciné Cité Paris,UGC Ciné Cité,Paris,75 - Paris,Île-de-France,18,2100,False
CIN-00186,UGC Ciné Cité Montpellier,UGC Ciné Cité,Montpellier,34 - Hérault,Occitanie,18,2800,False
CIN-00187,UGC Ciné Cité Montpellier,UGC Ciné Cité,Montpellier,34 - Hérault,Occitanie,10,1500,False
CIN-00188,UGC Ciné Cité Lille,UGC Ciné Cité,Lille,59 - Nord,Hauts-de-France,10,2100,False
CIN-00189,UGC Ciné Cité Lille,UGC Ciné Cité,Lille,59 - Nord,Hauts-de-France,18,1500,False
CIN-00190,UGC Ciné Cité Nice,UGC Ciné Cité,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,14,2100,False
CIN-00191,UGC Ciné Cité Montpellier,UGC Ciné Cité,Montpellier,34 - Hérault,Occitanie,18,2800,False
CIN-00192,UGC Ciné Cité Annecy,UGC Ciné Cité,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,10,1500,True
CIN-00193,UGC Ciné Cité Montpellier,UGC Ciné Cité,Montpellier,34 - Hérault,Occitanie,18,2100,True
CIN-00194,UGC Ciné Cité Annecy,UGC Ciné Cité,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,18,2800,False
CIN-00195,UGC Ciné Cité Lille,UGC Ciné Cité,Lille,59 - Nord,Hauts-de-France,10,2800,False
CIN-00196,UGC Ciné Cité Strasbourg,UGC Ciné Cité,Strasbourg,67 - Bas-Rhin,Grand Est,14,1500,False
CIN-00197,UGC Ciné Cité Montpellier,UGC Ciné Cité,Montpellier,34 - Hérault,Occitanie,14,2100,False
CIN-00198,UGC Ciné Cité Nantes,UGC Ciné Cité,Nantes,44 - Loire-Atlantique,Pays de la Loire,14,1500,False
CIN-00199,UGC Ciné Cité Nice,UGC Ciné Cité,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,14,2800,False
CIN-00200,UGC Ciné Cité Toulouse,UGC Ciné Cité,Toulouse,31 - Haute-Garonne,Occitanie,14,2100,False
CIN-00201,UGC Ciné Cité Nice,UGC Ciné Cité,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,18,2800,True
CIN-00202,UGC Ciné Cité Marseille,UGC Ciné Cité,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,18,2100,True
CIN-00203,UGC Ciné Cité Lyon,UGC Ciné Cité,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,10,2800,False
CIN-00204,UGC Ciné Cité Montpellier,UGC Ciné Cité,Montpellier,34 - Hérault,Occitanie,10,1500,False
CIN-00205,UGC Ciné Cité Annecy,UGC Ciné Cité,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,14,2100,False
CIN-00206,UGC Ciné Cité Paris,UGC Ciné Cité,Paris,75 - Paris,Île-de-France,10,2800,False
CIN-00207,UGC Ciné Cité Lyon,UGC Ciné Cité,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,14,2800,False
CIN-00208,UGC Ciné Cité Rennes,UGC Ciné Cité,Rennes,35 - Ille-et-Vilaine,Bretagne,14,2100,False
CIN-00209,UGC Ciné Cité Annecy,UGC Ciné Cité,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,10,2800,True
CIN-00210,UGC Ciné Cité Nice,UGC Ciné Cité,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,14,2800,False
CIN-00211,UGC Ciné Cité Lyon,UGC Ciné Cité,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,18,1500,False
