event_id,nom_equipement,commune,nom_evenement,categorie_evenement,date_heure_evenement,capacite_stade,billets_vendus_grand_public,billets_vip_hospitalite_vendus,taux_remplissage_pct,recette_billetterie_brute_eur
EVT-STADE-2025-0022,Arena du Pays d'Aix,Marseille,Tournoi National Jeunes - Marseille,Tournoi Jeunes,2025-03-23 21:00:00,42000,24087,2583,63.5,1368360.0
EVT-STADE-2025-0023,Orange Vélodrome,Marseille,Rencontre Top 14 Rugby - Marseille,Match Championnat,2025-08-12 20:00:00,35000,31616,2929,98.7,2154970.0
EVT-STADE-2025-0024,Complexe Mangin-Beaulieu,Nantes,Rencontre Top 14 Rugby - Nantes,Match Championnat,2025-11-24 21:00:00,80000,65882,6038,89.9,4474190.0
EVT-STADE-2025-0025,Halle de la Trocardière,Nantes,Match Championnat Ligue 1 - Nantes,Match Championnat,2025-08-22 15:00:00,42000,25200,2855,66.8,1847750.0
EVT-STADE-2025-0026,Matmut Atlantique,Bordeaux,Concert Star Arena Tour - Bordeaux,Concert / Spectacle,2025-04-22 21:00:00,35000,24573,3602,80.5,2989205.0
EVT-STADE-2025-0027,Stade de la Meinau,Strasbourg,Concert Star Arena Tour - Strasbourg,Concert / Spectacle,2025-10-05 21:00:00,35000,25446,4094,84.4,3186410.0
EVT-STADE-2025-0028,Stade de la Meinau,Strasbourg,Rencontre Top 14 Rugby - Strasbourg,Match Championnat,2025-12-28 15:00:00,35000,22569,2316,71.1,1594605.0
EVT-STADE-2025-0029,Stade Ernest-Wallon,Toulouse,Match Championnat Ligue 1 - Toulouse,Match Championnat,2025-08-01 18:00:00,60000,52791,4749,95.9,3562845.0
EVT-STADE-2025-0030,Accor Arena,Paris,Rencontre Top 14 Rugby - Paris,Match Championnat,2025-07-28 15:00:00,25000,13975,1900,63.5,1103875.0
EVT-STADE-2025-0031,LDLC Arena,Lyon,Match Championnat Ligue 1 - Lyon,Match Championnat,2025-07-23 18:00:00,15000,9277,1418,71.3,771965.0
EVT-STADE-2025-0032,Matmut Atlantique,Bordeaux,Concert Star Arena Tour - Bordeaux,Concert / Spectacle,2025-04-26 21:00:00,35000,24807,2668,78.5,2775595.0
EVT-STADE-2025-0033,Palais des Sports Saint-Sauveur,Lille,Rencontre Top 14 Rugby - Lille,Match Championnat,2025-04-21 20:00:00,15000,8971,1109,67.2,680945.0
EVT-STADE-2025-0034,Complexe Sportif Hautepierre,Strasbourg,Finale Coupe de France - Strasbourg,Rencontre Internationale,2025-02-02 21:00:00,42000,24625,3346,66.6,1575250.0
EVT-STADE-2025-0035,Palais des Sports André-Brouat,Toulouse,Concert Star Arena Tour - Toulouse,Concert / Spectacle,2025-12-23 21:00:00,25000,17514,1786,77.2,1935190.0
EVT-STADE-2025-0036,Stade de Gerland,Lyon,Match Championnat Ligue 1 - Lyon,Match Championnat,2025-02-16 21:00:00,80000,62686,9714,90.5,5249370.0
EVT-STADE-2025-0037,Arena du Pays d'Aix,Marseille,Rencontre Top 14 Rugby - Marseille,Match Championnat,2025-08-13 15:00:00,42000,36184,5564,99.4,3019280.0
EVT-STADE-2025-0038,Stade de Gerland,Lyon,Match Championnat Ligue 1 - Lyon,Match Championnat,2025-06-11 20:00:00,80000,41893,6427,60.4,3491935.0
EVT-STADE-2025-0039,Accor Arena,Paris,Match Championnat Ligue 1 - Paris,Match Championnat,2025-01-22 18:00:00,25000,14966,1884,67.4,1144470.0
EVT-STADE-2025-0040,Stade Pierre-Mauroy,Lille,Tournoi National Jeunes - Lille,Tournoi Jeunes,2025-03-17 20:00:00,35000,24773,4032,82.3,1751190.0
EVT-STADE-2025-0041,Stade de France,Paris,Tournoi National Jeunes - Paris,Tournoi Jeunes,2025-08-09 21:00:00,80000,53625,4775,73.0,2802500.0
EVT-STADE-2025-0042,Rhenus Sport,Strasbourg,Rencontre Top 14 Rugby - Strasbourg,Match Championnat,2025-08-17 15:00:00,60000,49680,5579,92.1,3630350.0
EVT-STADE-2025-0043,Stade de la Meinau,Strasbourg,Rencontre Top 14 Rugby - Strasbourg,Match Championnat,2025-10-16 20:00:00,35000,20686,2064,65.0,1446870.0
EVT-STADE-2025-0044,Stade Chaban-Delmas,Bordeaux,Tournoi National Jeunes - Bordeaux,Tournoi Jeunes,2025-01-02 18:00:00,60000,49293,5127,90.7,2760540.0
EVT-STADE-2025-0045,Palais des Sports Saint-Sauveur,Lille,Finale Coupe de France - Lille,Rencontre Internationale,2025-09-13 20:00:00,15000,8416,809,61.5,454730.0
EVT-STADE-2025-0046,Accor Arena,Paris,Rencontre Top 14 Rugby - Paris,Match Championnat,2025-11-27 18:00:00,25000,16239,2785,76.1,1427005.0
EVT-STADE-2025-0047,Patinoire Pôle Sud,Grenoble,Rencontre Top 14 Rugby - Grenoble,Match Championnat,2025-10-07 20:00:00,15000,11861,1624,89.9,939745.0
EVT-STADE-2025-0048,Stade Chaban-Delmas,Bordeaux,Finale Coupe de France - Bordeaux,Rencontre Internationale,2025-09-11 18:00:00,60000,47656,4964,87.7,2670680.0
EVT-STADE-2025-0049,Halle de la Trocardière,Nantes,Tournoi National Jeunes - Nantes,Tournoi Jeunes,2025-04-06 21:00:00,42000,33197,4771,90.4,2188660.0
EVT-STADE-2025-0050,Rhenus Sport,Strasbourg,Tournoi National Jeunes - Strasbourg,Tournoi Jeunes,2025-05-12 21:00:00,60000,43273,4427,79.5,2404940.0
EVT-STADE-2025-0051,Le Liberté,Rennes,Tournoi National Jeunes - Rennes,Tournoi Jeunes,2025-10-20 18:00:00,15000,12637,2078,98.1,898610.0
EVT-STADE-2025-0052,Stade de la Beaujoire,Nantes,Concert Star Arena Tour - Nantes,Concert / Spectacle,2025-08-21 21:00:00,25000,15199,1626,67.3,1698415.0
EVT-STADE-2025-0053,Stade Ernest-Wallon,Toulouse,Rencontre Top 14 Rugby - Toulouse,Match Championnat,2025-04-01 18:00:00,60000,35996,5104,68.5,2895820.0
EVT-STADE-2025-0054,Palais des Sports de Marseille,Marseille,Rencontre Top 14 Rugby - Marseille,Match Championnat,2025-04-09 18:00:00,35000,25219,4356,84.5,2223855.0
EVT-STADE-2025-0055,Stade Pierre-Mauroy,Lille,Finale Coupe de France - Lille,Rencontre Internationale,2025-01-06 18:00:00,35000,28198,4772,94.2,2038940.0
EVT-STADE-2025-0056,Stade des Alpes,Grenoble,Concert Star Arena Tour - Grenoble,Concert / Spectacle,2025-08-03 20:00:00,15000,9615,960,70.5,1057275.0
EVT-STADE-2025-0057,Stade de France,Paris,Concert Star Arena Tour - Paris,Concert / Spectacle,2025-05-23 21:00:00,80000,43361,5839,61.5,5145435.0
EVT-STADE-2025-0058,Le Liberté,Rennes,Finale Coupe de France - Rennes,Rencontre Internationale,2025-04-19 20:00:00,15000,8893,1532,69.5,649790.0
EVT-STADE-2025-0059,Palais des Sports de Marseille,Marseille,Concert Star Arena Tour - Marseille,Concert / Spectacle,2025-10-01 18:00:00,35000,26227,3138,83.9,3013795.0
EVT-STADE-2025-0060,Stadium de Toulouse,Toulouse,Finale Coupe de France - Toulouse,Rencontre Internationale,2025-06-16 15:00:00,15000,9084,1101,67.9,547770.0
EVT-STADE-2025-0061,Stade Ernest-Wallon,Toulouse,Concert Star Arena Tour - Toulouse,Concert / Spectacle,2025-09-27 15:00:00,60000,33078,5022,63.5,4067130.0
EVT-STADE-2025-0062,Stade Ernest-Wallon,Toulouse,Tournoi National Jeunes - Toulouse,Tournoi Jeunes,2025-06-09 20:00:00,60000,34815,4544,65.6,2180450.0
EVT-STADE-2025-0063,Orange Vélodrome,Marseille,Match Championnat Ligue 1 - Marseille,Match Championnat,2025-11-18 20:00:00,35000,22715,3325,74.4,1853425.0
EVT-STADE-2025-0064,Accor Arena,Paris,Finale Coupe de France - Paris,Rencontre Internationale,2025-05-14 18:00:00,25000,17770,2180,79.8,1078100.0
EVT-STADE-2025-0065,Stade de Gerland,Lyon,Rencontre Top 14 Rugby - Lyon,Match Championnat,2025-12-27 21:00:00,80000,60354,6846,84.0,4427430.0
EVT-STADE-2025-0066,Stade de France,Paris,Tournoi National Jeunes - Paris,Tournoi Jeunes,2025-10-22 15:00:00,80000,47017,4103,63.9,2436260.0
EVT-STADE-2025-0067,Complexe Sportif de Marcq,Lille,Finale Coupe de France - Lille,Rencontre Internationale,2025-05-06 20:00:00,80000,64967,11193,95.2,4747260.0
EVT-STADE-2025-0068,Palais des Sports de Marseille,Marseille,Tournoi National Jeunes - Marseille,Tournoi Jeunes,2025-03-04 18:00:00,35000,27497,2848,86.7,1536910.0
EVT-STADE-2025-0069,Matmut Atlantique,Bordeaux,Rencontre Top 14 Rugby - Bordeaux,Match Championnat,2025-01-19 21:00:00,35000,25216,2293,78.6,1707970.0
EVT-STADE-2025-0070,Roazhon Park,Rennes,Concert Star Arena Tour - Rennes,Concert / Spectacle,2025-10-09 21:00:00,80000,42646,6474,61.4,5243410.0
EVT-STADE-2025-0071,Patinoire Pôle Sud,Grenoble,Match Championnat Ligue 1 - Grenoble,Match Championnat,2025-01-25 20:00:00,15000,11655,1695,89.0,948225.0
EVT-STADE-2025-0072,Accor Arena,Paris,Rencontre Top 14 Rugby - Paris,Match Championnat,2025-11-19 21:00:00,25000,21385,2290,94.7,1534825.0
EVT-STADE-2025-0073,Halle de la Trocardière,Nantes,Match Championnat Ligue 1 - Nantes,Match Championnat,2025-07-11 15:00:00,42000,30066,4710,82.8,2530470.0
EVT-STADE-2025-0074,Complexe Sportif Hautepierre,Strasbourg,Concert Star Arena Tour - Strasbourg,Concert / Spectacle,2025-04-08 18:00:00,42000,30567,2781,79.4,3293445.0
EVT-STADE-2025-0075,Roazhon Park,Rennes,Finale Coupe de France - Rennes,Rencontre Internationale,2025-07-08 20:00:00,80000,49312,5248,68.2,2791360.0
EVT-STADE-2025-0076,LDLC Arena,Lyon,Match Championnat Ligue 1 - Lyon,Match Championnat,2025-09-20 18:00:00,15000,8743,1532,68.5,776435.0
EVT-STADE-2025-0077,Stadium de Toulouse,Toulouse,Match Championnat Ligue 1 - Toulouse,Match Championnat,2025-05-01 15:00:00,15000,9959,1066,73.5,714655.0
EVT-STADE-2025-0078,Halle Clémenceau,Grenoble,Rencontre Top 14 Rugby - Grenoble,Match Championnat,2025-05-17 20:00:00,25000,17000,2075,76.3,1283750.0
EVT-STADE-2025-0079,Arena du Pays d'Aix,Marseille,Rencontre Top 14 Rugby - Marseille,Match Championnat,2025-08-07 18:00:00,42000,23847,2991,63.9,1820865.0
EVT-STADE-2025-0080,Rhenus Sport,Strasbourg,Match Championnat Ligue 1 - Strasbourg,Match Championnat,2025-04-12 15:00:00,60000,51980,7360,98.9,4179100.0
EVT-STADE-2025-0081,Arkéa Arena,Bordeaux,Rencontre Top 14 Rugby - Bordeaux,Match Championnat,2025-04-17 20:00:00,25000,13604,2396,64.0,1211180.0
EVT-STADE-2025-0082,Palais des Sports André-Brouat,Toulouse,Concert Star Arena Tour - Toulouse,Concert / Spectacle,2025-02-27 15:00:00,25000,20890,2710,94.4,2453150.0
EVT-STADE-2025-0083,Halle Clémenceau,Grenoble,Rencontre Top 14 Rugby - Grenoble,Match Championnat,2025-03-17 15:00:00,25000,18201,2524,82.9,1450045.0
EVT-STADE-2025-0084,Stadium de Toulouse,Toulouse,Tournoi National Jeunes - Toulouse,Tournoi Jeunes,2025-01-02 18:00:00,15000,9205,800,66.7,476150.0
EVT-STADE-2025-0085,Accor Arena,Paris,Finale Coupe de France - Paris,Rencontre Internationale,2025-12-22 21:00:00,25000,18286,2264,82.2,1114580.0
EVT-STADE-2025-0086,Groupama Stadium,Lyon,Tournoi National Jeunes - Lyon,Tournoi Jeunes,2025-04-07 21:00:00,35000,26570,2830,84.0,1504600.0
EVT-STADE-2025-0087,Palais des Sports André-Brouat,Toulouse,Finale Coupe de France - Toulouse,Rencontre Internationale,2025-04-10 15:00:00,25000,16361,2114,73.9,1019330.0
EVT-STADE-2025-0088,Stade Pierre-Mauroy,Lille,Concert Star Arena Tour - Lille,Concert / Spectacle,2025-12-21 21:00:00,35000,18883,2257,60.4,2169305.0
EVT-STADE-2025-0089,Complexe Mangin-Beaulieu,Nantes,Finale Coupe de France - Nantes,Rencontre Internationale,2025-12-14 21:00:00,80000,46865,5455,65.4,2769700.0
EVT-STADE-2025-0090,Arkéa Arena,Bordeaux,Match Championnat Ligue 1 - Bordeaux,Match Championnat,2025-10-12 20:00:00,25000,17108,2017,76.5,1274110.0
EVT-STADE-2025-0091,Complexe Sportif de Marcq,Lille,Concert Star Arena Tour - Lille,Concert / Spectacle,2025-08-21 20:00:00,80000,68087,7753,94.8,7725645.0
EVT-STADE-2025-0092,Patinoire Pôle Sud,Grenoble,Concert Star Arena Tour - Grenoble,Concert / Spectacle,2025-04-06 18:00:00,15000,11261,1294,83.7,1280685.0
EVT-STADE-2025-0093,Stade de la Beaujoire,Nantes,Tournoi National Jeunes - Nantes,Tournoi Jeunes,2025-12-12 20:00:00,25000,14161,1539,62.8,809580.0
EVT-STADE-2025-0094,Arena du Pays d'Aix,Marseille,Concert Star Arena Tour - Marseille,Concert / Spectacle,2025-02-15 21:00:00,42000,23647,3821,65.4,2965245.0
EVT-STADE-2025-0095,Stade des Alpes,Grenoble,Finale Coupe de France - Grenoble,Rencontre Internationale,2025-08-12 15:00:00,15000,11989,1780,91.8,804670.0
EVT-STADE-2025-0096,Accor Arena,Paris,Finale Coupe de France - Paris,Rencontre Internationale,2025-10-24 21:00:00,25000,20299,3376,94.7,1452970.0
EVT-STADE-2025-0097,Stadium de Toulouse,Toulouse,Tournoi National Jeunes - Toulouse,Tournoi Jeunes,2025-06-04 20:00:00,15000,11882,1903,91.9,832210.0
EVT-STADE-2025-0098,Accor Arena,Paris,Concert Star Arena Tour - Paris,Concert / Spectacle,2025-06-23 21:00:00,25000,14058,2091,64.6,1717680.0
EVT-STADE-2025-0099,Stade Chaban-Delmas,Bordeaux,Tournoi National Jeunes - Bordeaux,Tournoi Jeunes,2025-03-28 15:00:00,60000,53805,5775,99.3,3057900.0
EVT-STADE-2025-0100,Complexe Mangin-Beaulieu,Nantes,Concert Star Arena Tour - Nantes,Concert / Spectacle,2025-03-22 21:00:00,80000,61491,10349,89.8,7813985.0
EVT-STADE-2025-0101,Le Liberté,Rennes,Finale Coupe de France - Rennes,Rencontre Internationale,2025-03-23 18:00:00,15000,9404,946,69.0,518620.0
EVT-STADE-2025-0102,Complexe Sportif de Marcq,Lille,Finale Coupe de France - Lille,Rencontre Internationale,2025-12-03 20:00:00,80000,58158,7522,82.1,3625240.0
EVT-STADE-2025-0103,Palais des Sports de Marseille,Marseille,Rencontre Top 14 Rugby - Marseille,Match Championnat,2025-05-10 15:00:00,35000,24603,2381,77.1,1702385.0
EVT-STADE-2025-0104,Stade de France,Paris,Rencontre Top 14 Rugby - Paris,Match Championnat,2025-10-06 20:00:00,80000,47537,4942,65.6,3374665.0
EVT-STADE-2025-0105,LDLC Arena,Lyon,Finale Coupe de France - Lyon,Rencontre Internationale,2025-07-28 21:00:00,15000,8423,1297,64.8,576940.0
EVT-STADE-2025-0106,Groupama Stadium,Lyon,Finale Coupe de France - Lyon,Rencontre Internationale,2025-10-17 18:00:00,35000,20908,2682,67.4,1297740.0
EVT-STADE-2025-0107,Groupama Stadium,Lyon,Concert Star Arena Tour - Lyon,Concert / Spectacle,2025-10-11 21:00:00,35000,24365,4230,81.7,3128525.0
EVT-STADE-2025-0108,LDLC Arena,Lyon,Finale Coupe de France - Lyon,Rencontre Internationale,2025-09-02 20:00:00,15000,8448,1077,63.5,522690.0
EVT-STADE-2025-0109,Groupama Stadium,Lyon,Rencontre Top 14 Rugby - Lyon,Match Championnat,2025-06-17 18:00:00,35000,21170,3155,69.5,1741400.0
EVT-STADE-2025-0110,Groupama Stadium,Lyon,Rencontre Top 14 Rugby - Lyon,Match Championnat,2025-06-27 18:00:00,35000,21154,2855,68.6,1665680.0
EVT-STADE-2025-0111,Complexe Bréquigny,Rennes,Rencontre Top 14 Rugby - Rennes,Match Championnat,2025-08-27 15:00:00,15000,10975,1340,82.1,828875.0
EVT-STADE-2025-0112,Complexe Sportif de Marcq,Lille,Tournoi National Jeunes - Lille,Tournoi Jeunes,2025-10-14 20:00:00,80000,66560,9280,94.8,4316800.0
EVT-STADE-2025-0113,Stade de la Beaujoire,Nantes,Rencontre Top 14 Rugby - Nantes,Match Championnat,2025-12-09 15:00:00,25000,13880,1970,63.4,1117100.0
EVT-STADE-2025-0114,Palais des Sports de Marseille,Marseille,Concert Star Arena Tour - Marseille,Concert / Spectacle,2025-01-27 21:00:00,35000,24399,4266,81.9,3140415.0
EVT-STADE-2025-0115,Halle Clémenceau,Grenoble,Finale Coupe de France - Grenoble,Rencontre Internationale,2025-02-20 18:00:00,25000,19909,3441,93.4,1457520.0
EVT-STADE-2025-0116,Palais des Sports André-Brouat,Toulouse,Rencontre Top 14 Rugby - Toulouse,Match Championnat,2025-04-26 18:00:00,25000,20159,3441,94.4,1767405.0
EVT-STADE-2025-0117,LDLC Arena,Lyon,Concert Star Arena Tour - Lyon,Concert / Spectacle,2025-09-03 21:00:00,15000,10627,983,77.4,1149045.0
EVT-STADE-2025-0118,Halle de la Trocardière,Nantes,Tournoi National Jeunes - Nantes,Tournoi Jeunes,2025-01-05 18:00:00,42000,34484,5332,94.8,2367520.0
EVT-STADE-2025-0119,Arena du Pays d'Aix,Marseille,Tournoi National Jeunes - Marseille,Tournoi Jeunes,2025-09-10 21:00:00,42000,31667,5544,88.6,2336010.0
EVT-STADE-2025-0120,Complexe Sportif de Marcq,Lille,Rencontre Top 14 Rugby - Lille,Match Championnat,2025-06-13 15:00:00,80000,56802,9838,83.3,5015590.0
EVT-STADE-2025-0121,Accor Arena,Paris,Concert Star Arena Tour - Paris,Concert / Spectacle,2025-08-11 15:00:00,25000,14527,1323,63.4,1565545.0
EVT-STADE-2025-0122,Complexe Bréquigny,Rennes,Match Championnat Ligue 1 - Rennes,Match Championnat,2025-08-19 21:00:00,15000,12642,1233,92.5,877140.0
EVT-STADE-2025-0123,Stade Chaban-Delmas,Bordeaux,Rencontre Top 14 Rugby - Bordeaux,Match Championnat,2025-04-16 18:00:00,60000,40017,6962,78.3,3541265.0
EVT-STADE-2025-0124,Stade de la Meinau,Strasbourg,Concert Star Arena Tour - Strasbourg,Concert / Spectacle,2025-09-16 20:00:00,35000,22678,3781,75.6,2872880.0
EVT-STADE-2025-0125,Palais des Sports Saint-Sauveur,Lille,Rencontre Top 14 Rugby - Lille,Match Championnat,2025-01-11 15:00:00,15000,11395,1685,87.2,934025.0
EVT-STADE-2025-0126,Stade de Gerland,Lyon,Finale Coupe de France - Lyon,Rencontre Internationale,2025-09-24 18:00:00,80000,46204,4196,63.0,2435120.0
EVT-STADE-2025-0127,Le Liberté,Rennes,Rencontre Top 14 Rugby - Rennes,Match Championnat,2025-06-24 18:00:00,15000,9093,1001,67.3,659435.0
EVT-STADE-2025-0128,Stade de France,Paris,Concert Star Arena Tour - Paris,Concert / Spectacle,2025-05-26 15:00:00,80000,64801,9119,92.4,7787835.0
EVT-STADE-2025-0129,Palais des Sports André-Brouat,Toulouse,Finale Coupe de France - Toulouse,Rencontre Internationale,2025-08-01 20:00:00,25000,20341,2234,90.3,1168730.0
EVT-STADE-2025-0130,Palais des Sports André-Brouat,Toulouse,Tournoi National Jeunes - Toulouse,Tournoi Jeunes,2025-04-17 15:00:00,25000,15228,1772,68.0,899840.0
EVT-STADE-2025-0131,Matmut Atlantique,Bordeaux,Tournoi National Jeunes - Bordeaux,Tournoi Jeunes,2025-09-19 21:00:00,35000,27769,3836,90.3,1792070.0
EVT-STADE-2025-0132,Parc des Princes,Paris,Tournoi National Jeunes - Paris,Tournoi Jeunes,2025-12-10 20:00:00,25000,18178,2547,82.9,1182090.0
EVT-STADE-2025-0133,Complexe Bréquigny,Rennes,Match Championnat Ligue 1 - Rennes,Match Championnat,2025-04-22 18:00:00,15000,9023,1222,68.3,711535.0
EVT-STADE-2025-0134,Arkéa Arena,Bordeaux,Tournoi National Jeunes - Bordeaux,Tournoi Jeunes,2025-12-08 15:00:00,25000,14857,2568,69.7,1087710.0
EVT-STADE-2025-0135,Orange Vélodrome,Marseille,Concert Star Arena Tour - Marseille,Concert / Spectacle,2025-05-03 20:00:00,35000,24995,3705,82.0,3050825.0
EVT-STADE-2025-0136,Halle Clémenceau,Grenoble,Concert Star Arena Tour - Grenoble,Concert / Spectacle,2025-09-14 20:00:00,25000,16477,1873,73.4,1868795.0
EVT-STADE-2025-0137,Halle Clémenceau,Grenoble,Tournoi National Jeunes - Grenoble,Tournoi Jeunes,2025-02-04 20:00:00,25000,18190,2235,81.7,1104450.0
EVT-STADE-2025-0138,Stade des Alpes,Grenoble,Tournoi National Jeunes - Grenoble,Tournoi Jeunes,2025-08-16 18:00:00,15000,12837,1503,95.6,760860.0
EVT-STADE-2025-0139,Halle Clémenceau,Grenoble,Finale Coupe de France - Grenoble,Rencontre Internationale,2025-01-10 21:00:00,25000,14777,2173,67.8,986560.0
EVT-STADE-2025-0140,Stade Chaban-Delmas,Bordeaux,Match Championnat Ligue 1 - Bordeaux,Match Championnat,2025-08-19 20:00:00,60000,45803,5137,84.9,3345385.0
EVT-STADE-2025-0141,Rhenus Sport,Strasbourg,Tournoi National Jeunes - Strasbourg,Tournoi Jeunes,2025-03-03 15:00:00,60000,50034,6606,94.4,3152520.0
EVT-STADE-2025-0142,Arena du Pays d'Aix,Marseille,Concert Star Arena Tour - Marseille,Concert / Spectacle,2025-08-23 21:00:00,42000,32299,2939,83.9,3480165.0
EVT-STADE-2025-0143,Stade de la Beaujoire,Nantes,Rencontre Top 14 Rugby - Nantes,Match Championnat,2025-02-17 21:00:00,25000,16678,1897,74.3,1224760.0
EVT-STADE-2025-0144,Patinoire Pôle Sud,Grenoble,Concert Star Arena Tour - Grenoble,Concert / Spectacle,2025-03-22 15:00:00,15000,13108,1157,95.1,1403430.0
EVT-STADE-2025-0145,Patinoire Pôle Sud,Grenoble,Concert Star Arena Tour - Grenoble,Concert / Spectacle,2025-07-07 21:00:00,15000,10704,1356,80.4,1248840.0
EVT-STADE-2025-0146,Complexe Sportif de Marcq,Lille,Match Championnat Ligue 1 - Lille,Match Championnat,2025-03-20 21:00:00,80000,47313,6207,66.9,3680835.0
EVT-STADE-2025-0147,Stade de la Meinau,Strasbourg,Rencontre Top 14 Rugby - Strasbourg,Match Championnat,2025-01-05 20:00:00,35000,28365,3660,91.5,2191425.0
EVT-STADE-2025-0148,Stade Pierre-Mauroy,Lille,Finale Coupe de France - Lille,Rencontre Internationale,2025-06-09 15:00:00,35000,20320,1905,63.5,1085850.0
EVT-STADE-2025-0149,Stadium de Toulouse,Toulouse,Tournoi National Jeunes - Toulouse,Tournoi Jeunes,2025-12-22 15:00:00,15000,8648,1221,65.8,564690.0
EVT-STADE-2025-0150,Rhenus Sport,Strasbourg,Match Championnat Ligue 1 - Strasbourg,Match Championnat,2025-01-13 21:00:00,60000,39539,4261,73.0,2844505.0
EVT-STADE-2025-0151,Complexe Bréquigny,Rennes,Concert Star Arena Tour - Rennes,Concert / Spectacle,2025-02-28 21:00:00,15000,10075,1040,74.1,1116375.0
EVT-STADE-2025-0152,Halle Clémenceau,Grenoble,Finale Coupe de France - Grenoble,Rencontre Internationale,2025-08-15 18:00:00,25000,16542,2108,74.6,1023260.0
EVT-STADE-2025-0153,Complexe Sportif de Marcq,Lille,Finale Coupe de France - Lille,Rencontre Internationale,2025-05-01 15:00:00,80000,45216,5984,64.0,2852480.0
EVT-STADE-2025-0154,Palais des Sports de Marseille,Marseille,Finale Coupe de France - Marseille,Rencontre Internationale,2025-10-03 18:00:00,35000,30764,3851,98.9,1885670.0
