code_insee,nom,population,nombre_d_equipements_sportifs,ratio_de_la_commune,strate_de_la_commune,ratio_de_la_strate_de_commune,ratio_du_departement,nom_de_l_epci_de_rattachement,moyenne_de_l_epci,strate_de_l_epci,moyenne_de_la_strate_de_l_epci,nombre_de_types_d_equipements,moyenne_du_nombre_de_types_d_equipements_de_la_tranche_de_la_c,nombre_de_type_d_equipements_de_l_epci,moyenne_du_nombre_de_types_d_equipements_de_la_tranche_de_l_ep,_01___bassin_de_natation,_02___boulodrome,_03___bowling,_04___circuit_piste_de_sports_mecaniques,_05___court_de_tennis,_06___equipement_de_cyclisme,_07___equipement_piste_de_ski,_08___equipement_d_activites_de_forme_et_de_sante,_09___equipement_equestre,_10___equipement_d_athletisme,_11___mur_et_fronton,_12___parcours_de_golf,_13___parcours_sportif_sante,_14___pas_de_tir,_15___aire_de_sports_de_glaces,_16___plaine_de_jeux,_17___plateau_eps,_18___salle_de_combat,_19___salle_multisports,_21___salle_ou_terrain_specialise,_22___salle_non_specialisee,_23___site_d_activites_aeriennes,_24___site_d_activites_aquatiques_et_nautiques,_25___site_de_modelisme,_26___skate_park_velo_freestyle,_27___structure_artificielle_d_escalade,_28___terrain_de_grands_jeux,_29___terrain_exterieur_de_petits_jeux_collectifs,_30___divers_equipements_sports_de_nature,_31___divers_equipements,longitude,latitude,the_geom,cartodb_id,created_at,updated_at
24007,Allemans,578,1,1.7,Moins de 2000,7.9,5.3,CC Communauté de communes du Pays Ribéracois,7.5,Moins de 20.000,8.5,1,2.5,22,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.304913532757879,45.2880263516692,0101000020E6100000F662D30CB483D33F1867280CDEA44640,6221,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
26315,Saint-Martin-en-Vercors,396,9,22.7,Moins de 2000,7.9,19.5,CC du Vercors,26.7,Moins de 20.000,8.5,4,2.5,16,14.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,5.44885603760489,45.0158378232451,0101000020E61000002780C8EAA0CB154053704AF906824640,7244,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
30276,Saint-Laurent-d'Aigouze,3278,20,6.1,2.000 à 10.000,5.6,7.5,CC Terre de Camargue,6.5,Moins de 20.000,8.5,10,9.8,21,14.5,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,8,1,4.24272964176976,43.5709008473854,0101000020E610000004AF841E8EF81040B6636A4713C94540,8759,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
38089,Chassignieu,206,1,4.9,Moins de 2000,7.9,7.2,CC Bourbre-Tisserands,4.8,Moins de 20.000,8.5,1,2.5,15,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51236242563947,45.5009882060943,0101000020E6100000744857BCA80C1640A96DAC6120C04640,11179,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
40170,Maillères,213,1,4.7,Moins de 2000,7.9,6.6,CC du Pays d'Albret,10.7,Moins de 20.000,8.5,1,2.5,17,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.441775411860266,44.0261900318785,0101000020E6100000357987600C46DCBF1E33E9315A034640,12016,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
40197,Morcenx,4606,24,5.2,2.000 à 10.000,5.6,6.6,CC du Pays Morcenais,7,Moins de 20.000,8.5,14,9.8,18,14.5,2,1,0,0,4,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,4,0,0,0,0,0,4,1,0,1,-0.888668917612232,44.041164969375,0101000020E61000005CB843CCF96FECBF6D9ACAE444054640,12040,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
45273,Saint-Denis-de-l'Hôtel,2925,30,10.3,2.000 à 10.000,5.6,6.2,CC des Loges,6.5,20.000 à 50.000,5.7,14,9.8,23,20.1,0,4,0,1,4,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,2,0,0,7,1,4,0,2.15405314895147,47.8832853043586,0101000020E610000032BDA437803B0140F9A02B7E0FF14740,13355,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
50289,Marchésieux,716,6,8.4,Moins de 2000,7.9,4,CC de Seves et Taute,6.4,Moins de 20.000,8.5,4,2.5,15,14.5,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1.30653867606308,49.1890116312466,0101000020E6100000AC664A1995E7F4BF46627B8831984840,14637,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
53209,Saint-Cyr-le-Gravelais,543,3,5.5,Moins de 2000,7.9,9.8,CC du Pays de Loiron,7,Moins de 20.000,8.5,3,2.5,16,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1.00492924530763,48.0384603902476,0101000020E6100000643E36B03014F0BF05272345EC044840,15690,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
58081,Colméry,334,1,3,Moins de 2000,7.9,2.2,CC en Donziais,4.2,Moins de 20.000,8.5,1,2.5,8,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.24692626233012,47.348407289772,0101000020E6100000DFD9E979B4F909401EA12D9C98AC4740,17372,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
58134,Imphy,3739,24,6.4,2.000 à 10.000,5.6,2.2,CC Fil de Loire,5.6,Moins de 20.000,8.5,10,9.8,10,14.5,2,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,1,3,2,0,0,0,0,0,0,5,2,0,0,3.28163001159059,46.9353784913744,0101000020E610000059D44A3CC7400A40DDEA7E7BBA774740,17395,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
59404,Moëres,808,9,11.1,Moins de 2000,7.9,4.8,CC des Hauts de Flandre,6.2,50.000 à 100.000,4.7,6,2.5,21,22.7,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2.54681927465464,51.0242596749163,0101000020E610000085B6ABC8E25F04404530E7F01A834940,17831,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
59541,Saint-Python,991,4,4,Moins de 2000,7.9,4.8,CC du Pays Solesmois,3.8,Moins de 20.000,8.5,3,2.5,14,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3.47468180945388,50.1936805072989,0101000020E610000057E2FCF925CC0B40595CDA85CA184940,17951,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
64031,Arancou,122,3,24.6,Moins de 2000,7.9,14.3,CC de Bidache,12.8,Moins de 20.000,8.5,2,2.5,19,14.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.05289909366437,43.4443814235042,0101000020E6100000966C54B8ACD8F0BF4273907DE1B84540,19986,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
64039,Aren,223,5,22.4,Moins de 2000,7.9,14.3,CC du Josbaig,11.9,Moins de 20.000,8.5,4,2.5,8,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,-0.724608048356522,43.2482070164048,0101000020E61000003E82C337FD2FE7BF550C5D3FC59F4540,19994,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
64235,Garris,291,2,6.9,Moins de 2000,7.9,14.3,CC d'Amikuze,13.6,Moins de 20.000,8.5,2,2.5,16,14.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.05852911386723,43.3400865663249,0101000020E61000001EC75E39BCEFF0BF5216E4F487AB4540,20175,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
64419,Nousty,1493,4,2.7,Moins de 2000,7.9,14.3,CC Ousse-Gabas,6.9,Moins de 20.000,8.5,4,2.5,18,14.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.218739473804219,43.2653680971395,0101000020E6100000D8AB2AB3A7FFCBBFD64EF194F7A14540,20343,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
98741,RAPA,515,6,11.7,Moins de 2000,7.9,5.4,,,,,4,2.5,29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,0,0,,,,28531,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
65007,Andrest,1414,3,2.1,Moins de 2000,7.9,7.3,CC Vic-Montaner,9.2,Moins de 20.000,8.5,3,2.5,21,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.065713853493588,43.3157053595183,0101000020E6100000252BA6839FD2B03FC926810869A84540,20486,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
65354,Pailhac,67,1,14.9,Moins de 2000,7.9,7.3,CC d'Aure,9.4,Moins de 20.000,8.5,1,2.5,10,14.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367250635568665,42.9119591957562,0101000020E6100000E6F74CCF0881D73F98873414BB744540,20654,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
66070,Espira-de-Conflent,173,2,11.6,Moins de 2000,7.9,21.4,CC Vinça-Canigou,12.4,Moins de 20.000,8.5,2,2.5,18,14.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49413058303689,42.6192388157019,0101000020E61000005CC630BCFAF303403DEDAE37434F4540,20786,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
69029,Bron,38717,133,3.4,10.000 à 50.000,3.6,5.5,CU de Lyon (Grand Lyon),2.5,Plus de 250.000,3,17,15.2,28,26.5,4,4,0,0,18,0,0,14,1,3,0,0,1,3,0,0,13,2,11,16,3,0,0,0,1,1,21,17,0,0,4.91194087595473,45.7346736392545,0101000020E6100000D37138D4D3A513406BEA2AC909DE4640,21791,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
70504,Traves,352,6,17,Moins de 2000,7.9,7,CC des Combes,10.6,Moins de 20.000,8.5,4,2.5,17,14.5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5.9625727688736,47.6060561804059,0101000020E6100000415409ADACD91740E630B93F93CD4740,22351,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
76447,Montivilliers,16611,51,3.1,10.000 à 50.000,3.6,5.1,CA Havraise (CO.D.A.H.),2.7,100.000 à 250.000,3.6,14,15.2,23,23.7,2,1,1,0,7,0,0,0,13,4,0,0,0,0,0,0,5,3,3,2,0,0,0,0,1,1,5,3,0,0,0.190150884546615,49.5441197937404,0101000020E61000008C72373BDD56C83F539CA7B7A5C54840,24024,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
85212,Sainte-Florence,1123,7,6.2,Moins de 2000,7.9,6.3,CC du Pays des Essarts,6.1,Moins de 20.000,8.5,5,2.5,20,14.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,-1.1583981184591,46.7891359124715,0101000020E6100000EE792877CC88F2BF0515D46702654740,26659,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
87053,Cromac,264,10,37.9,Moins de 2000,7.9,10.2,CC Brame Benaize,9.5,Moins de 20.000,8.5,6,2.5,14,14.5,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1.31087513534648,46.3598357476699,0101000020E6100000483EB73458F9F43F431608190F2E4740,27053,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
90023,Chaux,1080,1,0.9,Moins de 2000,7.9,5.4,CC la Haute Savoureuse,5.6,Moins de 20.000,8.5,1,2.5,16,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.83848841851063,47.7125562011389,0101000020E6100000C94F3EB59C5A1B400F3AA60A35DB4740,27825,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
90088,Rougegoutte,1007,6,6,Moins de 2000,7.9,5.4,CC la Haute Savoureuse,5.6,Moins de 20.000,8.5,3,2.5,16,14.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,6.86261756162614,47.7342708508083,0101000020E6100000E28EA00452731B405A505596FCDD4740,27875,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
16133,Étriac,190,0,0,Moins de 2000,7.9,4.5,CC des 4B,5.4,Moins de 20.000,8.5,0,2.5,19,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009535958464477,45.5272946988895,0101000020E61000009273EDAD968783BFD38A87647EC34640,29957,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
24039,Besse,154,0,0,Moins de 2000,7.9,5.3,CC de Domme- Villefranche du Périgord,7.2,Moins de 20.000,8.5,0,2.5,14,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11290462023832,44.6650841402273,0101000020E6100000A9DA371375CEF13FA9AE237A21554640,30823,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
27594,Saint-Pierre-des-Ifs,274,0,0,Moins de 2000,7.9,4.7,CC du Vièvre-Lieuvin,4.8,Moins de 20.000,8.5,0,2.5,10,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608149460058388,49.266009064342,0101000020E610000099FC40DBF575E33FECE4C3950CA24840,31454,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
58001,Achun,142,0,0,Moins de 2000,7.9,2.2,CC du Bazois,2.9,Moins de 20.000,8.5,0,2.5,5,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66455266723143,47.129411628116,0101000020E610000019D421FD00510D407C3D6B8F90904740,33980,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
58076,Chougny,86,0,0,Moins de 2000,7.9,2.2,CC du Bazois,2.9,Moins de 20.000,8.5,0,2.5,5,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75743163588785,47.0895364235277,0101000020E6100000B5C04851380F0E40176DF5ED758B4740,34028,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
70124,Champtonnay,85,0,0,Moins de 2000,7.9,7,CC Val de Gray,6.4,Moins de 20.000,8.5,0,2.5,21,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66198388466147,47.3762631092336,0101000020E610000073667C1ADFA51640BF6CBA6329B04740,35287,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
89039,Béru,75,0,0,Moins de 2000,7.9,5.2,CC du Pays Chablisien,5.6,Moins de 20.000,8.5,0,2.5,14,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88561736953554,47.8033288960566,0101000020E6100000C465378FBE150F40583F347BD3E64740,36598,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
89397,Sommecaise,347,0,0,Moins de 2000,7.9,5.2,CC de l'Aillantais,5.3,Moins de 20.000,8.5,0,2.5,15,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22257590929316,47.8388227065762,0101000020E61000002A55DAE0D5C7094089F1DD8A5EEB4740,36715,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
26100,Combovin,409,5,12.2,Moins de 2000,7.9,19.5,CC de la Raye,11.6,Moins de 20.000,8.5,2,2.5,8,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,5.10785690420117,44.8582202450344,0101000020E61000006FC4500A726E14400C983629DA6D4640,7060,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
27028,Authou,355,1,2.8,Moins de 2000,7.9,4.7,CC Val de Risle,6.4,Moins de 20.000,8.5,1,2.5,12,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.697241528451294,49.2258198787308,0101000020E610000045904377CD4FE63FBEF770AAE79C4840,7321,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
50402,Pieux,3558,22,6.2,2.000 à 10.000,5.6,4,CC des Pieux,4.8,Moins de 20.000,8.5,11,9.8,17,14.5,1,1,0,0,1,0,0,0,5,1,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1,0,5,1,0,0,-1.82113742083782,49.510409365849,0101000020E6100000D85200FE6023FDBF60F2161855C14840,14691,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
64046,Armendarits,380,3,7.9,Moins de 2000,7.9,14.3,CC d'Iholdi-Ostibarre,12.6,Moins de 20.000,8.5,2,2.5,8,14.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.16152681226538,43.2992057391143,0101000020E610000005B681239D95F2BFBE22A85F4CA64540,20001,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
64047,Arnéguy,252,3,11.9,Moins de 2000,7.9,14.3,CC de Garazi-Baigorri,13.9,Moins de 20.000,8.5,2,2.5,14,14.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.27607115446332,43.0858081612096,0101000020E61000006F9F3C96C96AF4BF041007C3FB8A4540,20002,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
64048,Arnos,71,1,14.1,Moins de 2000,7.9,14.3,CC de Lacq-Orthez,10.6,50.000 à 100.000,4.7,1,2.5,24,22.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.53332586427902,43.4584683253424,0101000020E6100000F40E26670111E1BF7BCC0F17AFBA4540,20003,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
64049,Aroue-Ithorots-Olhaïby,244,3,12.3,Moins de 2000,7.9,14.3,CC d'Amikuze,13.6,Moins de 20.000,8.5,2,2.5,16,14.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.928477370699492,43.3090717900405,0101000020E6100000545FC72C16B6EDBF892B17AA8FA74540,20004,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
64050,Arrast-Larrebieu,100,1,10,Moins de 2000,7.9,14.3,CC de Soule-Xiberoa,15.2,Moins de 20.000,8.5,1,2.5,21,14.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.850001016322946,43.2856661746313,0101000020E6100000E58FD5543533EBBFB4CE8EB590A44540,20005,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
64051,Arraute-Charritte,385,3,7.8,Moins de 2000,7.9,14.3,CC d'Amikuze,13.6,Moins de 20.000,8.5,2,2.5,16,14.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.11374885098892,43.4192019549487,0101000020E6100000A247AF50EAD1F1BF4376DF68A8B54540,20006,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
98758,UTUROA,3697,21,5.7,2.000 à 10.000,5.6,5.4,,,,,11,9.8,29,,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,2,1,1,0,0,4,0,0,0,4,1,0,0,,,,28547,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
64052,Arricau-Bordes,103,2,19.4,Moins de 2000,7.9,14.3,CC du Canton de Lembeye en Vic-Bilh,12.5,Moins de 20.000,8.5,2,2.5,14,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.141969604129337,43.5017324600355,0101000020E6100000187B615B0F2CC2BFD898EDC438C04540,20007,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
64053,Arrien,154,2,13,Moins de 2000,7.9,14.3,CC du Pays de Morlaàs,11.6,Moins de 20.000,8.5,2,2.5,22,14.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.16246937632547,43.3131388465412,0101000020E61000003DAFF5E8CBCBC4BF358008EF14A84540,20008,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
64054,Arros-de-Nay,791,7,8.8,Moins de 2000,7.9,14.3,CC Pays de Nay,11.1,20.000 à 50.000,5.7,7,2.5,21,20.1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,-0.295481589936621,43.1818320406574,0101000020E61000008043569D2BE9D2BF86FEB54546974540,20009,2015-02-09 15:27:30.386509+00,2015-02-09 15:27:30.386509+00
