concession_id,event_id,nom_equipement,nom_stand,type_stand,recette_nourriture_boisson_eur,recette_merchandising_eur,panier_moyen_par_spectateur_eur
CNS-00019,EVT-STADE-2025-0004,Complexe Bréquigny,Bar VIP Loges Prestige,Bar VIP Loges,77708.0,21080.75,8.24
CNS-00020,EVT-STADE-2025-0004,Complexe Bréquigny,Stand Snacking Parvis,Restauration / Buvette,34321.87,0.0,2.86
CNS-00021,EVT-STADE-2025-0005,Patinoire Pôle Sud,Buvette Tribune Nord,Restauration / Buvette,36579.08,0.0,3.11
CNS-00022,EVT-STADE-2025-0005,Patinoire Pôle Sud,Buvette Tribune Sud,Restauration / Buvette,33738.91,0.0,2.87
CNS-00023,EVT-STADE-2025-0005,Patinoire Pôle Sud,Boutique Officielle Club,Boutique Merchandising,0.0,99030.49,8.43
CNS-00024,EVT-STADE-2025-0005,Patinoire Pôle Sud,Bar VIP Loges Prestige,Bar VIP Loges,93195.52,17508.67,9.43
CNS-00025,EVT-STADE-2025-0005,Patinoire Pôle Sud,Stand Snacking Parvis,Restauration / Buvette,32529.05,0.0,2.77
CNS-00026,EVT-STADE-2025-0006,Accor Arena,Buvette Tribune Nord,Restauration / Buvette,37580.68,0.0,2.47
CNS-00027,EVT-STADE-2025-0006,Accor Arena,Buvette Tribune Sud,Restauration / Buvette,36804.48,0.0,2.42
CNS-00028,EVT-STADE-2025-0006,Accor Arena,Boutique Officielle Club,Boutique Merchandising,0.0,127339.0,8.36
CNS-00029,EVT-STADE-2025-0006,Accor Arena,Bar VIP Loges Prestige,Bar VIP Loges,136746.5,43818.35,11.86
CNS-00030,EVT-STADE-2025-0006,Accor Arena,Stand Snacking Parvis,Restauration / Buvette,41490.29,0.0,2.73
CNS-00031,EVT-STADE-2025-0007,Arena du Pays d'Aix,Buvette Tribune Nord,Restauration / Buvette,149991.43,0.0,4.28
CNS-00032,EVT-STADE-2025-0007,Arena du Pays d'Aix,Buvette Tribune Sud,Restauration / Buvette,148930.34,0.0,4.25
CNS-00033,EVT-STADE-2025-0007,Arena du Pays d'Aix,Boutique Officielle Club,Boutique Merchandising,0.0,129672.14,3.7
CNS-00034,EVT-STADE-2025-0007,Arena du Pays d'Aix,Bar VIP Loges Prestige,Bar VIP Loges,330632.73,73590.34,11.54
CNS-00035,EVT-STADE-2025-0007,Arena du Pays d'Aix,Stand Snacking Parvis,Restauration / Buvette,114442.11,0.0,3.27
CNS-00036,EVT-STADE-2025-0008,Halle Clémenceau,Buvette Tribune Nord,Restauration / Buvette,88149.89,0.0,4.17
CNS-00037,EVT-STADE-2025-0008,Halle Clémenceau,Buvette Tribune Sud,Restauration / Buvette,48351.28,0.0,2.29
CNS-00038,EVT-STADE-2025-0008,Halle Clémenceau,Boutique Officielle Club,Boutique Merchandising,0.0,213907.2,10.13
CNS-00039,EVT-STADE-2025-0008,Halle Clémenceau,Bar VIP Loges Prestige,Bar VIP Loges,287663.27,37439.23,15.39
CNS-00040,EVT-STADE-2025-0008,Halle Clémenceau,Stand Snacking Parvis,Restauration / Buvette,53183.0,0.0,2.52
CNS-00041,EVT-STADE-2025-0009,Halle de la Trocardière,Buvette Tribune Nord,Restauration / Buvette,157460.57,0.0,3.81
CNS-00042,EVT-STADE-2025-0009,Halle de la Trocardière,Buvette Tribune Sud,Restauration / Buvette,99686.57,0.0,2.41
CNS-00043,EVT-STADE-2025-0009,Halle de la Trocardière,Boutique Officielle Club,Boutique Merchandising,0.0,311187.17,7.53
CNS-00044,EVT-STADE-2025-0009,Halle de la Trocardière,Bar VIP Loges Prestige,Bar VIP Loges,516170.77,92208.11,14.72
CNS-00045,EVT-STADE-2025-0009,Halle de la Trocardière,Stand Snacking Parvis,Restauration / Buvette,91187.91,0.0,2.21
CNS-00046,EVT-STADE-2025-0010,Rhenus Sport,Buvette Tribune Nord,Restauration / Buvette,242568.18,0.0,4.16
CNS-00047,EVT-STADE-2025-0010,Rhenus Sport,Buvette Tribune Sud,Restauration / Buvette,213565.77,0.0,3.66
CNS-00048,EVT-STADE-2025-0010,Rhenus Sport,Boutique Officielle Club,Boutique Merchandising,0.0,698991.61,11.99
CNS-00049,EVT-STADE-2025-0010,Rhenus Sport,Bar VIP Loges Prestige,Bar VIP Loges,333577.24,108908.73,7.59
CNS-00050,EVT-STADE-2025-0010,Rhenus Sport,Stand Snacking Parvis,Restauration / Buvette,133068.59,0.0,2.28
CNS-00051,EVT-STADE-2025-0011,Stade de la Meinau,Buvette Tribune Nord,Restauration / Buvette,83966.8,0.0,2.98
CNS-00052,EVT-STADE-2025-0011,Stade de la Meinau,Buvette Tribune Sud,Restauration / Buvette,113805.51,0.0,4.03
CNS-00053,EVT-STADE-2025-0011,Stade de la Meinau,Boutique Officielle Club,Boutique Merchandising,0.0,187862.04,6.66
CNS-00054,EVT-STADE-2025-0011,Stade de la Meinau,Bar VIP Loges Prestige,Bar VIP Loges,286266.03,54730.67,12.09
CNS-00055,EVT-STADE-2025-0011,Stade de la Meinau,Stand Snacking Parvis,Restauration / Buvette,100534.81,0.0,3.56
CNS-00056,EVT-STADE-2025-0012,LDLC Arena,Buvette Tribune Nord,Restauration / Buvette,35197.72,0.0,3.6
CNS-00057,EVT-STADE-2025-0012,LDLC Arena,Buvette Tribune Sud,Restauration / Buvette,36695.18,0.0,3.76
CNS-00058,EVT-STADE-2025-0012,LDLC Arena,Boutique Officielle Club,Boutique Merchandising,0.0,56698.67,5.81
CNS-00059,EVT-STADE-2025-0012,LDLC Arena,Bar VIP Loges Prestige,Bar VIP Loges,67655.97,16180.71,8.59
CNS-00060,EVT-STADE-2025-0012,LDLC Arena,Stand Snacking Parvis,Restauration / Buvette,32381.11,0.0,3.32
CNS-00061,EVT-STADE-2025-0013,Groupama Stadium,Buvette Tribune Nord,Restauration / Buvette,88994.31,0.0,3.13
CNS-00062,EVT-STADE-2025-0013,Groupama Stadium,Buvette Tribune Sud,Restauration / Buvette,63939.92,0.0,2.25
CNS-00063,EVT-STADE-2025-0013,Groupama Stadium,Boutique Officielle Club,Boutique Merchandising,0.0,107445.5,3.78
CNS-00064,EVT-STADE-2025-0013,Groupama Stadium,Bar VIP Loges Prestige,Bar VIP Loges,220202.66,41026.25,9.19
CNS-00065,EVT-STADE-2025-0013,Groupama Stadium,Stand Snacking Parvis,Restauration / Buvette,70194.49,0.0,2.47
CNS-00066,EVT-STADE-2025-0014,Stade des Alpes,Buvette Tribune Nord,Restauration / Buvette,35218.89,0.0,2.57
CNS-00067,EVT-STADE-2025-0014,Stade des Alpes,Buvette Tribune Sud,Restauration / Buvette,51169.59,0.0,3.73
CNS-00068,EVT-STADE-2025-0014,Stade des Alpes,Boutique Officielle Club,Boutique Merchandising,0.0,94128.84,6.86
CNS-00069,EVT-STADE-2025-0014,Stade des Alpes,Bar VIP Loges Prestige,Bar VIP Loges,85089.79,20879.28,7.72
CNS-00070,EVT-STADE-2025-0014,Stade des Alpes,Stand Snacking Parvis,Restauration / Buvette,55768.0,0.0,4.06
CNS-00071,EVT-STADE-2025-0015,Stade de la Meinau,Buvette Tribune Nord,Restauration / Buvette,104006.28,0.0,3.43
CNS-00072,EVT-STADE-2025-0015,Stade de la Meinau,Buvette Tribune Sud,Restauration / Buvette,114257.51,0.0,3.77
CNS-00073,EVT-STADE-2025-0015,Stade de la Meinau,Boutique Officielle Club,Boutique Merchandising,0.0,267757.57,8.83
CNS-00074,EVT-STADE-2025-0015,Stade de la Meinau,Bar VIP Loges Prestige,Bar VIP Loges,133883.73,32559.03,5.49
CNS-00075,EVT-STADE-2025-0015,Stade de la Meinau,Stand Snacking Parvis,Restauration / Buvette,89760.73,0.0,2.96
CNS-00076,EVT-STADE-2025-0016,Complexe Mangin-Beaulieu,Buvette Tribune Nord,Restauration / Buvette,226950.47,0.0,4.46
CNS-00077,EVT-STADE-2025-0016,Complexe Mangin-Beaulieu,Buvette Tribune Sud,Restauration / Buvette,127772.09,0.0,2.51
CNS-00078,EVT-STADE-2025-0016,Complexe Mangin-Beaulieu,Boutique Officielle Club,Boutique Merchandising,0.0,533558.55,10.49
CNS-00079,EVT-STADE-2025-0016,Complexe Mangin-Beaulieu,Bar VIP Loges Prestige,Bar VIP Loges,392081.76,77515.98,9.23
CNS-00080,EVT-STADE-2025-0016,Complexe Mangin-Beaulieu,Stand Snacking Parvis,Restauration / Buvette,195752.43,0.0,3.85
CNS-00081,EVT-STADE-2025-0017,Complexe Bréquigny,Buvette Tribune Nord,Restauration / Buvette,24740.4,0.0,2.45
CNS-00082,EVT-STADE-2025-0017,Complexe Bréquigny,Buvette Tribune Sud,Restauration / Buvette,24341.25,0.0,2.41
CNS-00083,EVT-STADE-2025-0017,Complexe Bréquigny,Boutique Officielle Club,Boutique Merchandising,0.0,86821.13,8.59
CNS-00084,EVT-STADE-2025-0017,Complexe Bréquigny,Bar VIP Loges Prestige,Bar VIP Loges,56730.98,12437.2,6.84
CNS-00085,EVT-STADE-2025-0017,Complexe Bréquigny,Stand Snacking Parvis,Restauration / Buvette,36998.76,0.0,3.66
CNS-00086,EVT-STADE-2025-0018,Parc des Princes,Buvette Tribune Nord,Restauration / Buvette,83713.69,0.0,3.6
CNS-00087,EVT-STADE-2025-0018,Parc des Princes,Buvette Tribune Sud,Restauration / Buvette,56021.47,0.0,2.41
CNS-00088,EVT-STADE-2025-0018,Parc des Princes,Boutique Officielle Club,Boutique Merchandising,0.0,243709.2,10.47
CNS-00089,EVT-STADE-2025-0018,Parc des Princes,Bar VIP Loges Prestige,Bar VIP Loges,216235.81,24397.03,10.34
CNS-00090,EVT-STADE-2025-0018,Parc des Princes,Stand Snacking Parvis,Restauration / Buvette,59556.64,0.0,2.56
CNS-00091,EVT-STADE-2025-0019,Halle de la Trocardière,Buvette Tribune Nord,Restauration / Buvette,153438.29,0.0,4.39
CNS-00092,EVT-STADE-2025-0019,Halle de la Trocardière,Buvette Tribune Sud,Restauration / Buvette,147647.5,0.0,4.23
CNS-00093,EVT-STADE-2025-0019,Halle de la Trocardière,Boutique Officielle Club,Boutique Merchandising,0.0,350633.19,10.03
CNS-00094,EVT-STADE-2025-0019,Halle de la Trocardière,Bar VIP Loges Prestige,Bar VIP Loges,231469.87,78665.67,8.88
CNS-00095,EVT-STADE-2025-0019,Halle de la Trocardière,Stand Snacking Parvis,Restauration / Buvette,127550.42,0.0,3.65
CNS-00096,EVT-STADE-2025-0020,Stadium de Toulouse,Buvette Tribune Nord,Restauration / Buvette,45140.07,0.0,3.12
CNS-00097,EVT-STADE-2025-0020,Stadium de Toulouse,Buvette Tribune Sud,Restauration / Buvette,38692.0,0.0,2.68
CNS-00098,EVT-STADE-2025-0020,Stadium de Toulouse,Boutique Officielle Club,Boutique Merchandising,0.0,97465.06,6.75
CNS-00099,EVT-STADE-2025-0020,Stadium de Toulouse,Bar VIP Loges Prestige,Bar VIP Loges,136874.91,23382.78,11.09
CNS-00100,EVT-STADE-2025-0020,Stadium de Toulouse,Stand Snacking Parvis,Restauration / Buvette,59519.11,0.0,4.12
CNS-00101,EVT-STADE-2025-0021,Rhenus Sport,Buvette Tribune Nord,Restauration / Buvette,135101.69,0.0,3.18
CNS-00102,EVT-STADE-2025-0021,Rhenus Sport,Buvette Tribune Sud,Restauration / Buvette,191306.81,0.0,4.5
CNS-00103,EVT-STADE-2025-0021,Rhenus Sport,Boutique Officielle Club,Boutique Merchandising,0.0,479969.43,11.28
CNS-00104,EVT-STADE-2025-0021,Rhenus Sport,Bar VIP Loges Prestige,Bar VIP Loges,266753.09,130609.55,9.34
CNS-00105,EVT-STADE-2025-0021,Rhenus Sport,Stand Snacking Parvis,Restauration / Buvette,96888.56,0.0,2.28
CNS-00106,EVT-STADE-2025-0022,Arena du Pays d'Aix,Buvette Tribune Nord,Restauration / Buvette,92655.42,0.0,3.47
CNS-00107,EVT-STADE-2025-0022,Arena du Pays d'Aix,Buvette Tribune Sud,Restauration / Buvette,62996.44,0.0,2.36
CNS-00108,EVT-STADE-2025-0022,Arena du Pays d'Aix,Boutique Officielle Club,Boutique Merchandising,0.0,265345.97,9.95
CNS-00109,EVT-STADE-2025-0022,Arena du Pays d'Aix,Bar VIP Loges Prestige,Bar VIP Loges,239008.48,32768.57,10.19
CNS-00110,EVT-STADE-2025-0022,Arena du Pays d'Aix,Stand Snacking Parvis,Restauration / Buvette,60583.98,0.0,2.27
CNS-00111,EVT-STADE-2025-0023,Orange Vélodrome,Buvette Tribune Nord,Restauration / Buvette,96317.4,0.0,2.79
CNS-00112,EVT-STADE-2025-0023,Orange Vélodrome,Buvette Tribune Sud,Restauration / Buvette,103070.64,0.0,2.98
CNS-00113,EVT-STADE-2025-0023,Orange Vélodrome,Boutique Officielle Club,Boutique Merchandising,0.0,163199.56,4.72
CNS-00114,EVT-STADE-2025-0023,Orange Vélodrome,Bar VIP Loges Prestige,Bar VIP Loges,214208.75,52243.13,7.71
CNS-00115,EVT-STADE-2025-0023,Orange Vélodrome,Stand Snacking Parvis,Restauration / Buvette,150183.21,0.0,4.35
CNS-00116,EVT-STADE-2025-0024,Complexe Mangin-Beaulieu,Buvette Tribune Nord,Restauration / Buvette,209842.21,0.0,2.92
CNS-00117,EVT-STADE-2025-0024,Complexe Mangin-Beaulieu,Buvette Tribune Sud,Restauration / Buvette,270016.85,0.0,3.75
CNS-00118,EVT-STADE-2025-0024,Complexe Mangin-Beaulieu,Boutique Officielle Club,Boutique Merchandising,0.0,523928.31,7.28
CNS-00119,EVT-STADE-2025-0024,Complexe Mangin-Beaulieu,Bar VIP Loges Prestige,Bar VIP Loges,301436.3,64148.89,5.08
CNS-00120,EVT-STADE-2025-0024,Complexe Mangin-Beaulieu,Stand Snacking Parvis,Restauration / Buvette,262362.34,0.0,3.65
CNS-00121,EVT-STADE-2025-0025,Halle de la Trocardière,Buvette Tribune Nord,Restauration / Buvette,119462.89,0.0,4.26
CNS-00122,EVT-STADE-2025-0025,Halle de la Trocardière,Buvette Tribune Sud,Restauration / Buvette,94327.97,0.0,3.36
CNS-00123,EVT-STADE-2025-0025,Halle de la Trocardière,Boutique Officielle Club,Boutique Merchandising,0.0,127883.27,4.56
CNS-00124,EVT-STADE-2025-0025,Halle de la Trocardière,Bar VIP Loges Prestige,Bar VIP Loges,216191.97,62059.74,9.92
CNS-00125,EVT-STADE-2025-0025,Halle de la Trocardière,Stand Snacking Parvis,Restauration / Buvette,90256.9,0.0,3.22
CNS-00126,EVT-STADE-2025-0026,Matmut Atlantique,Buvette Tribune Nord,Restauration / Buvette,117348.14,0.0,4.16
CNS-00127,EVT-STADE-2025-0026,Matmut Atlantique,Buvette Tribune Sud,Restauration / Buvette,77964.05,0.0,2.77
CNS-00128,EVT-STADE-2025-0026,Matmut Atlantique,Boutique Officielle Club,Boutique Merchandising,0.0,102171.03,3.63
CNS-00129,EVT-STADE-2025-0026,Matmut Atlantique,Bar VIP Loges Prestige,Bar VIP Loges,273274.99,58419.21,11.77
CNS-00130,EVT-STADE-2025-0026,Matmut Atlantique,Stand Snacking Parvis,Restauration / Buvette,113736.65,0.0,4.04
CNS-00131,EVT-STADE-2025-0027,Stade de la Meinau,Buvette Tribune Nord,Restauration / Buvette,116607.05,0.0,3.95
CNS-00132,EVT-STADE-2025-0027,Stade de la Meinau,Buvette Tribune Sud,Restauration / Buvette,93824.72,0.0,3.18
CNS-00133,EVT-STADE-2025-0027,Stade de la Meinau,Boutique Officielle Club,Boutique Merchandising,0.0,336103.79,11.38
CNS-00134,EVT-STADE-2025-0027,Stade de la Meinau,Bar VIP Loges Prestige,Bar VIP Loges,300166.02,64155.45,12.33
CNS-00135,EVT-STADE-2025-0027,Stade de la Meinau,Stand Snacking Parvis,Restauration / Buvette,68456.09,0.0,2.32
CNS-00136,EVT-STADE-2025-0028,Stade de la Meinau,Buvette Tribune Nord,Restauration / Buvette,110408.39,0.0,4.44
CNS-00137,EVT-STADE-2025-0028,Stade de la Meinau,Buvette Tribune Sud,Restauration / Buvette,64830.28,0.0,2.61
CNS-00138,EVT-STADE-2025-0028,Stade de la Meinau,Boutique Officielle Club,Boutique Merchandising,0.0,283063.15,11.37
CNS-00139,EVT-STADE-2025-0028,Stade de la Meinau,Bar VIP Loges Prestige,Bar VIP Loges,128159.56,46518.84,7.02
CNS-00140,EVT-STADE-2025-0028,Stade de la Meinau,Stand Snacking Parvis,Restauration / Buvette,98265.63,0.0,3.95
CNS-00141,EVT-STADE-2025-0029,Stade Ernest-Wallon,Buvette Tribune Nord,Restauration / Buvette,157935.52,0.0,2.74
CNS-00142,EVT-STADE-2025-0029,Stade Ernest-Wallon,Buvette Tribune Sud,Restauration / Buvette,125802.56,0.0,2.19
CNS-00143,EVT-STADE-2025-0029,Stade Ernest-Wallon,Boutique Officielle Club,Boutique Merchandising,0.0,560654.48,9.74
CNS-00144,EVT-STADE-2025-0029,Stade Ernest-Wallon,Bar VIP Loges Prestige,Bar VIP Loges,373474.03,128342.31,8.72
CNS-00145,EVT-STADE-2025-0029,Stade Ernest-Wallon,Stand Snacking Parvis,Restauration / Buvette,124469.95,0.0,2.16
CNS-00146,EVT-STADE-2025-0030,Accor Arena,Buvette Tribune Nord,Restauration / Buvette,64364.66,0.0,4.05
CNS-00147,EVT-STADE-2025-0030,Accor Arena,Buvette Tribune Sud,Restauration / Buvette,46561.41,0.0,2.93
CNS-00148,EVT-STADE-2025-0030,Accor Arena,Boutique Officielle Club,Boutique Merchandising,0.0,95183.84,6.0
CNS-00149,EVT-STADE-2025-0030,Accor Arena,Bar VIP Loges Prestige,Bar VIP Loges,87747.03,49963.92,8.67
CNS-00150,EVT-STADE-2025-0030,Accor Arena,Stand Snacking Parvis,Restauration / Buvette,62154.42,0.0,3.92
CNS-00151,EVT-STADE-2025-0031,LDLC Arena,Buvette Tribune Nord,Restauration / Buvette,45502.38,0.0,4.25
CNS-00152,EVT-STADE-2025-0031,LDLC Arena,Buvette Tribune Sud,Restauration / Buvette,26021.08,0.0,2.43
CNS-00153,EVT-STADE-2025-0031,LDLC Arena,Boutique Officielle Club,Boutique Merchandising,0.0,105211.28,9.84
CNS-00154,EVT-STADE-2025-0031,LDLC Arena,Bar VIP Loges Prestige,Bar VIP Loges,71485.87,30152.16,9.5
CNS-00155,EVT-STADE-2025-0031,LDLC Arena,Stand Snacking Parvis,Restauration / Buvette,46793.01,0.0,4.38
CNS-00156,EVT-STADE-2025-0032,Matmut Atlantique,Buvette Tribune Nord,Restauration / Buvette,78844.4,0.0,2.87
CNS-00157,EVT-STADE-2025-0032,Matmut Atlantique,Buvette Tribune Sud,Restauration / Buvette,88263.35,0.0,3.21
CNS-00158,EVT-STADE-2025-0032,Matmut Atlantique,Boutique Officielle Club,Boutique Merchandising,0.0,259432.44,9.44
CNS-00159,EVT-STADE-2025-0032,Matmut Atlantique,Bar VIP Loges Prestige,Bar VIP Loges,176272.96,28799.27,7.46
CNS-00160,EVT-STADE-2025-0032,Matmut Atlantique,Stand Snacking Parvis,Restauration / Buvette,60069.13,0.0,2.19
CNS-00161,EVT-STADE-2025-0033,Palais des Sports Saint-Sauveur,Buvette Tribune Nord,Restauration / Buvette,44768.95,0.0,4.44
CNS-00162,EVT-STADE-2025-0033,Palais des Sports Saint-Sauveur,Buvette Tribune Sud,Restauration / Buvette,28710.61,0.0,2.85
CNS-00163,EVT-STADE-2025-0033,Palais des Sports Saint-Sauveur,Boutique Officielle Club,Boutique Merchandising,0.0,88260.41,8.76
CNS-00164,EVT-STADE-2025-0033,Palais des Sports Saint-Sauveur,Bar VIP Loges Prestige,Bar VIP Loges,85506.5,16255.1,10.1
CNS-00165,EVT-STADE-2025-0033,Palais des Sports Saint-Sauveur,Stand Snacking Parvis,Restauration / Buvette,25021.63,0.0,2.48
CNS-00166,EVT-STADE-2025-0034,Complexe Sportif Hautepierre,Buvette Tribune Nord,Restauration / Buvette,105615.87,0.0,3.78
CNS-00167,EVT-STADE-2025-0034,Complexe Sportif Hautepierre,Buvette Tribune Sud,Restauration / Buvette,60573.84,0.0,2.17
CNS-00168,EVT-STADE-2025-0034,Complexe Sportif Hautepierre,Boutique Officielle Club,Boutique Merchandising,0.0,188080.28,6.72
CNS-00169,EVT-STADE-2025-0034,Complexe Sportif Hautepierre,Bar VIP Loges Prestige,Bar VIP Loges,302578.17,84405.89,13.84
CNS-00170,EVT-STADE-2025-0034,Complexe Sportif Hautepierre,Stand Snacking Parvis,Restauration / Buvette,77202.81,0.0,2.76
CNS-00171,EVT-STADE-2025-0035,Palais des Sports André-Brouat,Buvette Tribune Nord,Restauration / Buvette,86805.63,0.0,4.5
CNS-00172,EVT-STADE-2025-0035,Palais des Sports André-Brouat,Buvette Tribune Sud,Restauration / Buvette,43469.29,0.0,2.25
CNS-00173,EVT-STADE-2025-0035,Palais des Sports André-Brouat,Boutique Officielle Club,Boutique Merchandising,0.0,201839.64,10.46
CNS-00174,EVT-STADE-2025-0035,Palais des Sports André-Brouat,Bar VIP Loges Prestige,Bar VIP Loges,141682.65,21711.78,8.47
CNS-00175,EVT-STADE-2025-0035,Palais des Sports André-Brouat,Stand Snacking Parvis,Restauration / Buvette,77637.02,0.0,4.02
CNS-00176,EVT-STADE-2025-0036,Stade de Gerland,Buvette Tribune Nord,Restauration / Buvette,182712.95,0.0,2.52
CNS-00177,EVT-STADE-2025-0036,Stade de Gerland,Buvette Tribune Sud,Restauration / Buvette,214579.04,0.0,2.96
CNS-00178,EVT-STADE-2025-0036,Stade de Gerland,Boutique Officielle Club,Boutique Merchandising,0.0,772949.47,10.68
CNS-00179,EVT-STADE-2025-0036,Stade de Gerland,Bar VIP Loges Prestige,Bar VIP Loges,904312.61,286518.91,16.45
CNS-00180,EVT-STADE-2025-0036,Stade de Gerland,Stand Snacking Parvis,Restauration / Buvette,262502.14,0.0,3.63
CNS-00181,EVT-STADE-2025-0037,Arena du Pays d'Aix,Buvette Tribune Nord,Restauration / Buvette,162251.92,0.0,3.89
CNS-00182,EVT-STADE-2025-0037,Arena du Pays d'Aix,Buvette Tribune Sud,Restauration / Buvette,146332.77,0.0,3.51
CNS-00183,EVT-STADE-2025-0037,Arena du Pays d'Aix,Boutique Officielle Club,Boutique Merchandising,0.0,238097.63,5.7
CNS-00184,EVT-STADE-2025-0037,Arena du Pays d'Aix,Bar VIP Loges Prestige,Bar VIP Loges,436131.25,93019.34,12.67
CNS-00185,EVT-STADE-2025-0037,Arena du Pays d'Aix,Stand Snacking Parvis,Restauration / Buvette,127829.94,0.0,3.06
CNS-00186,EVT-STADE-2025-0038,Stade de Gerland,Buvette Tribune Nord,Restauration / Buvette,202559.64,0.0,4.19
CNS-00187,EVT-STADE-2025-0038,Stade de Gerland,Buvette Tribune Sud,Restauration / Buvette,184045.51,0.0,3.81
CNS-00188,EVT-STADE-2025-0038,Stade de Gerland,Boutique Officielle Club,Boutique Merchandising,0.0,342443.77,7.09
CNS-00189,EVT-STADE-2025-0038,Stade de Gerland,Bar VIP Loges Prestige,Bar VIP Loges,455944.99,181888.78,13.2
CNS-00190,EVT-STADE-2025-0038,Stade de Gerland,Stand Snacking Parvis,Restauration / Buvette,154403.05,0.0,3.2
CNS-00191,EVT-STADE-2025-0039,Accor Arena,Buvette Tribune Nord,Restauration / Buvette,67652.85,0.0,4.02
CNS-00192,EVT-STADE-2025-0039,Accor Arena,Buvette Tribune Sud,Restauration / Buvette,70255.83,0.0,4.17
CNS-00193,EVT-STADE-2025-0039,Accor Arena,Boutique Officielle Club,Boutique Merchandising,0.0,66616.5,3.95
CNS-00194,EVT-STADE-2025-0039,Accor Arena,Bar VIP Loges Prestige,Bar VIP Loges,145088.28,55038.88,11.88
CNS-00195,EVT-STADE-2025-0039,Accor Arena,Stand Snacking Parvis,Restauration / Buvette,37013.59,0.0,2.2
CNS-00196,EVT-STADE-2025-0040,Stade Pierre-Mauroy,Buvette Tribune Nord,Restauration / Buvette,124090.74,0.0,4.31
CNS-00197,EVT-STADE-2025-0040,Stade Pierre-Mauroy,Buvette Tribune Sud,Restauration / Buvette,71061.87,0.0,2.47
CNS-00198,EVT-STADE-2025-0040,Stade Pierre-Mauroy,Boutique Officielle Club,Boutique Merchandising,0.0,316051.66,10.97
CNS-00199,EVT-STADE-2025-0040,Stade Pierre-Mauroy,Bar VIP Loges Prestige,Bar VIP Loges,317795.68,96171.28,14.37
CNS-00200,EVT-STADE-2025-0040,Stade Pierre-Mauroy,Stand Snacking Parvis,Restauration / Buvette,126955.9,0.0,4.41
CNS-00201,EVT-STADE-2025-0041,Stade de France,Buvette Tribune Nord,Restauration / Buvette,164341.35,0.0,2.81
CNS-00202,EVT-STADE-2025-0041,Stade de France,Buvette Tribune Sud,Restauration / Buvette,222777.17,0.0,3.81
CNS-00203,EVT-STADE-2025-0041,Stade de France,Boutique Officielle Club,Boutique Merchandising,0.0,634566.85,10.87
CNS-00204,EVT-STADE-2025-0041,Stade de France,Bar VIP Loges Prestige,Bar VIP Loges,338185.23,64257.6,6.89
CNS-00205,EVT-STADE-2025-0041,Stade de France,Stand Snacking Parvis,Restauration / Buvette,141876.59,0.0,2.43
CNS-00206,EVT-STADE-2025-0042,Rhenus Sport,Buvette Tribune Nord,Restauration / Buvette,169721.26,0.0,3.07
