id_releve_lineaire,id_magasin,code_barre_ean,rayon_categorie,nombre_facings_theorique,nombre_facings_constate,taux_conformite_planogramme_pct,taux_rupture_lineaire_pct,statut_stock_lineaire
LIN-00020,MAG-0109,362389623410,Traiteur & Plats Cuisinés,15,13,86.7,13.3,CONFORME
LIN-00021,MAG-0102,362761950279,Épicerie Salée,6,4,66.7,33.3,CONFORME
LIN-00022,MAG-0050,372506981384,Produits Frais,12,3,25.0,75.0,STOCK_FAIBLE
LIN-00023,MAG-0080,367216894611,Épicerie Salée,11,4,36.4,63.6,STOCK_FAIBLE
LIN-00024,MAG-0021,334273345801,Produits Frais,24,20,83.3,16.7,CONFORME
LIN-00025,MAG-0072,367924116306,Boulangerie & Pâtisserie,23,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00026,MAG-0073,332567161396,Traiteur & Plats Cuisinés,22,18,81.8,18.2,CONFORME
LIN-00027,MAG-0068,367960790399,Traiteur & Plats Cuisinés,22,16,72.7,27.3,CONFORME
LIN-00028,MAG-0150,352149215224,Boulangerie & Pâtisserie,18,9,50.0,50.0,CONFORME
LIN-00029,MAG-0134,370238037634,Boulangerie & Pâtisserie,19,10,52.6,47.4,CONFORME
LIN-00030,MAG-0082,349833680697,Épicerie Salée,22,20,90.9,9.1,CONFORME
LIN-00031,MAG-0035,342947091033,Épicerie Sucrée,21,2,9.5,90.5,STOCK_FAIBLE
LIN-00032,MAG-0023,366736063636,Épicerie Salée,6,4,66.7,33.3,CONFORME
LIN-00033,MAG-0124,319190868030,Épicerie Salée,9,2,22.2,77.8,STOCK_FAIBLE
LIN-00034,MAG-0104,365387014937,Épicerie Sucrée,10,5,50.0,50.0,CONFORME
LIN-00035,MAG-0107,385163722964,Traiteur & Plats Cuisinés,23,6,26.1,73.9,STOCK_FAIBLE
LIN-00036,MAG-0107,398746990124,Épicerie Salée,24,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00037,MAG-0065,341828229215,Épicerie Sucrée,14,7,50.0,50.0,CONFORME
LIN-00038,MAG-0090,323469169205,Boulangerie & Pâtisserie,16,1,6.2,93.8,STOCK_FAIBLE
LIN-00039,MAG-0129,369710820869,Boulangerie & Pâtisserie,18,16,88.9,11.1,CONFORME
LIN-00040,MAG-0095,364175054603,Épicerie Sucrée,15,8,53.3,46.7,CONFORME
LIN-00041,MAG-0091,396957318832,Produits Frais,17,3,17.6,82.4,STOCK_FAIBLE
LIN-00042,MAG-0025,376813270904,Produits Frais,11,9,81.8,18.2,CONFORME
LIN-00043,MAG-0043,313256055722,Traiteur & Plats Cuisinés,7,1,14.3,85.7,STOCK_FAIBLE
LIN-00044,MAG-0086,399265640241,Épicerie Sucrée,18,9,50.0,50.0,CONFORME
LIN-00045,MAG-0118,386474848775,Boissons & Jus,17,13,76.5,23.5,CONFORME
LIN-00046,MAG-0082,399081551704,Boissons & Jus,7,2,28.6,71.4,STOCK_FAIBLE
LIN-00047,MAG-0117,319791052158,Traiteur & Plats Cuisinés,7,6,85.7,14.3,CONFORME
LIN-00048,MAG-0120,318364205499,Épicerie Sucrée,16,11,68.8,31.2,CONFORME
LIN-00049,MAG-0111,366750495860,Épicerie Sucrée,6,5,83.3,16.7,CONFORME
LIN-00050,MAG-0019,373849847847,Épicerie Sucrée,7,3,42.9,57.1,STOCK_FAIBLE
LIN-00051,MAG-0060,333050908217,Boissons & Jus,22,7,31.8,68.2,STOCK_FAIBLE
LIN-00052,MAG-0100,349005460460,Épicerie Salée,6,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00053,MAG-0048,320928325117,Épicerie Sucrée,17,6,35.3,64.7,STOCK_FAIBLE
LIN-00054,MAG-0130,376068551369,Traiteur & Plats Cuisinés,22,18,81.8,18.2,CONFORME
LIN-00055,MAG-0003,367402696280,Boulangerie & Pâtisserie,9,1,11.1,88.9,STOCK_FAIBLE
LIN-00056,MAG-0121,376199141000,Épicerie Salée,23,12,52.2,47.8,CONFORME
LIN-00057,MAG-0107,348973106611,Épicerie Salée,23,15,65.2,34.8,CONFORME
LIN-00058,MAG-0139,338933307120,Boulangerie & Pâtisserie,23,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00059,MAG-0025,328000827496,Épicerie Sucrée,7,2,28.6,71.4,STOCK_FAIBLE
LIN-00060,MAG-0008,319751573744,Épicerie Sucrée,10,10,100.0,0.0,CONFORME
LIN-00061,MAG-0150,364356118514,Boulangerie & Pâtisserie,10,8,80.0,20.0,CONFORME
LIN-00062,MAG-0079,385012866660,Épicerie Sucrée,9,9,100.0,0.0,CONFORME
LIN-00063,MAG-0088,381682420065,Produits Frais,14,10,71.4,28.6,CONFORME
LIN-00064,MAG-0056,350040168632,Boulangerie & Pâtisserie,6,3,50.0,50.0,CONFORME
LIN-00065,MAG-0102,364975934335,Boissons & Jus,8,2,25.0,75.0,STOCK_FAIBLE
LIN-00066,MAG-0004,385172085310,Boissons & Jus,15,10,66.7,33.3,CONFORME
LIN-00067,MAG-0031,340697518299,Boissons & Jus,22,2,9.1,90.9,STOCK_FAIBLE
LIN-00068,MAG-0103,389404404804,Boulangerie & Pâtisserie,7,4,57.1,42.9,CONFORME
LIN-00069,MAG-0015,327510254413,Traiteur & Plats Cuisinés,24,8,33.3,66.7,STOCK_FAIBLE
LIN-00070,MAG-0017,398412049075,Boissons & Jus,9,2,22.2,77.8,STOCK_FAIBLE
LIN-00071,MAG-0091,363245941967,Produits Frais,18,9,50.0,50.0,CONFORME
LIN-00072,MAG-0149,315072985295,Produits Frais,20,20,100.0,0.0,CONFORME
LIN-00073,MAG-0149,379862324986,Traiteur & Plats Cuisinés,6,6,100.0,0.0,CONFORME
LIN-00074,MAG-0077,386187441317,Épicerie Sucrée,18,9,50.0,50.0,CONFORME
LIN-00075,MAG-0101,384286368446,Boulangerie & Pâtisserie,12,9,75.0,25.0,CONFORME
LIN-00076,MAG-0028,317808912613,Traiteur & Plats Cuisinés,10,5,50.0,50.0,CONFORME
LIN-00077,MAG-0059,343106679234,Produits Frais,20,4,20.0,80.0,STOCK_FAIBLE
LIN-00078,MAG-0108,332320792116,Boissons & Jus,8,4,50.0,50.0,CONFORME
LIN-00079,MAG-0072,381478018838,Produits Frais,6,6,100.0,0.0,CONFORME
LIN-00080,MAG-0083,319829032270,Boissons & Jus,16,11,68.8,31.2,CONFORME
LIN-00081,MAG-0050,365972121349,Boulangerie & Pâtisserie,22,18,81.8,18.2,CONFORME
LIN-00082,MAG-0021,312911673282,Boulangerie & Pâtisserie,18,11,61.1,38.9,CONFORME
LIN-00083,MAG-0041,319412048423,Boulangerie & Pâtisserie,8,1,12.5,87.5,STOCK_FAIBLE
LIN-00084,MAG-0013,383680175932,Épicerie Sucrée,10,4,40.0,60.0,STOCK_FAIBLE
LIN-00085,MAG-0050,331678855703,Épicerie Salée,19,1,5.3,94.7,STOCK_FAIBLE
LIN-00086,MAG-0022,322461059307,Épicerie Sucrée,11,1,9.1,90.9,STOCK_FAIBLE
LIN-00087,MAG-0143,356868389917,Boulangerie & Pâtisserie,12,10,83.3,16.7,CONFORME
LIN-00088,MAG-0017,331163982164,Épicerie Sucrée,11,6,54.5,45.5,CONFORME
LIN-00089,MAG-0117,328323274337,Traiteur & Plats Cuisinés,8,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00090,MAG-0141,380710112675,Épicerie Sucrée,24,11,45.8,54.2,STOCK_FAIBLE
LIN-00091,MAG-0091,398587320195,Boulangerie & Pâtisserie,17,16,94.1,5.9,CONFORME
LIN-00092,MAG-0067,352081737734,Boulangerie & Pâtisserie,21,18,85.7,14.3,CONFORME
LIN-00093,MAG-0058,351144110414,Épicerie Sucrée,17,2,11.8,88.2,STOCK_FAIBLE
LIN-00094,MAG-0003,390925866056,Boissons & Jus,19,6,31.6,68.4,STOCK_FAIBLE
LIN-00095,MAG-0059,320741879021,Boulangerie & Pâtisserie,18,9,50.0,50.0,CONFORME
LIN-00096,MAG-0019,349714913771,Boissons & Jus,19,13,68.4,31.6,CONFORME
LIN-00097,MAG-0001,318662489725,Épicerie Salée,20,15,75.0,25.0,CONFORME
LIN-00098,MAG-0075,397885160106,Boissons & Jus,18,10,55.6,44.4,CONFORME
LIN-00099,MAG-0069,354304568531,Produits Frais,19,18,94.7,5.3,CONFORME
LIN-00100,MAG-0006,384918949940,Épicerie Salée,24,16,66.7,33.3,CONFORME
LIN-00101,MAG-0043,361950065324,Boissons & Jus,7,3,42.9,57.1,STOCK_FAIBLE
LIN-00102,MAG-0125,332982787967,Boulangerie & Pâtisserie,22,10,45.5,54.5,STOCK_FAIBLE
LIN-00103,MAG-0011,388983636077,Boissons & Jus,19,2,10.5,89.5,STOCK_FAIBLE
LIN-00104,MAG-0036,347806457983,Produits Frais,22,12,54.5,45.5,CONFORME
LIN-00105,MAG-0058,361786404580,Boulangerie & Pâtisserie,21,6,28.6,71.4,STOCK_FAIBLE
LIN-00106,MAG-0096,342197146766,Traiteur & Plats Cuisinés,18,3,16.7,83.3,STOCK_FAIBLE
LIN-00107,MAG-0034,384944814954,Boulangerie & Pâtisserie,14,3,21.4,78.6,STOCK_FAIBLE
LIN-00108,MAG-0025,352863337882,Boulangerie & Pâtisserie,18,17,94.4,5.6,CONFORME
LIN-00109,MAG-0010,398450672017,Épicerie Salée,14,5,35.7,64.3,STOCK_FAIBLE
LIN-00110,MAG-0006,358680678735,Produits Frais,12,7,58.3,41.7,CONFORME
LIN-00111,MAG-0014,321286962663,Produits Frais,8,4,50.0,50.0,CONFORME
LIN-00112,MAG-0015,389644567260,Boulangerie & Pâtisserie,20,8,40.0,60.0,STOCK_FAIBLE
LIN-00113,MAG-0053,330006419026,Épicerie Salée,17,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00114,MAG-0043,352426596398,Épicerie Sucrée,19,15,78.9,21.1,CONFORME
LIN-00115,MAG-0014,367893156530,Épicerie Sucrée,16,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00116,MAG-0046,360122508104,Boulangerie & Pâtisserie,8,8,100.0,0.0,CONFORME
LIN-00117,MAG-0081,338933307120,Boulangerie & Pâtisserie,9,4,44.4,55.6,STOCK_FAIBLE
LIN-00118,MAG-0045,388832555041,Produits Frais,17,2,11.8,88.2,STOCK_FAIBLE
LIN-00119,MAG-0018,315349350581,Épicerie Salée,19,15,78.9,21.1,CONFORME
LIN-00120,MAG-0072,361765286254,Boulangerie & Pâtisserie,6,6,100.0,0.0,CONFORME
LIN-00121,MAG-0012,317539005689,Produits Frais,8,4,50.0,50.0,CONFORME
LIN-00122,MAG-0060,389771144583,Boulangerie & Pâtisserie,20,8,40.0,60.0,STOCK_FAIBLE
LIN-00123,MAG-0059,317014332179,Boulangerie & Pâtisserie,22,4,18.2,81.8,STOCK_FAIBLE
LIN-00124,MAG-0043,397660998425,Traiteur & Plats Cuisinés,24,7,29.2,70.8,STOCK_FAIBLE
LIN-00125,MAG-0030,315072985295,Produits Frais,23,5,21.7,78.3,STOCK_FAIBLE
LIN-00126,MAG-0140,355544404534,Traiteur & Plats Cuisinés,23,5,21.7,78.3,STOCK_FAIBLE
LIN-00127,MAG-0090,368149884054,Boissons & Jus,11,4,36.4,63.6,STOCK_FAIBLE
LIN-00128,MAG-0138,354236610310,Produits Frais,10,9,90.0,10.0,CONFORME
LIN-00129,MAG-0065,335262256834,Produits Frais,8,2,25.0,75.0,STOCK_FAIBLE
LIN-00130,MAG-0129,368754181362,Boulangerie & Pâtisserie,15,15,100.0,0.0,CONFORME
LIN-00131,MAG-0070,386416499063,Produits Frais,21,3,14.3,85.7,STOCK_FAIBLE
LIN-00132,MAG-0063,395128037806,Traiteur & Plats Cuisinés,24,11,45.8,54.2,STOCK_FAIBLE
LIN-00133,MAG-0135,395685937235,Épicerie Salée,15,7,46.7,53.3,STOCK_FAIBLE
LIN-00134,MAG-0135,341744801043,Épicerie Salée,10,3,30.0,70.0,STOCK_FAIBLE
LIN-00135,MAG-0115,352532396896,Boissons & Jus,12,5,41.7,58.3,STOCK_FAIBLE
LIN-00136,MAG-0068,346898891229,Boissons & Jus,12,10,83.3,16.7,CONFORME
LIN-00137,MAG-0126,382272355130,Traiteur & Plats Cuisinés,18,8,44.4,55.6,STOCK_FAIBLE
LIN-00138,MAG-0019,358337782550,Boulangerie & Pâtisserie,23,5,21.7,78.3,STOCK_FAIBLE
LIN-00139,MAG-0105,359606756833,Épicerie Sucrée,9,1,11.1,88.9,STOCK_FAIBLE
LIN-00140,MAG-0111,396420975003,Produits Frais,6,1,16.7,83.3,STOCK_FAIBLE
LIN-00141,MAG-0075,316889751724,Traiteur & Plats Cuisinés,23,11,47.8,52.2,STOCK_FAIBLE
LIN-00142,MAG-0051,322277317828,Traiteur & Plats Cuisinés,10,6,60.0,40.0,CONFORME
LIN-00143,MAG-0048,369345137721,Boulangerie & Pâtisserie,19,6,31.6,68.4,STOCK_FAIBLE
LIN-00144,MAG-0057,357359386538,Épicerie Sucrée,9,1,11.1,88.9,STOCK_FAIBLE
LIN-00145,MAG-0064,319779766630,Épicerie Sucrée,9,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00146,MAG-0052,312086095830,Traiteur & Plats Cuisinés,6,2,33.3,66.7,STOCK_FAIBLE
LIN-00147,MAG-0070,322282865725,Épicerie Salée,10,8,80.0,20.0,CONFORME
LIN-00148,MAG-0003,313742802951,Traiteur & Plats Cuisinés,16,4,25.0,75.0,STOCK_FAIBLE
LIN-00149,MAG-0018,323936758216,Produits Frais,9,2,22.2,77.8,STOCK_FAIBLE
LIN-00150,MAG-0032,366594162010,Boissons & Jus,19,17,89.5,10.5,CONFORME
LIN-00151,MAG-0023,311114721613,Épicerie Salée,23,12,52.2,47.8,CONFORME
LIN-00152,MAG-0034,398659258562,Épicerie Sucrée,10,10,100.0,0.0,CONFORME
LIN-00153,MAG-0097,340813464966,Produits Frais,19,12,63.2,36.8,CONFORME
LIN-00154,MAG-0021,338336235745,Épicerie Sucrée,14,5,35.7,64.3,STOCK_FAIBLE
LIN-00155,MAG-0021,320373322459,Traiteur & Plats Cuisinés,20,6,30.0,70.0,STOCK_FAIBLE
LIN-00156,MAG-0113,327794490576,Traiteur & Plats Cuisinés,11,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00157,MAG-0092,356887872467,Traiteur & Plats Cuisinés,23,18,78.3,21.7,CONFORME
LIN-00158,MAG-0053,325464407054,Boissons & Jus,11,5,45.5,54.5,STOCK_FAIBLE
LIN-00159,MAG-0092,363180906089,Boulangerie & Pâtisserie,14,2,14.3,85.7,STOCK_FAIBLE
LIN-00160,MAG-0146,340981407480,Épicerie Sucrée,23,19,82.6,17.4,CONFORME
LIN-00161,MAG-0025,362241443355,Épicerie Sucrée,8,8,100.0,0.0,CONFORME
LIN-00162,MAG-0130,353247428785,Boissons & Jus,8,3,37.5,62.5,STOCK_FAIBLE
LIN-00163,MAG-0070,381814778559,Épicerie Salée,21,17,81.0,19.0,CONFORME
LIN-00164,MAG-0031,319196886544,Épicerie Sucrée,11,4,36.4,63.6,STOCK_FAIBLE
LIN-00165,MAG-0120,354988902467,Épicerie Salée,24,16,66.7,33.3,CONFORME
LIN-00166,MAG-0034,390717077591,Traiteur & Plats Cuisinés,21,20,95.2,4.8,CONFORME
LIN-00167,MAG-0078,344280378703,Épicerie Salée,18,7,38.9,61.1,STOCK_FAIBLE
LIN-00168,MAG-0062,319344833515,Produits Frais,16,5,31.2,68.8,STOCK_FAIBLE
LIN-00169,MAG-0144,323519825874,Produits Frais,18,14,77.8,22.2,CONFORME
LIN-00170,MAG-0005,326131099632,Produits Frais,13,9,69.2,30.8,CONFORME
LIN-00171,MAG-0111,372610012369,Boissons & Jus,6,5,83.3,16.7,CONFORME
LIN-00172,MAG-0044,365910404475,Produits Frais,22,7,31.8,68.2,STOCK_FAIBLE
LIN-00173,MAG-0026,339662859505,Boissons & Jus,18,18,100.0,0.0,CONFORME
LIN-00174,MAG-0105,318229521999,Boulangerie & Pâtisserie,13,1,7.7,92.3,STOCK_FAIBLE
LIN-00175,MAG-0113,342852129402,Boulangerie & Pâtisserie,24,1,4.2,95.8,STOCK_FAIBLE
LIN-00176,MAG-0004,323840683131,Boulangerie & Pâtisserie,20,19,95.0,5.0,CONFORME
LIN-00177,MAG-0074,343219453793,Épicerie Salée,8,5,62.5,37.5,CONFORME
LIN-00178,MAG-0024,367041066460,Épicerie Salée,24,4,16.7,83.3,STOCK_FAIBLE
LIN-00179,MAG-0142,346651584396,Boissons & Jus,16,4,25.0,75.0,STOCK_FAIBLE
LIN-00180,MAG-0150,321544338076,Boissons & Jus,14,8,57.1,42.9,CONFORME
LIN-00181,MAG-0032,310825938033,Traiteur & Plats Cuisinés,11,4,36.4,63.6,STOCK_FAIBLE
LIN-00182,MAG-0024,371341840932,Boissons & Jus,22,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00183,MAG-0100,368751384575,Produits Frais,12,12,100.0,0.0,CONFORME
LIN-00184,MAG-0126,347681206244,Boulangerie & Pâtisserie,14,4,28.6,71.4,STOCK_FAIBLE
LIN-00185,MAG-0114,369615355045,Épicerie Salée,16,1,6.2,93.8,STOCK_FAIBLE
LIN-00186,MAG-0149,389248219738,Traiteur & Plats Cuisinés,9,7,77.8,22.2,CONFORME
LIN-00187,MAG-0009,332150285513,Boulangerie & Pâtisserie,14,11,78.6,21.4,CONFORME
LIN-00188,MAG-0046,362906167797,Épicerie Sucrée,9,8,88.9,11.1,CONFORME
LIN-00189,MAG-0032,379382338092,Produits Frais,23,11,47.8,52.2,STOCK_FAIBLE
LIN-00190,MAG-0080,362196481695,Épicerie Salée,23,5,21.7,78.3,STOCK_FAIBLE
LIN-00191,MAG-0043,355522195437,Produits Frais,12,2,16.7,83.3,STOCK_FAIBLE
LIN-00192,MAG-0123,359116392094,Épicerie Salée,11,7,63.6,36.4,CONFORME
LIN-00193,MAG-0136,321886823405,Boulangerie & Pâtisserie,6,4,66.7,33.3,CONFORME
LIN-00194,MAG-0003,378562084360,Produits Frais,20,5,25.0,75.0,STOCK_FAIBLE
LIN-00195,MAG-0067,357647695880,Épicerie Salée,7,4,57.1,42.9,CONFORME
LIN-00196,MAG-0086,322203476258,Boulangerie & Pâtisserie,19,1,5.3,94.7,STOCK_FAIBLE
LIN-00197,MAG-0082,370528547642,Épicerie Salée,17,12,70.6,29.4,CONFORME
LIN-00198,MAG-0125,324994500021,Traiteur & Plats Cuisinés,6,2,33.3,66.7,STOCK_FAIBLE
LIN-00199,MAG-0012,383176196833,Épicerie Sucrée,13,2,15.4,84.6,STOCK_FAIBLE
LIN-00200,MAG-0120,350861892367,Épicerie Salée,19,18,94.7,5.3,CONFORME
LIN-00201,MAG-0079,313489857645,Épicerie Sucrée,8,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00202,MAG-0029,346655062449,Épicerie Sucrée,12,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00203,MAG-0069,342141630878,Boissons & Jus,12,1,8.3,91.7,STOCK_FAIBLE
LIN-00204,MAG-0058,386784457933,Produits Frais,22,10,45.5,54.5,STOCK_FAIBLE
LIN-00205,MAG-0077,375719461550,Boissons & Jus,12,11,91.7,8.3,CONFORME
LIN-00206,MAG-0111,376813270904,Produits Frais,9,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00207,MAG-0011,328535373365,Produits Frais,19,3,15.8,84.2,STOCK_FAIBLE
LIN-00208,MAG-0032,355586197450,Épicerie Sucrée,7,6,85.7,14.3,CONFORME
LIN-00209,MAG-0069,312911673282,Boulangerie & Pâtisserie,7,7,100.0,0.0,CONFORME
LIN-00210,MAG-0068,315638049591,Traiteur & Plats Cuisinés,12,3,25.0,75.0,STOCK_FAIBLE
LIN-00211,MAG-0131,312944295447,Traiteur & Plats Cuisinés,7,7,100.0,0.0,CONFORME
LIN-00212,MAG-0134,378274139682,Boissons & Jus,6,3,50.0,50.0,CONFORME
LIN-00213,MAG-0065,325954718377,Boissons & Jus,10,10,100.0,0.0,CONFORME
LIN-00214,MAG-0003,351684384615,Boulangerie & Pâtisserie,22,8,36.4,63.6,STOCK_FAIBLE
LIN-00215,MAG-0136,360419562857,Boissons & Jus,14,5,35.7,64.3,STOCK_FAIBLE
LIN-00216,MAG-0017,348947151647,Boulangerie & Pâtisserie,11,5,45.5,54.5,STOCK_FAIBLE
LIN-00217,MAG-0134,352584305632,Boulangerie & Pâtisserie,15,5,33.3,66.7,STOCK_FAIBLE
LIN-00218,MAG-0013,388237291046,Épicerie Sucrée,19,17,89.5,10.5,CONFORME
LIN-00219,MAG-0120,331331484799,Produits Frais,22,5,22.7,77.3,STOCK_FAIBLE
LIN-00220,MAG-0065,315813889444,Épicerie Sucrée,16,5,31.2,68.8,STOCK_FAIBLE
LIN-00221,MAG-0017,396066113882,Boulangerie & Pâtisserie,24,14,58.3,41.7,CONFORME
LIN-00222,MAG-0005,348251891855,Traiteur & Plats Cuisinés,16,9,56.2,43.8,CONFORME
LIN-00223,MAG-0124,329113380162,Produits Frais,8,6,75.0,25.0,CONFORME
LIN-00224,MAG-0117,347750670995,Boissons & Jus,16,6,37.5,62.5,STOCK_FAIBLE
LIN-00225,MAG-0035,365594179917,Épicerie Salée,24,2,8.3,91.7,STOCK_FAIBLE
LIN-00226,MAG-0044,377693253619,Boissons & Jus,16,12,75.0,25.0,CONFORME
LIN-00227,MAG-0002,391607553311,Boissons & Jus,19,9,47.4,52.6,STOCK_FAIBLE
LIN-00228,MAG-0053,314703627496,Boissons & Jus,21,9,42.9,57.1,STOCK_FAIBLE
LIN-00229,MAG-0031,340539107450,Traiteur & Plats Cuisinés,15,6,40.0,60.0,STOCK_FAIBLE
LIN-00230,MAG-0017,383084538701,Épicerie Salée,6,1,16.7,83.3,STOCK_FAIBLE
LIN-00231,MAG-0006,377904680668,Épicerie Sucrée,23,11,47.8,52.2,STOCK_FAIBLE
LIN-00232,MAG-0126,328843782999,Épicerie Salée,21,17,81.0,19.0,CONFORME
LIN-00233,MAG-0042,338943236920,Épicerie Salée,12,9,75.0,25.0,CONFORME
LIN-00234,MAG-0021,394008849361,Boissons & Jus,12,3,25.0,75.0,STOCK_FAIBLE
LIN-00235,MAG-0143,372848331085,Épicerie Salée,10,5,50.0,50.0,CONFORME
LIN-00236,MAG-0015,359062426889,Épicerie Sucrée,21,9,42.9,57.1,STOCK_FAIBLE
LIN-00237,MAG-0034,383191056223,Produits Frais,11,5,45.5,54.5,STOCK_FAIBLE
LIN-00238,MAG-0056,352601790080,Boulangerie & Pâtisserie,15,9,60.0,40.0,CONFORME
LIN-00239,MAG-0034,318144367647,Traiteur & Plats Cuisinés,24,2,8.3,91.7,STOCK_FAIBLE
LIN-00240,MAG-0026,341553360180,Épicerie Salée,23,11,47.8,52.2,STOCK_FAIBLE
LIN-00241,MAG-0081,320999731915,Épicerie Salée,7,3,42.9,57.1,STOCK_FAIBLE
LIN-00242,MAG-0065,380049931589,Traiteur & Plats Cuisinés,12,6,50.0,50.0,CONFORME
LIN-00243,MAG-0084,324567915696,Produits Frais,20,18,90.0,10.0,CONFORME
LIN-00244,MAG-0014,383488473180,Boissons & Jus,19,13,68.4,31.6,CONFORME
LIN-00245,MAG-0102,396415857016,Traiteur & Plats Cuisinés,24,24,100.0,0.0,CONFORME
LIN-00246,MAG-0136,339332007618,Traiteur & Plats Cuisinés,17,5,29.4,70.6,STOCK_FAIBLE
LIN-00247,MAG-0033,389458008625,Produits Frais,23,22,95.7,4.3,CONFORME
LIN-00248,MAG-0095,344723607039,Épicerie Sucrée,8,3,37.5,62.5,STOCK_FAIBLE
LIN-00249,MAG-0044,329975088383,Épicerie Sucrée,23,12,52.2,47.8,CONFORME
LIN-00250,MAG-0074,355761350651,Boulangerie & Pâtisserie,12,2,16.7,83.3,STOCK_FAIBLE
LIN-00251,MAG-0138,368077521729,Boissons & Jus,23,19,82.6,17.4,CONFORME
LIN-00252,MAG-0143,368400936211,Épicerie Sucrée,14,4,28.6,71.4,STOCK_FAIBLE
LIN-00253,MAG-0013,380077257016,Boulangerie & Pâtisserie,14,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00254,MAG-0099,354323015687,Traiteur & Plats Cuisinés,6,6,100.0,0.0,CONFORME
LIN-00255,MAG-0127,373722777014,Boulangerie & Pâtisserie,23,3,13.0,87.0,STOCK_FAIBLE
LIN-00256,MAG-0039,396066113882,Boulangerie & Pâtisserie,20,13,65.0,35.0,CONFORME
LIN-00257,MAG-0128,320188092669,Boulangerie & Pâtisserie,19,9,47.4,52.6,STOCK_FAIBLE
LIN-00258,MAG-0028,391005041443,Épicerie Salée,6,2,33.3,66.7,STOCK_FAIBLE
LIN-00259,MAG-0041,356419316562,Épicerie Sucrée,14,6,42.9,57.1,STOCK_FAIBLE
LIN-00260,MAG-0079,377227161934,Épicerie Salée,10,6,60.0,40.0,CONFORME
LIN-00261,MAG-0100,352365190593,Produits Frais,18,0,0.0,100.0,RUPTURE_SHELF_OUT
LIN-00262,MAG-0016,389160038892,Épicerie Sucrée,6,6,100.0,0.0,CONFORME
LIN-00263,MAG-0071,385259646842,Épicerie Salée,17,4,23.5,76.5,STOCK_FAIBLE
LIN-00264,MAG-0063,331957700469,Produits Frais,21,10,47.6,52.4,STOCK_FAIBLE
LIN-00265,MAG-0054,346828007419,Boulangerie & Pâtisserie,22,3,13.6,86.4,STOCK_FAIBLE
LIN-00266,MAG-0063,333911632014,Boissons & Jus,17,13,76.5,23.5,CONFORME
LIN-00267,MAG-0139,317944432700,Boulangerie & Pâtisserie,22,20,90.9,9.1,CONFORME
