id_magasin,nom_magasin,enseigne,commune,code_departement,nom_region,tranche_horaire,affluence_clients_jour,taux_conversion_passage_caisses_pct,demarque_pertes_produits_frais_14j_eur,consigne_reassort_automatique
MAG-0009,Intermarché Toulouse #9,Intermarché,Toulouse,31 - Haute-Garonne,Occitanie,14h-17h,2696,77.6,5463.81,CONFORME
MAG-0009,Intermarché Toulouse #9,Intermarché,Toulouse,31 - Haute-Garonne,Occitanie,17h-20h,443,66.2,17505.75,REASSORT_URGENT_AUTOMATIQUE
MAG-0010,Carrefour Hyper Toulouse #10,Carrefour Hyper,Toulouse,31 - Haute-Garonne,Occitanie,08h-11h,1484,87.8,17950.04,REASSORT_URGENT_AUTOMATIQUE
MAG-0010,Carrefour Hyper Toulouse #10,Carrefour Hyper,Toulouse,31 - Haute-Garonne,Occitanie,11h-14h,731,72.6,1456.16,CONFORME
MAG-0010,Carrefour Hyper Toulouse #10,Carrefour Hyper,Toulouse,31 - Haute-Garonne,Occitanie,14h-17h,891,83.0,4723.03,CONFORME
MAG-0010,Carrefour Hyper Toulouse #10,Carrefour Hyper,Toulouse,31 - Haute-Garonne,Occitanie,17h-20h,866,86.5,7834.4,CONFORME
MAG-0011,Intermarché Paris #11,Intermarché,Paris,75 - Paris,Île-de-France,08h-11h,1077,84.4,7442.15,CONFORME
MAG-0011,Intermarché Paris #11,Intermarché,Paris,75 - Paris,Île-de-France,11h-14h,2292,69.7,11108.28,CONFORME
MAG-0011,Intermarché Paris #11,Intermarché,Paris,75 - Paris,Île-de-France,14h-17h,1792,73.8,2011.9,CONFORME
MAG-0011,Intermarché Paris #11,Intermarché,Paris,75 - Paris,Île-de-France,17h-20h,2274,78.7,9471.6,CONFORME
MAG-0012,E.Leclerc Strasbourg #12,E.Leclerc,Strasbourg,67 - Bas-Rhin,Grand Est,08h-11h,2248,76.6,4895.27,CONFORME
MAG-0012,E.Leclerc Strasbourg #12,E.Leclerc,Strasbourg,67 - Bas-Rhin,Grand Est,11h-14h,1887,80.8,6840.35,CONFORME
MAG-0012,E.Leclerc Strasbourg #12,E.Leclerc,Strasbourg,67 - Bas-Rhin,Grand Est,14h-17h,1150,63.3,10803.34,CONFORME
MAG-0012,E.Leclerc Strasbourg #12,E.Leclerc,Strasbourg,67 - Bas-Rhin,Grand Est,17h-20h,1737,83.3,14502.73,REASSORT_URGENT_AUTOMATIQUE
MAG-0013,E.Leclerc Lille #13,E.Leclerc,Lille,59 - Nord,Hauts-de-France,08h-11h,2316,86.1,12469.14,REASSORT_URGENT_AUTOMATIQUE
MAG-0013,E.Leclerc Lille #13,E.Leclerc,Lille,59 - Nord,Hauts-de-France,11h-14h,444,78.3,10525.44,CONFORME
MAG-0013,E.Leclerc Lille #13,E.Leclerc,Lille,59 - Nord,Hauts-de-France,14h-17h,2321,76.9,5611.46,CONFORME
MAG-0013,E.Leclerc Lille #13,E.Leclerc,Lille,59 - Nord,Hauts-de-France,17h-20h,2181,69.9,11191.5,CONFORME
MAG-0014,Carrefour Hyper Toulouse #14,Carrefour Hyper,Toulouse,31 - Haute-Garonne,Occitanie,08h-11h,2130,68.6,15304.21,REASSORT_URGENT_AUTOMATIQUE
MAG-0014,Carrefour Hyper Toulouse #14,Carrefour Hyper,Toulouse,31 - Haute-Garonne,Occitanie,11h-14h,1385,73.9,1854.51,CONFORME
MAG-0014,Carrefour Hyper Toulouse #14,Carrefour Hyper,Toulouse,31 - Haute-Garonne,Occitanie,14h-17h,2288,79.9,15578.35,REASSORT_URGENT_AUTOMATIQUE
MAG-0014,Carrefour Hyper Toulouse #14,Carrefour Hyper,Toulouse,31 - Haute-Garonne,Occitanie,17h-20h,1328,72.6,4293.21,CONFORME
MAG-0015,Intermarché Rennes #15,Intermarché,Rennes,35 - Ille-et-Vilaine,Bretagne,08h-11h,2635,70.3,17853.88,REASSORT_URGENT_AUTOMATIQUE
MAG-0015,Intermarché Rennes #15,Intermarché,Rennes,35 - Ille-et-Vilaine,Bretagne,11h-14h,704,62.5,8789.17,CONFORME
MAG-0015,Intermarché Rennes #15,Intermarché,Rennes,35 - Ille-et-Vilaine,Bretagne,14h-17h,2265,69.9,12046.99,REASSORT_URGENT_AUTOMATIQUE
MAG-0015,Intermarché Rennes #15,Intermarché,Rennes,35 - Ille-et-Vilaine,Bretagne,17h-20h,2311,68.1,3770.22,CONFORME
MAG-0016,E.Leclerc Nantes #16,E.Leclerc,Nantes,44 - Loire-Atlantique,Pays de la Loire,08h-11h,1088,73.0,2440.96,CONFORME
MAG-0016,E.Leclerc Nantes #16,E.Leclerc,Nantes,44 - Loire-Atlantique,Pays de la Loire,11h-14h,1693,83.7,16740.87,REASSORT_URGENT_AUTOMATIQUE
MAG-0016,E.Leclerc Nantes #16,E.Leclerc,Nantes,44 - Loire-Atlantique,Pays de la Loire,14h-17h,1748,88.1,7793.49,CONFORME
MAG-0016,E.Leclerc Nantes #16,E.Leclerc,Nantes,44 - Loire-Atlantique,Pays de la Loire,17h-20h,1703,69.2,3281.21,CONFORME
MAG-0017,E.Leclerc Rennes #17,E.Leclerc,Rennes,35 - Ille-et-Vilaine,Bretagne,08h-11h,810,70.5,4170.02,CONFORME
MAG-0017,E.Leclerc Rennes #17,E.Leclerc,Rennes,35 - Ille-et-Vilaine,Bretagne,11h-14h,911,81.4,5155.09,CONFORME
MAG-0017,E.Leclerc Rennes #17,E.Leclerc,Rennes,35 - Ille-et-Vilaine,Bretagne,14h-17h,1117,86.9,14123.91,REASSORT_URGENT_AUTOMATIQUE
MAG-0017,E.Leclerc Rennes #17,E.Leclerc,Rennes,35 - Ille-et-Vilaine,Bretagne,17h-20h,2640,67.0,15697.86,REASSORT_URGENT_AUTOMATIQUE
MAG-0018,Carrefour Hyper Paris #18,Carrefour Hyper,Paris,75 - Paris,Île-de-France,08h-11h,1236,74.8,17267.35,REASSORT_URGENT_AUTOMATIQUE
MAG-0018,Carrefour Hyper Paris #18,Carrefour Hyper,Paris,75 - Paris,Île-de-France,11h-14h,984,70.4,11471.9,CONFORME
MAG-0018,Carrefour Hyper Paris #18,Carrefour Hyper,Paris,75 - Paris,Île-de-France,14h-17h,1733,77.0,12443.52,REASSORT_URGENT_AUTOMATIQUE
MAG-0018,Carrefour Hyper Paris #18,Carrefour Hyper,Paris,75 - Paris,Île-de-France,17h-20h,652,81.3,7110.1,CONFORME
MAG-0019,Monoprix Nantes #19,Monoprix,Nantes,44 - Loire-Atlantique,Pays de la Loire,08h-11h,1724,67.8,6103.48,CONFORME
MAG-0019,Monoprix Nantes #19,Monoprix,Nantes,44 - Loire-Atlantique,Pays de la Loire,11h-14h,1080,69.6,6166.8,CONFORME
MAG-0019,Monoprix Nantes #19,Monoprix,Nantes,44 - Loire-Atlantique,Pays de la Loire,14h-17h,460,79.4,3677.61,CONFORME
MAG-0019,Monoprix Nantes #19,Monoprix,Nantes,44 - Loire-Atlantique,Pays de la Loire,17h-20h,811,65.8,12141.15,REASSORT_URGENT_AUTOMATIQUE
MAG-0020,Intermarché Paris #20,Intermarché,Paris,75 - Paris,Île-de-France,08h-11h,782,71.9,14753.83,REASSORT_URGENT_AUTOMATIQUE
MAG-0020,Intermarché Paris #20,Intermarché,Paris,75 - Paris,Île-de-France,11h-14h,639,75.9,8878.73,CONFORME
MAG-0020,Intermarché Paris #20,Intermarché,Paris,75 - Paris,Île-de-France,14h-17h,2417,74.3,4635.5,CONFORME
MAG-0020,Intermarché Paris #20,Intermarché,Paris,75 - Paris,Île-de-France,17h-20h,602,84.3,14645.06,REASSORT_URGENT_AUTOMATIQUE
MAG-0021,Carrefour Hyper Lyon #21,Carrefour Hyper,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,08h-11h,560,63.1,13621.6,REASSORT_URGENT_AUTOMATIQUE
MAG-0021,Carrefour Hyper Lyon #21,Carrefour Hyper,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,11h-14h,856,84.4,12745.63,REASSORT_URGENT_AUTOMATIQUE
MAG-0021,Carrefour Hyper Lyon #21,Carrefour Hyper,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,14h-17h,2334,82.9,3178.18,CONFORME
MAG-0021,Carrefour Hyper Lyon #21,Carrefour Hyper,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,17h-20h,2753,68.7,14638.33,REASSORT_URGENT_AUTOMATIQUE
MAG-0022,Auchan Super Paris #22,Auchan Super,Paris,75 - Paris,Île-de-France,08h-11h,1309,66.6,17576.93,REASSORT_URGENT_AUTOMATIQUE
MAG-0022,Auchan Super Paris #22,Auchan Super,Paris,75 - Paris,Île-de-France,11h-14h,2463,80.0,2765.87,CONFORME
MAG-0022,Auchan Super Paris #22,Auchan Super,Paris,75 - Paris,Île-de-France,14h-17h,2740,68.1,16980.66,REASSORT_URGENT_AUTOMATIQUE
MAG-0022,Auchan Super Paris #22,Auchan Super,Paris,75 - Paris,Île-de-France,17h-20h,2797,71.1,17854.25,REASSORT_URGENT_AUTOMATIQUE
MAG-0023,Monoprix Paris #23,Monoprix,Paris,75 - Paris,Île-de-France,08h-11h,974,66.6,9673.63,CONFORME
MAG-0023,Monoprix Paris #23,Monoprix,Paris,75 - Paris,Île-de-France,11h-14h,814,75.2,9554.52,CONFORME
MAG-0023,Monoprix Paris #23,Monoprix,Paris,75 - Paris,Île-de-France,14h-17h,1606,62.2,5230.34,CONFORME
MAG-0023,Monoprix Paris #23,Monoprix,Paris,75 - Paris,Île-de-France,17h-20h,2544,87.9,12237.07,REASSORT_URGENT_AUTOMATIQUE
MAG-0024,Monoprix Lyon #24,Monoprix,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,08h-11h,677,68.5,1245.77,CONFORME
MAG-0024,Monoprix Lyon #24,Monoprix,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,11h-14h,803,69.8,2867.13,CONFORME
MAG-0024,Monoprix Lyon #24,Monoprix,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,14h-17h,1179,79.0,12395.99,REASSORT_URGENT_AUTOMATIQUE
MAG-0024,Monoprix Lyon #24,Monoprix,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,17h-20h,2303,69.1,16999.75,REASSORT_URGENT_AUTOMATIQUE
MAG-0025,Carrefour Hyper Marseille #25,Carrefour Hyper,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,08h-11h,2799,82.1,10721.23,CONFORME
MAG-0025,Carrefour Hyper Marseille #25,Carrefour Hyper,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,11h-14h,2421,70.2,13230.57,REASSORT_URGENT_AUTOMATIQUE
MAG-0025,Carrefour Hyper Marseille #25,Carrefour Hyper,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,14h-17h,1145,76.9,6573.44,CONFORME
MAG-0025,Carrefour Hyper Marseille #25,Carrefour Hyper,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,17h-20h,2077,73.1,3505.68,CONFORME
MAG-0026,Carrefour Hyper Marseille #26,Carrefour Hyper,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,08h-11h,1580,79.2,2766.81,CONFORME
MAG-0026,Carrefour Hyper Marseille #26,Carrefour Hyper,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,11h-14h,1352,70.7,4337.13,CONFORME
MAG-0026,Carrefour Hyper Marseille #26,Carrefour Hyper,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,14h-17h,2570,82.5,12682.62,REASSORT_URGENT_AUTOMATIQUE
MAG-0026,Carrefour Hyper Marseille #26,Carrefour Hyper,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,17h-20h,1789,80.3,17633.99,REASSORT_URGENT_AUTOMATIQUE
MAG-0027,E.Leclerc Lyon #27,E.Leclerc,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,08h-11h,2528,83.0,13550.26,REASSORT_URGENT_AUTOMATIQUE
MAG-0027,E.Leclerc Lyon #27,E.Leclerc,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,11h-14h,683,83.5,13414.72,REASSORT_URGENT_AUTOMATIQUE
MAG-0027,E.Leclerc Lyon #27,E.Leclerc,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,14h-17h,1513,70.7,2766.53,CONFORME
MAG-0027,E.Leclerc Lyon #27,E.Leclerc,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,17h-20h,1730,68.5,11011.89,CONFORME
MAG-0028,E.Leclerc Toulouse #28,E.Leclerc,Toulouse,31 - Haute-Garonne,Occitanie,08h-11h,1061,70.2,11804.73,CONFORME
MAG-0028,E.Leclerc Toulouse #28,E.Leclerc,Toulouse,31 - Haute-Garonne,Occitanie,11h-14h,1676,75.2,6532.53,CONFORME
MAG-0028,E.Leclerc Toulouse #28,E.Leclerc,Toulouse,31 - Haute-Garonne,Occitanie,14h-17h,2718,68.3,11843.32,CONFORME
MAG-0028,E.Leclerc Toulouse #28,E.Leclerc,Toulouse,31 - Haute-Garonne,Occitanie,17h-20h,700,87.9,6875.62,CONFORME
MAG-0029,Carrefour Hyper Bordeaux #29,Carrefour Hyper,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,08h-11h,1987,76.7,15273.69,REASSORT_URGENT_AUTOMATIQUE
MAG-0029,Carrefour Hyper Bordeaux #29,Carrefour Hyper,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,11h-14h,811,84.2,15810.76,REASSORT_URGENT_AUTOMATIQUE
MAG-0029,Carrefour Hyper Bordeaux #29,Carrefour Hyper,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,14h-17h,1405,66.1,6311.18,CONFORME
MAG-0029,Carrefour Hyper Bordeaux #29,Carrefour Hyper,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,17h-20h,1782,74.6,10515.24,CONFORME
MAG-0030,Auchan Super Strasbourg #30,Auchan Super,Strasbourg,67 - Bas-Rhin,Grand Est,08h-11h,988,67.9,14725.96,REASSORT_URGENT_AUTOMATIQUE
MAG-0030,Auchan Super Strasbourg #30,Auchan Super,Strasbourg,67 - Bas-Rhin,Grand Est,11h-14h,1765,71.8,10783.43,CONFORME
MAG-0030,Auchan Super Strasbourg #30,Auchan Super,Strasbourg,67 - Bas-Rhin,Grand Est,14h-17h,1164,73.3,14304.83,REASSORT_URGENT_AUTOMATIQUE
MAG-0030,Auchan Super Strasbourg #30,Auchan Super,Strasbourg,67 - Bas-Rhin,Grand Est,17h-20h,2429,81.2,10662.75,CONFORME
MAG-0031,Auchan Super Strasbourg #31,Auchan Super,Strasbourg,67 - Bas-Rhin,Grand Est,08h-11h,1314,70.9,16748.36,REASSORT_URGENT_AUTOMATIQUE
MAG-0031,Auchan Super Strasbourg #31,Auchan Super,Strasbourg,67 - Bas-Rhin,Grand Est,11h-14h,2683,73.0,17003.08,REASSORT_URGENT_AUTOMATIQUE
MAG-0031,Auchan Super Strasbourg #31,Auchan Super,Strasbourg,67 - Bas-Rhin,Grand Est,14h-17h,1048,63.6,6571.82,CONFORME
MAG-0031,Auchan Super Strasbourg #31,Auchan Super,Strasbourg,67 - Bas-Rhin,Grand Est,17h-20h,1146,85.2,4277.96,CONFORME
MAG-0032,Auchan Super Bordeaux #32,Auchan Super,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,08h-11h,1423,73.7,18260.85,REASSORT_URGENT_AUTOMATIQUE
MAG-0032,Auchan Super Bordeaux #32,Auchan Super,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,11h-14h,2273,73.7,14308.93,REASSORT_URGENT_AUTOMATIQUE
MAG-0032,Auchan Super Bordeaux #32,Auchan Super,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,14h-17h,2660,75.2,11287.03,CONFORME
MAG-0032,Auchan Super Bordeaux #32,Auchan Super,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,17h-20h,1158,76.9,3956.83,CONFORME
MAG-0033,Carrefour Hyper Rennes #33,Carrefour Hyper,Rennes,35 - Ille-et-Vilaine,Bretagne,08h-11h,1371,68.1,13250.86,REASSORT_URGENT_AUTOMATIQUE
MAG-0033,Carrefour Hyper Rennes #33,Carrefour Hyper,Rennes,35 - Ille-et-Vilaine,Bretagne,11h-14h,2526,69.1,7614.32,CONFORME
MAG-0033,Carrefour Hyper Rennes #33,Carrefour Hyper,Rennes,35 - Ille-et-Vilaine,Bretagne,14h-17h,2476,76.4,1331.48,CONFORME
MAG-0033,Carrefour Hyper Rennes #33,Carrefour Hyper,Rennes,35 - Ille-et-Vilaine,Bretagne,17h-20h,1375,82.2,7841.64,CONFORME
MAG-0034,Auchan Super Paris #34,Auchan Super,Paris,75 - Paris,Île-de-France,08h-11h,462,71.5,10309.57,CONFORME
MAG-0034,Auchan Super Paris #34,Auchan Super,Paris,75 - Paris,Île-de-France,11h-14h,487,82.2,14664.66,REASSORT_URGENT_AUTOMATIQUE
MAG-0034,Auchan Super Paris #34,Auchan Super,Paris,75 - Paris,Île-de-France,14h-17h,1145,62.1,10979.79,CONFORME
MAG-0034,Auchan Super Paris #34,Auchan Super,Paris,75 - Paris,Île-de-France,17h-20h,1287,65.2,12022.37,REASSORT_URGENT_AUTOMATIQUE
MAG-0035,Carrefour Hyper Lyon #35,Carrefour Hyper,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,08h-11h,575,86.7,7364.04,CONFORME
MAG-0035,Carrefour Hyper Lyon #35,Carrefour Hyper,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,11h-14h,2515,67.3,13592.35,REASSORT_URGENT_AUTOMATIQUE
MAG-0035,Carrefour Hyper Lyon #35,Carrefour Hyper,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,14h-17h,1313,88.3,2532.29,CONFORME
MAG-0035,Carrefour Hyper Lyon #35,Carrefour Hyper,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,17h-20h,2677,63.7,15499.72,REASSORT_URGENT_AUTOMATIQUE
MAG-0036,Monoprix Lyon #36,Monoprix,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,08h-11h,2189,72.8,14282.8,REASSORT_URGENT_AUTOMATIQUE
MAG-0036,Monoprix Lyon #36,Monoprix,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,11h-14h,1033,86.6,11487.48,CONFORME
MAG-0036,Monoprix Lyon #36,Monoprix,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,14h-17h,1137,80.8,4568.68,CONFORME
MAG-0036,Monoprix Lyon #36,Monoprix,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,17h-20h,1536,80.5,9941.63,CONFORME
MAG-0037,Carrefour Hyper Strasbourg #37,Carrefour Hyper,Strasbourg,67 - Bas-Rhin,Grand Est,08h-11h,1609,68.3,8990.76,CONFORME
MAG-0037,Carrefour Hyper Strasbourg #37,Carrefour Hyper,Strasbourg,67 - Bas-Rhin,Grand Est,11h-14h,579,71.7,3856.22,CONFORME
MAG-0037,Carrefour Hyper Strasbourg #37,Carrefour Hyper,Strasbourg,67 - Bas-Rhin,Grand Est,14h-17h,669,85.9,3314.4,CONFORME
MAG-0037,Carrefour Hyper Strasbourg #37,Carrefour Hyper,Strasbourg,67 - Bas-Rhin,Grand Est,17h-20h,1798,65.8,1887.19,CONFORME
MAG-0038,Carrefour Hyper Rennes #38,Carrefour Hyper,Rennes,35 - Ille-et-Vilaine,Bretagne,08h-11h,1506,85.3,11433.96,CONFORME
MAG-0038,Carrefour Hyper Rennes #38,Carrefour Hyper,Rennes,35 - Ille-et-Vilaine,Bretagne,11h-14h,1846,64.5,8229.84,CONFORME
MAG-0038,Carrefour Hyper Rennes #38,Carrefour Hyper,Rennes,35 - Ille-et-Vilaine,Bretagne,14h-17h,2269,87.5,3759.47,CONFORME
MAG-0038,Carrefour Hyper Rennes #38,Carrefour Hyper,Rennes,35 - Ille-et-Vilaine,Bretagne,17h-20h,2736,71.5,3091.85,CONFORME
MAG-0039,Monoprix Rennes #39,Monoprix,Rennes,35 - Ille-et-Vilaine,Bretagne,08h-11h,1928,74.9,4243.3,CONFORME
MAG-0039,Monoprix Rennes #39,Monoprix,Rennes,35 - Ille-et-Vilaine,Bretagne,11h-14h,1032,64.3,8806.35,CONFORME
MAG-0039,Monoprix Rennes #39,Monoprix,Rennes,35 - Ille-et-Vilaine,Bretagne,14h-17h,1781,71.2,3132.11,CONFORME
MAG-0039,Monoprix Rennes #39,Monoprix,Rennes,35 - Ille-et-Vilaine,Bretagne,17h-20h,2764,64.2,11146.11,CONFORME
MAG-0040,Auchan Super Paris #40,Auchan Super,Paris,75 - Paris,Île-de-France,08h-11h,2115,82.0,5697.62,CONFORME
MAG-0040,Auchan Super Paris #40,Auchan Super,Paris,75 - Paris,Île-de-France,11h-14h,790,80.6,5784.74,CONFORME
MAG-0040,Auchan Super Paris #40,Auchan Super,Paris,75 - Paris,Île-de-France,14h-17h,1936,76.4,17140.45,REASSORT_URGENT_AUTOMATIQUE
MAG-0040,Auchan Super Paris #40,Auchan Super,Paris,75 - Paris,Île-de-France,17h-20h,2241,86.6,7279.31,CONFORME
MAG-0041,Intermarché Bordeaux #41,Intermarché,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,08h-11h,1855,64.5,14971.77,REASSORT_URGENT_AUTOMATIQUE
MAG-0041,Intermarché Bordeaux #41,Intermarché,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,11h-14h,1156,63.8,3387.8,CONFORME
MAG-0041,Intermarché Bordeaux #41,Intermarché,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,14h-17h,1486,84.3,13655.6,REASSORT_URGENT_AUTOMATIQUE
MAG-0041,Intermarché Bordeaux #41,Intermarché,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,17h-20h,2541,65.7,12503.32,REASSORT_URGENT_AUTOMATIQUE
MAG-0042,E.Leclerc Lille #42,E.Leclerc,Lille,59 - Nord,Hauts-de-France,08h-11h,1812,68.3,12176.29,REASSORT_URGENT_AUTOMATIQUE
