id_releve_panier,commune,code_departement,nom_region,rayon_categorie,prix_moyen_panier_eur,marge_brute_pct,part_produits_bio_pct,part_marques_distributeur_pct
PAN-00072,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Épicerie,67.47,35.1,32.8,49.0
PAN-00073,Paris,75 - Paris,Île-de-France,Boissons,69.3,43.6,27.6,35.8
PAN-00074,Lille,59 - Nord,Hauts-de-France,Boissons,88.53,39.2,14.8,37.2
PAN-00075,Lille,59 - Nord,Hauts-de-France,Produits Laitiers,65.11,38.1,15.7,51.9
PAN-00076,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Boissons,88.73,27.7,16.2,50.7
PAN-00077,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Frais,80.48,47.5,13.1,46.4
PAN-00078,Nantes,44 - Loire-Atlantique,Pays de la Loire,Surgelés,57.07,30.3,20.7,50.4
PAN-00079,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Produits Laitiers,36.64,23.2,33.5,46.3
PAN-00080,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Boulangerie,74.59,33.2,13.2,37.8
PAN-00081,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Produits Frais,49.76,30.7,12.3,42.0
PAN-00082,Strasbourg,67 - Bas-Rhin,Grand Est,Boulangerie,58.57,27.7,26.5,51.9
PAN-00083,Toulouse,31 - Haute-Garonne,Occitanie,Épicerie,37.6,34.7,35.8,31.7
PAN-00084,Lille,59 - Nord,Hauts-de-France,Surgelés,56.7,32.5,33.6,50.0
PAN-00085,Strasbourg,67 - Bas-Rhin,Grand Est,Épicerie,57.75,43.8,16.1,43.0
PAN-00086,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Épicerie,93.02,30.2,26.7,51.2
PAN-00087,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Boulangerie,50.7,43.7,33.1,40.0
PAN-00088,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Produits Frais,76.71,34.1,31.4,48.8
PAN-00089,Toulouse,31 - Haute-Garonne,Occitanie,Épicerie,75.37,32.8,18.1,37.3
PAN-00090,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Laitiers,87.8,44.3,35.3,30.2
PAN-00091,Lille,59 - Nord,Hauts-de-France,Boulangerie,30.01,35.7,24.9,42.2
PAN-00092,Rennes,35 - Ille-et-Vilaine,Bretagne,Épicerie,66.88,33.5,28.8,46.1
PAN-00093,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Épicerie,45.05,36.7,16.9,48.4
PAN-00094,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Produits Frais,37.53,46.9,19.7,46.0
PAN-00095,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Surgelés,59.27,40.9,32.0,44.9
PAN-00096,Strasbourg,67 - Bas-Rhin,Grand Est,Épicerie,78.07,48.0,21.9,52.1
PAN-00097,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Boissons,39.18,42.6,36.0,31.0
PAN-00098,Nantes,44 - Loire-Atlantique,Pays de la Loire,Boissons,57.65,43.6,29.0,31.2
PAN-00099,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Boissons,48.01,26.4,25.8,30.0
PAN-00100,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Épicerie,74.43,28.2,25.3,43.1
PAN-00101,Paris,75 - Paris,Île-de-France,Surgelés,68.29,35.5,17.0,37.0
PAN-00102,Rennes,35 - Ille-et-Vilaine,Bretagne,Boulangerie,54.02,44.9,21.2,26.1
PAN-00103,Toulouse,31 - Haute-Garonne,Occitanie,Boulangerie,62.88,31.6,18.6,54.7
PAN-00104,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Épicerie,36.42,34.7,16.8,35.3
PAN-00105,Paris,75 - Paris,Île-de-France,Boissons,91.64,33.6,29.4,42.3
PAN-00106,Strasbourg,67 - Bas-Rhin,Grand Est,Boissons,40.19,43.5,22.9,33.0
PAN-00107,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Boulangerie,36.71,41.0,13.8,38.5
PAN-00108,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Produits Laitiers,32.45,37.7,18.8,27.6
PAN-00109,Toulouse,31 - Haute-Garonne,Occitanie,Produits Laitiers,69.05,37.8,33.1,27.4
PAN-00110,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Produits Laitiers,66.8,43.0,25.2,48.0
PAN-00111,Toulouse,31 - Haute-Garonne,Occitanie,Produits Laitiers,54.86,33.9,14.0,34.9
PAN-00112,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Épicerie,67.21,45.3,13.6,37.4
PAN-00113,Lille,59 - Nord,Hauts-de-France,Boissons,63.02,45.1,31.8,51.5
PAN-00114,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Surgelés,93.22,28.2,31.2,54.2
PAN-00115,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Laitiers,58.71,22.2,20.0,38.6
PAN-00116,Rennes,35 - Ille-et-Vilaine,Bretagne,Épicerie,61.78,34.9,19.2,37.4
PAN-00117,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Surgelés,76.57,36.2,34.5,43.4
PAN-00118,Rennes,35 - Ille-et-Vilaine,Bretagne,Surgelés,36.01,38.8,23.0,29.3
PAN-00119,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Boulangerie,52.54,45.2,24.4,47.6
PAN-00120,Strasbourg,67 - Bas-Rhin,Grand Est,Épicerie,86.95,45.9,35.2,34.7
PAN-00121,Paris,75 - Paris,Île-de-France,Boulangerie,81.27,32.2,31.8,49.0
PAN-00122,Strasbourg,67 - Bas-Rhin,Grand Est,Produits Frais,48.52,26.0,34.3,52.8
PAN-00123,Lille,59 - Nord,Hauts-de-France,Produits Laitiers,28.6,34.2,32.3,54.1
PAN-00124,Toulouse,31 - Haute-Garonne,Occitanie,Surgelés,44.38,36.9,33.8,33.6
PAN-00125,Strasbourg,67 - Bas-Rhin,Grand Est,Boulangerie,54.59,31.1,17.6,38.8
PAN-00126,Paris,75 - Paris,Île-de-France,Produits Frais,94.96,36.6,14.9,39.8
PAN-00127,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Produits Frais,40.22,23.3,23.5,44.2
PAN-00128,Paris,75 - Paris,Île-de-France,Épicerie,39.17,39.4,29.1,25.3
PAN-00129,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Laitiers,32.51,27.6,26.3,44.6
PAN-00130,Strasbourg,67 - Bas-Rhin,Grand Est,Surgelés,66.14,32.7,32.8,32.8
PAN-00131,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Surgelés,39.71,39.9,13.1,53.8
PAN-00132,Paris,75 - Paris,Île-de-France,Boulangerie,72.15,31.7,14.4,37.7
PAN-00133,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Surgelés,89.39,37.0,33.4,37.7
PAN-00134,Rennes,35 - Ille-et-Vilaine,Bretagne,Surgelés,28.72,40.0,19.8,47.3
PAN-00135,Lille,59 - Nord,Hauts-de-France,Boulangerie,73.72,46.9,37.1,31.1
PAN-00136,Paris,75 - Paris,Île-de-France,Épicerie,31.24,41.8,13.8,28.7
PAN-00137,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Frais,91.19,25.9,29.5,50.0
PAN-00138,Strasbourg,67 - Bas-Rhin,Grand Est,Boissons,78.26,39.5,32.4,32.0
PAN-00139,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Boissons,44.04,46.3,35.7,37.1
PAN-00140,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Épicerie,86.82,24.3,16.5,27.9
PAN-00141,Nantes,44 - Loire-Atlantique,Pays de la Loire,Boulangerie,53.88,35.7,14.4,46.4
PAN-00142,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Boulangerie,87.59,38.6,36.7,29.4
PAN-00143,Rennes,35 - Ille-et-Vilaine,Bretagne,Surgelés,74.06,41.9,32.5,48.7
PAN-00144,Paris,75 - Paris,Île-de-France,Produits Frais,89.0,28.9,22.7,51.1
PAN-00145,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Épicerie,73.35,38.8,35.2,52.3
PAN-00146,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Épicerie,91.93,37.3,17.3,51.8
PAN-00147,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Produits Laitiers,75.94,24.2,32.0,31.7
PAN-00148,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Surgelés,82.07,28.7,36.6,41.6
PAN-00149,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Produits Frais,42.93,24.7,22.7,30.5
PAN-00150,Toulouse,31 - Haute-Garonne,Occitanie,Épicerie,67.1,43.5,26.4,28.1
PAN-00151,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Surgelés,54.2,40.6,13.7,37.5
PAN-00152,Strasbourg,67 - Bas-Rhin,Grand Est,Produits Laitiers,47.18,33.3,16.4,43.5
PAN-00153,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Produits Laitiers,54.19,42.1,30.0,41.7
PAN-00154,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Épicerie,65.27,42.9,32.9,45.9
PAN-00155,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Boissons,59.42,43.9,33.4,53.9
PAN-00156,Nantes,44 - Loire-Atlantique,Pays de la Loire,Surgelés,63.13,46.6,20.7,33.1
PAN-00157,Paris,75 - Paris,Île-de-France,Boulangerie,93.05,23.6,18.4,27.2
PAN-00158,Paris,75 - Paris,Île-de-France,Produits Laitiers,51.71,27.7,21.0,29.4
PAN-00159,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Produits Laitiers,54.63,45.1,35.4,45.5
PAN-00160,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Laitiers,94.14,28.7,16.1,43.3
PAN-00161,Paris,75 - Paris,Île-de-France,Épicerie,92.65,37.6,31.1,35.6
PAN-00162,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Produits Laitiers,51.23,31.4,18.2,52.5
PAN-00163,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Épicerie,29.55,28.7,18.8,29.0
PAN-00164,Lille,59 - Nord,Hauts-de-France,Produits Laitiers,40.99,27.9,25.0,29.6
PAN-00165,Paris,75 - Paris,Île-de-France,Boissons,32.14,42.9,34.8,29.9
PAN-00166,Strasbourg,67 - Bas-Rhin,Grand Est,Épicerie,73.91,22.8,16.4,37.5
PAN-00167,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Produits Laitiers,34.35,38.5,13.2,49.2
PAN-00168,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Laitiers,29.98,35.1,20.6,47.1
PAN-00169,Toulouse,31 - Haute-Garonne,Occitanie,Boissons,90.03,44.3,29.4,37.2
PAN-00170,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Produits Frais,51.43,40.6,31.9,39.2
PAN-00171,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Boissons,89.01,43.8,14.3,27.7
PAN-00172,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Produits Laitiers,88.65,38.4,14.6,51.2
PAN-00173,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Épicerie,64.93,36.0,27.9,48.4
PAN-00174,Toulouse,31 - Haute-Garonne,Occitanie,Épicerie,86.43,26.1,31.3,30.8
PAN-00175,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Boulangerie,53.0,33.6,14.4,25.8
PAN-00176,Lille,59 - Nord,Hauts-de-France,Épicerie,69.13,29.6,19.4,31.5
PAN-00177,Toulouse,31 - Haute-Garonne,Occitanie,Boulangerie,48.36,48.3,24.3,54.2
PAN-00178,Paris,75 - Paris,Île-de-France,Boissons,70.72,33.9,25.2,34.3
PAN-00179,Toulouse,31 - Haute-Garonne,Occitanie,Épicerie,71.68,25.8,19.3,43.9
PAN-00180,Toulouse,31 - Haute-Garonne,Occitanie,Produits Laitiers,69.75,42.0,34.1,26.1
PAN-00181,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Surgelés,63.43,40.5,16.2,54.2
PAN-00182,Rennes,35 - Ille-et-Vilaine,Bretagne,Boissons,50.92,23.6,28.3,30.7
PAN-00183,Lille,59 - Nord,Hauts-de-France,Épicerie,63.36,46.6,21.1,42.1
PAN-00184,Rennes,35 - Ille-et-Vilaine,Bretagne,Surgelés,83.56,46.7,12.8,40.2
PAN-00185,Rennes,35 - Ille-et-Vilaine,Bretagne,Produits Laitiers,87.7,34.3,28.2,54.6
PAN-00186,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Produits Frais,70.16,44.1,17.0,50.2
PAN-00187,Toulouse,31 - Haute-Garonne,Occitanie,Produits Laitiers,74.38,34.4,27.5,36.3
PAN-00188,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Produits Frais,59.09,35.6,26.3,52.8
PAN-00189,Strasbourg,67 - Bas-Rhin,Grand Est,Surgelés,62.55,46.7,37.2,50.5
PAN-00190,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Surgelés,83.37,33.8,13.9,25.3
PAN-00191,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Frais,85.42,39.3,37.6,53.0
PAN-00192,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Boulangerie,51.8,30.1,23.8,34.1
PAN-00193,Strasbourg,67 - Bas-Rhin,Grand Est,Boissons,63.9,46.2,33.5,45.2
PAN-00194,Lille,59 - Nord,Hauts-de-France,Boulangerie,41.97,46.1,35.1,45.0
PAN-00195,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Boissons,84.69,32.5,24.8,32.7
PAN-00196,Nantes,44 - Loire-Atlantique,Pays de la Loire,Boulangerie,94.91,41.8,27.2,29.8
PAN-00197,Lille,59 - Nord,Hauts-de-France,Produits Frais,83.43,34.9,31.0,30.3
PAN-00198,Nantes,44 - Loire-Atlantique,Pays de la Loire,Surgelés,46.9,38.9,18.1,44.8
PAN-00199,Toulouse,31 - Haute-Garonne,Occitanie,Épicerie,50.19,44.3,23.5,37.5
PAN-00200,Rennes,35 - Ille-et-Vilaine,Bretagne,Boulangerie,43.93,27.9,13.1,50.2
PAN-00201,Strasbourg,67 - Bas-Rhin,Grand Est,Boulangerie,72.89,28.2,31.1,52.8
PAN-00202,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Boulangerie,93.04,35.5,20.7,50.4
PAN-00203,Toulouse,31 - Haute-Garonne,Occitanie,Surgelés,58.32,31.3,30.3,31.5
PAN-00204,Paris,75 - Paris,Île-de-France,Boulangerie,34.7,42.9,36.0,36.0
PAN-00205,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Produits Laitiers,88.57,33.9,25.1,33.5
PAN-00206,Paris,75 - Paris,Île-de-France,Surgelés,76.94,38.0,12.7,44.4
PAN-00207,Paris,75 - Paris,Île-de-France,Produits Frais,77.24,22.0,23.3,44.8
PAN-00208,Paris,75 - Paris,Île-de-France,Épicerie,46.86,46.5,22.6,31.3
PAN-00209,Toulouse,31 - Haute-Garonne,Occitanie,Boissons,32.78,25.8,29.3,34.7
PAN-00210,Rennes,35 - Ille-et-Vilaine,Bretagne,Produits Frais,92.35,38.7,18.4,46.5
PAN-00211,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Boulangerie,56.67,42.3,25.1,52.4
PAN-00212,Paris,75 - Paris,Île-de-France,Produits Laitiers,89.38,26.5,32.7,54.7
PAN-00213,Toulouse,31 - Haute-Garonne,Occitanie,Boulangerie,61.87,41.8,25.4,25.9
PAN-00214,Toulouse,31 - Haute-Garonne,Occitanie,Boulangerie,66.76,40.9,27.5,43.3
PAN-00215,Lille,59 - Nord,Hauts-de-France,Surgelés,38.7,27.7,37.9,37.2
PAN-00216,Lille,59 - Nord,Hauts-de-France,Surgelés,92.71,46.4,22.3,26.3
PAN-00217,Toulouse,31 - Haute-Garonne,Occitanie,Épicerie,88.6,28.5,27.4,51.1
PAN-00218,Paris,75 - Paris,Île-de-France,Épicerie,55.9,46.7,15.5,39.8
PAN-00219,Nantes,44 - Loire-Atlantique,Pays de la Loire,Boissons,55.17,32.7,29.4,53.7
PAN-00220,Strasbourg,67 - Bas-Rhin,Grand Est,Surgelés,39.92,23.0,22.0,31.6
PAN-00221,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Boulangerie,52.56,27.9,20.0,48.7
PAN-00222,Paris,75 - Paris,Île-de-France,Produits Laitiers,63.2,27.7,37.2,41.8
PAN-00223,Strasbourg,67 - Bas-Rhin,Grand Est,Surgelés,32.32,30.0,26.7,49.2
PAN-00224,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Boulangerie,81.48,24.5,24.9,43.9
PAN-00225,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Surgelés,34.32,41.8,30.1,42.9
PAN-00226,Paris,75 - Paris,Île-de-France,Boulangerie,69.44,46.6,31.2,50.5
PAN-00227,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Boissons,46.79,41.3,24.6,42.1
PAN-00228,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Produits Laitiers,56.92,25.5,16.6,26.8
PAN-00229,Toulouse,31 - Haute-Garonne,Occitanie,Surgelés,84.98,32.2,37.7,47.4
PAN-00230,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Surgelés,84.24,30.6,19.0,43.1
PAN-00231,Lille,59 - Nord,Hauts-de-France,Surgelés,86.7,45.1,22.5,47.0
PAN-00232,Strasbourg,67 - Bas-Rhin,Grand Est,Produits Laitiers,38.38,41.1,33.7,48.6
PAN-00233,Nantes,44 - Loire-Atlantique,Pays de la Loire,Produits Frais,56.57,29.8,32.4,36.0
PAN-00234,Paris,75 - Paris,Île-de-France,Épicerie,73.11,28.4,20.2,28.5
PAN-00235,Lille,59 - Nord,Hauts-de-France,Produits Frais,38.9,46.8,37.9,26.5
PAN-00236,Paris,75 - Paris,Île-de-France,Surgelés,53.12,27.3,26.7,44.5
PAN-00237,Toulouse,31 - Haute-Garonne,Occitanie,Épicerie,33.48,47.2,20.1,28.1
PAN-00238,Paris,75 - Paris,Île-de-France,Surgelés,70.63,44.9,16.6,31.7
PAN-00239,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Boissons,43.51,40.8,20.6,48.2
PAN-00240,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Produits Laitiers,60.88,22.6,24.4,33.5
PAN-00241,Paris,75 - Paris,Île-de-France,Boulangerie,60.65,46.0,17.9,36.7
PAN-00242,Rennes,35 - Ille-et-Vilaine,Bretagne,Boissons,59.72,43.2,16.4,46.4
PAN-00243,Rennes,35 - Ille-et-Vilaine,Bretagne,Boissons,62.56,22.7,14.8,32.1
PAN-00244,Nantes,44 - Loire-Atlantique,Pays de la Loire,Boulangerie,36.14,36.3,31.9,32.6
PAN-00245,Strasbourg,67 - Bas-Rhin,Grand Est,Surgelés,28.71,42.6,25.3,47.0
PAN-00246,Paris,75 - Paris,Île-de-France,Boissons,93.47,38.4,12.6,47.9
