validation_id,passenger_id,code_uic_gare,station_name,transport_mode,line_code,department_code,region_name,timestamp,validation_status
VAL-000027,USG-00574,87611004,Toulouse Matabiau,Métro 1,Ligne 1 La Défense - Château de Vincennes,31,Occitanie,2026-07-15 07:36:00,VALIDE
VAL-000028,USG-00612,87686006,Paris Gare de Lyon,RER A,Axe RER A Charles de Gaulle - Étoile,75,Île-de-France,2026-05-06 17:52:00,VALIDE
VAL-000029,USG-02094,87581009,Bordeaux Saint-Jean,TER,Ligne Régionale TER,33,Nouvelle-Aquitaine,2026-06-29 08:25:00,VALIDE
VAL-000030,USG-00324,87223263,Lille Flandres,Métro 1,Ligne 1 La Défense - Château de Vincennes,59,Hauts-de-France,2026-10-15 08:48:00,HORS_ZONE
VAL-000031,USG-01435,87756054,Nice Ville,TGV InOui,Ligne Grande Vitesse East,06,Provence-Alpes-Côte d'Azur,2026-09-05 07:59:00,VALIDE
VAL-000032,USG-01083,87471003,Rennes,RER A,Axe RER A Charles de Gaulle - Étoile,35,Bretagne,2026-06-06 18:16:00,VALIDE
VAL-000033,USG-02335,87611004,Toulouse Matabiau,Métro 1,Ligne 1 La Défense - Château de Vincennes,31,Occitanie,2026-07-01 07:19:00,CORRESPONDANCE
VAL-000034,USG-02099,87581009,Bordeaux Saint-Jean,TGV InOui,Ligne Grande Vitesse East,33,Nouvelle-Aquitaine,2026-08-08 17:14:00,VALIDE
VAL-000035,USG-02170,87722023,Lyon Part-Dieu,RER A,Axe RER A Charles de Gaulle - Étoile,69,Auvergne-Rhône-Alpes,2026-10-22 07:33:00,VALIDE
VAL-000036,USG-00959,87481002,Nantes,Métro 1,Ligne 1 La Défense - Château de Vincennes,44,Pays de la Loire,2026-06-21 08:23:00,VALIDE
VAL-000037,USG-02643,87751006,Marseille Saint-Charles,TER,Ligne Régionale TER,13,Provence-Alpes-Côte d'Azur,2026-08-29 07:01:00,VALIDE
VAL-000038,USG-02901,87223263,Lille Flandres,Métro 1,Ligne 1 La Défense - Château de Vincennes,59,Hauts-de-France,2026-09-08 18:00:00,VALIDE
VAL-000039,USG-00316,87481002,Nantes,RER A,Axe RER A Charles de Gaulle - Étoile,44,Pays de la Loire,2026-06-15 08:51:00,VALIDE
VAL-000040,USG-01667,87481002,Nantes,TGV InOui,Ligne Grande Vitesse East,44,Pays de la Loire,2026-05-11 08:29:00,CORRESPONDANCE
VAL-000041,USG-00204,87391003,Paris Montparnasse,TGV InOui,Ligne Grande Vitesse East,75,Île-de-France,2026-10-28 17:13:00,VALIDE
VAL-000042,USG-02234,87271007,Paris Gare du Nord,Métro 1,Ligne 1 La Défense - Château de Vincennes,75,Île-de-France,2026-07-05 08:13:00,VALIDE
VAL-000043,USG-01913,87581009,Bordeaux Saint-Jean,RER A,Axe RER A Charles de Gaulle - Étoile,33,Nouvelle-Aquitaine,2026-05-22 17:53:00,VALIDE
VAL-000044,USG-01663,87481002,Nantes,RER A,Axe RER A Charles de Gaulle - Étoile,44,Pays de la Loire,2026-06-03 17:35:00,VALIDE
VAL-000045,USG-01190,87271007,Paris Gare du Nord,Métro 1,Ligne 1 La Défense - Château de Vincennes,75,Île-de-France,2026-06-28 17:22:00,VALIDE
VAL-000046,USG-01500,87471003,Rennes,TER,Ligne Régionale TER,35,Bretagne,2026-06-22 18:56:00,VALIDE
VAL-000047,USG-00513,87611004,Toulouse Matabiau,Métro 1,Ligne 1 La Défense - Château de Vincennes,31,Occitanie,2026-10-16 07:00:00,VALIDE
VAL-000048,USG-00324,87751006,Marseille Saint-Charles,TGV InOui,Ligne Grande Vitesse East,13,Provence-Alpes-Côte d'Azur,2026-07-05 18:56:00,VALIDE
VAL-000049,USG-02850,87223263,Lille Flandres,RER A,Axe RER A Charles de Gaulle - Étoile,59,Hauts-de-France,2026-08-29 07:08:00,VALIDE
VAL-000050,USG-02567,87581009,Bordeaux Saint-Jean,RER A,Axe RER A Charles de Gaulle - Étoile,33,Nouvelle-Aquitaine,2026-08-06 17:00:00,VALIDE
VAL-000051,USG-02910,87747004,Grenoble,TER,Ligne Régionale TER,38,Auvergne-Rhône-Alpes,2026-08-01 08:57:00,VALIDE
VAL-000052,USG-02351,87471003,Rennes,TER,Ligne Régionale TER,35,Bretagne,2026-06-01 07:45:00,VALIDE
VAL-000053,USG-01589,87271007,Paris Gare du Nord,Métro 1,Ligne 1 La Défense - Château de Vincennes,75,Île-de-France,2026-09-27 08:10:00,VALIDE
VAL-000054,USG-01932,87722023,Lyon Part-Dieu,RER A,Axe RER A Charles de Gaulle - Étoile,69,Auvergne-Rhône-Alpes,2026-07-28 08:08:00,VALIDE
VAL-000055,USG-00873,87212027,Strasbourg Ville,RER A,Axe RER A Charles de Gaulle - Étoile,67,Grand Est,2026-05-19 18:23:00,VALIDE
VAL-000056,USG-00121,87756054,Nice Ville,RER A,Axe RER A Charles de Gaulle - Étoile,06,Provence-Alpes-Côte d'Azur,2026-05-11 07:09:00,VALIDE
VAL-000057,USG-01766,87223263,Lille Flandres,TGV InOui,Ligne Grande Vitesse East,59,Hauts-de-France,2026-09-14 18:57:00,VALIDE
VAL-000058,USG-01469,87471003,Rennes,RER A,Axe RER A Charles de Gaulle - Étoile,35,Bretagne,2026-10-05 07:20:00,VALIDE
VAL-000059,USG-01989,87751006,Marseille Saint-Charles,TER,Ligne Régionale TER,13,Provence-Alpes-Côte d'Azur,2026-05-22 18:44:00,VALIDE
VAL-000060,USG-01869,87212027,Strasbourg Ville,RER A,Axe RER A Charles de Gaulle - Étoile,67,Grand Est,2026-06-07 18:30:00,VALIDE
VAL-000061,USG-02366,87756054,Nice Ville,TER,Ligne Régionale TER,06,Provence-Alpes-Côte d'Azur,2026-08-10 08:33:00,VALIDE
VAL-000062,USG-01994,87751006,Marseille Saint-Charles,TER,Ligne Régionale TER,13,Provence-Alpes-Côte d'Azur,2026-05-09 08:27:00,VALIDE
VAL-000063,USG-00727,87581009,Bordeaux Saint-Jean,Métro 1,Ligne 1 La Défense - Château de Vincennes,33,Nouvelle-Aquitaine,2026-10-28 17:55:00,VALIDE
VAL-000064,USG-02903,87611004,Toulouse Matabiau,Métro 1,Ligne 1 La Défense - Château de Vincennes,31,Occitanie,2026-09-15 07:48:00,VALIDE
VAL-000065,USG-01058,87747004,Grenoble,Métro 1,Ligne 1 La Défense - Château de Vincennes,38,Auvergne-Rhône-Alpes,2026-07-10 08:15:00,VALIDE
VAL-000066,USG-02996,87212027,Strasbourg Ville,TGV InOui,Ligne Grande Vitesse East,67,Grand Est,2026-06-21 17:10:00,VALIDE
VAL-000067,USG-00849,87722023,Lyon Part-Dieu,Métro 1,Ligne 1 La Défense - Château de Vincennes,69,Auvergne-Rhône-Alpes,2026-10-10 17:01:00,VALIDE
VAL-000068,USG-00119,87751006,Marseille Saint-Charles,TGV InOui,Ligne Grande Vitesse East,13,Provence-Alpes-Côte d'Azur,2026-07-31 07:31:00,VALIDE
VAL-000069,USG-02790,87756054,Nice Ville,Métro 1,Ligne 1 La Défense - Château de Vincennes,06,Provence-Alpes-Côte d'Azur,2026-09-30 07:29:00,VALIDE
VAL-000070,USG-00081,87611004,Toulouse Matabiau,TER,Ligne Régionale TER,31,Occitanie,2026-09-08 07:46:00,VALIDE
VAL-000071,USG-00352,87391003,Paris Montparnasse,Métro 1,Ligne 1 La Défense - Château de Vincennes,75,Île-de-France,2026-08-08 18:55:00,VALIDE
VAL-000072,USG-00927,87471003,Rennes,Métro 1,Ligne 1 La Défense - Château de Vincennes,35,Bretagne,2026-10-15 18:18:00,VALIDE
VAL-000073,USG-02688,87611004,Toulouse Matabiau,RER A,Axe RER A Charles de Gaulle - Étoile,31,Occitanie,2026-09-09 18:41:00,VALIDE
VAL-000074,USG-02227,87471003,Rennes,TGV InOui,Ligne Grande Vitesse East,35,Bretagne,2026-07-12 08:35:00,VALIDE
VAL-000075,USG-02982,87611004,Toulouse Matabiau,Métro 1,Ligne 1 La Défense - Château de Vincennes,31,Occitanie,2026-07-01 07:45:00,VALIDE
VAL-000076,USG-02082,87686006,Paris Gare de Lyon,RER A,Axe RER A Charles de Gaulle - Étoile,75,Île-de-France,2026-08-07 07:12:00,VALIDE
VAL-000077,USG-01476,87212027,Strasbourg Ville,TGV InOui,Ligne Grande Vitesse East,67,Grand Est,2026-10-13 17:39:00,VALIDE
VAL-000078,USG-00224,87212027,Strasbourg Ville,Métro 1,Ligne 1 La Défense - Château de Vincennes,67,Grand Est,2026-07-17 08:25:00,VALIDE
VAL-000079,USG-02423,87471003,Rennes,TGV InOui,Ligne Grande Vitesse East,35,Bretagne,2026-05-02 17:11:00,VALIDE
VAL-000080,USG-02426,87722023,Lyon Part-Dieu,TGV InOui,Ligne Grande Vitesse East,69,Auvergne-Rhône-Alpes,2026-08-22 07:23:00,VALIDE
VAL-000081,USG-01301,87686006,Paris Gare de Lyon,RER A,Axe RER A Charles de Gaulle - Étoile,75,Île-de-France,2026-09-02 07:53:00,VALIDE
VAL-000082,USG-02048,87686006,Paris Gare de Lyon,TER,Ligne Régionale TER,75,Île-de-France,2026-09-13 08:43:00,VALIDE
VAL-000083,USG-02047,87756054,Nice Ville,TGV InOui,Ligne Grande Vitesse East,06,Provence-Alpes-Côte d'Azur,2026-07-17 17:44:00,VALIDE
VAL-000084,USG-02113,87751006,Marseille Saint-Charles,TGV InOui,Ligne Grande Vitesse East,13,Provence-Alpes-Côte d'Azur,2026-07-14 18:58:00,VALIDE
VAL-000085,USG-01548,87611004,Toulouse Matabiau,Métro 1,Ligne 1 La Défense - Château de Vincennes,31,Occitanie,2026-05-16 18:08:00,VALIDE
VAL-000086,USG-00993,87223263,Lille Flandres,RER A,Axe RER A Charles de Gaulle - Étoile,59,Hauts-de-France,2026-08-21 08:38:00,CORRESPONDANCE
VAL-000087,USG-01995,87471003,Rennes,RER A,Axe RER A Charles de Gaulle - Étoile,35,Bretagne,2026-10-20 07:34:00,VALIDE
VAL-000088,USG-02213,87581009,Bordeaux Saint-Jean,Métro 1,Ligne 1 La Défense - Château de Vincennes,33,Nouvelle-Aquitaine,2026-08-05 08:41:00,VALIDE
VAL-000089,USG-01629,87581009,Bordeaux Saint-Jean,TER,Ligne Régionale TER,33,Nouvelle-Aquitaine,2026-06-10 18:49:00,VALIDE
VAL-000090,USG-02332,87471003,Rennes,TGV InOui,Ligne Grande Vitesse East,35,Bretagne,2026-07-31 08:13:00,CORRESPONDANCE
VAL-000091,USG-01895,87223263,Lille Flandres,Métro 1,Ligne 1 La Défense - Château de Vincennes,59,Hauts-de-France,2026-05-17 08:29:00,VALIDE
VAL-000092,USG-01192,87471003,Rennes,TGV InOui,Ligne Grande Vitesse East,35,Bretagne,2026-10-23 07:03:00,VALIDE
VAL-000093,USG-00056,87756054,Nice Ville,TER,Ligne Régionale TER,06,Provence-Alpes-Côte d'Azur,2026-07-27 17:02:00,CORRESPONDANCE
VAL-000094,USG-00168,87751006,Marseille Saint-Charles,TER,Ligne Régionale TER,13,Provence-Alpes-Côte d'Azur,2026-06-02 07:03:00,VALIDE
VAL-000095,USG-02066,87471003,Rennes,RER A,Axe RER A Charles de Gaulle - Étoile,35,Bretagne,2026-07-12 07:40:00,VALIDE
VAL-000096,USG-00921,87471003,Rennes,RER A,Axe RER A Charles de Gaulle - Étoile,35,Bretagne,2026-07-27 08:06:00,VALIDE
VAL-000097,USG-02576,87747004,Grenoble,Métro 1,Ligne 1 La Défense - Château de Vincennes,38,Auvergne-Rhône-Alpes,2026-09-16 08:17:00,REFUSE_SOLDE
VAL-000098,USG-01191,87611004,Toulouse Matabiau,TGV InOui,Ligne Grande Vitesse East,31,Occitanie,2026-09-12 17:48:00,VALIDE
VAL-000099,USG-00245,87751006,Marseille Saint-Charles,RER A,Axe RER A Charles de Gaulle - Étoile,13,Provence-Alpes-Côte d'Azur,2026-05-05 18:00:00,VALIDE
VAL-000100,USG-00615,87391003,Paris Montparnasse,TER,Ligne Régionale TER,75,Île-de-France,2026-07-01 17:56:00,VALIDE
VAL-000101,USG-01432,87751006,Marseille Saint-Charles,RER A,Axe RER A Charles de Gaulle - Étoile,13,Provence-Alpes-Côte d'Azur,2026-07-18 17:28:00,VALIDE
VAL-000102,USG-01063,87686006,Paris Gare de Lyon,RER A,Axe RER A Charles de Gaulle - Étoile,75,Île-de-France,2026-10-08 08:36:00,VALIDE
VAL-000103,USG-00468,87686006,Paris Gare de Lyon,RER A,Axe RER A Charles de Gaulle - Étoile,75,Île-de-France,2026-05-08 17:06:00,VALIDE
VAL-000104,USG-01403,87391003,Paris Montparnasse,Métro 1,Ligne 1 La Défense - Château de Vincennes,75,Île-de-France,2026-08-30 08:00:00,VALIDE
VAL-000105,USG-00452,87391003,Paris Montparnasse,TGV InOui,Ligne Grande Vitesse East,75,Île-de-France,2026-09-14 17:35:00,VALIDE
VAL-000106,USG-02137,87581009,Bordeaux Saint-Jean,TER,Ligne Régionale TER,33,Nouvelle-Aquitaine,2026-07-15 07:00:00,VALIDE
VAL-000107,USG-02586,87271007,Paris Gare du Nord,TER,Ligne Régionale TER,75,Île-de-France,2026-10-21 18:16:00,VALIDE
VAL-000108,USG-02885,87223263,Lille Flandres,TER,Ligne Régionale TER,59,Hauts-de-France,2026-08-29 17:31:00,VALIDE
VAL-000109,USG-02476,87212027,Strasbourg Ville,TER,Ligne Régionale TER,67,Grand Est,2026-09-24 07:25:00,VALIDE
VAL-000110,USG-02138,87611004,Toulouse Matabiau,RER A,Axe RER A Charles de Gaulle - Étoile,31,Occitanie,2026-06-27 18:34:00,REFUSE_SOLDE
VAL-000111,USG-02541,87611004,Toulouse Matabiau,TER,Ligne Régionale TER,31,Occitanie,2026-07-21 07:14:00,VALIDE
VAL-000112,USG-01620,87271007,Paris Gare du Nord,RER A,Axe RER A Charles de Gaulle - Étoile,75,Île-de-France,2026-06-10 17:22:00,VALIDE
VAL-000113,USG-02771,87747004,Grenoble,TGV InOui,Ligne Grande Vitesse East,38,Auvergne-Rhône-Alpes,2026-10-20 17:41:00,VALIDE
VAL-000114,USG-02599,87391003,Paris Montparnasse,Métro 1,Ligne 1 La Défense - Château de Vincennes,75,Île-de-France,2026-09-20 18:32:00,VALIDE
VAL-000115,USG-00785,87686006,Paris Gare de Lyon,RER A,Axe RER A Charles de Gaulle - Étoile,75,Île-de-France,2026-08-10 07:13:00,VALIDE
VAL-000116,USG-02341,87756054,Nice Ville,RER A,Axe RER A Charles de Gaulle - Étoile,06,Provence-Alpes-Côte d'Azur,2026-10-10 18:41:00,CORRESPONDANCE
VAL-000117,USG-01248,87391003,Paris Montparnasse,RER A,Axe RER A Charles de Gaulle - Étoile,75,Île-de-France,2026-06-21 07:17:00,CORRESPONDANCE
VAL-000118,USG-01356,87223263,Lille Flandres,TER,Ligne Régionale TER,59,Hauts-de-France,2026-07-13 07:39:00,VALIDE
VAL-000119,USG-02986,87271007,Paris Gare du Nord,TER,Ligne Régionale TER,75,Île-de-France,2026-09-13 17:03:00,VALIDE
VAL-000120,USG-02477,87212027,Strasbourg Ville,TER,Ligne Régionale TER,67,Grand Est,2026-06-23 07:46:00,VALIDE
VAL-000121,USG-01097,87722023,Lyon Part-Dieu,TGV InOui,Ligne Grande Vitesse East,69,Auvergne-Rhône-Alpes,2026-06-20 18:17:00,VALIDE
VAL-000122,USG-01318,87481002,Nantes,Métro 1,Ligne 1 La Défense - Château de Vincennes,44,Pays de la Loire,2026-10-21 08:15:00,VALIDE
VAL-000123,USG-02178,87751006,Marseille Saint-Charles,TER,Ligne Régionale TER,13,Provence-Alpes-Côte d'Azur,2026-08-26 08:12:00,VALIDE
VAL-000124,USG-00840,87223263,Lille Flandres,Métro 1,Ligne 1 La Défense - Château de Vincennes,59,Hauts-de-France,2026-10-25 17:13:00,VALIDE
VAL-000125,USG-02408,87747004,Grenoble,TER,Ligne Régionale TER,38,Auvergne-Rhône-Alpes,2026-05-05 08:00:00,CORRESPONDANCE
VAL-000126,USG-02625,87686006,Paris Gare de Lyon,Métro 1,Ligne 1 La Défense - Château de Vincennes,75,Île-de-France,2026-09-11 07:50:00,VALIDE
VAL-000127,USG-00683,87471003,Rennes,RER A,Axe RER A Charles de Gaulle - Étoile,35,Bretagne,2026-10-19 17:27:00,VALIDE
VAL-000128,USG-01308,87391003,Paris Montparnasse,RER A,Axe RER A Charles de Gaulle - Étoile,75,Île-de-France,2026-07-25 07:57:00,CORRESPONDANCE
VAL-000129,USG-02568,87747004,Grenoble,Métro 1,Ligne 1 La Défense - Château de Vincennes,38,Auvergne-Rhône-Alpes,2026-06-26 07:38:00,CORRESPONDANCE
VAL-000130,USG-01968,87751006,Marseille Saint-Charles,TER,Ligne Régionale TER,13,Provence-Alpes-Côte d'Azur,2026-06-15 08:34:00,VALIDE
VAL-000131,USG-00286,87212027,Strasbourg Ville,TGV InOui,Ligne Grande Vitesse East,67,Grand Est,2026-06-15 07:19:00,VALIDE
VAL-000132,USG-00946,87212027,Strasbourg Ville,Métro 1,Ligne 1 La Défense - Château de Vincennes,67,Grand Est,2026-06-15 07:05:00,VALIDE
VAL-000133,USG-00984,87481002,Nantes,TER,Ligne Régionale TER,44,Pays de la Loire,2026-08-08 07:38:00,HORS_ZONE
VAL-000134,USG-01587,87581009,Bordeaux Saint-Jean,TER,Ligne Régionale TER,33,Nouvelle-Aquitaine,2026-10-25 18:45:00,VALIDE
VAL-000135,USG-00156,87747004,Grenoble,RER A,Axe RER A Charles de Gaulle - Étoile,38,Auvergne-Rhône-Alpes,2026-07-16 18:04:00,VALIDE
VAL-000136,USG-01475,87481002,Nantes,RER A,Axe RER A Charles de Gaulle - Étoile,44,Pays de la Loire,2026-06-19 17:58:00,VALIDE
VAL-000137,USG-01243,87611004,Toulouse Matabiau,TGV InOui,Ligne Grande Vitesse East,31,Occitanie,2026-07-08 17:35:00,CORRESPONDANCE
VAL-000138,USG-02263,87747004,Grenoble,TER,Ligne Régionale TER,38,Auvergne-Rhône-Alpes,2026-05-31 07:57:00,VALIDE
VAL-000139,USG-01718,87212027,Strasbourg Ville,TGV InOui,Ligne Grande Vitesse East,67,Grand Est,2026-10-17 17:01:00,VALIDE
VAL-000140,USG-00621,87223263,Lille Flandres,TER,Ligne Régionale TER,59,Hauts-de-France,2026-08-04 17:54:00,VALIDE
VAL-000141,USG-00934,87686006,Paris Gare de Lyon,TER,Ligne Régionale TER,75,Île-de-France,2026-09-12 18:41:00,VALIDE
VAL-000142,USG-00308,87471003,Rennes,Métro 1,Ligne 1 La Défense - Château de Vincennes,35,Bretagne,2026-08-11 08:49:00,VALIDE
VAL-000143,USG-00066,87611004,Toulouse Matabiau,RER A,Axe RER A Charles de Gaulle - Étoile,31,Occitanie,2026-09-06 08:03:00,VALIDE
VAL-000144,USG-00396,87481002,Nantes,RER A,Axe RER A Charles de Gaulle - Étoile,44,Pays de la Loire,2026-10-02 18:50:00,VALIDE
VAL-000145,USG-00798,87212027,Strasbourg Ville,TGV InOui,Ligne Grande Vitesse East,67,Grand Est,2026-05-30 07:34:00,VALIDE
VAL-000146,USG-02026,87756054,Nice Ville,TGV InOui,Ligne Grande Vitesse East,06,Provence-Alpes-Côte d'Azur,2026-08-15 17:08:00,HORS_ZONE
VAL-000147,USG-02641,87686006,Paris Gare de Lyon,Métro 1,Ligne 1 La Défense - Château de Vincennes,75,Île-de-France,2026-10-06 07:01:00,VALIDE
VAL-000148,USG-02117,87271007,Paris Gare du Nord,RER A,Axe RER A Charles de Gaulle - Étoile,75,Île-de-France,2026-08-17 18:12:00,VALIDE
VAL-000149,USG-01867,87271007,Paris Gare du Nord,Métro 1,Ligne 1 La Défense - Château de Vincennes,75,Île-de-France,2026-10-17 18:22:00,VALIDE
VAL-000150,USG-02615,87212027,Strasbourg Ville,TGV InOui,Ligne Grande Vitesse East,67,Grand Est,2026-06-24 07:47:00,VALIDE
VAL-000151,USG-00101,87481002,Nantes,TGV InOui,Ligne Grande Vitesse East,44,Pays de la Loire,2026-06-19 08:00:00,CORRESPONDANCE
VAL-000152,USG-01502,87481002,Nantes,Métro 1,Ligne 1 La Défense - Château de Vincennes,44,Pays de la Loire,2026-09-05 18:51:00,VALIDE
VAL-000153,USG-02255,87223263,Lille Flandres,RER A,Axe RER A Charles de Gaulle - Étoile,59,Hauts-de-France,2026-07-19 18:06:00,VALIDE
VAL-000154,USG-00405,87747004,Grenoble,TGV InOui,Ligne Grande Vitesse East,38,Auvergne-Rhône-Alpes,2026-10-24 18:47:00,VALIDE
VAL-000155,USG-00664,87722023,Lyon Part-Dieu,TGV InOui,Ligne Grande Vitesse East,69,Auvergne-Rhône-Alpes,2026-09-16 08:12:00,CORRESPONDANCE
VAL-000156,USG-00589,87581009,Bordeaux Saint-Jean,Métro 1,Ligne 1 La Défense - Château de Vincennes,33,Nouvelle-Aquitaine,2026-10-11 08:09:00,CORRESPONDANCE
VAL-000157,USG-01040,87271007,Paris Gare du Nord,RER A,Axe RER A Charles de Gaulle - Étoile,75,Île-de-France,2026-06-19 08:26:00,VALIDE
VAL-000158,USG-00524,87756054,Nice Ville,TER,Ligne Régionale TER,06,Provence-Alpes-Côte d'Azur,2026-08-17 18:12:00,VALIDE
VAL-000159,USG-00833,87722023,Lyon Part-Dieu,TER,Ligne Régionale TER,69,Auvergne-Rhône-Alpes,2026-05-07 08:34:00,VALIDE
VAL-000160,USG-01100,87686006,Paris Gare de Lyon,TGV InOui,Ligne Grande Vitesse East,75,Île-de-France,2026-07-28 18:06:00,VALIDE
VAL-000161,USG-01834,87756054,Nice Ville,TGV InOui,Ligne Grande Vitesse East,06,Provence-Alpes-Côte d'Azur,2026-10-08 08:42:00,VALIDE
VAL-000162,USG-01739,87581009,Bordeaux Saint-Jean,RER A,Axe RER A Charles de Gaulle - Étoile,33,Nouvelle-Aquitaine,2026-05-18 17:20:00,VALIDE
VAL-000163,USG-02262,87581009,Bordeaux Saint-Jean,TGV InOui,Ligne Grande Vitesse East,33,Nouvelle-Aquitaine,2026-05-18 07:23:00,VALIDE
VAL-000164,USG-01891,87581009,Bordeaux Saint-Jean,TGV InOui,Ligne Grande Vitesse East,33,Nouvelle-Aquitaine,2026-08-03 08:23:00,VALIDE
VAL-000165,USG-00841,87212027,Strasbourg Ville,TGV InOui,Ligne Grande Vitesse East,67,Grand Est,2026-06-26 18:25:00,VALIDE
VAL-000166,USG-02459,87481002,Nantes,RER A,Axe RER A Charles de Gaulle - Étoile,44,Pays de la Loire,2026-06-08 17:53:00,HORS_ZONE
VAL-000167,USG-00908,87212027,Strasbourg Ville,RER A,Axe RER A Charles de Gaulle - Étoile,67,Grand Est,2026-06-18 07:12:00,VALIDE
VAL-000168,USG-00380,87212027,Strasbourg Ville,RER A,Axe RER A Charles de Gaulle - Étoile,67,Grand Est,2026-06-21 08:44:00,VALIDE
VAL-000169,USG-01161,87271007,Paris Gare du Nord,TGV InOui,Ligne Grande Vitesse East,75,Île-de-France,2026-09-20 17:25:00,VALIDE
VAL-000170,USG-01935,87481002,Nantes,TER,Ligne Régionale TER,44,Pays de la Loire,2026-09-11 08:20:00,VALIDE
VAL-000171,USG-00923,87471003,Rennes,RER A,Axe RER A Charles de Gaulle - Étoile,35,Bretagne,2026-06-08 08:10:00,VALIDE
VAL-000172,USG-01599,87481002,Nantes,TGV InOui,Ligne Grande Vitesse East,44,Pays de la Loire,2026-06-11 18:05:00,VALIDE
