ligne_axe_id,nom_axe_ferroviaire,gare_depart,gare_arrivee,service_type,region,duree_moyenne_trajet_minutes,circulations_prevues_nombre,nombre_trains_annules,retard_moyen_minutes,taux_regularite_ponctualite_pct,cause_retard_infrastructure_pct,cause_retard_materiel_roulant_pct,cause_retard_gestion_trafic_pct,perte_financiere_retards_eur
AXE-TGV-00033,PARIS VAUGIRARD - BORDEAUX ST JEAN,PARIS VAUGIRARD,BORDEAUX ST JEAN,TGV InOui,National TGV,156.9,63,1,22.3,87.3,28.9,33.9,37.2,170546.33
AXE-TGV-00034,PARIS VAUGIRARD - NANTES,PARIS VAUGIRARD,NANTES,TGV InOui,National TGV,228.4,62,0,11.6,94.2,22.0,37.7,40.3,86609.87
AXE-TGV-00035,RENNES - PARIS VAUGIRARD,RENNES,PARIS VAUGIRARD,TGV InOui,National TGV,69.7,31,0,2.9,98.6,18.5,23.6,57.9,10628.57
AXE-TGV-00036,BESANCON FRANCHE COMTE TGV - PARIS LYON,BESANCON FRANCHE COMTE TGV,PARIS LYON,TGV InOui,National TGV,234.4,205,3,6.5,95.3,21.4,41.2,37.4,171404.15
AXE-TGV-00037,DIJON VILLE - PARIS LYON,DIJON VILLE,PARIS LYON,TGV InOui,National TGV,80.3,451,7,6.7,95.1,26.1,33.8,40.1,387137.27
AXE-TGV-00038,MARSEILLE ST CHARLES - PARIS LYON,MARSEILLE ST CHARLES,PARIS LYON,TGV InOui,National TGV,202.4,431,0,8.3,95.9,33.3,37.6,29.1,428880.49
AXE-TGV-00039,PARIS LYON - AVIGNON TGV,PARIS LYON,AVIGNON TGV,TGV InOui,National TGV,111.0,462,0,11.0,94.5,24.4,28.3,47.3,612188.5
AXE-TGV-00040,PARIS LYON - BESANCON FRANCHE COMTE TGV,PARIS LYON,BESANCON FRANCHE COMTE TGV,TGV InOui,National TGV,155.1,202,2,11.6,93.2,19.4,39.2,41.4,287896.0
AXE-TGV-00041,PARIS LYON - CHAMBERY CHALLES LES EAUX,PARIS LYON,CHAMBERY CHALLES LES EAUX,TGV InOui,National TGV,225.7,271,0,13.6,93.2,29.7,29.6,40.7,442048.13
AXE-TGV-00042,PARIS LYON - PERPIGNAN,PARIS LYON,PERPIGNAN,TGV InOui,National TGV,220.9,145,0,14.5,92.7,23.9,41.3,34.8,252390.0
AXE-TGV-00043,PERPIGNAN - PARIS LYON,PERPIGNAN,PARIS LYON,TGV InOui,National TGV,154.7,166,0,10.1,94.9,21.6,35.3,43.1,201868.3
AXE-TGV-00044,VALENCE ALIXAN TGV - PARIS LYON,VALENCE ALIXAN TGV,PARIS LYON,TGV InOui,National TGV,165.8,280,2,11.2,93.7,19.5,42.0,38.5,383371.91
AXE-TGV-00045,STUTTGART - PARIS EST,STUTTGART,PARIS EST,TGV InOui,National TGV,68.8,154,5,4.6,94.4,20.3,35.9,43.8,105319.97
AXE-TGV-00046,LYON PART DIEU - RENNES,LYON PART DIEU,RENNES,TGV InOui,National TGV,148.1,88,2,7.0,94.2,28.6,33.5,37.9,81587.44
AXE-TGV-00047,PARIS MONTPARNASSE - ANGERS SAINT LAUD,PARIS MONTPARNASSE,ANGERS SAINT LAUD,TGV InOui,National TGV,220.2,385,3,8.4,95.0,27.5,27.7,44.8,396840.9
AXE-TGV-00048,PARIS MONTPARNASSE - ANGOULEME,PARIS MONTPARNASSE,ANGOULEME,TGV InOui,National TGV,85.9,239,4,6.3,95.2,24.2,25.9,49.9,197004.72
AXE-TGV-00049,PARIS MONTPARNASSE - BREST,PARIS MONTPARNASSE,BREST,TGV InOui,National TGV,208.8,281,1,8.1,95.6,24.8,27.4,47.8,276660.0
AXE-TGV-00050,PARIS MONTPARNASSE - QUIMPER,PARIS MONTPARNASSE,QUIMPER,TGV InOui,National TGV,145.0,248,1,9.5,94.8,33.3,37.5,29.2,286120.05
AXE-TGV-00051,PARIS MONTPARNASSE - ST PIERRE DES CORPS,PARIS MONTPARNASSE,ST PIERRE DES CORPS,TGV InOui,National TGV,236.3,391,2,7.8,95.6,26.0,32.3,41.7,372963.7
AXE-TGV-00052,PARIS MONTPARNASSE - TOURS,PARIS MONTPARNASSE,TOURS,TGV InOui,National TGV,189.4,186,0,9.6,95.2,19.5,33.9,46.6,213887.6
AXE-TGV-00053,RENNES - PARIS MONTPARNASSE,RENNES,PARIS MONTPARNASSE,TGV InOui,National TGV,127.7,599,4,7.6,95.5,23.1,37.6,39.3,559925.0
AXE-TGV-00054,METZ - PARIS EST,METZ,PARIS EST,TGV InOui,National TGV,162.4,307,1,8.0,95.7,31.7,41.4,26.9,299971.69
AXE-TGV-00055,NANCY - PARIS EST,NANCY,PARIS EST,TGV InOui,National TGV,170.4,306,1,8.3,95.5,23.5,30.3,46.2,306535.92
AXE-TGV-00056,NANTES - STRASBOURG,NANTES,STRASBOURG,TGV InOui,National TGV,96.6,39,0,2.8,98.6,33.6,26.8,39.6,13270.64
AXE-TGV-00057,PARIS EST - REIMS,PARIS EST,REIMS,TGV InOui,National TGV,75.1,218,1,5.5,96.8,21.9,24.5,53.6,147503.0
AXE-TGV-00058,LILLE - LYON PART DIEU,LILLE,LYON PART DIEU,TGV InOui,National TGV,89.4,292,8,10.0,92.2,22.6,22.8,54.6,378201.38
AXE-TGV-00059,PARIS NORD - LILLE,PARIS NORD,LILLE,TGV InOui,National TGV,185.6,568,5,8.8,94.7,27.4,28.0,44.6,618981.27
AXE-TGV-00060,BORDEAUX ST JEAN - TOURCOING,BORDEAUX ST JEAN,TOURCOING,TGV InOui,National TGV,121.0,31,0,2.8,98.6,30.5,25.3,44.2,10249.08
AXE-TGV-00061,NANTES - PARIS VAUGIRARD,NANTES,PARIS VAUGIRARD,TGV InOui,National TGV,213.4,62,0,13.9,93.1,19.2,38.6,42.2,103201.07
AXE-TGV-00062,LE CREUSOT MONTCEAU MONTCHANIN - PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,TGV InOui,National TGV,70.5,224,1,9.9,94.6,31.6,36.1,32.3,270214.16
AXE-TGV-00063,MARNE LA VALLEE - LYON PART DIEU,MARNE LA VALLEE,LYON PART DIEU,TGV InOui,National TGV,108.7,335,9,12.5,91.1,31.8,26.9,41.3,529340.08
AXE-TGV-00064,NICE VILLE - PARIS LYON,NICE VILLE,PARIS LYON,TGV InOui,National TGV,182.3,197,0,10.0,95.0,33.0,42.0,25.0,235485.36
AXE-TGV-00065,PARIS LYON - BELLEGARDE (AIN),PARIS LYON,BELLEGARDE (AIN),TGV InOui,National TGV,130.7,231,2,5.8,96.2,33.5,33.3,33.2,167858.65
AXE-TGV-00066,PARIS LYON - GRENOBLE,PARIS LYON,GRENOBLE,TGV InOui,National TGV,145.3,262,0,9.7,95.1,33.8,42.0,24.2,305439.6
AXE-TGV-00067,PARIS LYON - MONTPELLIER,PARIS LYON,MONTPELLIER,TGV InOui,National TGV,217.4,294,0,12.2,93.9,22.1,32.1,45.8,431404.34
AXE-TGV-00068,PARIS LYON - NICE VILLE,PARIS LYON,NICE VILLE,TGV InOui,National TGV,92.7,196,2,14.0,92.0,33.9,34.7,31.4,335211.0
AXE-TGV-00069,ITALIE - PARIS LYON,ITALIE,PARIS LYON,TGV InOui,National TGV,198.2,95,1,5.8,96.0,25.6,28.4,46.0,70252.41
AXE-TGV-00070,LAUSANNE - PARIS LYON,LAUSANNE,PARIS LYON,TGV InOui,National TGV,87.2,144,3,3.1,96.4,26.3,22.2,51.5,65667.44
AXE-TGV-00071,PARIS LYON - ZURICH,PARIS LYON,ZURICH,TGV InOui,National TGV,121.0,153,3,8.9,93.6,21.0,23.7,55.3,174420.0
AXE-TGV-00072,PARIS LYON - BARCELONA,PARIS LYON,BARCELONA,TGV InOui,National TGV,196.9,62,0,11.9,94.0,27.6,34.7,37.7,88869.25
AXE-TGV-00073,ANGOULEME - PARIS MONTPARNASSE,ANGOULEME,PARIS MONTPARNASSE,TGV InOui,National TGV,125.0,270,4,5.7,95.7,24.2,27.8,48.0,200267.14
AXE-TGV-00074,BREST - PARIS MONTPARNASSE,BREST,PARIS MONTPARNASSE,TGV InOui,National TGV,92.2,284,3,2.2,97.8,31.2,28.3,40.5,89370.0
AXE-TGV-00075,LA ROCHELLE VILLE - PARIS MONTPARNASSE,LA ROCHELLE VILLE,PARIS MONTPARNASSE,TGV InOui,National TGV,180.2,222,0,2.9,98.6,28.1,34.8,37.1,76590.0
AXE-TGV-00076,NANTES - PARIS MONTPARNASSE,NANTES,PARIS MONTPARNASSE,TGV InOui,National TGV,110.5,525,3,7.3,95.8,23.2,39.9,36.9,470458.26
AXE-TGV-00077,PARIS MONTPARNASSE - BORDEAUX ST JEAN,PARIS MONTPARNASSE,BORDEAUX ST JEAN,TGV InOui,National TGV,129.6,775,7,9.4,94.4,22.2,27.0,50.8,895759.46
AXE-TGV-00078,PARIS MONTPARNASSE - RENNES,PARIS MONTPARNASSE,RENNES,TGV InOui,National TGV,73.7,590,1,10.1,94.8,18.4,25.4,56.2,717562.78
AXE-TGV-00079,PARIS MONTPARNASSE - ST MALO,PARIS MONTPARNASSE,ST MALO,TGV InOui,National TGV,135.4,102,0,19.9,90.0,28.8,41.0,30.2,243729.0
AXE-TGV-00080,PARIS MONTPARNASSE - TOULOUSE MATABIAU,PARIS MONTPARNASSE,TOULOUSE MATABIAU,TGV InOui,National TGV,128.8,182,1,10.4,94.2,22.7,34.5,42.8,230654.74
AXE-TGV-00081,QUIMPER - PARIS MONTPARNASSE,QUIMPER,PARIS MONTPARNASSE,TGV InOui,National TGV,106.5,256,1,16.3,91.4,23.7,32.0,44.3,504300.0
AXE-TGV-00082,RENNES - LYON PART DIEU,RENNES,LYON PART DIEU,TGV InOui,National TGV,75.1,99,0,3.0,98.5,26.9,34.8,38.3,35640.0
AXE-TGV-00083,PARIS EST - STRASBOURG,PARIS EST,STRASBOURG,TGV InOui,National TGV,211.8,494,9,6.3,95.0,29.3,34.9,35.8,405239.8
AXE-TGV-00084,STRASBOURG - PARIS EST,STRASBOURG,PARIS EST,TGV InOui,National TGV,99.5,507,7,7.2,95.0,33.4,32.1,34.5,464629.71
AXE-TGV-00085,MARSEILLE ST CHARLES - LILLE,MARSEILLE ST CHARLES,LILLE,TGV InOui,National TGV,95.7,187,2,8.3,94.8,28.4,35.0,36.6,192603.25
AXE-TGV-00086,AVIGNON TGV - PARIS LYON,AVIGNON TGV,PARIS LYON,TGV InOui,National TGV,174.0,538,0,11.7,94.2,31.3,33.4,35.3,754532.66
AXE-TGV-00087,LYON PART DIEU - PARIS LYON,LYON PART DIEU,PARIS LYON,TGV InOui,National TGV,206.3,659,3,6.3,96.4,21.1,30.6,48.3,512944.92
AXE-TGV-00088,LYON PART DIEU - MONTPELLIER,LYON PART DIEU,MONTPELLIER,TGV InOui,National TGV,91.9,303,5,12.7,92.0,20.9,26.8,52.3,475378.4
AXE-TGV-00089,MONTPELLIER - LYON PART DIEU,MONTPELLIER,LYON PART DIEU,TGV InOui,National TGV,215.8,299,6,11.3,92.3,18.3,37.0,44.7,424625.64
AXE-TGV-00090,MULHOUSE VILLE - PARIS LYON,MULHOUSE VILLE,PARIS LYON,TGV InOui,National TGV,224.3,328,8,6.6,94.3,23.1,28.3,48.6,288558.49
AXE-TGV-00091,PARIS LYON - DIJON VILLE,PARIS LYON,DIJON VILLE,TGV InOui,National TGV,155.0,468,6,11.6,92.9,28.6,27.1,44.3,668405.03
AXE-TGV-00092,PARIS LYON - MULHOUSE VILLE,PARIS LYON,MULHOUSE VILLE,TGV InOui,National TGV,202.8,299,5,10.9,92.9,23.9,31.5,44.6,406651.66
AXE-TGV-00093,PARIS LYON - NIMES,PARIS LYON,NIMES,TGV InOui,National TGV,214.8,294,0,12.2,93.9,24.6,28.3,47.1,431404.34
AXE-TGV-00094,PARIS LYON - VALENCE ALIXAN TGV,PARIS LYON,VALENCE ALIXAN TGV,TGV InOui,National TGV,93.2,323,0,12.1,94.0,23.7,39.0,37.3,467690.26
AXE-TGV-00095,SAINT ETIENNE CHATEAUCREUX - PARIS LYON,SAINT ETIENNE CHATEAUCREUX,PARIS LYON,TGV InOui,National TGV,103.8,118,0,6.4,96.8,21.9,30.4,47.7,90250.33
AXE-TGV-00096,GENEVE - PARIS LYON,GENEVE,PARIS LYON,TGV InOui,National TGV,84.3,230,1,3.7,97.7,30.3,25.4,44.3,107160.27
AXE-TGV-00097,PARIS EST - STUTTGART,PARIS EST,STUTTGART,TGV InOui,National TGV,95.7,155,4,10.3,92.3,20.8,24.2,55.0,204636.0
AXE-TGV-00098,ANGERS SAINT LAUD - PARIS MONTPARNASSE,ANGERS SAINT LAUD,PARIS MONTPARNASSE,TGV InOui,National TGV,88.9,393,2,6.4,96.3,31.1,23.6,45.3,309311.0
AXE-TGV-00099,LAVAL - PARIS MONTPARNASSE,LAVAL,PARIS MONTPARNASSE,TGV InOui,National TGV,84.5,208,0,7.3,96.4,19.2,24.8,56.0,181905.9
AXE-TGV-00100,PARIS MONTPARNASSE - LE MANS,PARIS MONTPARNASSE,LE MANS,TGV InOui,National TGV,195.0,441,2,10.5,94.3,24.2,37.3,38.5,560794.68
AXE-TGV-00101,PARIS MONTPARNASSE - POITIERS,PARIS MONTPARNASSE,POITIERS,TGV InOui,National TGV,138.2,506,4,7.7,95.4,29.8,31.1,39.1,482916.77
AXE-TGV-00102,PARIS EST - NANCY,PARIS EST,NANCY,TGV InOui,National TGV,117.4,299,3,5.3,96.4,22.3,36.0,41.7,200409.2
AXE-TGV-00103,STRASBOURG - NANTES,STRASBOURG,NANTES,TGV InOui,National TGV,179.0,40,1,4.2,95.4,24.8,30.9,44.3,23930.67
AXE-TGV-00104,ARRAS - PARIS NORD,ARRAS,PARIS NORD,TGV InOui,National TGV,82.1,312,4,8.9,94.3,23.1,22.4,54.5,345612.81
AXE-TGV-00105,DUNKERQUE - PARIS NORD,DUNKERQUE,PARIS NORD,TGV InOui,National TGV,133.6,245,1,8.9,95.1,30.5,40.5,29.0,265928.57
AXE-TGV-00106,PARIS NORD - ARRAS,PARIS NORD,ARRAS,TGV InOui,National TGV,136.3,287,5,8.7,93.9,32.6,39.5,27.9,316851.6
AXE-TGV-00107,BORDEAUX ST JEAN - PARIS VAUGIRARD,BORDEAUX ST JEAN,PARIS VAUGIRARD,TGV InOui,National TGV,212.0,62,0,22.4,88.8,21.0,25.7,53.3,166614.67
AXE-TGV-00108,MARSEILLE ST CHARLES - TOURCOING,MARSEILLE ST CHARLES,TOURCOING,TGV InOui,National TGV,150.1,31,0,10.8,94.6,24.5,22.8,52.7,40061.54
AXE-TGV-00109,PARIS VAUGIRARD - RENNES,PARIS VAUGIRARD,RENNES,TGV InOui,National TGV,225.4,31,0,10.6,94.7,25.2,31.4,43.4,39300.25
AXE-TGV-00110,TOURCOING - BORDEAUX ST JEAN,TOURCOING,BORDEAUX ST JEAN,TGV InOui,National TGV,206.0,31,0,8.4,95.8,27.9,39.1,33.0,31248.0
AXE-TGV-00111,TOURCOING - MARSEILLE ST CHARLES,TOURCOING,MARSEILLE ST CHARLES,TGV InOui,National TGV,185.5,31,1,0.0,96.8,21.7,34.9,43.4,4500.0
AXE-TGV-00112,BELLEGARDE (AIN) - PARIS LYON,BELLEGARDE (AIN),PARIS LYON,TGV InOui,National TGV,156.7,259,3,8.3,94.7,23.1,22.5,54.4,267037.95
AXE-TGV-00113,CHAMBERY CHALLES LES EAUX - PARIS LYON,CHAMBERY CHALLES LES EAUX,PARIS LYON,TGV InOui,National TGV,127.1,278,1,15.0,92.1,26.9,32.2,40.9,503308.21
AXE-TGV-00114,LYON PART DIEU - MARSEILLE ST CHARLES,LYON PART DIEU,MARSEILLE ST CHARLES,TGV InOui,National TGV,132.8,539,7,16.2,90.6,33.7,25.2,41.1,1066501.09
AXE-TGV-00115,MARNE LA VALLEE - MARSEILLE ST CHARLES,MARNE LA VALLEE,MARSEILLE ST CHARLES,TGV InOui,National TGV,187.3,323,6,12.4,92.0,27.8,41.5,30.7,497575.12
AXE-TGV-00116,MARSEILLE ST CHARLES - MARNE LA VALLEE,MARSEILLE ST CHARLES,MARNE LA VALLEE,TGV InOui,National TGV,232.3,312,2,10.7,94.0,19.6,24.1,56.3,407619.74
AXE-TGV-00117,NIMES - PARIS LYON,NIMES,PARIS LYON,TGV InOui,National TGV,199.9,341,2,10.3,94.3,22.2,32.2,45.6,427298.72
AXE-TGV-00118,PARIS LYON - AIX EN PROVENCE TGV,PARIS LYON,AIX EN PROVENCE TGV,TGV InOui,National TGV,223.4,424,0,10.3,94.9,24.1,27.5,48.4,523267.92
AXE-TGV-00119,PARIS LYON - ANNECY,PARIS LYON,ANNECY,TGV InOui,National TGV,170.0,199,1,13.1,93.0,19.4,27.0,53.6,315373.66
AXE-TGV-00120,PARIS LYON - LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,TGV InOui,National TGV,201.4,208,0,10.5,94.8,20.4,23.5,56.1,261224.89
AXE-TGV-00121,PARIS LYON - LYON PART DIEU,PARIS LYON,LYON PART DIEU,TGV InOui,National TGV,209.6,630,1,9.4,95.2,32.4,22.6,45.0,711936.3
AXE-TGV-00122,PARIS LYON - MACON LOCHE,PARIS LYON,MACON LOCHE,TGV InOui,National TGV,118.3,227,1,15.0,92.1,31.8,24.2,44.0,411227.1
AXE-TGV-00123,PARIS LYON - SAINT ETIENNE CHATEAUCREUX,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,TGV InOui,National TGV,198.8,112,0,9.1,95.4,22.2,36.2,41.6,122372.92
AXE-TGV-00124,PARIS LYON - TOULON,PARIS LYON,TOULON,TGV InOui,National TGV,71.9,221,2,13.0,92.6,26.0,41.5,32.5,351662.0
AXE-TGV-00125,TOULON - PARIS LYON,TOULON,PARIS LYON,TGV InOui,National TGV,105.0,273,0,9.7,95.2,24.5,34.1,41.4,317651.2
AXE-TGV-00126,MARSEILLE ST CHARLES - MADRID,MARSEILLE ST CHARLES,MADRID,TGV InOui,National TGV,228.2,15,0,14.0,93.0,20.4,33.7,45.9,25140.0
AXE-TGV-00127,PARIS EST - FRANCFORT,PARIS EST,FRANCFORT,TGV InOui,National TGV,63.0,177,2,6.2,95.7,26.2,30.8,43.0,140084.21
AXE-TGV-00128,PARIS LYON - GENEVE,PARIS LYON,GENEVE,TGV InOui,National TGV,129.3,207,0,5.8,97.1,27.9,35.4,36.7,144619.07
AXE-TGV-00129,ZURICH - PARIS LYON,ZURICH,PARIS LYON,TGV InOui,National TGV,225.9,122,3,4.4,95.4,32.2,34.5,33.3,75892.62
AXE-TGV-00130,PARIS MONTPARNASSE - QUIMPER,PARIS MONTPARNASSE,QUIMPER,TGV InOui,National TGV,93.1,237,11,19.7,85.5,30.1,31.7,38.2,583510.88
AXE-TGV-00131,PARIS MONTPARNASSE - RENNES,PARIS MONTPARNASSE,RENNES,TGV InOui,National TGV,97.9,547,32,18.2,85.1,25.7,32.7,41.6,1268337.44
AXE-TGV-00132,QUIMPER - PARIS MONTPARNASSE,QUIMPER,PARIS MONTPARNASSE,TGV InOui,National TGV,175.0,220,7,9.4,92.1,34.0,27.4,38.6,271480.0
AXE-TGV-00133,RENNES - PARIS MONTPARNASSE,RENNES,PARIS MONTPARNASSE,TGV InOui,National TGV,161.5,567,27,10.2,90.1,26.2,26.6,47.2,785529.96
AXE-TGV-00134,RENNES - LYON PART DIEU,RENNES,LYON PART DIEU,TGV InOui,National TGV,127.6,83,0,6.7,96.6,18.5,34.9,46.6,67193.11
AXE-TGV-00135,TOURS - PARIS MONTPARNASSE,TOURS,PARIS MONTPARNASSE,TGV InOui,National TGV,192.7,177,10,5.7,91.5,29.4,32.6,38.0,158393.0
AXE-TGV-00136,NANCY - PARIS EST,NANCY,PARIS EST,TGV InOui,National TGV,213.3,276,3,9.4,94.2,29.6,37.9,32.5,321525.49
AXE-TGV-00137,PARIS EST - METZ,PARIS EST,METZ,TGV InOui,National TGV,160.5,275,8,13.2,90.5,28.3,35.5,36.2,458871.36
AXE-TGV-00138,STRASBOURG - PARIS EST,STRASBOURG,PARIS EST,TGV InOui,National TGV,114.5,455,5,10.4,93.7,23.4,38.9,37.7,583137.5
AXE-TGV-00139,DUNKERQUE - PARIS NORD,DUNKERQUE,PARIS NORD,TGV InOui,National TGV,230.2,228,5,5.8,94.9,29.8,24.8,45.4,178042.5
AXE-TGV-00140,LYON PART DIEU - LILLE,LYON PART DIEU,LILLE,TGV InOui,National TGV,81.9,265,2,11.0,93.8,27.9,30.2,41.9,355709.87
AXE-TGV-00141,MARSEILLE ST CHARLES - LILLE,MARSEILLE ST CHARLES,LILLE,TGV InOui,National TGV,75.3,167,2,9.3,94.2,29.8,39.7,30.5,193131.08
AXE-TGV-00142,BORDEAUX ST JEAN - TOURCOING,BORDEAUX ST JEAN,TOURCOING,TGV InOui,National TGV,222.4,28,0,12.4,93.8,31.8,40.8,27.4,41559.47
AXE-TGV-00143,PARIS VAUGIRARD - BORDEAUX ST JEAN,PARIS VAUGIRARD,BORDEAUX ST JEAN,TGV InOui,National TGV,183.8,54,1,30.2,83.1,28.3,36.4,35.3,196328.2
