code_uic_gare,nom_gare,code_postal,departement_code,region_nom,direction_regionale_sncf,total_voyageurs_2024,total_voyageurs_2023,total_voyageurs_2022
87394288,Condé-sur-Huisne,61110,61,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,24049,24342,24077
87396309,Connerré - Beillé,72160,72,DRG B-CVL-PDL,DRG B-CVL-PDL,109988,102928,98889
87721241,Couzon-au-Mont-d'Or,69270,69,DRG AURA BFC,DRG AURA BFC,79132,69491,69501
87611707,Escalquens,31750,31,DRG OCCITANIE SUD,DRG OCCITANIE SUD,69299,72598,61053
87316752,Feuquerolles,80190,80,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,0,0,0
87317503,Feuquières - Fressenneville,80210,80,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,1249,924,860
87181040,Flaxlanden,68720,68,DRG GRAND EST,DRG GRAND EST,9376,12104,10067
87491159,Fontaines-d'Ozillac,17500,17,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,0,0,0
87722439,Givors Canal,69700,69,DRG AURA BFC,DRG AURA BFC,106952,94057,89834
87313734,Grandvilliers,60210,60,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,100500,88243,82200
87182329,Herrlisheim-près-Colmar,68420,68,DRG GRAND EST,DRG GRAND EST,82428,75686,58589
87295063,Hirson,02500,02,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,191241,157237,148043
87696450,Imphy,58160,58,DRG AURA BFC,DRG AURA BFC,62795,50846,58517
87747535,Jarrie - Vizille,38560,38,DRG AURA BFC,DRG AURA BFC,14946,16068,18757
87394155,Jouy,28300,28,DRG B-CVL-PDL,DRG B-CVL-PDL,124677,116457,110910
87757666,Juan les Pins,06160,06,DRG OCCITANIE SUD,DRG OCCITANIE SUD,1072078,1027841,837466
87182642,Kruth,68820,68,DRG GRAND EST,DRG GRAND EST,35800,32742,25710
87741678,La Bâthie,73540,73,DRG AURA BFC,DRG AURA BFC,285,181,106
87696195,La Charité-sur-Loire,58400,58,DRG AURA BFC,DRG AURA BFC,193984,173644,193780
87757740,La Frayère,06150,06,DRG OCCITANIE SUD,DRG OCCITANIE SUD,109839,107066,98979
87396093,La Hutte Coulombiers,72130,72,DRG B-CVL-PDL,DRG B-CVL-PDL,29337,25280,20419
87437798,La Rochelle Porte Dauphine,17000,17,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,98919,85883,75548
87471144,Laillé,35890,35,DRG B-CVL-PDL,DRG B-CVL-PDL,29088,26072,20854
87613323,Lalbenque - Fontanes,46230,46,DRG OCCITANIE SUD,DRG OCCITANIE SUD,37623,35977,31861
87473108,Lamballe,22400,22,DRG B-CVL-PDL,DRG B-CVL-PDL,711369,668255,611161
87641043,Lapeyrouse,63700,63,DRG AURA BFC,DRG AURA BFC,10013,9943,8109
87694109,Le Creusot - Montceau-les-Mines - Montchanin TGV,71210,71,DRG AURA BFC,DRG AURA BFC,683035,689875,653544
87721555,Lentilly,69210,69,DRG AURA BFC,DRG AURA BFC,305289,289118,302612
87584532,Les Églisottes-et-Chalaures,33230,33,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,26851,24938,22336
87746743,Les Houches,74310,74,DRG AURA BFC,DRG AURA BFC,25588,19247,22571
87276303,Longueil-Sainte-Marie,60126,60,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,33577,34598,38261
87345033,Loos-en-Gohelle,62750,62,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,4098,4593,5685
87641050,Louroux-de-Bouble,03330,03,DRG AURA BFC,DRG AURA BFC,4967,3963,3290
87722025,Lyon Perrache,69286,69,DRG AURA BFC,DRG AURA BFC,7871334,7637077,7132629
87746412,Magland,74300,74,DRG AURA BFC,DRG AURA BFC,36828,30197,30381
87381509,Mantes-la-Jolie,78200,78,DEX GIF,DEX GIF,9911587,8983680,8323186
87295006,Maubeuge,59600,59,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,596207,562000,513226
87313064,Méricourt - Ribemont,80340,80,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,46491,57762,48927
87381830,Meulan - Hardricourt,78250,78,DEX GIF,DEX GIF,816977,740542,734198
87751370,Meyrargues,13650,13,DRG OCCITANIE SUD,DRG OCCITANIE SUD,60708,53678,45708
87725838,Mézériat,01660,01,DRG AURA BFC,DRG AURA BFC,46281,46674,46871
87574681,Monnaie,37380,37,DRG B-CVL-PDL,DRG B-CVL-PDL,56192,49516,48872
87286732,Roubaix,59100,59,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,138862,127293,137990
87212373,Rountzenheim,67480,67,DRG GRAND EST,DRG GRAND EST,49682,45257,40769
87726307,Saint-Chamond,42400,42,DRG AURA BFC,DRG AURA BFC,753515,704109,682864
87584508,Saint-Denis-de-Pile,33910,33,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,34285,32649,32692
87116178,Sainte-Colombe Septveilles,77650,77,DEX GIF,DEX GIF,125372,113678,114903
87597054,Sainte-Lizaigne,36260,36,DRG B-CVL-PDL,DRG B-CVL-PDL,3339,3399,2303
87726174,Saint-Étienne Le Clapier,42000,42,DRG AURA BFC,DRG AURA BFC,68999,59874,56068
87485490,Saint-Maixent-L'École,79400,79,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,231063,214436,191652
87753681,Saint-Martin-de-Crau,13310,13,DRG OCCITANIE SUD,DRG OCCITANIE SUD,145878,117531,103233
87386052,Achères Grand Cormier,78100,78,DEX GIF,DEX GIF,207774,188426,177092
87191643,Apach,57480,57,DRG GRAND EST,DRG GRAND EST,1590,2745,1512
87545467,Arpajon,91290,91,DEX GIF,DEX GIF,1672746,1516858,1425412
87386730,Aubergenville Élisabethville,78410,78,DEX GIF,DEX GIF,1857062,1683413,1580464
87611384,Auterive,31190,31,DRG OCCITANIE SUD,DRG OCCITANIE SUD,343608,389928,356140
87765008,Avignon Centre,84000,84,DRG OCCITANIE SUD,DRG OCCITANIE SUD,3339139,2982128,2775924
87611533,Ax-les-Thermes,09110,09,DRG OCCITANIE SUD,DRG OCCITANIE SUD,138906,93053,87663
87182840,Bantzenheim,68490,68,DRG GRAND EST,DRG GRAND EST,4838,6682,6457
87574152,Baule,45130,45,DRG B-CVL-PDL,DRG B-CVL-PDL,27557,25967,23367
87175133,Bayard,52170,52,DRG GRAND EST,DRG GRAND EST,89,66,119
87141804,Belleville,54940,54,DRG GRAND EST,DRG GRAND EST,26949,31805,26977
87300863,Besançon Franche-Comté TGV,25870,25,DRG AURA BFC,DRG AURA BFC,667419,739282,618834
87718007,Besançon Viotte,25000,25,DRG AURA BFC,DRG AURA BFC,2903968,2725611,2616257
87471219,Beslé,44290,44,DRG B-CVL-PDL,DRG B-CVL-PDL,56705,52652,38875
87471045,Betton,35830,35,DRG B-CVL-PDL,DRG B-CVL-PDL,114781,93491,98453
87381152,Boissy-l'Aillerie,95650,95,DEX GIF,DEX GIF,272565,247894,255631
87276717,Bornel - Belle-Église,60540,60,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,354397,319556,288300
87611095,Boussens,31360,31,DRG OCCITANIE SUD,DRG OCCITANIE SUD,290206,299078,232802
87594762,Bretenoux - Biars,46130,46,DRG OCCITANIE SUD,DRG OCCITANIE SUD,26886,25045,21440
87592063,Brignac,87400,87,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,676,334,249
87387092,Bueil,27730,27,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,122018,126931,109663
87681510,Buno - Gironville,91720,91,DEX GIF,DEX GIF,56114,53326,50110
87672634,Buzy en Béarn,64260,64,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,18102,14379,11705
87783340,Campagnac - Saint-Geniez,12560,12,DRG OCCITANIE SUD,DRG OCCITANIE SUD,1873,1615,998
87613109,Capdenac,12700,12,DRG OCCITANIE SUD,DRG OCCITANIE SUD,110896,146452,164724
87582841,Caudrot,33490,33,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,12384,11150,9654
87345561,Caudry,59540,59,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,155967,142437,129414
87486332,Chantonnay,85110,85,DRG B-CVL-PDL,DRG B-CVL-PDL,16990,16351,16772
87712679,Chaugey,21170,21,DRG AURA BFC,DRG AURA BFC,15732,12885,13134
87481440,Clisson,44190,44,DRG B-CVL-PDL,DRG B-CVL-PDL,1124278,1095662,1010242
87175257,Commercy,55200,55,DRG GRAND EST,DRG GRAND EST,265631,276194,212829
87382200,Courbevoie,92400,92,DEX GIF,DEX GIF,4647654,4214140,4387299
87142125,Culmont - Chalindrey,52600,52,DRG GRAND EST,DRG GRAND EST,112123,82318,73190
87696484,Decize,58300,58,DRG AURA BFC,DRG AURA BFC,100153,83999,100407
87141119,Dombasle-sur-Meurthe,54110,54,DRG GRAND EST,DRG GRAND EST,355303,355471,291082
87214338,Dorlisheim,67120,67,DRG GRAND EST,DRG GRAND EST,118003,101569,93874
87214221,Epfig,67680,67,DRG GRAND EST,DRG GRAND EST,45765,44354,37423
87741280,Épierre - Saint-Léger,73220,73,DRG AURA BFC,DRG AURA BFC,38510,33229,31647
87413732,Épouville,76133,76,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,489,1540,1173
87590356,Erdre Active,44240,44,DRG B-CVL-PDL,DRG B-CVL-PDL,54569,50768,43072
87745679,Évian-les-Bains,74500,74,DRG AURA BFC,DRG AURA BFC,350538,292552,241382
87726729,Firminy,42700,42,DRG AURA BFC,DRG AURA BFC,253070,236609,230206
87784819,Font-Romeu-Odeillo-Via,66120,66,DRG OCCITANIE SUD,DRG OCCITANIE SUD,58396,66678,65103
87381566,Gargenville,78440,78,DEX GIF,DEX GIF,615703,557869,551656
87271205,Gennevilliers,92230,92,DEX GIF,DEX GIF,1963009,1780072,1672742
87171587,Germaine,51160,51,DRG GRAND EST,DRG GRAND EST,24127,24110,20297
87565143,Halte de Fontanil – Lycée de Drap,06340,06,DRG OCCITANIE SUD,DRG OCCITANIE SUD,15242,23954,37402
87324335,Hirson Écoles,02500,02,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,33863,42788,36572
87342279,Isbergues,62330,62,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,184564,164956,150580
87214114,Kogenheim,67230,67,DRG GRAND EST,DRG GRAND EST,41035,36793,29617
87755306,La Garde,83130,83,DRG OCCITANIE SUD,DRG OCCITANIE SUD,239302,218212,195128
87478099,La Gouesnière - Cancale - Saint-Méloir-des-Ondes,35350,35,DRG B-CVL-PDL,DRG B-CVL-PDL,94728,85333,72140
87721431,L'Arbresle,69210,69,DRG AURA BFC,DRG AURA BFC,784469,732605,722759
87597740,Lavaufranche,23600,23,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,1454,988,936
87775825,Le Cailar,30740,30,DRG OCCITANIE SUD,DRG OCCITANIE SUD,19060,13155,8480
87481168,Le Cellier,44850,44,DRG B-CVL-PDL,DRG B-CVL-PDL,87362,77857,61429
87775866,Le Grau-du-Roi,30240,30,DRG OCCITANIE SUD,DRG OCCITANIE SUD,174264,175776,136622
87413013,Le Havre,76600,76,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,2070670,2116610,1875316
87741470,Le Pont-de-Beauvoisin,38480,38,DRG AURA BFC,DRG AURA BFC,217885,196065,166219
87396333,Le Theil - La Rouge,61260,61,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,21145,19637,18634
87677104,Les Deux Jumeaux,64700,64,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,60206,51946,40965
87272146,Les Grésillons,92230,92,DEX GIF,DEX GIF,2669352,2420587,2274636
87611517,L'Hospitalet-près-l'Andorre,09390,09,DRG OCCITANIE SUD,DRG OCCITANIE SUD,21164,19765,16950
87718130,Liesle,25440,25,DRG AURA BFC,DRG AURA BFC,10064,11345,10785
87773424,Lunel-Viel,34400,34,DRG OCCITANIE SUD,DRG OCCITANIE SUD,14100,12785,11407
87214650,Lutzelhouse,67130,67,DRG GRAND EST,DRG GRAND EST,160636,147238,138935
87611558,Luzenac - Garanou,09250,09,DRG OCCITANIE SUD,DRG OCCITANIE SUD,11304,11835,11181
87394429,Magny - Blandainville,28120,28,DRG B-CVL-PDL,DRG B-CVL-PDL,10462,11900,14061
87394130,Maintenon,28130,28,DRG B-CVL-PDL,DRG B-CVL-PDL,1327025,1353829,1352209
87725465,Massy Europe,91300,91,DEX GIF,DEX GIF,667558,0,0
87144212,Mirecourt,88500,88,DRG GRAND EST,DRG GRAND EST,104425,116549,91594
87471086,Montauban-de-Bretagne,35360,35,DRG B-CVL-PDL,DRG B-CVL-PDL,354751,328539,278042
87718866,Montbarrey,39380,39,DRG AURA BFC,DRG AURA BFC,1198,1261,724
87116285,Mouroux,77120,77,DEX GIF,DEX GIF,114793,104086,93212
87182394,Munster,68140,68,DRG GRAND EST,DRG GRAND EST,290061,270683,228245
87756056,Nice,06008,06,DRG OCCITANIE SUD,DRG OCCITANIE SUD,12131450,11229438,9397550
87756254,Nice Saint-Augustin,06200,06,DRG OCCITANIE SUD,DRG OCCITANIE SUD,2414208,2102122,1704378
87784728,Olette - Canaveilles,66360,66,DRG OCCITANIE SUD,DRG OCCITANIE SUD,3444,3776,2807
87751362,Pertuis,84120,84,DRG OCCITANIE SUD,DRG OCCITANIE SUD,28017,23046,18773
87764308,Pierrelatte,26700,26,DRG AURA BFC,DRG AURA BFC,328901,282395,265859
87473272,Plancoët,22130,22,DRG B-CVL-PDL,DRG B-CVL-PDL,14960,13206,13965
87473538,Plougonver,22810,22,DRG B-CVL-PDL,DRG B-CVL-PDL,6482,6239,6494
87726786,Pont de Lignon,43430,43,DRG AURA BFC,DRG AURA BFC,2424,1532,1260
87276154,Pont Petit,95310,95,DEX GIF,DEX GIF,229535,208735,235584
87755363,Puget-Ville,83390,83,DRG OCCITANIE SUD,DRG OCCITANIE SUD,38325,31844,23967
87474635,Roscoff,29680,29,DRG B-CVL-PDL,DRG B-CVL-PDL,16118,13427,11236
87713826,Ruffey-lès-Echirey,21200,21,DRG AURA BFC,DRG AURA BFC,21561,15566,18585
87491241,Saint-André-de-Cubzac,33240,33,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,728895,690394,620862
87751826,Saint-Antoine,13015,13,DRG OCCITANIE SUD,DRG OCCITANIE SUD,73217,55214,44049
87756866,Saint-Dalmas de Tende,06430,06,DRG OCCITANIE SUD,DRG OCCITANIE SUD,4328,6921,6077
87175000,Saint-Dizier,52100,52,DRG GRAND EST,DRG GRAND EST,229213,214622,192797
87726158,Saint-Étienne La Terrasse,42000,42,DRG AURA BFC,DRG AURA BFC,135932,115984,111779
87146217,Saint-Nabord,88200,88,DRG GRAND EST,DRG GRAND EST,16015,11437,10246
87394148,Saint-Piat,28130,28,DRG B-CVL-PDL,DRG B-CVL-PDL,186401,192959,192805
87476440,Saint-Pierre-Quiberon,56510,56,DRG B-CVL-PDL,DRG B-CVL-PDL,12421,10965,9725
87342337,Saint-Pol-sur-Ternoise,62130,62,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,206222,187706,145944
87393843,Saint-Quentin en Yvelines - Montigny-le-Bretonneux,78180,78,DEX GIF,DEX GIF,12011294,10585018,9601190
87718502,Saône,25660,25,DRG AURA BFC,DRG AURA BFC,12274,22583,24300
87396317,Sceaux - Boëssé,72400,72,DRG B-CVL-PDL,DRG B-CVL-PDL,7637,8542,7451
87393124,Sèvres Rive Gauche,92310,92,DEX GIF,DEX GIF,1217441,1104468,1725455
87595769,Siorac-en-Périgord,24170,24,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,23491,19450,15901
87765206,Sorgues - Châteauneuf-du-Pape,84700,84,DRG OCCITANIE SUD,DRG OCCITANIE SUD,220204,196720,190892
87212191,Strasbourg Roethig,67200,67,DRG GRAND EST,DRG GRAND EST,111023,83569,71967
87756817,Touët-de-l'Escarène,06440,06,DRG OCCITANIE SUD,DRG OCCITANIE SUD,5395,5268,3462
87755009,Toulon,83000,83,DRG OCCITANIE SUD,DRG OCCITANIE SUD,5243022,4733117,4439452
87773432,Valergues - Lansargues,34130,34,DRG OCCITANIE SUD,DRG OCCITANIE SUD,20072,19006,18922
87476606,Vannes,56000,56,DRG B-CVL-PDL,DRG B-CVL-PDL,2313942,2170614,2019329
87212118,Vendenheim,67550,67,DRG GRAND EST,DRG GRAND EST,208259,168601,120635
87382861,Versailles Rive Droite,78000,78,DEX GIF,DEX GIF,5967149,5410543,5530365
87576009,Vierzon,18100,18,DRG B-CVL-PDL,DRG B-CVL-PDL,1376111,1300450,1119849
87113795,Villiers-sur-Marne - Le Plessis-Trévise,94350,94,DEX GIF,DEX GIF,9034899,8193562,7700718
87342113,Vitry-en-Artois,62490,62,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,93438,77456,78918
87396077,Vivoin - Beaumont,72170,72,DRG B-CVL-PDL,DRG B-CVL-PDL,45002,43826,41499
87345595,Wambaix,59400,59,DRG HDF-NORMANDIE,DRG HDF-NORMANDIE,429,418,170
87592840,Coussac-Bonneval,87500,87,DRG NLLE AQUITAINE,DRG NLLE AQUITAINE,0,0,251
