nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesxy,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner,created_at,consolidated_longitude,consolidated_latitude,consolidated_code_postal,consolidated_commune,consolidated_is_lon_lat_correct,consolidated_is_code_insee_verified,consolidated_is_code_insee_modified,geo_point_borne,departement,region
RRG Grasse public,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P4327580200482377005,505728,Freshmile France/VSN8XCGMXJ,Parking privé à usage public,"123 Route de Cannes, Grasse 06130 France",,"6.951344, 43.637547",4,FRFR1ECMSY1,1210839,7.4,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-02-13,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,6.951344,43.637547,,,False,False,False,,,
Noyau urbain - bornes inférieures à 25kW,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P5315471494189932617,1566722,Freshmile France/LM9CKTX7318OS1,Voirie,"Rue Joseph Cugnot, Montigny-lès-Metz 57950 France",,"6.163495, 49.085108",2,FRFR1ECPDM2,4328297,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-04-03,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,6.163495,49.085108,,,False,False,False,,,
Aluminium Dunkerque,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P5203259775071264428,1323988,Freshmile France/LLZH2RXCM1DRWQ,Parking public,"Rue de la Ferme Raevel, Gravelines 59820 France",,"2.162015, 50.997124",12,FRFR1ECPKK1,3594088,7.4,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-04-27,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.162015,50.997124,,,False,False,False,,,
Couronne urbaine - bornes inférieures à 25kW,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P7775889414937694020,1116975,Freshmile France/LLSOMQZOO147DA,Parking public,"Place du Chanoine Ritz, Lorry-Mardigny 57420 France",,"6.086889, 48.989772",2,FRFR1ECPLH1,3023772,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-04-03,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,6.086889,48.989772,,,False,False,False,,,
Noyau urbain - bornes inférieures à 25kW,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P4709464960788681147,1509103,Freshmile France/LM9CKO4LVL5NHA,Voirie,"9 Rue du Lavoir, Longeville-lès-Metz 57050 France",,"6.136987, 49.112542",2,FRFR1ECPPM2,4161760,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-04-03,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,6.136987,49.112542,,,False,False,False,,,
Daher Aerospace - Public,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P8305169261023524724,1365091,Freshmile France/LM6AQOXTZ1CRYJ,Parking privé à usage public,"3 Rue Jacqueline Auriol, Marignane 13700 France",,"5.203889, 43.402671",6,FRFR1ECPWH1,3694708,7.4,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-02-27,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,5.203889,43.402671,,,False,False,False,,,
SANTERNE NORD PICARDIE INFRA,528932627.0,opale@citeos.com,FRESHMILE,advenir@freshmile.com,03 88 68 84 58,Touquet Normal,FRFR1PVLIGQ2PRQT,,"Touquet, Boulevard Jules Pouget",Parking public,"185 Boulevard Du Docteur Jules Pouget 62520, Le Touquet-Paris-Plage France",62826,"1.579135760951923, 50.51658485952207",2,FRFR1ECQDD1,,22.0,true,true,false,false,false,false,false,false,false,"0,45 € par kWh entamé  De 6h à 23h, après 2h de branchement : 0,20 € par minute supplémentaires",Accès libre,false,24/7,Accessible mais non réservé PMR,Aucune,false,Direct,,2022-12-29,,2023-06-13,false,2024-12-06T07:47:42+01:00,64888c77afc450ad09f45dee,58afe4a7-4c1b-4fe9-8dc3-16c7feec505b,citeos-boulogne-sur-mer,2023-06-13T17:34:15+02:00,1.579135760951923,50.51658485952207,62520.0,Le Touquet-Paris-Plage,True,True,False,,,
Commune d'Aurillac,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P5080432764096506836,1034724,Freshmile France/LLRKRXOU52EAJK,Parking public,"Rue Meallet de Cours, Aurillac 15000 France",,"2.440698, 44.91913",6,FRFR1ECQDL2,2739750,9.0,False,True,False,False,False,False,True,True,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-10-14,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.440698,44.91913,,,False,False,False,,,
Parking Victor Hugo,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P5266180553321789181,1060062,Freshmile France/LLUQW1D532JF2F,Parking public,"Rue Jules Vallès, Sète 34200 France",,"3.696178, 43.409994",10,FRFR1ECQJH1,2802069,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-10-14,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,3.696178,43.409994,,,False,False,False,,,
Ceresia Mardeuil,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P7489993070479055683,971903,Freshmile France/LLNAEE4ND2CBO9,Parking privé à usage public,"8 Rue du Pré Bréda, Mardeuil 51530 France",,"3.936654, 49.062936",5,FRFR1ECQPG1,2554949,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,"Sa  08:00-17:00,Tu,Mo,Th,Fr,We  08:00-19:00",Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-05-11,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,3.936654,49.062936,,,False,False,False,,,
SOS Santé - Hôpital de Saint-Avold,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P1514876341747192327,735159,Freshmile France/KJTSGIT01W,Parking public,"Rue Ambroise Paré, Saint-Avold 57500 France",,"6.724608, 49.111112",8,FRFR1ECQTP1,2374578,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-02-17,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,6.724608,49.111112,,,False,False,False,,,
SOS Santé - Hôpital de Saint-Avold,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P1514876341747192327,735159,Freshmile France/KJTSGIT01W,Parking public,"Rue Ambroise Paré, Saint-Avold 57500 France",,"6.724608, 49.111112",8,FRFR1ECQTP2,2374581,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-02-17,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,6.724608,49.111112,,,False,False,False,,,
Pacific Bornes,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P7867625524431387205,892596,Freshmile France/LLKWPNLPZ1W3VZ,Parking privé à usage public,"RT1, Hitiaa O Te Ra 98705 France",,,3,FRFR1ECRHX1,2304231,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2024-09-05,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,-149.302436,-17.614318,,,False,False,False,,,
Ville de Riquewihr,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P7166307645586155424,682157,Freshmile France/HGWIUU7WVJ,Parking public,"Avenue Méquillet, Riquewihr 68340 France",,"7.299367, 48.165309",2,FRFR1ECRPA2,1649612,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2024-09-05,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,7.299367,48.165309,,,False,False,False,,,
Barbaroux Golf Hôtel & Spa,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P5032603070967242854,786969,Freshmile France/GPP1YONDA5,Parking privé à usage public,"Route de Cabasse, Brignoles 83170 France",,"6.169737, 43.404281",8,FRFR1ECSBV1,2006061,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2024-09-04,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,6.169737,43.404281,,,False,False,False,,,
Nouvelles Galeries d'Annecy,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P7349052051340828731,1635603,Freshmile France/LMC3B7OSC1GXLW,Voirie,"1 Rue Thomas Ruphy, Annecy 74000 France",,"6.131432, 45.906985",144,FRFR1ECSJR1,4562487,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-07-12,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,6.131432,45.906985,,,False,False,False,,,
Centre Ouest Céréales,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P2114548935371795164,892605,Freshmile France/LLL0NCFG1UX965,Voirie,"2 Boulevard Marie et Pierre Curie, Chasseneuil-du-Poitou 86360 France",,"0.361453, 46.658996",2,FRFR1ECTEG1,2304261,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2024-09-05,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,0.361453,46.658996,,,False,False,False,,,
Super U Ille-Sur-Tet,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P7143914244209123294,446534,Freshmile France/GU4YLMRYYZ,Parking privé à usage public,"Camp Llarg, Ille-sur-Têt 66130 France",,"2.633266, 42.676519",6,FRFR1ECTSM2,1060268,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2024-09-04,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.633266,42.676519,,,False,False,False,,,
Établissement Saint-Charles,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P3570541319116971790,1369981,Freshmile France/LM46SAMK325Z7S,Parking public,"2 Rue Geneviève Anthonioz-de Gaulle, Athis-Mons 91200 France",,"2.390128, 48.709374",3,FRFR1ECTXF1,3708250,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-02-27,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.390128,48.709374,,,False,False,False,,,
NGE - Parking Adam,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P1602039039508271599,1323421,Freshmile France/LLPI9VQPYOGKT7,Parking public,"11b Rue des Marchandises, Nantes 44200 France",,"-1.554366, 47.203498",30,FRFR1ECUMY1,3592630,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-04-17,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,-1.554366,47.203498,,,False,False,False,,,
Hotel B&B Saintes,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P9181693775628258700,1192249,Freshmile France/LLZ2H1N6U1F46D,Parking privé à usage public,"6 Boulevard de Vladimir, Saintes 17100 France",,"-0.653697, 45.755327",2,FRFR1ECUSC1,3238765,22.0,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2024-10-04,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,-0.653697,45.755327,,,False,False,False,,,
YOU Hopitality - Caen,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P1663738929857874037,1646058,Freshmile France/LMLQPOZBDWPBX1,Parking public,"1 Rue De Courtonne, Caen 14000 France",,"-0.355554, 49.184267",4,FRFR1ECUUU1,4598961,11.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-03-03,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,-0.355554,49.184267,,,False,False,False,,,
Crous - Aubière,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P161170353289708311,440997,Freshmile France/KAYLQU8CEK,Parking public,"35 Rue Roche Genès, Aubière 63170 France",,"3.11827, 45.7597",4,FRFR1ECVJA1,1047207,11.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-03-02,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,3.11827,45.7597,,,False,False,False,,,
Espace Saint-Maximin,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P9032270212393451012,1452520,Freshmile France/LM8ENR1EZ183YP,Parking privé à usage public,"280 Avenue De La Paix, Saint-Maximin 60740 France",,"2.462758, 49.231893",6,FRFR1ECVYQ2,3971632,240.0,False,False,True,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-12-17,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,2.462758,49.231893,,,False,False,False,,,
Rhône Sportif Omnisport,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P9168079908663828008,1009185,Freshmile France/LLQXJLCFD5A833,Parking public,"18 Rue Tranquille, Villeurbanne 69100 France",,"4.89877, 45.784464",1,FRFR1ECWKX1,2651019,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-06-24,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,4.89877,45.784464,,,False,False,False,,,
YOU Hospitality - Saint-Étienne-du-Rouvray,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P1965574598273723705,1654995,Freshmile France/LMLGNUZ9W1JUMI,Parking public,"Avenue Maryse Bastié, Saint-Étienne-du-Rouvray 76800 France",,"1.059292, 49.391771",6,FRFR1ECWSG1,4628754,22.0,False,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2026-03-09,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,1.059292,49.391771,,,False,False,False,,,
Joris Ide Sud Ouest,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P8660227196658197659,1303102,Freshmile France/LLSA3HGWF13TAN,Voirie,"144 Rte de Saint-Cricq-Chalosse, Hagetmau 40700 France",,"-0.621296, 43.643682",6,FRFR1ECXFM1,3544975,7.4,True,True,False,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-01-15,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,-0.621296,43.643682,,,False,False,False,,,
Auberge du Père Bise,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P5609485624331295481,398846,Freshmile France/CPMKO0KCT6,Parking privé à usage public,"303 Rte du Port, Talloires-Montmin 74290 France",,"6.2107, 45.8393",4,FRFR1ECYEP1,953330,100.0,False,False,True,False,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2024-09-04,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,6.2107,45.8393,,,False,False,False,,,
Auberge du Père Bise,,,Freshmile | FR*FR1,roaming@freshmile.com,,Freshmile France,FRFR1P5609485624331295481,398846,Freshmile France/CPMKO0KCT6,Parking privé à usage public,"303 Rte du Port, Talloires-Montmin 74290 France",,"6.2107, 45.8393",4,FRFR1ECYEP4,953339,50.0,False,False,True,True,False,False,False,False,True,,Accès libre,False,24/7,Accessibilité inconnue,Restriction de gabarit non précisée,False,,,,,2025-01-15,False,2026-07-01T05:01:37+02:00,63dccb1307e9b2f213a5130c,61387a4e-22f7-4662-b241-d5cac4dd91fd,gireve-2,2023-03-24T15:32:54+01:00,6.2107,45.8393,,,False,False,False,,,
