id_installation,commune,code_departement,nom_region,filiere_energie,puissance_installee_kw,production_journaliere_mwh,taux_injection_reseau_pct
PROD-ENEDIS-00071,Montigny-le-Bretonneux,75 - Paris,Île-de-France,Biomasse / Biogaz,3237.1,21527.6,93.8
PROD-ENEDIS-00072,Briançon,75 - Paris,Île-de-France,Biomasse / Biogaz,480.8,1940.1,89.2
PROD-ENEDIS-00073,Aniche,75 - Paris,Île-de-France,Hydraulique,5071.8,28389.2,92.4
PROD-ENEDIS-00074,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,1734.6,17039.5,88.9
PROD-ENEDIS-00075,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,583.4,5824.4,94.8
PROD-ENEDIS-00076,Paris,75 - Paris,Île-de-France,Hydraulique,2847.1,28255.5,88.9
PROD-ENEDIS-00077,Vivy,75 - Paris,Île-de-France,Solaire Photovoltaïque,1043.5,7711.4,85.9
PROD-ENEDIS-00078,Cenon,75 - Paris,Île-de-France,Hydraulique,3124.8,14365.1,94.1
PROD-ENEDIS-00079,Mions,75 - Paris,Île-de-France,Biomasse / Biogaz,6607.1,50377.4,97.5
PROD-ENEDIS-00080,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,373.1,1837.6,92.5
PROD-ENEDIS-00081,Villeneuve-d'Ascq,75 - Paris,Île-de-France,Solaire Photovoltaïque,6472.9,59590.8,88.5
PROD-ENEDIS-00082,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,4391.9,16760.8,85.4
PROD-ENEDIS-00083,Marquette-lez-Lille,75 - Paris,Île-de-France,Solaire Photovoltaïque,4461.5,22794.3,87.3
PROD-ENEDIS-00084,La Chapelle-en-Valgaudémar,75 - Paris,Île-de-France,Éolien Terrestre,6388.3,60892.8,91.1
PROD-ENEDIS-00085,Dannemarie,75 - Paris,Île-de-France,Biomasse / Biogaz,1341.8,8287.5,95.2
PROD-ENEDIS-00086,Paris,75 - Paris,Île-de-France,Hydraulique,2540.0,11356.3,94.2
PROD-ENEDIS-00087,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,1234.0,10263.4,86.5
PROD-ENEDIS-00088,Auxerre,75 - Paris,Île-de-France,Solaire Photovoltaïque,4850.6,22059.6,95.3
PROD-ENEDIS-00089,Reims,75 - Paris,Île-de-France,Hydraulique,1264.4,5559.8,99.1
PROD-ENEDIS-00090,Le Puy-en-Velay,75 - Paris,Île-de-France,Biomasse / Biogaz,6346.8,54976.3,99.9
PROD-ENEDIS-00091,Paris,75 - Paris,Île-de-France,Hydraulique,6056.0,39031.3,91.9
PROD-ENEDIS-00092,Lagrasse,75 - Paris,Île-de-France,Éolien Terrestre,3776.9,22621.8,95.0
PROD-ENEDIS-00093,Paris,75 - Paris,Île-de-France,Éolien Terrestre,1117.2,8367.0,97.4
PROD-ENEDIS-00094,Boulogne-sur-Mer,75 - Paris,Île-de-France,Biomasse / Biogaz,8077.8,54239.5,88.2
PROD-ENEDIS-00095,Paris,75 - Paris,Île-de-France,Éolien Terrestre,5333.1,36009.8,85.8
PROD-ENEDIS-00096,Bletterans,75 - Paris,Île-de-France,Éolien Terrestre,5243.5,22960.9,90.4
PROD-ENEDIS-00097,Éloyes,75 - Paris,Île-de-France,Éolien Terrestre,2659.0,9732.5,89.3
PROD-ENEDIS-00098,Paris,75 - Paris,Île-de-France,Éolien Terrestre,4765.6,36765.7,85.1
PROD-ENEDIS-00099,Châteauneuf-les-Martigues,75 - Paris,Île-de-France,Biomasse / Biogaz,1241.9,7773.0,88.4
PROD-ENEDIS-00100,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,3648.4,30050.8,90.7
PROD-ENEDIS-00101,Ghisonaccia,75 - Paris,Île-de-France,Hydraulique,5002.9,45735.1,85.5
PROD-ENEDIS-00102,Paris,75 - Paris,Île-de-France,Hydraulique,1734.0,15090.9,86.7
PROD-ENEDIS-00103,Calais,75 - Paris,Île-de-France,Solaire Photovoltaïque,2688.8,20315.1,85.4
PROD-ENEDIS-00104,Brens,75 - Paris,Île-de-France,Éolien Terrestre,2521.6,19780.0,93.5
PROD-ENEDIS-00105,Paris,75 - Paris,Île-de-France,Éolien Terrestre,5895.3,28187.4,88.2
PROD-ENEDIS-00106,Wormhout,75 - Paris,Île-de-France,Solaire Photovoltaïque,7524.9,47802.6,88.3
PROD-ENEDIS-00107,Albi,75 - Paris,Île-de-France,Solaire Photovoltaïque,8104.2,79969.5,98.1
PROD-ENEDIS-00108,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,1811.5,9928.2,86.5
PROD-ENEDIS-00109,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,5243.8,31905.7,89.5
PROD-ENEDIS-00110,Les Abymes,75 - Paris,Île-de-France,Éolien Terrestre,2750.5,14737.1,90.7
PROD-ENEDIS-00111,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,6680.1,42358.5,86.1
PROD-ENEDIS-00112,Paris,75 - Paris,Île-de-France,Éolien Terrestre,1570.3,6144.7,98.1
PROD-ENEDIS-00113,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,6441.3,50541.3,92.2
PROD-ENEDIS-00114,Vire Normandie,75 - Paris,Île-de-France,Hydraulique,1833.5,7364.7,96.5
PROD-ENEDIS-00115,Pouyastruc,75 - Paris,Île-de-France,Éolien Terrestre,3896.2,20392.8,94.9
PROD-ENEDIS-00116,Chartres,75 - Paris,Île-de-France,Solaire Photovoltaïque,1188.9,4981.2,97.5
PROD-ENEDIS-00117,Le Pradet,75 - Paris,Île-de-France,Éolien Terrestre,6448.2,24886.0,88.8
PROD-ENEDIS-00118,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,7708.3,55936.5,88.7
PROD-ENEDIS-00119,La Flèche,75 - Paris,Île-de-France,Éolien Terrestre,5937.5,59628.2,94.1
PROD-ENEDIS-00120,Puteaux,75 - Paris,Île-de-France,Solaire Photovoltaïque,4536.5,18412.1,85.1
PROD-ENEDIS-00121,Loos,75 - Paris,Île-de-France,Éolien Terrestre,5415.4,32265.1,89.2
PROD-ENEDIS-00122,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,3552.4,14010.8,86.5
PROD-ENEDIS-00123,Brioude,75 - Paris,Île-de-France,Biomasse / Biogaz,6597.9,55153.7,88.7
PROD-ENEDIS-00124,Lyon,75 - Paris,Île-de-France,Solaire Photovoltaïque,6494.5,33474.9,91.8
PROD-ENEDIS-00125,Saint-Julien-lès-Metz,75 - Paris,Île-de-France,Éolien Terrestre,4471.9,22426.2,88.8
PROD-ENEDIS-00126,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,7775.7,37573.2,85.5
PROD-ENEDIS-00127,Orange,75 - Paris,Île-de-France,Hydraulique,3836.9,27493.4,88.7
PROD-ENEDIS-00128,Montigny-le-Bretonneux,75 - Paris,Île-de-France,Solaire Photovoltaïque,6265.4,46211.1,90.6
PROD-ENEDIS-00129,Tence,75 - Paris,Île-de-France,Solaire Photovoltaïque,2095.4,13756.3,94.1
PROD-ENEDIS-00130,Évian-les-Bains,75 - Paris,Île-de-France,Éolien Terrestre,6812.8,30482.6,97.9
PROD-ENEDIS-00131,Paris,75 - Paris,Île-de-France,Hydraulique,8121.8,41348.5,92.5
PROD-ENEDIS-00132,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,287.6,1152.8,91.6
PROD-ENEDIS-00133,Paris,75 - Paris,Île-de-France,Éolien Terrestre,4319.5,31154.5,86.1
PROD-ENEDIS-00134,Limonest,75 - Paris,Île-de-France,Biomasse / Biogaz,8414.5,64845.9,98.5
PROD-ENEDIS-00135,Perpignan,75 - Paris,Île-de-France,Solaire Photovoltaïque,631.4,2805.6,92.7
PROD-ENEDIS-00136,Paris,75 - Paris,Île-de-France,Hydraulique,7976.9,58391.6,95.2
PROD-ENEDIS-00137,Bienville-la-Petite,75 - Paris,Île-de-France,Hydraulique,5057.1,38444.3,92.6
PROD-ENEDIS-00138,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,776.2,4751.2,97.8
PROD-ENEDIS-00139,Montpellier,75 - Paris,Île-de-France,Solaire Photovoltaïque,1830.9,12543.3,94.1
PROD-ENEDIS-00140,Paris,75 - Paris,Île-de-France,Éolien Terrestre,7020.9,41477.3,87.7
PROD-ENEDIS-00141,Paris,75 - Paris,Île-de-France,Hydraulique,7193.1,48628.0,88.4
PROD-ENEDIS-00142,Guérande,75 - Paris,Île-de-France,Solaire Photovoltaïque,4928.9,28936.8,94.5
PROD-ENEDIS-00143,Béziers,75 - Paris,Île-de-France,Éolien Terrestre,3088.2,11676.6,96.7
PROD-ENEDIS-00144,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,333.6,1355.7,86.0
PROD-ENEDIS-00145,Tonneins,75 - Paris,Île-de-France,Solaire Photovoltaïque,4633.1,34541.7,93.2
PROD-ENEDIS-00146,Saint-Aubin-du-Cormier,75 - Paris,Île-de-France,Hydraulique,1969.5,11115.3,97.0
PROD-ENEDIS-00147,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,5740.4,20915.9,94.6
PROD-ENEDIS-00148,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,2062.3,11248.6,90.9
PROD-ENEDIS-00149,Paris,75 - Paris,Île-de-France,Éolien Terrestre,4202.6,28798.6,87.7
PROD-ENEDIS-00150,Blaignac,75 - Paris,Île-de-France,Biomasse / Biogaz,8201.9,52847.9,90.6
PROD-ENEDIS-00151,Villeurbanne,75 - Paris,Île-de-France,Éolien Terrestre,2467.6,19244.5,98.4
PROD-ENEDIS-00152,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,8464.8,49869.2,88.8
PROD-ENEDIS-00153,Manosque,75 - Paris,Île-de-France,Éolien Terrestre,2516.9,24616.2,94.0
PROD-ENEDIS-00154,Cenon,75 - Paris,Île-de-France,Éolien Terrestre,669.7,3724.5,88.9
PROD-ENEDIS-00155,Blaignac,75 - Paris,Île-de-France,Solaire Photovoltaïque,1818.1,15450.6,85.4
PROD-ENEDIS-00156,Golbey,75 - Paris,Île-de-France,Hydraulique,5146.5,19787.3,95.0
PROD-ENEDIS-00157,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,6256.6,39405.6,86.5
PROD-ENEDIS-00158,Antibes,75 - Paris,Île-de-France,Solaire Photovoltaïque,3845.4,30706.6,90.0
PROD-ENEDIS-00159,Herlin-le-Sec,75 - Paris,Île-de-France,Biomasse / Biogaz,8497.8,56019.8,86.2
PROD-ENEDIS-00160,Prouvy,75 - Paris,Île-de-France,Biomasse / Biogaz,4916.1,35332.1,89.1
PROD-ENEDIS-00161,Paris,75 - Paris,Île-de-France,Éolien Terrestre,490.2,2324.9,93.7
PROD-ENEDIS-00162,Carbonne,75 - Paris,Île-de-France,Biomasse / Biogaz,470.3,2709.6,94.6
PROD-ENEDIS-00163,Dijon,75 - Paris,Île-de-France,Solaire Photovoltaïque,1315.9,7347.1,87.0
PROD-ENEDIS-00164,Chasseneuil-du-Poitou,75 - Paris,Île-de-France,Solaire Photovoltaïque,3447.9,29114.6,91.2
PROD-ENEDIS-00165,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,6834.1,39364.6,88.1
PROD-ENEDIS-00166,Cormeilles-en-Parisis,75 - Paris,Île-de-France,Solaire Photovoltaïque,2534.3,23145.5,86.0
PROD-ENEDIS-00167,Paris,75 - Paris,Île-de-France,Hydraulique,3650.6,33858.8,90.6
PROD-ENEDIS-00168,Lyon,75 - Paris,Île-de-France,Éolien Terrestre,3113.2,23429.0,97.5
PROD-ENEDIS-00169,Paris,75 - Paris,Île-de-France,Hydraulique,2223.0,21412.3,97.0
PROD-ENEDIS-00170,Avelin,75 - Paris,Île-de-France,Hydraulique,3989.8,17987.8,92.0
PROD-ENEDIS-00171,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,3429.1,15993.0,97.7
PROD-ENEDIS-00172,Albi,75 - Paris,Île-de-France,Éolien Terrestre,2036.9,16890.4,89.7
PROD-ENEDIS-00173,Aire-sur-l'Adour,75 - Paris,Île-de-France,Hydraulique,1149.1,7180.3,97.8
PROD-ENEDIS-00174,Gournay-en-Bray,75 - Paris,Île-de-France,Solaire Photovoltaïque,1981.5,17139.0,99.5
PROD-ENEDIS-00175,Santeny,75 - Paris,Île-de-France,Éolien Terrestre,1682.1,7865.2,95.8
PROD-ENEDIS-00176,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,5928.9,44191.9,87.3
PROD-ENEDIS-00177,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,3659.9,36156.4,94.9
PROD-ENEDIS-00178,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,2096.4,19529.2,94.2
PROD-ENEDIS-00179,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,7822.1,42817.9,96.9
PROD-ENEDIS-00180,Paris,75 - Paris,Île-de-France,Éolien Terrestre,6605.0,44814.9,95.5
PROD-ENEDIS-00181,Rouvroy,75 - Paris,Île-de-France,Biomasse / Biogaz,4213.2,18308.0,86.4
PROD-ENEDIS-00182,Villefranche-de-Rouergue,75 - Paris,Île-de-France,Biomasse / Biogaz,2904.5,22778.7,96.4
PROD-ENEDIS-00183,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,4812.6,21515.2,88.7
PROD-ENEDIS-00184,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,4808.3,48301.1,90.5
PROD-ENEDIS-00185,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,3569.8,20730.1,91.8
PROD-ENEDIS-00186,Paris,75 - Paris,Île-de-France,Éolien Terrestre,6808.1,46339.9,88.3
PROD-ENEDIS-00187,Paris,75 - Paris,Île-de-France,Éolien Terrestre,3435.1,17493.8,87.2
PROD-ENEDIS-00188,Paris,75 - Paris,Île-de-France,Hydraulique,4839.3,41229.3,94.7
PROD-ENEDIS-00189,Paris,75 - Paris,Île-de-France,Hydraulique,4923.1,24680.1,89.3
PROD-ENEDIS-00190,Paris,75 - Paris,Île-de-France,Hydraulique,6542.5,65152.2,94.8
PROD-ENEDIS-00191,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,764.8,6066.5,90.9
PROD-ENEDIS-00192,La Madeleine-de-Nonancourt,75 - Paris,Île-de-France,Biomasse / Biogaz,2364.9,11907.4,92.7
PROD-ENEDIS-00193,Montpellier,75 - Paris,Île-de-France,Solaire Photovoltaïque,2621.4,23977.9,89.4
PROD-ENEDIS-00194,Montmélian,75 - Paris,Île-de-France,Biomasse / Biogaz,762.6,6747.1,99.9
PROD-ENEDIS-00195,Paris,75 - Paris,Île-de-France,Éolien Terrestre,4442.0,39118.9,92.9
PROD-ENEDIS-00196,Paris,75 - Paris,Île-de-France,Éolien Terrestre,317.9,3072.4,86.5
PROD-ENEDIS-00197,Chambéry,75 - Paris,Île-de-France,Hydraulique,7462.2,62036.9,98.2
PROD-ENEDIS-00198,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,3934.8,30182.5,91.2
PROD-ENEDIS-00199,Orsay,75 - Paris,Île-de-France,Biomasse / Biogaz,5629.6,28548.8,86.0
PROD-ENEDIS-00200,Saint-Dié-des-Vosges,75 - Paris,Île-de-France,Solaire Photovoltaïque,4525.0,41679.9,91.1
PROD-ENEDIS-00201,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,1404.9,9794.2,87.4
PROD-ENEDIS-00202,Meyronne,75 - Paris,Île-de-France,Solaire Photovoltaïque,5810.8,33750.0,91.7
PROD-ENEDIS-00203,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,4374.8,26335.3,85.8
PROD-ENEDIS-00204,Chartres,75 - Paris,Île-de-France,Biomasse / Biogaz,2652.0,18081.8,87.5
PROD-ENEDIS-00205,Le Vaudreuil,75 - Paris,Île-de-France,Éolien Terrestre,5335.8,28507.0,85.9
PROD-ENEDIS-00206,Puteaux,75 - Paris,Île-de-France,Éolien Terrestre,7103.1,62446.6,96.3
PROD-ENEDIS-00207,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,4591.9,37629.7,99.7
PROD-ENEDIS-00208,Sélestat,75 - Paris,Île-de-France,Biomasse / Biogaz,4825.2,18644.5,92.8
PROD-ENEDIS-00209,Chalon-sur-Saône,75 - Paris,Île-de-France,Éolien Terrestre,5535.9,35269.4,87.2
PROD-ENEDIS-00210,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,1922.4,10856.6,99.1
PROD-ENEDIS-00211,Caluire-et-Cuire,75 - Paris,Île-de-France,Hydraulique,2450.5,11046.7,86.8
PROD-ENEDIS-00212,Floirac,75 - Paris,Île-de-France,Solaire Photovoltaïque,6929.7,25227.8,90.6
PROD-ENEDIS-00213,Paris,75 - Paris,Île-de-France,Hydraulique,720.0,6052.5,97.7
PROD-ENEDIS-00214,Mers-les-Bains,75 - Paris,Île-de-France,Hydraulique,5263.0,34606.1,85.3
PROD-ENEDIS-00215,Paris,75 - Paris,Île-de-France,Hydraulique,4069.8,22595.5,94.6
PROD-ENEDIS-00216,Paris,75 - Paris,Île-de-France,Hydraulique,2081.0,13980.1,94.2
PROD-ENEDIS-00217,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,2059.8,20133.4,96.4
PROD-ENEDIS-00218,Paris,75 - Paris,Île-de-France,Éolien Terrestre,6610.9,57271.3,94.7
PROD-ENEDIS-00219,Paris,75 - Paris,Île-de-France,Éolien Terrestre,3322.0,25043.1,90.2
PROD-ENEDIS-00220,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,644.5,3783.4,97.3
PROD-ENEDIS-00221,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,5893.0,39355.2,92.1
PROD-ENEDIS-00222,Saint-Brieuc,75 - Paris,Île-de-France,Hydraulique,8081.2,30003.5,88.4
PROD-ENEDIS-00223,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,4623.1,24716.9,97.0
PROD-ENEDIS-00224,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,7629.1,45627.6,99.9
PROD-ENEDIS-00225,Lyon,75 - Paris,Île-de-France,Biomasse / Biogaz,4070.6,27641.4,90.2
PROD-ENEDIS-00226,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,1928.6,15191.3,91.6
PROD-ENEDIS-00227,Valenciennes,75 - Paris,Île-de-France,Éolien Terrestre,3229.8,17161.7,92.0
PROD-ENEDIS-00228,Paris,75 - Paris,Île-de-France,Hydraulique,3478.8,14992.4,90.7
PROD-ENEDIS-00229,Paris,75 - Paris,Île-de-France,Solaire Photovoltaïque,8484.5,49099.6,94.7
PROD-ENEDIS-00230,Paris,75 - Paris,Île-de-France,Biomasse / Biogaz,3964.1,30544.6,85.6
PROD-ENEDIS-00231,Lyon,75 - Paris,Île-de-France,Biomasse / Biogaz,1754.0,15354.9,88.1
PROD-ENEDIS-00232,Saint-Quentin,75 - Paris,Île-de-France,Solaire Photovoltaïque,187.1,1116.2,88.2
PROD-ENEDIS-00233,Boulogne-sur-Mer,75 - Paris,Île-de-France,Hydraulique,3607.9,29178.6,96.9
PROD-ENEDIS-00234,Paris,75 - Paris,Île-de-France,Hydraulique,5776.4,51854.8,89.1
PROD-ENEDIS-00235,Saint-Brevin-les-Pins,75 - Paris,Île-de-France,Éolien Terrestre,6784.0,36954.4,99.1
PROD-ENEDIS-00236,Roissy-en-France,75 - Paris,Île-de-France,Biomasse / Biogaz,4572.4,36368.1,95.2
PROD-ENEDIS-00237,Plouzané,75 - Paris,Île-de-France,Solaire Photovoltaïque,68.1,629.5,85.0
