id_releve,id_station_itinerance,commune,code_departement,nom_region,nom_transformateur_quartier,horodate_pas30min,consommation_totale_mwh,pic_consommation_kw,capacite_max_transformateur_kw,taux_charge_transformateur_pct,risque_tension_reseau
REL-00057,FRFR1P8992515473811275653,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0057,2026-08-17 18:30:00 UTC,29.98,999.2,1200.0,83.3,Sous Surveillance Forte
REL-00058,FREVZP8E164D1B5C364799B13367C8028D5,Balaruc-le-Vieux,75 - Paris,Île-de-France,TR-ENEDIS-BALA-0058,2026-08-17 18:30:00 UTC,12.69,422.9,1000.0,42.3,Normal
REL-00059,FRQPKPQPRK69,Antibes,75 - Paris,Île-de-France,TR-ENEDIS-ANTI-0059,2026-08-17 18:30:00 UTC,31.96,1065.3,2000.0,53.3,Normal
REL-00060,FRR3MP1022152,Bain-de-Bretagne,75 - Paris,Île-de-France,TR-ENEDIS-BAIN-0060,2026-08-17 18:30:00 UTC,26.13,871.0,1500.0,58.1,Normal
REL-00061,FRPKGP68224003,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0061,2026-08-17 18:30:00 UTC,34.2,1139.9,1200.0,95.0,Saturation / Disjonction Imminente 48h
REL-00062,FRLDLPLFR3569EVCP,Torcy,75 - Paris,Île-de-France,TR-ENEDIS-TORC-0062,2026-08-17 18:30:00 UTC,26.19,873.1,2000.0,43.7,Normal
REL-00063,FRPKGP54395005,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0063,2026-08-17 18:30:00 UTC,10.3,343.4,500.0,68.7,Normal
REL-00064,FRLDLPLFR3424EVCP,Le Grand-Lemps,75 - Paris,Île-de-France,TR-ENEDIS-LE G-0064,2026-08-17 18:30:00 UTC,26.94,898.1,1500.0,59.9,Normal
REL-00065,FREFLP2016463714401904619,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0065,2026-08-17 18:30:00 UTC,38.76,1292.0,1500.0,86.1,Sous Surveillance Forte
REL-00066,FRQPKEQPRK125451,Arcueil,75 - Paris,Île-de-France,TR-ENEDIS-ARCU-0066,2026-08-17 18:30:00 UTC,19.58,652.6,1000.0,65.3,Normal
REL-00067,FRFR1P945606488684392901,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0067,2026-08-17 18:30:00 UTC,9.63,320.9,800.0,40.1,Normal
REL-00068,FRFR1P9042254131571700129,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0068,2026-08-17 18:30:00 UTC,17.32,577.2,800.0,72.2,Normal
REL-00069,FRQPKPQPRK1212,Puteaux,75 - Paris,Île-de-France,TR-ENEDIS-PUTE-0069,2026-08-17 18:30:00 UTC,11.61,387.1,800.0,48.4,Normal
REL-00070,FRCG0E000007,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0070,2026-08-17 18:30:00 UTC,6.71,223.5,500.0,44.7,Normal
REL-00071,FRQPKPQPRK20,Toulon,75 - Paris,Île-de-France,TR-ENEDIS-TOUL-0071,2026-08-17 18:30:00 UTC,39.57,1319.1,1500.0,87.9,Sous Surveillance Forte
REL-00072,FRELCENUPV,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0072,2026-08-17 18:30:00 UTC,47.05,1568.2,2000.0,78.4,Sous Surveillance Forte
REL-00073,FRLDLPLFR4008EVCP,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0073,2026-08-17 18:30:00 UTC,36.0,1200.0,1500.0,80.0,Sous Surveillance Forte
REL-00074,FRLDLPLFR4001EVCP,Guérande,75 - Paris,Île-de-France,TR-ENEDIS-GUÉR-0074,2026-08-17 18:30:00 UTC,14.65,488.4,500.0,97.7,Saturation / Disjonction Imminente 48h
REL-00075,FRBMPP686950P,Créancey,75 - Paris,Île-de-France,TR-ENEDIS-CRÉA-0075,2026-08-17 18:30:00 UTC,38.67,1289.1,1500.0,85.9,Sous Surveillance Forte
REL-00076,FRG10P69387AA,Lyon,75 - Paris,Île-de-France,TR-ENEDIS-LYON-0076,2026-08-17 18:30:00 UTC,26.09,869.8,1200.0,72.5,Normal
REL-00077,FRRVEPFRS11E1108800111,Cazilhac,75 - Paris,Île-de-France,TR-ENEDIS-CAZI-0077,2026-08-17 18:30:00 UTC,19.6,653.4,1000.0,65.3,Normal
REL-00078,FREVZP6340713688422840044,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0078,2026-08-17 18:30:00 UTC,17.29,576.3,800.0,72.0,Normal
REL-00079,FRQPKPQPRK993,Courbevoie,75 - Paris,Île-de-France,TR-ENEDIS-COUR-0079,2026-08-17 18:30:00 UTC,30.41,1013.6,1200.0,84.5,Sous Surveillance Forte
REL-00080,FRR3MP1029443,Cormontreuil,75 - Paris,Île-de-France,TR-ENEDIS-CORM-0080,2026-08-17 18:30:00 UTC,23.15,771.6,1200.0,64.3,Normal
REL-00081,FRELCPMOCAA,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0081,2026-08-17 18:30:00 UTC,10.46,348.6,800.0,43.6,Normal
REL-00082,FRQWCP3711542211565706275,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0082,2026-08-17 18:30:00 UTC,16.82,560.6,800.0,70.1,Normal
REL-00083,FRLDLPLFR4188EVCP,Bitche,75 - Paris,Île-de-France,TR-ENEDIS-BITC-0083,2026-08-17 18:30:00 UTC,11.74,391.3,500.0,78.3,Sous Surveillance Forte
REL-00084,FRPKGP64122007,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0084,2026-08-17 18:30:00 UTC,26.61,886.9,1200.0,73.9,Normal
REL-00085,FRIZFPFAST587,Port-Sainte-Foy-et-Ponchapt,75 - Paris,Île-de-France,TR-ENEDIS-PORT-0085,2026-08-17 18:30:00 UTC,10.46,348.6,500.0,69.7,Normal
REL-00086,FRPKGP75110044,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0086,2026-08-17 18:30:00 UTC,21.46,715.2,800.0,89.4,Saturation / Disjonction Imminente 48h
REL-00087,FRELCP12954387,Loupian,75 - Paris,Île-de-France,TR-ENEDIS-LOUP-0087,2026-08-17 18:30:00 UTC,51.5,1716.7,2000.0,85.8,Sous Surveillance Forte
REL-00088,FRELCP12954082,Bois-d'Arcy,75 - Paris,Île-de-France,TR-ENEDIS-BOIS-0088,2026-08-17 18:30:00 UTC,6.3,210.0,500.0,42.0,Normal
REL-00089,FRELCET44L,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0089,2026-08-17 18:30:00 UTC,14.64,487.9,500.0,97.6,Saturation / Disjonction Imminente 48h
REL-00090,FRELCP12954579,Saint-Jacques-de-la-Lande,75 - Paris,Île-de-France,TR-ENEDIS-SAIN-0090,2026-08-17 18:30:00 UTC,30.01,1000.2,1200.0,83.4,Sous Surveillance Forte
REL-00091,FRRVEPCUSDE65MAU1657002,Maubourguet,75 - Paris,Île-de-France,TR-ENEDIS-MAUB-0091,2026-08-17 18:30:00 UTC,56.42,1880.8,2000.0,94.0,Saturation / Disjonction Imminente 48h
REL-00092,FRECHP9132765645452945632,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0092,2026-08-17 18:30:00 UTC,19.73,657.7,1200.0,54.8,Normal
REL-00093,FREVZP4664177145750244587,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0093,2026-08-17 18:30:00 UTC,21.48,716.0,1000.0,71.6,Normal
REL-00094,FRIZFPFAST618,Arçonnay,75 - Paris,Île-de-France,TR-ENEDIS-ARÇO-0094,2026-08-17 18:30:00 UTC,26.29,876.3,1200.0,73.0,Normal
REL-00095,FRDRVPCRFMKT587001,Prémery,75 - Paris,Île-de-France,TR-ENEDIS-PRÉM-0095,2026-08-17 18:30:00 UTC,45.67,1522.5,2000.0,76.1,Sous Surveillance Forte
REL-00096,FRLDLPLFR2956EVCP,Roquebrune-sur-Argens,75 - Paris,Île-de-France,TR-ENEDIS-ROQU-0096,2026-08-17 18:30:00 UTC,29.04,968.0,1000.0,96.8,Saturation / Disjonction Imminente 48h
REL-00097,FRELCE2MXV,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0097,2026-08-17 18:30:00 UTC,17.82,594.1,800.0,74.3,Normal
REL-00098,FRR3MP1096812,Dannemarie,75 - Paris,Île-de-France,TR-ENEDIS-DANN-0098,2026-08-17 18:30:00 UTC,41.37,1378.9,2000.0,68.9,Normal
REL-00099,FREVZP549311549638509494,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0099,2026-08-17 18:30:00 UTC,26.62,887.3,1500.0,59.2,Normal
REL-00100,FRELCPBLAHP,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0100,2026-08-17 18:30:00 UTC,17.19,573.0,1200.0,47.8,Normal
REL-00101,FREBNPBMTTN,Roanne,75 - Paris,Île-de-France,TR-ENEDIS-ROAN-0101,2026-08-17 18:30:00 UTC,23.58,786.0,1000.0,78.6,Sous Surveillance Forte
REL-00102,FRLDLPLFR3543EVCP,Saint-Jean-d'Angély,75 - Paris,Île-de-France,TR-ENEDIS-SAIN-0102,2026-08-17 18:30:00 UTC,18.44,614.6,1200.0,51.2,Normal
REL-00103,FRLDLPLFR3979EVCP,Monéteau,75 - Paris,Île-de-France,TR-ENEDIS-MONÉ-0103,2026-08-17 18:30:00 UTC,29.25,974.9,2000.0,48.7,Normal
REL-00104,FRELCE3FDH,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0104,2026-08-17 18:30:00 UTC,15.39,513.0,1000.0,51.3,Normal
REL-00105,FRPKGP78646003,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0105,2026-08-17 18:30:00 UTC,24.83,827.8,1200.0,69.0,Normal
REL-00106,FREBNPBMZWQ,Saint-Just-Saint-Rambert,75 - Paris,Île-de-France,TR-ENEDIS-SAIN-0106,2026-08-17 18:30:00 UTC,18.22,607.5,1500.0,40.5,Normal
REL-00107,FRFR1P718598597666544844,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0107,2026-08-17 18:30:00 UTC,54.63,1820.9,2000.0,91.0,Saturation / Disjonction Imminente 48h
REL-00108,FRQPKPQPRK43,Chambéry,75 - Paris,Île-de-France,TR-ENEDIS-CHAM-0108,2026-08-17 18:30:00 UTC,16.96,565.2,800.0,70.7,Normal
REL-00109,FREBNP7528657932502751921,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0109,2026-08-17 18:30:00 UTC,14.61,487.1,1000.0,48.7,Normal
REL-00110,FRELCEDHDM,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0110,2026-08-17 18:30:00 UTC,28.61,953.7,1500.0,63.6,Normal
REL-00111,FRQPKPQPRK1302,Saint-Brieuc,75 - Paris,Île-de-France,TR-ENEDIS-SAIN-0111,2026-08-17 18:30:00 UTC,11.08,369.3,800.0,46.2,Normal
REL-00112,FRPKGP75056042,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0112,2026-08-17 18:30:00 UTC,31.13,1037.6,1500.0,69.2,Normal
REL-00113,FRPKGP78158001,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0113,2026-08-17 18:30:00 UTC,29.1,970.0,2000.0,48.5,Normal
REL-00114,FRFR1P5741591673312526385,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0114,2026-08-17 18:30:00 UTC,19.53,651.0,1200.0,54.2,Normal
REL-00115,FRGLYPLYON47,Francheville,75 - Paris,Île-de-France,TR-ENEDIS-FRAN-0115,2026-08-17 18:30:00 UTC,30.7,1023.3,1200.0,85.3,Sous Surveillance Forte
REL-00116,FRPKGP91477001,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0116,2026-08-17 18:30:00 UTC,14.0,466.7,500.0,93.3,Saturation / Disjonction Imminente 48h
REL-00117,FRQWCP2244247873883553851,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0117,2026-08-17 18:30:00 UTC,50.23,1674.5,2000.0,83.7,Sous Surveillance Forte
REL-00118,FRLDLPLFR3850EVCP,Mont-Saint-Martin,75 - Paris,Île-de-France,TR-ENEDIS-MONT-0118,2026-08-17 18:30:00 UTC,26.12,870.7,2000.0,43.5,Normal
REL-00119,FRPKGP93001002,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0119,2026-08-17 18:30:00 UTC,12.38,412.7,500.0,82.5,Sous Surveillance Forte
REL-00120,FRPKGP77111001,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0120,2026-08-17 18:30:00 UTC,12.96,432.0,800.0,54.0,Normal
REL-00121,FRQPKPQPRK33,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0121,2026-08-17 18:30:00 UTC,18.98,632.6,800.0,79.1,Sous Surveillance Forte
REL-00122,FRQPKEQPRK10761,Boulogne-sur-Mer,75 - Paris,Île-de-France,TR-ENEDIS-BOUL-0122,2026-08-17 18:30:00 UTC,19.16,638.7,1200.0,53.2,Normal
REL-00123,FRLDLPLFR4224EVCP,Wintzenheim,75 - Paris,Île-de-France,TR-ENEDIS-WINT-0123,2026-08-17 18:30:00 UTC,51.95,1731.7,2000.0,86.6,Sous Surveillance Forte
REL-00124,FRLDLPLFR3444EVCP,Sélestat,75 - Paris,Île-de-France,TR-ENEDIS-SÉLE-0124,2026-08-17 18:30:00 UTC,20.81,693.8,800.0,86.7,Sous Surveillance Forte
REL-00125,FRQPKEQPRK126191,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0125,2026-08-17 18:30:00 UTC,56.69,1889.7,2000.0,94.5,Saturation / Disjonction Imminente 48h
REL-00126,FRBMPP633939P,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0126,2026-08-17 18:30:00 UTC,34.72,1157.2,1200.0,96.4,Saturation / Disjonction Imminente 48h
REL-00127,FRIZFPFAST34,Forges-les-Eaux,75 - Paris,Île-de-France,TR-ENEDIS-FORG-0127,2026-08-17 18:30:00 UTC,16.27,542.2,800.0,67.8,Normal
REL-00128,FRQPKEQPRK125241,Arcueil,75 - Paris,Île-de-France,TR-ENEDIS-ARCU-0128,2026-08-17 18:30:00 UTC,28.92,964.0,1200.0,80.3,Sous Surveillance Forte
REL-00129,FRLDLPLFR4217EVCP,Andilly,75 - Paris,Île-de-France,TR-ENEDIS-ANDI-0129,2026-08-17 18:30:00 UTC,36.2,1206.5,1500.0,80.4,Sous Surveillance Forte
REL-00130,FRPKGP92063009,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0130,2026-08-17 18:30:00 UTC,29.48,982.7,1500.0,65.5,Normal
REL-00131,FRFR1P718598597666544844,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0131,2026-08-17 18:30:00 UTC,12.27,409.1,1000.0,40.9,Normal
REL-00132,FREBNPBMEDT,Chambéry,75 - Paris,Île-de-France,TR-ENEDIS-CHAM-0132,2026-08-17 18:30:00 UTC,33.44,1114.8,1200.0,92.9,Saturation / Disjonction Imminente 48h
REL-00133,FRQVI7300008,Tignes,75 - Paris,Île-de-France,TR-ENEDIS-TIGN-0133,2026-08-17 18:30:00 UTC,32.73,1091.0,2000.0,54.5,Normal
REL-00134,FREVEPCM3MS99WC7OT1SZROOU7PYCHC,Saint-Brieuc,75 - Paris,Île-de-France,TR-ENEDIS-SAIN-0134,2026-08-17 18:30:00 UTC,32.46,1081.9,2000.0,54.1,Normal
REL-00135,FRQPKEQPRK125101,Arcueil,75 - Paris,Île-de-France,TR-ENEDIS-ARCU-0135,2026-08-17 18:30:00 UTC,23.35,778.2,800.0,97.3,Saturation / Disjonction Imminente 48h
REL-00136,FRELCP12953865,Sorgues,75 - Paris,Île-de-France,TR-ENEDIS-SORG-0136,2026-08-17 18:30:00 UTC,15.36,512.1,800.0,64.0,Normal
REL-00137,FRR3MP1022285,Givors,75 - Paris,Île-de-France,TR-ENEDIS-GIVO-0137,2026-08-17 18:30:00 UTC,15.4,513.2,1000.0,51.3,Normal
REL-00138,FRELCENH4V,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0138,2026-08-17 18:30:00 UTC,20.97,699.1,1000.0,69.9,Normal
REL-00139,FREBNP4548874436974284894,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0139,2026-08-17 18:30:00 UTC,18.88,629.5,1000.0,62.9,Normal
REL-00140,FRQWCP6697973744874299460,Paris,75 - Paris,Île-de-France,TR-ENEDIS-PARI-0140,2026-08-17 18:30:00 UTC,31.14,1037.9,1500.0,69.2,Normal
