aide_id,demandeur_id,siret,nom_aide_dispositif,montant_aide_accordee_eur,date_debut_aide,date_expiration_aide,statut_aide,organisme_financeur
AIDE-00045,DEM-0161,49321665610624,Aid'Emploi ZFU / QPV Recrutement,9544.39,2025-03-15,2026-02-22,En cours de versement,Opco Atlas
AIDE-00046,DEM-0433,47373870898713,POEI (Préparation Opérationnelle à l'Emploi Individuelle),12045.19,2025-02-09,2026-02-09,En cours de versement,Opco AKTO
AIDE-00047,DEM-0498,42964326873140,Compte Personnel de Formation (CPF Co-financé),6320.48,2025-02-12,2025-08-09,Clôturée,Opco AKTO
AIDE-00048,DEM-0447,43175034967970,Aid'Emploi ZFU / QPV Recrutement,4853.3,2025-02-16,2025-11-11,Clôturée,Opco Atlas
AIDE-00049,DEM-0078,44518564932040,PMSMP (Immersion en Entreprise 15j),5552.02,2025-02-26,2025-09-28,En cours de versement,Opco Atlas
AIDE-00050,DEM-0283,43235953332109,Compte Personnel de Formation (CPF Co-financé),6452.95,2025-02-05,2026-01-08,Clôturée,Agefiph
AIDE-00051,FT-99720068,43287515399678,Aid'Emploi ZFU / QPV Recrutement,10262.03,2025-03-26,2025-08-09,En cours de versement,France Travail
AIDE-00052,DEM-0310,42983146517808,AFPR (Action de Formation Préalable à l'Emploi),3048.45,2025-04-15,2025-12-25,En cours de versement,Opco AKTO
AIDE-00053,DEM-0187,46922983131107,Aid'Emploi ZFU / QPV Recrutement,13346.94,2025-04-11,2026-01-28,En cours de versement,Agefiph
AIDE-00054,DEM-0081,41446946384802,AFPR (Action de Formation Préalable à l'Emploi),9520.57,2025-02-07,2025-07-08,Accordée,Opco AKTO
AIDE-00055,DEM-0107,43503625155361,Aid'Emploi ZFU / QPV Recrutement,8894.4,2025-02-25,2025-09-21,Clôturée,France Travail
AIDE-00056,DEM-0224,41539663851052,POEI (Préparation Opérationnelle à l'Emploi Individuelle),3778.56,2025-01-26,2025-10-10,En cours de versement,Opco Atlas
AIDE-00057,DEM-0218,44138460026356,Prime Reprise d'Activité AGEFIPH (Handicap),9840.84,2025-04-05,2025-10-23,En cours de versement,Agefiph
AIDE-00058,DEM-0430,48231720713459,PMSMP (Immersion en Entreprise 15j),3155.45,2025-02-17,2025-06-27,En cours de versement,Opco AKTO
AIDE-00059,DEM-0377,41230972522845,POEI (Préparation Opérationnelle à l'Emploi Individuelle),13740.76,2025-02-07,2025-06-04,Clôturée,Opco AKTO
AIDE-00060,DEM-0280,48363636168289,PMSMP (Immersion en Entreprise 15j),12626.9,2025-04-02,2025-07-14,Accordée,Région
AIDE-00061,DEM-0255,42049835073570,AFPR (Action de Formation Préalable à l'Emploi),1842.96,2025-05-08,2025-10-03,En cours de versement,Opco AKTO
AIDE-00062,DEM-0174,41094972601092,Aid'Emploi ZFU / QPV Recrutement,9332.44,2025-03-22,2025-10-25,En cours de versement,Région
AIDE-00063,DEM-0103,49031075079387,Compte Personnel de Formation (CPF Co-financé),3441.42,2025-02-07,2025-04-21,Clôturée,Opco AKTO
AIDE-00064,DEM-0497,47562322154497,Prime Reprise d'Activité AGEFIPH (Handicap),1835.07,2025-02-09,2025-10-18,En cours de versement,Opco AKTO
AIDE-00065,DEM-0457,48339877887359,PMSMP (Immersion en Entreprise 15j),8303.32,2025-04-22,2025-09-12,Clôturée,Opco Atlas
AIDE-00066,DEM-0152,41740273445680,Compte Personnel de Formation (CPF Co-financé),3424.93,2025-04-18,2026-03-17,Clôturée,Opco AKTO
AIDE-00067,DEM-0351,43965813872616,Aid'Emploi ZFU / QPV Recrutement,6976.21,2025-03-17,2025-06-09,Clôturée,Opco Atlas
AIDE-00068,DEM-0118,48765602825177,Compte Personnel de Formation (CPF Co-financé),1644.19,2025-05-11,2026-01-24,Clôturée,Région
AIDE-00069,DEM-0408,44509083741327,Prime Reprise d'Activité AGEFIPH (Handicap),11698.55,2025-02-05,2025-11-27,Clôturée,Agefiph
AIDE-00070,DEM-0198,47939391306185,POEI (Préparation Opérationnelle à l'Emploi Individuelle),6220.92,2025-05-10,2026-02-07,Accordée,Région
AIDE-00071,DEM-0409,49570934006035,Aid'Emploi ZFU / QPV Recrutement,10265.51,2025-02-14,2025-09-28,En cours de versement,Agefiph
AIDE-00072,DEM-0332,43395856740628,POEI (Préparation Opérationnelle à l'Emploi Individuelle),10507.46,2025-05-10,2025-09-24,Accordée,Agefiph
AIDE-00073,DEM-0407,43117369884484,POEI (Préparation Opérationnelle à l'Emploi Individuelle),10038.94,2025-03-09,2026-03-08,En cours de versement,Opco Atlas
AIDE-00074,DEM-0263,45545155845058,Compte Personnel de Formation (CPF Co-financé),3079.65,2025-03-22,2025-07-14,Accordée,Région
AIDE-00075,DEM-0152,48880931435308,PMSMP (Immersion en Entreprise 15j),6859.46,2025-04-23,2025-07-20,Accordée,Agefiph
AIDE-00076,DEM-0462,45257261189802,Compte Personnel de Formation (CPF Co-financé),8433.05,2025-02-11,2025-04-21,En cours de versement,Région
AIDE-00077,DEM-0222,48889842412276,PMSMP (Immersion en Entreprise 15j),7768.87,2025-04-26,2025-10-09,Clôturée,Agefiph
AIDE-00078,DEM-0493,46994563732911,POEI (Préparation Opérationnelle à l'Emploi Individuelle),5833.79,2025-04-17,2025-08-31,En cours de versement,Opco AKTO
AIDE-00079,DEM-0157,46283973733737,Compte Personnel de Formation (CPF Co-financé),14126.08,2025-04-10,2025-08-17,Clôturée,France Travail
AIDE-00080,DEM-0464,42501556062572,PMSMP (Immersion en Entreprise 15j),3188.86,2025-03-23,2025-11-15,Clôturée,Opco AKTO
AIDE-00081,DEM-0094,42002906825739,Aid'Emploi ZFU / QPV Recrutement,13529.93,2025-02-18,2025-09-23,Accordée,Agefiph
AIDE-00082,DEM-0274,47046517044355,POEI (Préparation Opérationnelle à l'Emploi Individuelle),4814.54,2025-05-06,2025-12-01,En cours de versement,Région
AIDE-00083,DEM-0481,49609590558748,AFPR (Action de Formation Préalable à l'Emploi),1896.85,2025-02-06,2025-06-14,Clôturée,France Travail
AIDE-00084,DEM-0315,42357182338386,Compte Personnel de Formation (CPF Co-financé),5982.4,2025-03-11,2025-05-10,En cours de versement,France Travail
AIDE-00085,DEM-0153,42357182338386,Compte Personnel de Formation (CPF Co-financé),14036.81,2025-04-29,2025-10-28,En cours de versement,Opco AKTO
AIDE-00086,DEM-0006,44799276857746,AFPR (Action de Formation Préalable à l'Emploi),10673.38,2025-02-22,2025-06-01,Accordée,Agefiph
AIDE-00087,DEM-0203,47390625389355,Compte Personnel de Formation (CPF Co-financé),12616.37,2025-04-04,2025-07-06,Accordée,Région
AIDE-00088,DEM-0075,46113178172670,Prime Reprise d'Activité AGEFIPH (Handicap),3355.37,2025-03-26,2025-10-21,En cours de versement,Opco AKTO
AIDE-00089,DEM-0038,49766514439412,Aid'Emploi ZFU / QPV Recrutement,5874.62,2025-05-05,2025-10-11,En cours de versement,Opco AKTO
AIDE-00090,DEM-0375,48004915744119,Prime Reprise d'Activité AGEFIPH (Handicap),7038.89,2025-02-14,2026-02-04,En cours de versement,Opco Atlas
AIDE-00091,DEM-0426,44330959047293,Aid'Emploi ZFU / QPV Recrutement,8981.2,2025-03-04,2025-05-24,Accordée,Région
AIDE-00092,DEM-0468,43133202912389,PMSMP (Immersion en Entreprise 15j),5079.26,2025-04-08,2026-03-15,Accordée,Opco Atlas
AIDE-00093,DEM-0258,43758779351694,AFPR (Action de Formation Préalable à l'Emploi),12606.38,2025-03-15,2026-03-09,En cours de versement,Région
AIDE-00094,DEM-0249,42811476339121,AFPR (Action de Formation Préalable à l'Emploi),11828.99,2025-02-17,2025-05-17,Clôturée,Opco AKTO
AIDE-00095,DEM-0482,42802064175387,Prime Reprise d'Activité AGEFIPH (Handicap),11841.59,2025-03-22,2025-07-13,Clôturée,Région
AIDE-00096,DEM-0134,46485619899436,Compte Personnel de Formation (CPF Co-financé),12974.94,2025-03-18,2025-10-02,En cours de versement,Opco Atlas
AIDE-00097,DEM-0487,41444501603553,Aid'Emploi ZFU / QPV Recrutement,9940.39,2025-05-08,2025-07-07,Clôturée,Opco Atlas
AIDE-00098,DEM-0455,43850378070385,PMSMP (Immersion en Entreprise 15j),3135.54,2025-01-18,2025-07-29,Clôturée,Agefiph
AIDE-00099,DEM-0269,48072763230473,Prime Reprise d'Activité AGEFIPH (Handicap),12004.56,2025-02-27,2025-08-30,En cours de versement,Opco Atlas
AIDE-00100,DEM-0423,48337942894516,Aid'Emploi ZFU / QPV Recrutement,12052.96,2025-01-17,2025-04-14,Clôturée,Opco Atlas
AIDE-00101,DEM-0381,46246717178416,POEI (Préparation Opérationnelle à l'Emploi Individuelle),13779.1,2025-01-26,2025-11-20,En cours de versement,Opco AKTO
AIDE-00102,DEM-0254,49917755179930,Prime Reprise d'Activité AGEFIPH (Handicap),11087.47,2025-05-06,2025-09-19,En cours de versement,Opco AKTO
AIDE-00103,DEM-0269,49766980126613,Aid'Emploi ZFU / QPV Recrutement,10857.45,2025-05-08,2025-11-07,Accordée,Opco AKTO
AIDE-00104,DEM-0186,46975047352455,Aid'Emploi ZFU / QPV Recrutement,13102.67,2025-04-29,2025-07-31,Clôturée,Région
AIDE-00105,DEM-0363,41482437632450,Prime Reprise d'Activité AGEFIPH (Handicap),11489.93,2025-02-25,2025-11-14,En cours de versement,Opco AKTO
AIDE-00106,DEM-0101,41783333358086,Compte Personnel de Formation (CPF Co-financé),14225.16,2025-03-09,2025-07-01,Clôturée,Opco AKTO
AIDE-00107,DEM-0376,45036883590582,Aid'Emploi ZFU / QPV Recrutement,4858.57,2025-04-13,2026-03-31,Accordée,Région
AIDE-00108,DEM-0454,47647546810634,Compte Personnel de Formation (CPF Co-financé),5534.71,2025-03-23,2025-09-01,Clôturée,Opco AKTO
AIDE-00109,DEM-0463,43156609080730,Aid'Emploi ZFU / QPV Recrutement,4298.16,2025-03-09,2025-12-03,Accordée,Opco Atlas
AIDE-00110,DEM-0412,45042780008135,Aid'Emploi ZFU / QPV Recrutement,12535.48,2025-03-06,2025-10-05,En cours de versement,Opco AKTO
AIDE-00111,DEM-0174,48648319641774,Aid'Emploi ZFU / QPV Recrutement,12760.68,2025-05-02,2025-09-26,En cours de versement,Opco Atlas
AIDE-00112,DEM-0094,42592803836294,Compte Personnel de Formation (CPF Co-financé),5051.36,2025-01-17,2025-10-27,Accordée,Opco AKTO
AIDE-00113,DEM-0314,46554036120649,POEI (Préparation Opérationnelle à l'Emploi Individuelle),6464.61,2025-03-24,2025-08-09,Accordée,Région
AIDE-00114,DEM-0076,43533812851167,AFPR (Action de Formation Préalable à l'Emploi),13593.87,2025-03-04,2025-10-21,Clôturée,Opco Atlas
AIDE-00115,DEM-0149,45489489304627,Aid'Emploi ZFU / QPV Recrutement,5713.57,2025-01-29,2026-01-22,Accordée,Région
AIDE-00116,DEM-0084,48552165037605,Prime Reprise d'Activité AGEFIPH (Handicap),10287.05,2025-02-16,2025-04-27,Clôturée,Opco AKTO
AIDE-00117,DEM-0327,47678085514577,POEI (Préparation Opérationnelle à l'Emploi Individuelle),10314.45,2025-03-15,2025-09-27,Clôturée,Opco AKTO
AIDE-00118,DEM-0292,47417926318727,AFPR (Action de Formation Préalable à l'Emploi),9132.01,2025-04-02,2025-12-28,Accordée,Agefiph
AIDE-00119,DEM-0357,48417469624795,Prime Reprise d'Activité AGEFIPH (Handicap),7063.85,2025-03-19,2026-03-18,Clôturée,France Travail
AIDE-00120,DEM-0177,43201419881787,AFPR (Action de Formation Préalable à l'Emploi),2817.9,2025-03-23,2025-09-03,Accordée,France Travail
AIDE-00121,DEM-0173,47081651410896,AFPR (Action de Formation Préalable à l'Emploi),1669.23,2025-02-16,2025-09-06,Accordée,Agefiph
AIDE-00122,DEM-0456,46416451050177,POEI (Préparation Opérationnelle à l'Emploi Individuelle),7963.88,2025-04-16,2025-10-01,Clôturée,Opco Atlas
AIDE-00123,DEM-0151,45176258086855,Prime Reprise d'Activité AGEFIPH (Handicap),8033.5,2025-05-01,2026-02-19,Clôturée,Région
AIDE-00124,DEM-0259,41577309343900,Aid'Emploi ZFU / QPV Recrutement,3640.15,2025-03-26,2025-06-09,En cours de versement,Opco Atlas
AIDE-00125,DEM-0236,43584148456865,PMSMP (Immersion en Entreprise 15j),9209.02,2025-02-07,2025-10-01,En cours de versement,Opco Atlas
AIDE-00126,DEM-0338,42294800406017,Aid'Emploi ZFU / QPV Recrutement,4398.92,2025-04-28,2025-08-31,En cours de versement,Opco Atlas
AIDE-00127,DEM-0409,49091749316964,POEI (Préparation Opérationnelle à l'Emploi Individuelle),1848.28,2025-03-31,2025-07-28,Clôturée,France Travail
AIDE-00128,DEM-0023,49372471882380,AFPR (Action de Formation Préalable à l'Emploi),11094.33,2025-05-13,2026-05-07,Accordée,Opco Atlas
AIDE-00129,DEM-0334,48451525344141,POEI (Préparation Opérationnelle à l'Emploi Individuelle),14001.52,2025-03-18,2025-11-13,Clôturée,France Travail
AIDE-00130,DEM-0308,49655791505245,Prime Reprise d'Activité AGEFIPH (Handicap),4782.41,2025-04-21,2025-06-25,En cours de versement,Région
AIDE-00131,DEM-0295,47581485235737,Prime Reprise d'Activité AGEFIPH (Handicap),10950.74,2025-03-03,2025-06-14,Clôturée,Agefiph
AIDE-00132,DEM-0318,43699072907792,Aid'Emploi ZFU / QPV Recrutement,8478.57,2025-02-25,2026-02-15,En cours de versement,France Travail
AIDE-00133,DEM-0178,45954040278087,PMSMP (Immersion en Entreprise 15j),5616.13,2025-02-11,2025-10-09,Accordée,France Travail
AIDE-00134,DEM-0172,45283173903964,Aid'Emploi ZFU / QPV Recrutement,5222.84,2025-03-15,2026-02-06,En cours de versement,Région
AIDE-00135,DEM-0026,48047262357138,PMSMP (Immersion en Entreprise 15j),14132.37,2025-03-25,2025-10-15,Accordée,Opco AKTO
AIDE-00136,DEM-0124,46324474801043,PMSMP (Immersion en Entreprise 15j),13036.05,2025-02-24,2025-06-08,Clôturée,Opco Atlas
AIDE-00137,DEM-0481,44677091774787,PMSMP (Immersion en Entreprise 15j),5807.73,2025-05-02,2026-03-20,Clôturée,Agefiph
AIDE-00138,DEM-0266,42292551110996,POEI (Préparation Opérationnelle à l'Emploi Individuelle),13487.23,2025-03-04,2025-10-23,Clôturée,Agefiph
AIDE-00139,DEM-0177,44492873341438,PMSMP (Immersion en Entreprise 15j),3022.93,2025-02-06,2026-01-02,Accordée,Agefiph
AIDE-00140,DEM-0031,45175297428121,AFPR (Action de Formation Préalable à l'Emploi),1676.37,2025-03-05,2025-12-26,Clôturée,Région
AIDE-00141,DEM-0437,49333445285663,POEI (Préparation Opérationnelle à l'Emploi Individuelle),5145.37,2025-04-29,2026-01-17,Clôturée,Agefiph
AIDE-00142,DEM-0229,49575791356271,PMSMP (Immersion en Entreprise 15j),7304.33,2025-03-13,2026-02-26,En cours de versement,Région
AIDE-00143,DEM-0278,49872167618815,AFPR (Action de Formation Préalable à l'Emploi),9827.68,2025-04-25,2025-11-11,En cours de versement,Région
AIDE-00144,DEM-0110,45166800499214,Compte Personnel de Formation (CPF Co-financé),2614.4,2025-04-07,2025-06-30,Clôturée,Région
AIDE-00145,DEM-0286,45024822412237,Aid'Emploi ZFU / QPV Recrutement,2068.6,2025-03-08,2025-10-17,Clôturée,Région
AIDE-00146,DEM-0227,48182647531946,Aid'Emploi ZFU / QPV Recrutement,3039.55,2025-02-08,2026-01-15,Accordée,France Travail
AIDE-00147,DEM-0334,45824549230405,Compte Personnel de Formation (CPF Co-financé),6427.98,2025-02-03,2025-08-17,Accordée,Agefiph
AIDE-00148,DEM-0179,41206509466302,POEI (Préparation Opérationnelle à l'Emploi Individuelle),10785.8,2025-04-17,2026-02-02,Clôturée,Agefiph
AIDE-00149,DEM-0069,45617231560112,Prime Reprise d'Activité AGEFIPH (Handicap),8591.5,2025-03-11,2025-06-17,En cours de versement,Opco AKTO
AIDE-00150,DEM-0397,48524391034133,PMSMP (Immersion en Entreprise 15j),12429.31,2025-02-04,2025-12-31,Clôturée,Agefiph
AIDE-00151,DEM-0404,48950935923426,Compte Personnel de Formation (CPF Co-financé),2977.42,2025-02-14,2025-11-19,Accordée,France Travail
AIDE-00152,DEM-0003,47656613210771,Aid'Emploi ZFU / QPV Recrutement,7346.61,2025-03-04,2026-01-07,En cours de versement,Agefiph
AIDE-00153,DEM-0159,45340259260272,Compte Personnel de Formation (CPF Co-financé),8785.15,2025-04-19,2026-04-06,Accordée,France Travail
AIDE-00154,DEM-0308,45884921038912,Compte Personnel de Formation (CPF Co-financé),7367.64,2025-02-03,2025-09-26,Clôturée,France Travail
AIDE-00155,DEM-0004,44244887475189,Prime Reprise d'Activité AGEFIPH (Handicap),13735.84,2025-02-12,2025-12-03,Clôturée,Région
AIDE-00156,DEM-0005,49379750858147,PMSMP (Immersion en Entreprise 15j),8518.42,2025-03-27,2025-08-18,En cours de versement,Opco AKTO
AIDE-00157,DEM-0155,41876773136321,PMSMP (Immersion en Entreprise 15j),8376.91,2025-05-05,2025-09-17,Clôturée,Agefiph
AIDE-00158,DEM-0058,44939628739565,Aid'Emploi ZFU / QPV Recrutement,1762.54,2025-02-09,2025-12-23,Clôturée,Opco Atlas
AIDE-00159,DEM-0217,44966877068701,Aid'Emploi ZFU / QPV Recrutement,5701.58,2025-05-06,2025-11-16,Accordée,France Travail
AIDE-00160,DEM-0154,44703422735127,PMSMP (Immersion en Entreprise 15j),4434.49,2025-02-18,2025-11-01,En cours de versement,Région
AIDE-00161,DEM-0087,41261426149569,PMSMP (Immersion en Entreprise 15j),9572.84,2025-02-17,2025-06-22,Clôturée,France Travail
AIDE-00162,DEM-0448,49689703506706,AFPR (Action de Formation Préalable à l'Emploi),11284.49,2025-01-23,2025-04-01,Clôturée,Agefiph
AIDE-00163,DEM-0017,47770544699544,Prime Reprise d'Activité AGEFIPH (Handicap),12614.14,2025-04-05,2025-08-19,En cours de versement,France Travail
AIDE-00164,DEM-0206,45036596718270,Compte Personnel de Formation (CPF Co-financé),6927.74,2025-03-25,2025-08-03,Clôturée,Opco Atlas
AIDE-00165,DEM-0013,49243521674228,AFPR (Action de Formation Préalable à l'Emploi),6156.56,2025-03-08,2025-07-11,Accordée,Opco AKTO
AIDE-00166,DEM-0213,41714364688507,POEI (Préparation Opérationnelle à l'Emploi Individuelle),2435.02,2025-04-16,2025-07-17,Clôturée,France Travail
AIDE-00167,DEM-0168,42753155156627,POEI (Préparation Opérationnelle à l'Emploi Individuelle),5108.02,2025-03-04,2025-08-27,En cours de versement,Agefiph
AIDE-00168,DEM-0317,47011124531869,PMSMP (Immersion en Entreprise 15j),12141.59,2025-03-04,2025-09-19,Accordée,Région
AIDE-00169,DEM-0241,48575175256264,AFPR (Action de Formation Préalable à l'Emploi),12878.3,2025-02-12,2026-01-09,Clôturée,Opco Atlas
AIDE-00170,DEM-0383,49588591890571,PMSMP (Immersion en Entreprise 15j),8649.71,2025-03-19,2025-08-23,Accordée,Région
AIDE-00171,DEM-0336,46467606048714,POEI (Préparation Opérationnelle à l'Emploi Individuelle),7259.62,2025-03-04,2025-09-11,En cours de versement,Région
AIDE-00172,DEM-0336,47887731105429,Compte Personnel de Formation (CPF Co-financé),6319.77,2025-04-17,2025-08-04,Accordée,Opco AKTO
AIDE-00173,DEM-0031,41675332281797,Aid'Emploi ZFU / QPV Recrutement,11851.56,2025-04-17,2025-07-17,En cours de versement,Agefiph
AIDE-00174,DEM-0324,43980357348209,Prime Reprise d'Activité AGEFIPH (Handicap),7730.69,2025-03-11,2025-05-12,En cours de versement,Opco Atlas
AIDE-00175,DEM-0106,43198163145823,AFPR (Action de Formation Préalable à l'Emploi),13850.96,2025-05-05,2026-01-28,En cours de versement,Opco Atlas
AIDE-00176,DEM-0181,43133202912389,Compte Personnel de Formation (CPF Co-financé),14266.89,2025-04-02,2025-10-18,Accordée,France Travail
AIDE-00177,DEM-0081,44306844727173,POEI (Préparation Opérationnelle à l'Emploi Individuelle),12729.98,2025-03-19,2026-03-08,En cours de versement,France Travail
AIDE-00178,DEM-0114,41982089724775,PMSMP (Immersion en Entreprise 15j),10048.5,2025-03-26,2025-12-07,Clôturée,Opco Atlas
AIDE-00179,DEM-0278,41167725267499,Aid'Emploi ZFU / QPV Recrutement,1915.16,2025-01-31,2025-11-22,En cours de versement,Région
AIDE-00180,DEM-0299,47363861097342,Prime Reprise d'Activité AGEFIPH (Handicap),10543.02,2025-05-08,2026-04-20,En cours de versement,Opco AKTO
AIDE-00181,DEM-0275,48275215469332,POEI (Préparation Opérationnelle à l'Emploi Individuelle),14250.97,2025-02-10,2025-09-11,En cours de versement,France Travail
AIDE-00182,DEM-0382,41681737650607,POEI (Préparation Opérationnelle à l'Emploi Individuelle),5300.74,2025-03-28,2025-06-02,Accordée,Région
AIDE-00183,DEM-0440,41960917348241,Aid'Emploi ZFU / QPV Recrutement,3661.7,2025-01-19,2025-12-20,En cours de versement,Région
AIDE-00184,DEM-0139,41505101299267,Aid'Emploi ZFU / QPV Recrutement,6343.24,2025-04-20,2026-04-18,Clôturée,Opco Atlas
