date_observation,nom_operateur,niveau_geographique,code_geographique,libelle_zone,nb_sites_5g_700mhz,nb_sites_5g_2100mhz,nb_sites_5g_3500mhz,nb_sites_5g_total
2024-03-31,Free Mobile,Région,NOR,Normandie,366,1386,341,2093
2024-03-31,Free Mobile,Région,PAY,Pays de la Loire,340,274,302,916
2024-03-31,Free Mobile,Région,COR,Corse,1094,465,462,2021
2024-03-31,Free Mobile,Région,HAU,Hauts-de-France,288,1646,814,2748
2024-03-31,Free Mobile,Région,GRA,Grand Est,210,658,703,1571
2024-03-31,Free Mobile,Région,BOU,Bourgogne-Franche-Comté,1135,243,321,1699
2024-03-31,Free Mobile,Région,CEN,Centre-Val de Loire,964,1475,461,2900
2024-03-31,Free Mobile,Région,PRO,Provence-Alpes-Côte d'Azur,578,808,768,2154
2024-03-31,Free Mobile,Région,ÎLE,Île-de-France,1161,1175,276,2612
2024-03-31,Free Mobile,Région,NOU,Nouvelle-Aquitaine,391,591,733,1715
2024-06-30,Orange,Région,AUV,Auvergne-Rhône-Alpes,1188,429,285,1902
2024-06-30,Orange,Région,OCC,Occitanie,1163,235,686,2084
2024-06-30,Orange,Région,BRE,Bretagne,601,1426,441,2468
2024-06-30,Orange,Région,NOR,Normandie,1078,513,892,2483
2024-06-30,Orange,Région,PAY,Pays de la Loire,1063,963,440,2466
2024-06-30,Orange,Région,COR,Corse,543,537,615,1695
2024-06-30,Orange,Région,HAU,Hauts-de-France,1029,854,865,2748
2024-06-30,Orange,Région,GRA,Grand Est,860,782,832,2474
2024-06-30,Orange,Région,BOU,Bourgogne-Franche-Comté,780,1100,157,2037
2024-06-30,Orange,Région,CEN,Centre-Val de Loire,758,1347,501,2606
2024-06-30,Orange,Région,PRO,Provence-Alpes-Côte d'Azur,942,1364,659,2965
2024-06-30,Orange,Région,ÎLE,Île-de-France,648,669,681,1998
2024-06-30,Orange,Région,NOU,Nouvelle-Aquitaine,751,453,328,1532
2024-06-30,SFR,Région,AUV,Auvergne-Rhône-Alpes,382,1344,943,2669
2024-06-30,SFR,Région,OCC,Occitanie,838,624,356,1818
2024-06-30,SFR,Région,BRE,Bretagne,247,1164,618,2029
2024-06-30,SFR,Région,NOR,Normandie,677,1097,806,2580
2024-06-30,SFR,Région,PAY,Pays de la Loire,275,1463,452,2190
2024-06-30,SFR,Région,COR,Corse,462,1642,296,2400
2024-06-30,SFR,Région,HAU,Hauts-de-France,414,1498,435,2347
2024-06-30,SFR,Région,GRA,Grand Est,417,770,627,1814
2024-06-30,SFR,Région,BOU,Bourgogne-Franche-Comté,938,1167,521,2626
2024-06-30,SFR,Région,CEN,Centre-Val de Loire,995,1782,541,3318
2024-06-30,SFR,Région,PRO,Provence-Alpes-Côte d'Azur,394,945,937,2276
2024-06-30,SFR,Région,ÎLE,Île-de-France,476,1275,153,1904
2024-06-30,SFR,Région,NOU,Nouvelle-Aquitaine,853,1012,796,2661
2024-06-30,Bouygues Telecom,Région,AUV,Auvergne-Rhône-Alpes,518,449,939,1906
2024-06-30,Bouygues Telecom,Région,OCC,Occitanie,1050,1410,162,2622
2024-06-30,Bouygues Telecom,Région,BRE,Bretagne,1055,720,263,2038
2024-06-30,Bouygues Telecom,Région,NOR,Normandie,489,705,145,1339
2024-06-30,Bouygues Telecom,Région,PAY,Pays de la Loire,1039,1551,384,2974
2024-06-30,Bouygues Telecom,Région,COR,Corse,694,1601,587,2882
2024-06-30,Bouygues Telecom,Région,HAU,Hauts-de-France,432,1406,450,2288
2024-06-30,Bouygues Telecom,Région,GRA,Grand Est,995,714,141,1850
2024-06-30,Bouygues Telecom,Région,BOU,Bourgogne-Franche-Comté,503,269,264,1036
2024-06-30,Bouygues Telecom,Région,CEN,Centre-Val de Loire,837,291,348,1476
2024-06-30,Bouygues Telecom,Région,PRO,Provence-Alpes-Côte d'Azur,522,1636,910,3068
2024-06-30,Bouygues Telecom,Région,ÎLE,Île-de-France,752,1427,805,2984
2024-06-30,Bouygues Telecom,Région,NOU,Nouvelle-Aquitaine,448,406,298,1152
2024-06-30,Free Mobile,Région,AUV,Auvergne-Rhône-Alpes,255,455,748,1458
2024-06-30,Free Mobile,Région,OCC,Occitanie,408,1364,712,2484
2024-06-30,Free Mobile,Région,BRE,Bretagne,592,1263,626,2481
2024-06-30,Free Mobile,Région,NOR,Normandie,169,604,758,1531
2024-06-30,Free Mobile,Région,PAY,Pays de la Loire,817,1492,445,2754
2024-06-30,Free Mobile,Région,COR,Corse,402,396,845,1643
2024-06-30,Free Mobile,Région,HAU,Hauts-de-France,845,966,692,2503
2024-06-30,Free Mobile,Région,GRA,Grand Est,653,762,495,1910
2024-06-30,Free Mobile,Région,BOU,Bourgogne-Franche-Comté,507,306,877,1690
2024-06-30,Free Mobile,Région,CEN,Centre-Val de Loire,1122,1297,899,3318
2024-06-30,Free Mobile,Région,PRO,Provence-Alpes-Côte d'Azur,1112,1054,151,2317
2024-06-30,Free Mobile,Région,ÎLE,Île-de-France,544,351,810,1705
2024-06-30,Free Mobile,Région,NOU,Nouvelle-Aquitaine,272,792,697,1761
2024-09-30,Orange,Région,AUV,Auvergne-Rhône-Alpes,908,511,570,1989
2024-09-30,Orange,Région,OCC,Occitanie,567,943,573,2083
2024-09-30,Orange,Région,BRE,Bretagne,182,1643,138,1963
2024-09-30,Orange,Région,NOR,Normandie,727,703,252,1682
2024-09-30,Orange,Région,PAY,Pays de la Loire,1029,1287,574,2890
2024-09-30,Orange,Région,COR,Corse,745,975,573,2293
2024-09-30,Orange,Région,HAU,Hauts-de-France,1097,999,754,2850
2024-09-30,Orange,Région,GRA,Grand Est,237,1516,411,2164
2024-09-30,Orange,Région,BOU,Bourgogne-Franche-Comté,807,747,256,1810
2024-09-30,Orange,Région,CEN,Centre-Val de Loire,306,1289,602,2197
2024-09-30,Orange,Région,PRO,Provence-Alpes-Côte d'Azur,1053,1337,851,3241
2024-09-30,Orange,Région,ÎLE,Île-de-France,957,869,682,2508
2024-09-30,Orange,Région,NOU,Nouvelle-Aquitaine,271,1413,493,2177
2024-09-30,SFR,Région,AUV,Auvergne-Rhône-Alpes,556,624,499,1679
2024-09-30,SFR,Région,OCC,Occitanie,1044,832,767,2643
2024-09-30,SFR,Région,BRE,Bretagne,502,986,925,2413
2024-09-30,SFR,Région,NOR,Normandie,197,471,479,1147
2024-09-30,SFR,Région,PAY,Pays de la Loire,1158,528,398,2084
2024-09-30,SFR,Région,COR,Corse,306,483,547,1336
2024-09-30,SFR,Région,HAU,Hauts-de-France,301,1137,645,2083
2024-09-30,SFR,Région,GRA,Grand Est,544,1060,216,1820
2024-09-30,SFR,Région,BOU,Bourgogne-Franche-Comté,908,1126,530,2564
2024-09-30,SFR,Région,CEN,Centre-Val de Loire,188,482,326,996
2024-09-30,SFR,Région,PRO,Provence-Alpes-Côte d'Azur,875,651,546,2072
2024-09-30,SFR,Région,ÎLE,Île-de-France,762,570,181,1513
2024-09-30,SFR,Région,NOU,Nouvelle-Aquitaine,899,976,461,2336
2024-09-30,Bouygues Telecom,Région,AUV,Auvergne-Rhône-Alpes,181,207,496,884
2024-09-30,Bouygues Telecom,Région,OCC,Occitanie,736,1443,145,2324
2024-09-30,Bouygues Telecom,Région,BRE,Bretagne,1178,869,383,2430
2024-09-30,Bouygues Telecom,Région,NOR,Normandie,276,991,541,1808
2024-09-30,Bouygues Telecom,Région,PAY,Pays de la Loire,884,582,473,1939
2024-09-30,Bouygues Telecom,Région,COR,Corse,986,670,404,2060
2024-09-30,Bouygues Telecom,Région,HAU,Hauts-de-France,760,756,861,2377
2024-09-30,Bouygues Telecom,Région,GRA,Grand Est,263,1717,203,2183
2024-09-30,Bouygues Telecom,Région,BOU,Bourgogne-Franche-Comté,511,556,241,1308
2024-09-30,Bouygues Telecom,Région,CEN,Centre-Val de Loire,204,1311,417,1932
2024-09-30,Bouygues Telecom,Région,PRO,Provence-Alpes-Côte d'Azur,532,1454,757,2743
2024-09-30,Bouygues Telecom,Région,ÎLE,Île-de-France,866,400,304,1570
2024-09-30,Bouygues Telecom,Région,NOU,Nouvelle-Aquitaine,1183,1518,737,3438
2024-09-30,Free Mobile,Région,AUV,Auvergne-Rhône-Alpes,459,1742,492,2693
2024-09-30,Free Mobile,Région,OCC,Occitanie,481,856,638,1975
2024-09-30,Free Mobile,Région,BRE,Bretagne,1120,842,463,2425
2024-09-30,Free Mobile,Région,NOR,Normandie,645,892,690,2227
2024-09-30,Free Mobile,Région,PAY,Pays de la Loire,786,910,735,2431
2024-09-30,Free Mobile,Région,COR,Corse,684,656,561,1901
2024-09-30,Free Mobile,Région,HAU,Hauts-de-France,287,1149,501,1937
2024-09-30,Free Mobile,Région,GRA,Grand Est,660,1286,548,2494
2024-09-30,Free Mobile,Région,BOU,Bourgogne-Franche-Comté,1188,1238,869,3295
2024-09-30,Free Mobile,Région,CEN,Centre-Val de Loire,152,1074,386,1612
2024-09-30,Free Mobile,Région,PRO,Provence-Alpes-Côte d'Azur,876,1255,458,2589
2024-09-30,Free Mobile,Région,ÎLE,Île-de-France,414,960,266,1640
2024-09-30,Free Mobile,Région,NOU,Nouvelle-Aquitaine,172,958,878,2008
2024-12-31,Orange,Région,AUV,Auvergne-Rhône-Alpes,277,396,802,1475
2024-12-31,Orange,Région,OCC,Occitanie,324,1419,829,2572
2024-12-31,Orange,Région,BRE,Bretagne,753,1059,552,2364
2024-12-31,Orange,Région,NOR,Normandie,1037,792,907,2736
2024-12-31,Orange,Région,PAY,Pays de la Loire,996,1230,598,2824
2024-12-31,Orange,Région,COR,Corse,653,825,495,1973
2024-12-31,Orange,Région,HAU,Hauts-de-France,1078,1672,481,3231
2024-12-31,Orange,Région,GRA,Grand Est,534,296,893,1723
2024-12-31,Orange,Région,BOU,Bourgogne-Franche-Comté,1104,735,940,2779
2024-12-31,Orange,Région,CEN,Centre-Val de Loire,216,1705,163,2084
2024-12-31,Orange,Région,PRO,Provence-Alpes-Côte d'Azur,572,519,292,1383
2024-12-31,Orange,Région,ÎLE,Île-de-France,1133,1592,259,2984
2024-12-31,Orange,Région,NOU,Nouvelle-Aquitaine,941,1097,809,2847
2024-12-31,SFR,Région,AUV,Auvergne-Rhône-Alpes,356,923,478,1757
2024-12-31,SFR,Région,OCC,Occitanie,531,1213,382,2126
2024-12-31,SFR,Région,BRE,Bretagne,932,256,300,1488
2024-12-31,SFR,Région,NOR,Normandie,576,598,872,2046
2024-12-31,SFR,Région,PAY,Pays de la Loire,801,1119,286,2206
2024-12-31,SFR,Région,COR,Corse,1029,739,146,1914
2024-12-31,SFR,Région,HAU,Hauts-de-France,558,786,679,2023
2024-12-31,SFR,Région,GRA,Grand Est,1017,1521,250,2788
2024-12-31,SFR,Région,BOU,Bourgogne-Franche-Comté,742,470,911,2123
2024-12-31,SFR,Région,CEN,Centre-Val de Loire,154,665,618,1437
2024-12-31,SFR,Région,PRO,Provence-Alpes-Côte d'Azur,985,1068,175,2228
2024-12-31,SFR,Région,ÎLE,Île-de-France,565,1641,716,2922
2024-12-31,SFR,Région,NOU,Nouvelle-Aquitaine,257,1072,693,2022
2024-12-31,Bouygues Telecom,Région,AUV,Auvergne-Rhône-Alpes,510,974,278,1762
2024-12-31,Bouygues Telecom,Région,OCC,Occitanie,933,1002,354,2289
2024-12-31,Bouygues Telecom,Région,BRE,Bretagne,1074,412,892,2378
2024-12-31,Bouygues Telecom,Région,NOR,Normandie,305,1683,511,2499
2024-12-31,Bouygues Telecom,Région,PAY,Pays de la Loire,1140,807,500,2447
2024-12-31,Bouygues Telecom,Région,COR,Corse,370,1276,813,2459
2024-12-31,Bouygues Telecom,Région,HAU,Hauts-de-France,197,1628,138,1963
2024-12-31,Bouygues Telecom,Région,GRA,Grand Est,770,995,368,2133
2024-12-31,Bouygues Telecom,Région,BOU,Bourgogne-Franche-Comté,724,813,527,2064
2024-12-31,Bouygues Telecom,Région,CEN,Centre-Val de Loire,991,1235,336,2562
2024-12-31,Bouygues Telecom,Région,PRO,Provence-Alpes-Côte d'Azur,189,873,800,1862
2024-12-31,Bouygues Telecom,Région,ÎLE,Île-de-France,376,312,869,1557
2024-12-31,Bouygues Telecom,Région,NOU,Nouvelle-Aquitaine,698,1196,947,2841
2024-12-31,Free Mobile,Région,AUV,Auvergne-Rhône-Alpes,901,1265,474,2640
2024-12-31,Free Mobile,Région,OCC,Occitanie,1042,1124,827,2993
2024-12-31,Free Mobile,Région,BRE,Bretagne,754,699,805,2258
2024-12-31,Free Mobile,Région,NOR,Normandie,877,891,314,2082
2024-12-31,Free Mobile,Région,PAY,Pays de la Loire,411,211,271,893
2024-12-31,Free Mobile,Région,COR,Corse,788,1036,117,1941
2024-12-31,Free Mobile,Région,HAU,Hauts-de-France,247,730,230,1207
2024-12-31,Free Mobile,Région,GRA,Grand Est,636,618,283,1537
2024-12-31,Free Mobile,Région,BOU,Bourgogne-Franche-Comté,274,1525,226,2025
2024-12-31,Free Mobile,Région,CEN,Centre-Val de Loire,498,1264,213,1975
2024-12-31,Free Mobile,Région,PRO,Provence-Alpes-Côte d'Azur,494,848,132,1474
2024-12-31,Free Mobile,Région,ÎLE,Île-de-France,1155,1547,210,2912
2024-12-31,Free Mobile,Région,NOU,Nouvelle-Aquitaine,636,1175,307,2118
2025-03-31,Orange,Région,AUV,Auvergne-Rhône-Alpes,951,1749,513,3213
2025-03-31,Orange,Région,OCC,Occitanie,1090,1335,294,2719
2025-03-31,Orange,Région,BRE,Bretagne,429,1569,162,2160
2025-03-31,Orange,Région,NOR,Normandie,429,838,629,1896
2025-03-31,Orange,Région,PAY,Pays de la Loire,1085,506,431,2022
2025-03-31,Orange,Région,COR,Corse,436,1047,816,2299
2025-03-31,Orange,Région,HAU,Hauts-de-France,981,395,677,2053
2025-03-31,Orange,Région,GRA,Grand Est,705,580,202,1487
2025-03-31,Orange,Région,BOU,Bourgogne-Franche-Comté,326,821,323,1470
2025-03-31,Orange,Région,CEN,Centre-Val de Loire,1061,638,448,2147
2025-03-31,Orange,Région,PRO,Provence-Alpes-Côte d'Azur,877,421,402,1700
2025-03-31,Orange,Région,ÎLE,Île-de-France,1199,323,768,2290
2025-03-31,Orange,Région,NOU,Nouvelle-Aquitaine,933,218,145,1296
2025-03-31,SFR,Région,AUV,Auvergne-Rhône-Alpes,770,1662,468,2900
2025-03-31,SFR,Région,OCC,Occitanie,755,421,635,1811
2025-03-31,SFR,Région,BRE,Bretagne,545,716,448,1709
2025-03-31,SFR,Région,NOR,Normandie,1187,347,265,1799
2025-03-31,SFR,Région,PAY,Pays de la Loire,707,318,640,1665
2025-03-31,SFR,Région,COR,Corse,959,1608,193,2760
2025-03-31,SFR,Région,HAU,Hauts-de-France,1172,1448,480,3100
2025-03-31,SFR,Région,GRA,Grand Est,496,1726,227,2449
2025-03-31,SFR,Région,BOU,Bourgogne-Franche-Comté,1154,1491,738,3383
2025-03-31,SFR,Région,CEN,Centre-Val de Loire,890,1728,450,3068
2025-03-31,SFR,Région,PRO,Provence-Alpes-Côte d'Azur,1171,1655,914,3740
2025-03-31,SFR,Région,ÎLE,Île-de-France,470,1404,457,2331
2025-03-31,SFR,Région,NOU,Nouvelle-Aquitaine,1036,1171,307,2514
2025-03-31,Bouygues Telecom,Région,AUV,Auvergne-Rhône-Alpes,1143,1407,796,3346
2025-03-31,Bouygues Telecom,Région,OCC,Occitanie,293,1247,722,2262
2025-03-31,Bouygues Telecom,Région,BRE,Bretagne,1014,513,157,1684
2025-03-31,Bouygues Telecom,Région,NOR,Normandie,1150,1116,901,3167
2025-03-31,Bouygues Telecom,Région,PAY,Pays de la Loire,885,1276,458,2619
2025-03-31,Bouygues Telecom,Région,COR,Corse,956,310,194,1460
2025-03-31,Bouygues Telecom,Région,HAU,Hauts-de-France,803,1249,308,2360
2025-03-31,Bouygues Telecom,Région,GRA,Grand Est,919,1217,655,2791
2025-03-31,Bouygues Telecom,Région,BOU,Bourgogne-Franche-Comté,615,782,618,2015
2025-03-31,Bouygues Telecom,Région,CEN,Centre-Val de Loire,1162,999,737,2898
2025-03-31,Bouygues Telecom,Région,PRO,Provence-Alpes-Côte d'Azur,499,816,423,1738
2025-03-31,Bouygues Telecom,Région,ÎLE,Île-de-France,1163,1738,259,3160
2025-03-31,Bouygues Telecom,Région,NOU,Nouvelle-Aquitaine,720,571,127,1418
2025-03-31,Free Mobile,Région,AUV,Auvergne-Rhône-Alpes,1152,1598,940,3690
2025-03-31,Free Mobile,Région,OCC,Occitanie,1030,1542,316,2888
2025-03-31,Free Mobile,Région,BRE,Bretagne,497,941,248,1686
2025-03-31,Free Mobile,Région,NOR,Normandie,857,982,470,2309
2025-03-31,Free Mobile,Région,PAY,Pays de la Loire,700,679,292,1671
2025-03-31,Free Mobile,Région,COR,Corse,973,1558,500,3031
2025-03-31,Free Mobile,Région,HAU,Hauts-de-France,751,655,625,2031
2025-03-31,Free Mobile,Région,GRA,Grand Est,1170,1204,782,3156
2025-03-31,Free Mobile,Région,BOU,Bourgogne-Franche-Comté,422,1770,255,2447
2025-03-31,Free Mobile,Région,CEN,Centre-Val de Loire,754,811,566,2131
2025-03-31,Free Mobile,Région,PRO,Provence-Alpes-Côte d'Azur,529,1627,930,3086
2025-03-31,Free Mobile,Région,ÎLE,Île-de-France,1182,1414,628,3224
2025-03-31,Free Mobile,Région,NOU,Nouvelle-Aquitaine,530,1175,286,1991
2025-06-30,Orange,Région,AUV,Auvergne-Rhône-Alpes,537,1768,376,2681
2025-06-30,Orange,Région,OCC,Occitanie,213,582,517,1312
2025-06-30,Orange,Région,BRE,Bretagne,650,1188,825,2663
2025-06-30,Orange,Région,NOR,Normandie,651,1432,138,2221
2025-06-30,Orange,Région,PAY,Pays de la Loire,668,1365,465,2498
2025-06-30,Orange,Région,COR,Corse,334,966,815,2115
2025-06-30,Orange,Région,HAU,Hauts-de-France,1139,1770,727,3636
2025-06-30,Orange,Région,GRA,Grand Est,1076,785,657,2518
2025-06-30,Orange,Région,BOU,Bourgogne-Franche-Comté,648,260,299,1207
2025-06-30,Orange,Région,CEN,Centre-Val de Loire,637,1356,364,2357
2025-06-30,Orange,Région,PRO,Provence-Alpes-Côte d'Azur,970,1087,795,2852
2025-06-30,Orange,Région,ÎLE,Île-de-France,904,386,261,1551
2025-06-30,Orange,Région,NOU,Nouvelle-Aquitaine,773,1535,635,2943
2025-06-30,SFR,Région,AUV,Auvergne-Rhône-Alpes,870,470,278,1618
2025-06-30,SFR,Région,OCC,Occitanie,1040,1120,193,2353
2025-06-30,SFR,Région,BRE,Bretagne,545,1433,239,2217
2025-06-30,SFR,Région,NOR,Normandie,606,432,217,1255
2025-06-30,SFR,Région,PAY,Pays de la Loire,912,637,199,1748
2025-06-30,SFR,Région,COR,Corse,620,1762,105,2487
2025-06-30,SFR,Région,HAU,Hauts-de-France,1194,1223,482,2899
2025-06-30,SFR,Région,GRA,Grand Est,394,1399,315,2108
2025-06-30,SFR,Région,BOU,Bourgogne-Franche-Comté,435,1110,787,2332
2025-06-30,SFR,Région,CEN,Centre-Val de Loire,862,741,128,1731
2025-06-30,SFR,Région,PRO,Provence-Alpes-Côte d'Azur,1016,1090,603,2709
2025-06-30,SFR,Région,ÎLE,Île-de-France,713,1490,457,2660
2025-06-30,SFR,Région,NOU,Nouvelle-Aquitaine,509,268,462,1239
2025-06-30,Bouygues Telecom,Région,AUV,Auvergne-Rhône-Alpes,260,355,937,1552
2025-06-30,Bouygues Telecom,Région,OCC,Occitanie,852,432,679,1963
2025-06-30,Bouygues Telecom,Région,BRE,Bretagne,210,1613,748,2571
2025-06-30,Bouygues Telecom,Région,NOR,Normandie,929,769,576,2274
2025-06-30,Bouygues Telecom,Région,PAY,Pays de la Loire,594,1434,372,2400
2025-06-30,Bouygues Telecom,Région,COR,Corse,975,393,173,1541
2025-06-30,Bouygues Telecom,Région,HAU,Hauts-de-France,879,394,159,1432
2025-06-30,Bouygues Telecom,Région,GRA,Grand Est,748,1086,318,2152
2025-06-30,Bouygues Telecom,Région,BOU,Bourgogne-Franche-Comté,186,1020,160,1366
2025-06-30,Bouygues Telecom,Région,CEN,Centre-Val de Loire,989,389,792,2170
2025-06-30,Bouygues Telecom,Région,PRO,Provence-Alpes-Côte d'Azur,681,1144,769,2594
2025-06-30,Bouygues Telecom,Région,ÎLE,Île-de-France,526,1098,876,2500
2025-06-30,Bouygues Telecom,Région,NOU,Nouvelle-Aquitaine,1003,1080,637,2720
2025-06-30,Free Mobile,Région,AUV,Auvergne-Rhône-Alpes,430,1106,514,2050
2025-06-30,Free Mobile,Région,OCC,Occitanie,1016,1666,308,2990
2025-06-30,Free Mobile,Région,BRE,Bretagne,539,472,746,1757
2025-06-30,Free Mobile,Région,NOR,Normandie,1060,782,334,2176
2025-06-30,Free Mobile,Région,PAY,Pays de la Loire,572,399,186,1157
2025-06-30,Free Mobile,Région,COR,Corse,342,1463,322,2127
2025-06-30,Free Mobile,Région,HAU,Hauts-de-France,618,1632,628,2878
2025-06-30,Free Mobile,Région,GRA,Grand Est,801,866,946,2613
2025-06-30,Free Mobile,Région,BOU,Bourgogne-Franche-Comté,537,971,336,1844
2025-06-30,Free Mobile,Région,CEN,Centre-Val de Loire,732,461,106,1299
2025-06-30,Free Mobile,Région,PRO,Provence-Alpes-Côte d'Azur,456,1716,831,3003
2025-06-30,Free Mobile,Région,ÎLE,Île-de-France,440,814,535,1789
2025-06-30,Free Mobile,Région,NOU,Nouvelle-Aquitaine,1161,608,749,2518
