id_pylone_sensor,id_station_anfr,nom_operateur,commune,temperature_processeur_c,charge_cpu_pct,stabilite_tension_volts,etat_sante_batterie_secours_pct,vibration_mat_mm,probabilite_panne_7j_pct,composant_a_remplacer_prioritaire
SNS-0021,0722290009,Free Mobile,Annecy,57.8,65.2,48.19,68.1,4.13,27.7,Aucun (Normal)
SNS-0022,0412290011,Bouygues Telecom,Marseille,77.0,59.1,48.16,83.1,3.15,56.8,Aucun (Normal)
SNS-0023,0452290010,Bouygues Telecom,Grenoble,56.9,86.9,47.98,99.2,3.05,45.6,Aucun (Normal)
SNS-0024,0862290140,SFR,Montpellier,77.0,80.2,48.22,93.9,1.6,75.8,Carte Alimentation DC
SNS-0025,0272290011,Bouygues Telecom,Strasbourg,82.4,64.6,47.63,85.4,2.41,71.5,Module Optique SFP+ 10G
SNS-0026,0672290021,SFR,Lyon,80.0,52.6,47.9,66.6,3.61,56.3,Aucun (Normal)
SNS-0027,0312290351,Free Mobile,Marseille,72.5,95.9,47.73,74.7,3.07,81.8,Carte Alimentation DC
SNS-0028,0822290004,Bouygues Telecom,Nice,48.0,82.0,48.33,86.7,4.05,25.2,Aucun (Normal)
SNS-0029,0652290005,Bouygues Telecom,Lyon,86.3,25.8,47.78,98.0,3.37,43.6,Aucun (Normal)
SNS-0030,0942290055,Orange,Rennes,69.1,25.1,48.69,67.9,3.61,12.0,Aucun (Normal)
SNS-0031,02A2290114,Bouygues Telecom,Rennes,83.4,33.1,48.09,75.2,3.36,44.9,Aucun (Normal)
SNS-0032,0912290007,SFR,Lyon,44.7,36.1,48.47,89.9,1.62,2.0,Aucun (Normal)
SNS-0033,0902290027,SFR,Lille,73.2,53.9,47.67,68.9,2.38,45.3,Aucun (Normal)
SNS-0034,0142290016,Bouygues Telecom,Bordeaux,76.2,95.1,48.41,87.1,1.19,87.8,Module Optique SFP+ 10G
SNS-0035,0802290006,SFR,Strasbourg,76.3,55.1,48.04,73.4,1.78,51.9,Aucun (Normal)
SNS-0036,0642290014,Bouygues Telecom,Lyon,64.7,51.7,47.71,90.6,0.64,28.0,Aucun (Normal)
SNS-0037,0332290023,SFR,Paris,88.3,86.1,48.59,77.3,2.64,98.0,Liaison FH Réalignement
SNS-0038,0472290008,Free Mobile,Montpellier,57.1,26.6,48.38,97.8,4.17,2.0,Aucun (Normal)
SNS-0039,0512290003,Orange,Montpellier,56.4,41.4,47.84,85.1,1.51,3.8,Aucun (Normal)
SNS-0040,0032290008,Free Mobile,Rennes,85.6,88.7,48.76,89.1,1.31,98.0,Liaison FH Réalignement
SNS-0041,0592290006,Orange,Annecy,79.7,95.2,48.14,93.2,3.85,94.1,Module Optique SFP+ 10G
SNS-0042,0592290030,Orange,Lille,56.4,32.7,47.3,67.4,1.98,2.0,Aucun (Normal)
SNS-0043,0622290007,Bouygues Telecom,Strasbourg,52.9,60.2,48.59,78.7,0.23,14.4,Aucun (Normal)
SNS-0044,0872290171,Bouygues Telecom,Lille,49.5,89.2,48.14,95.9,0.61,34.4,Aucun (Normal)
SNS-0045,0732290022,Free Mobile,Annecy,48.0,39.1,48.66,74.6,1.29,2.0,Aucun (Normal)
SNS-0046,0692290372,Bouygues Telecom,Grenoble,59.3,45.4,48.68,72.1,2.09,12.6,Aucun (Normal)
SNS-0047,0422290009,Free Mobile,Annecy,44.2,65.4,47.26,68.3,2.99,3.4,Aucun (Normal)
SNS-0048,0132290834,SFR,Lille,75.6,61.7,47.31,68.1,3.13,56.6,Aucun (Normal)
SNS-0049,0062290453,Orange,Nice,69.3,25.6,47.73,79.4,3.02,12.8,Aucun (Normal)
SNS-0050,0842290007,Free Mobile,Strasbourg,82.3,28.3,47.43,65.2,3.65,38.6,Aucun (Normal)
SNS-0051,0832290099,Orange,Bordeaux,82.0,44.6,47.58,91.0,1.88,52.7,Aucun (Normal)
SNS-0052,0112290206,SFR,Nantes,52.6,93.8,48.09,71.3,1.86,44.1,Aucun (Normal)
SNS-0053,0542290016,Bouygues Telecom,Nantes,51.6,73.4,48.02,75.7,4.06,23.9,Aucun (Normal)
SNS-0054,0572290020,SFR,Grenoble,77.0,38.6,47.65,83.9,0.36,38.3,Aucun (Normal)
SNS-0055,0442290301,SFR,Strasbourg,76.1,69.5,47.23,89.9,4.07,64.5,Liaison FH Réalignement
SNS-0056,0452290006,Orange,Nice,79.0,64.0,48.18,82.9,4.06,64.8,Carte Alimentation DC
SNS-0057,0292290180,Bouygues Telecom,Nice,56.3,71.9,47.9,94.0,4.14,31.0,Aucun (Normal)
SNS-0058,0222290007,Bouygues Telecom,Paris,64.1,80.9,48.02,82.6,0.64,53.2,Aucun (Normal)
SNS-0059,0672290005,Free Mobile,Bordeaux,49.8,39.7,47.89,77.7,0.61,2.0,Aucun (Normal)
SNS-0060,0312290014,Orange,Nice,79.6,94.6,47.68,97.6,4.03,93.4,Liaison FH Réalignement
SNS-0061,0822290003,Bouygues Telecom,Paris,56.5,61.1,48.27,76.8,0.97,21.7,Aucun (Normal)
SNS-0062,0652290006,SFR,Lille,87.5,45.3,48.59,76.8,2.41,63.3,Ventilateur Baie 3.5GHz
SNS-0063,0752290181,SFR,Lille,74.2,56.6,48.66,98.8,2.41,49.5,Aucun (Normal)
SNS-0064,02A2290015,Orange,Marseille,69.4,66.8,48.09,89.2,3.68,50.0,Aucun (Normal)
SNS-0065,0912290013,Bouygues Telecom,Lille,50.1,47.9,48.44,96.1,2.65,2.0,Aucun (Normal)
SNS-0066,0772290290,Free Mobile,Montpellier,86.6,61.9,48.17,67.6,2.5,76.6,Carte Alimentation DC
SNS-0067,0252290010,SFR,Marseille,55.1,81.2,48.13,98.8,3.79,37.3,Aucun (Normal)
SNS-0068,0402290221,Free Mobile,Lille,46.7,74.4,47.6,97.4,2.97,16.0,Aucun (Normal)
SNS-0069,0332290028,Orange,Toulouse,67.8,30.7,48.23,87.7,4.07,14.7,Aucun (Normal)
SNS-0070,0472290004,Bouygues Telecom,Rennes,61.2,91.5,47.57,72.5,3.99,57.5,Aucun (Normal)
SNS-0071,0032290169,Orange,Annecy,46.3,34.2,48.6,80.5,1.5,2.0,Aucun (Normal)
SNS-0072,0592290482,SFR,Lyon,47.7,53.3,47.23,80.7,0.95,2.0,Aucun (Normal)
SNS-0073,0592290039,Orange,Marseille,80.1,72.0,47.23,69.9,4.12,74.0,Ventilateur Baie 3.5GHz
SNS-0074,0622290023,Bouygues Telecom,Nantes,67.6,47.3,48.54,99.9,1.54,29.2,Aucun (Normal)
SNS-0075,0872290007,Orange,Toulouse,69.6,39.5,48.03,73.9,3.41,25.8,Aucun (Normal)
SNS-0076,0742290014,SFR,Lille,61.9,37.3,47.82,82.0,1.0,10.0,Aucun (Normal)
SNS-0077,0012290129,Orange,Strasbourg,73.5,73.6,47.92,77.1,1.53,63.5,Liaison FH Réalignement
SNS-0078,0422290012,Free Mobile,Toulouse,55.0,84.2,47.37,96.6,2.43,39.8,Aucun (Normal)
SNS-0079,0262290122,Bouygues Telecom,Rennes,48.3,77.2,48.05,65.5,0.28,21.4,Aucun (Normal)
SNS-0080,0132290586,Orange,Lyon,56.5,36.7,48.05,79.6,2.2,2.0,Aucun (Normal)
SNS-0081,0062290030,Orange,Lille,68.1,95.7,47.79,73.4,1.13,73.7,Carte Alimentation DC
SNS-0082,0832290015,Bouygues Telecom,Rennes,49.1,47.5,48.47,97.7,1.34,2.0,Aucun (Normal)
SNS-0083,0112290008,Free Mobile,Nantes,86.9,28.4,48.74,76.6,1.99,47.0,Aucun (Normal)
SNS-0084,0302290008,Bouygues Telecom,Nice,61.3,27.9,47.74,97.9,1.26,2.0,Aucun (Normal)
SNS-0085,0542290014,Orange,Montpellier,84.0,42.5,47.56,86.1,2.77,54.5,Aucun (Normal)
SNS-0086,0572290003,Free Mobile,Toulouse,52.5,87.2,47.53,99.0,2.67,38.0,Aucun (Normal)
SNS-0087,0442290011,Free Mobile,Strasbourg,68.2,49.8,48.19,67.1,0.79,32.6,Aucun (Normal)
SNS-0088,0722290011,Bouygues Telecom,Nantes,50.4,57.0,47.7,79.8,3.82,7.0,Aucun (Normal)
SNS-0089,0862290122,Orange,Strasbourg,68.7,43.0,48.35,95.4,3.37,27.4,Aucun (Normal)
SNS-0090,0292290224,SFR,Paris,64.7,60.9,48.06,77.4,3.07,36.3,Aucun (Normal)
SNS-0091,0222290002,SFR,Annecy,42.9,46.2,47.37,85.2,2.17,2.0,Aucun (Normal)
SNS-0092,0762290018,Free Mobile,Annecy,44.1,52.4,47.46,88.0,2.98,2.0,Aucun (Normal)
SNS-0093,0672290019,SFR,Lille,86.3,34.9,48.57,89.3,1.76,51.8,Aucun (Normal)
SNS-0094,0312290009,Free Mobile,Montpellier,77.7,92.2,48.36,97.0,2.94,87.8,Carte Alimentation DC
SNS-0095,0812290123,Free Mobile,Montpellier,57.6,91.5,48.67,76.7,3.62,51.0,Aucun (Normal)
SNS-0096,0652290085,Bouygues Telecom,Marseille,82.8,87.5,48.13,69.7,1.61,92.8,Carte Alimentation DC
SNS-0097,0942290009,Orange,Lille,76.3,36.1,47.85,94.3,1.66,34.8,Aucun (Normal)
SNS-0098,0752290285,Free Mobile,Toulouse,56.9,62.7,47.22,65.5,0.43,23.9,Aucun (Normal)
SNS-0099,0752290316,Bouygues Telecom,Rennes,68.1,90.1,48.35,99.6,4.15,68.7,Module Optique SFP+ 10G
SNS-0100,0952290016,SFR,Lyon,83.5,67.8,47.82,95.1,2.1,76.3,Carte Alimentation DC
SNS-0101,0912290257,Orange,Nice,75.8,63.7,48.57,86.1,2.69,58.8,Aucun (Normal)
SNS-0102,0772290460,Orange,Nice,58.6,37.4,48.04,92.0,1.62,4.1,Aucun (Normal)
SNS-0103,0782290031,Orange,Lyon,49.2,69.0,47.93,95.3,1.89,15.7,Aucun (Normal)
SNS-0104,0252290130,Free Mobile,Strasbourg,68.3,29.8,47.74,80.6,2.43,14.8,Aucun (Normal)
SNS-0105,0022290003,SFR,Nantes,68.7,46.2,48.03,77.4,0.52,30.2,Aucun (Normal)
SNS-0106,0642290004,Free Mobile,Lille,48.4,29.0,47.38,84.5,1.55,2.0,Aucun (Normal)
SNS-0107,0332290319,Bouygues Telecom,Nice,53.2,28.0,47.21,86.0,2.37,2.0,Aucun (Normal)
SNS-0108,0242290124,Orange,Lille,72.1,79.6,47.41,66.1,0.36,66.4,Liaison FH Réalignement
SNS-0109,0512290138,SFR,Lyon,82.6,46.3,47.7,67.6,0.46,55.3,Aucun (Normal)
SNS-0110,0032290002,Orange,Annecy,61.2,51.3,48.22,65.4,2.61,21.3,Aucun (Normal)
SNS-0111,0592290033,SFR,Montpellier,48.5,47.4,47.84,67.9,3.53,2.0,Aucun (Normal)
SNS-0112,0592290032,SFR,Paris,58.4,30.0,47.55,98.2,3.18,2.0,Aucun (Normal)
SNS-0113,0622290018,Bouygues Telecom,Lyon,44.5,72.1,47.85,90.6,2.11,10.0,Aucun (Normal)
SNS-0114,0872290004,Bouygues Telecom,Annecy,76.8,78.6,47.49,74.9,2.95,74.0,Carte Alimentation DC
SNS-0115,0742290006,Bouygues Telecom,Nantes,65.9,33.2,48.15,74.7,1.64,13.5,Aucun (Normal)
SNS-0116,0012290130,SFR,Lyon,87.7,51.1,47.24,77.0,0.65,68.9,Module Optique SFP+ 10G
SNS-0117,0422290011,Bouygues Telecom,Bordeaux,64.0,71.4,48.38,75.2,1.83,44.5,Aucun (Normal)
SNS-0118,0262290154,Free Mobile,Nice,58.2,32.5,47.42,71.1,0.5,2.0,Aucun (Normal)
SNS-0119,0132290639,Orange,Annecy,55.5,39.3,47.57,79.3,0.46,2.0,Aucun (Normal)
SNS-0120,0062290311,Orange,Bordeaux,78.1,66.4,48.18,95.3,1.26,65.3,Module Optique SFP+ 10G
SNS-0121,0842290159,Orange,Lyon,81.4,92.7,47.64,66.2,4.19,95.0,Module Optique SFP+ 10G
SNS-0122,0832290017,Orange,Montpellier,70.8,38.5,48.72,99.8,0.2,27.1,Aucun (Normal)
SNS-0123,0112290007,SFR,Bordeaux,57.2,72.6,48.31,66.2,3.01,33.3,Aucun (Normal)
SNS-0124,0342290337,Bouygues Telecom,Bordeaux,79.5,42.2,47.81,88.0,0.11,46.1,Aucun (Normal)
SNS-0125,0542290017,Bouygues Telecom,Marseille,66.7,95.2,48.52,99.2,0.84,70.7,Module Optique SFP+ 10G
SNS-0126,0572290251,Free Mobile,Rennes,51.6,71.7,47.4,66.3,3.25,22.4,Aucun (Normal)
SNS-0127,0442290016,SFR,Nantes,81.7,54.9,47.35,90.5,3.36,61.5,Liaison FH Réalignement
SNS-0128,0722290014,Orange,Toulouse,53.0,51.9,47.89,92.9,0.24,7.1,Aucun (Normal)
SNS-0129,0412290010,Orange,Nantes,54.2,95.5,48.42,91.2,3.92,48.5,Aucun (Normal)
SNS-0130,0862290010,Free Mobile,Lyon,87.6,31.3,47.61,83.5,2.11,50.8,Aucun (Normal)
SNS-0131,0292290015,Free Mobile,Lille,80.0,27.2,48.44,95.0,0.51,33.5,Aucun (Normal)
SNS-0132,0222290011,SFR,Paris,50.0,47.9,48.76,68.9,0.9,2.0,Aucun (Normal)
SNS-0133,0672290003,SFR,Toulouse,77.7,93.1,47.23,87.3,3.05,88.7,Liaison FH Réalignement
SNS-0134,0312290111,Orange,Strasbourg,71.7,63.5,48.42,68.0,1.46,51.2,Aucun (Normal)
SNS-0135,0812290001,Free Mobile,Strasbourg,77.3,60.5,47.46,90.9,0.34,58.6,Aucun (Normal)
SNS-0136,0322290054,SFR,Rennes,47.8,68.8,48.11,75.5,1.27,13.0,Aucun (Normal)
SNS-0137,0942290002,Free Mobile,Nantes,46.7,75.9,48.52,79.5,1.01,17.4,Aucun (Normal)
SNS-0138,0752290341,Free Mobile,Grenoble,67.3,47.1,48.76,74.5,2.62,28.5,Aucun (Normal)
SNS-0139,02B2290135,Bouygues Telecom,Marseille,67.4,65.1,47.63,65.1,3.49,44.9,Aucun (Normal)
SNS-0140,0952290015,Free Mobile,Paris,84.1,54.3,47.82,77.2,2.22,65.2,Ventilateur Baie 3.5GHz
SNS-0141,0912290051,SFR,Marseille,63.5,76.4,47.92,82.9,1.08,48.1,Aucun (Normal)
SNS-0142,0772290020,SFR,Rennes,66.5,61.5,47.47,69.9,2.38,40.0,Aucun (Normal)
SNS-0143,0782290019,Orange,Nice,43.4,45.7,47.93,93.9,1.26,2.0,Aucun (Normal)
SNS-0144,0252290008,Bouygues Telecom,Rennes,43.5,45.1,47.86,75.7,0.45,2.0,Aucun (Normal)
SNS-0145,0142290003,Free Mobile,Lyon,48.8,56.0,48.46,85.4,0.79,3.2,Aucun (Normal)
SNS-0146,0602290169,Orange,Grenoble,88.3,36.1,47.55,85.7,1.21,56.4,Aucun (Normal)
SNS-0147,0642290013,SFR,Lyon,72.4,80.5,48.56,73.2,3.51,67.8,Ventilateur Baie 3.5GHz
SNS-0148,0242290003,SFR,Lille,83.3,94.9,47.91,70.3,2.33,98.0,Ventilateur Baie 3.5GHz
SNS-0149,0512290221,Bouygues Telecom,Nice,77.2,31.0,47.85,74.5,0.18,31.9,Aucun (Normal)
SNS-0150,0632290010,SFR,Lyon,42.5,79.3,48.59,65.1,2.44,12.9,Aucun (Normal)
SNS-0151,0592290565,Bouygues Telecom,Nantes,64.4,44.9,47.91,73.1,0.41,21.3,Aucun (Normal)
SNS-0152,0592290003,SFR,Strasbourg,68.3,44.7,48.27,85.1,3.77,28.2,Aucun (Normal)
SNS-0153,0622290014,Free Mobile,Nantes,56.2,35.0,47.32,90.6,1.33,2.0,Aucun (Normal)
SNS-0154,0872290101,Bouygues Telecom,Annecy,88.4,76.8,48.69,88.1,4.11,93.2,Ventilateur Baie 3.5GHz
SNS-0155,0742290326,Orange,Montpellier,79.6,45.5,48.61,88.0,2.19,49.2,Aucun (Normal)
SNS-0156,0692290022,Orange,Lyon,60.7,44.1,48.55,86.2,0.57,14.0,Aucun (Normal)
SNS-0157,0382290226,Bouygues Telecom,Bordeaux,56.1,80.9,47.4,80.6,0.41,38.8,Aucun (Normal)
SNS-0158,0422290013,Bouygues Telecom,Rennes,46.4,90.8,48.54,85.4,3.49,30.2,Aucun (Normal)
SNS-0159,0262290007,Orange,Grenoble,60.7,57.2,47.87,94.7,1.56,25.7,Aucun (Normal)
SNS-0160,0132290040,Orange,Marseille,63.1,27.4,48.32,83.3,3.05,3.2,Aucun (Normal)
SNS-0161,0062290023,SFR,Bordeaux,75.5,95.7,47.35,84.5,0.68,87.0,Liaison FH Réalignement
SNS-0162,0042290001,Bouygues Telecom,Toulouse,83.7,26.5,47.78,68.6,0.97,39.5,Aucun (Normal)
SNS-0163,0112290009,SFR,Paris,87.8,69.5,48.23,87.3,2.46,85.6,Module Optique SFP+ 10G
SNS-0164,0342290266,SFR,Bordeaux,47.9,59.0,47.7,66.9,2.85,4.3,Aucun (Normal)
SNS-0165,0542290006,Free Mobile,Toulouse,51.3,81.0,47.85,99.9,3.45,30.2,Aucun (Normal)
SNS-0166,0572290021,Bouygues Telecom,Toulouse,73.1,54.7,48.25,88.0,0.65,45.8,Aucun (Normal)
SNS-0167,0442290020,Free Mobile,Nantes,58.0,89.3,48.11,91.7,1.56,49.8,Aucun (Normal)
SNS-0168,0372290140,SFR,Lyon,42.7,92.9,47.66,66.6,3.17,25.5,Aucun (Normal)
SNS-0169,0282290158,Free Mobile,Lille,80.6,28.5,47.29,79.7,2.14,35.7,Aucun (Normal)
SNS-0170,0792290132,Orange,Bordeaux,87.8,44.4,48.47,94.8,0.52,63.0,Liaison FH Réalignement
SNS-0171,0292290033,Bouygues Telecom,Nice,69.4,62.3,47.48,75.9,2.94,46.0,Aucun (Normal)
SNS-0172,0672290015,SFR,Paris,55.3,31.8,47.3,97.8,1.26,2.0,Aucun (Normal)
SNS-0173,0312290025,Free Mobile,Lyon,64.0,44.2,47.92,88.2,0.18,20.0,Aucun (Normal)
SNS-0174,0822290048,Orange,Rennes,67.2,81.4,47.56,87.7,4.17,59.2,Aucun (Normal)
SNS-0175,0322290005,SFR,Montpellier,59.2,68.5,47.64,84.7,1.23,33.2,Aucun (Normal)
SNS-0176,0932290016,Orange,Nice,75.7,44.8,48.09,74.5,0.31,41.6,Aucun (Normal)
SNS-0177,0752290284,Bouygues Telecom,Bordeaux,84.1,94.7,47.96,94.6,3.13,98.0,Ventilateur Baie 3.5GHz
SNS-0178,0752290459,Bouygues Telecom,Nice,76.0,82.9,47.45,66.1,0.93,76.4,Carte Alimentation DC
SNS-0179,02B2290017,Orange,Lyon,77.2,89.4,48.28,76.3,2.32,84.4,Carte Alimentation DC
SNS-0180,0912290126,Orange,Marseille,49.0,79.8,48.77,88.5,3.91,25.0,Aucun (Normal)
SNS-0181,0772290019,Orange,Lyon,82.8,65.3,48.28,88.5,3.62,72.8,Ventilateur Baie 3.5GHz
SNS-0182,0142290018,SFR,Grenoble,42.8,41.9,48.14,76.4,2.72,2.0,Aucun (Normal)
SNS-0183,0022290014,Bouygues Telecom,Nice,72.4,91.8,48.42,85.5,2.11,77.9,Carte Alimentation DC
SNS-0184,0642290007,Bouygues Telecom,Strasbourg,73.0,61.2,48.49,93.5,0.57,51.5,Aucun (Normal)
SNS-0185,0242290004,Bouygues Telecom,Strasbourg,53.5,85.6,47.75,65.7,0.16,38.3,Aucun (Normal)
SNS-0186,0522290007,SFR,Grenoble,48.5,85.0,47.35,65.7,4.06,28.8,Aucun (Normal)
SNS-0187,0632290006,Bouygues Telecom,Annecy,47.9,87.8,47.63,71.3,0.99,30.2,Aucun (Normal)
SNS-0188,0592290047,SFR,Nantes,82.5,52.2,48.44,93.9,0.47,60.5,Carte Alimentation DC
SNS-0189,0592290042,SFR,Nice,77.5,38.5,47.88,89.6,0.93,39.1,Aucun (Normal)
SNS-0190,0872290006,Orange,Paris,55.6,31.0,47.94,67.6,2.9,2.0,Aucun (Normal)
SNS-0191,0742290009,Free Mobile,Lyon,68.1,38.7,47.76,88.8,3.59,22.4,Aucun (Normal)
SNS-0192,0422290189,SFR,Lyon,47.4,81.5,47.81,74.7,3.76,23.7,Aucun (Normal)
SNS-0193,0262290011,SFR,Marseille,49.2,72.4,47.45,89.3,1.19,18.7,Aucun (Normal)
SNS-0194,0132290039,Free Mobile,Lille,48.9,95.2,47.66,65.1,2.77,38.7,Aucun (Normal)
SNS-0195,0062290020,Bouygues Telecom,Montpellier,88.4,25.3,47.85,93.7,4.06,46.9,Aucun (Normal)
SNS-0196,0042290004,SFR,Nantes,81.7,93.0,48.4,92.3,1.15,95.8,Ventilateur Baie 3.5GHz
SNS-0197,0832290019,Bouygues Telecom,Nice,42.6,52.0,47.96,71.2,2.92,2.0,Aucun (Normal)
SNS-0198,0112290200,Orange,Annecy,86.8,49.4,47.59,95.6,1.57,65.7,Module Optique SFP+ 10G
SNS-0199,0342290012,Orange,Annecy,71.0,51.3,48.19,73.3,1.69,39.0,Aucun (Normal)
SNS-0200,0542290018,SFR,Montpellier,43.5,66.1,47.43,93.3,2.59,2.8,Aucun (Normal)
SNS-0201,0442290019,Bouygues Telecom,Marseille,81.7,88.5,48.35,69.6,2.83,91.7,Liaison FH Réalignement
SNS-0202,0722290158,Bouygues Telecom,Annecy,64.9,40.9,48.21,98.4,1.75,18.6,Aucun (Normal)
SNS-0203,0282290168,Free Mobile,Paris,68.6,66.3,47.98,89.0,3.96,48.1,Aucun (Normal)
SNS-0204,0792290085,Orange,Marseille,82.5,96.0,48.75,73.1,1.02,98.0,Module Optique SFP+ 10G
SNS-0205,0292290256,Bouygues Telecom,Strasbourg,68.7,28.9,48.26,65.1,0.73,14.7,Aucun (Normal)
SNS-0206,0222290009,Free Mobile,Bordeaux,76.1,84.0,48.73,84.0,0.98,77.6,Carte Alimentation DC
SNS-0207,0272290009,SFR,Rennes,47.1,79.3,47.69,67.1,0.22,21.1,Aucun (Normal)
SNS-0208,0672290018,Bouygues Telecom,Bordeaux,80.1,81.0,48.75,69.0,2.46,82.1,Carte Alimentation DC
SNS-0209,0312290019,SFR,Nice,51.0,36.3,48.46,73.5,3.99,2.0,Aucun (Normal)
SNS-0210,0822290073,Bouygues Telecom,Nantes,49.5,31.7,47.69,74.1,2.27,2.0,Aucun (Normal)
SNS-0211,0322290003,Bouygues Telecom,Nantes,68.8,84.5,48.56,72.8,0.72,64.9,Liaison FH Réalignement
SNS-0212,0922290024,Orange,Strasbourg,43.8,27.4,47.78,66.7,2.81,2.0,Aucun (Normal)
SNS-0213,0752290406,Free Mobile,Paris,83.8,27.4,47.39,69.2,0.21,40.5,Aucun (Normal)
SNS-0214,0752290281,SFR,Annecy,55.8,63.3,47.64,92.5,2.33,22.4,Aucun (Normal)
SNS-0215,02B2290010,Orange,Nantes,74.2,29.5,48.77,65.3,1.6,25.1,Aucun (Normal)
SNS-0216,0912290012,SFR,Paris,73.9,71.9,48.77,77.9,0.88,62.7,Liaison FH Réalignement
SNS-0217,0772290493,SFR,Bordeaux,51.2,87.4,47.82,98.9,2.99,35.8,Aucun (Normal)
SNS-0218,0782290029,Orange,Nantes,43.8,30.8,48.33,65.5,3.05,2.0,Aucun (Normal)
SNS-0219,0252290006,Free Mobile,Toulouse,88.1,55.9,47.21,78.6,1.47,73.9,Ventilateur Baie 3.5GHz
SNS-0220,0142290191,Bouygues Telecom,Grenoble,46.8,89.2,47.2,92.2,3.22,29.5,Aucun (Normal)
SNS-0221,0022290012,Free Mobile,Marseille,69.1,84.8,47.29,97.9,1.25,65.7,Carte Alimentation DC
SNS-0222,0642290162,Free Mobile,Nice,74.8,87.2,47.48,66.4,0.24,78.1,Carte Alimentation DC
SNS-0223,0332290025,SFR,Marseille,46.6,54.1,47.47,68.8,2.76,2.0,Aucun (Normal)
SNS-0224,0522290162,SFR,Lyon,56.1,52.5,47.42,76.6,1.02,13.2,Aucun (Normal)
SNS-0225,0632290011,SFR,Nice,71.5,37.5,48.28,65.9,3.12,27.5,Aucun (Normal)
SNS-0226,0592290498,SFR,Rennes,81.5,56.4,48.46,97.5,4.06,62.5,Carte Alimentation DC
SNS-0227,0592290453,Free Mobile,Lille,54.9,80.0,48.16,85.0,1.41,35.8,Aucun (Normal)
SNS-0228,0622290021,Free Mobile,Nantes,64.6,29.7,47.86,72.4,3.19,8.0,Aucun (Normal)
SNS-0229,0192290134,SFR,Nice,68.3,76.1,48.55,97.1,2.68,56.4,Aucun (Normal)
SNS-0230,0742290209,SFR,Lyon,58.0,64.2,47.75,75.4,2.05,27.2,Aucun (Normal)
SNS-0231,0012290143,Bouygues Telecom,Bordeaux,59.1,72.2,48.55,74.2,3.56,36.4,Aucun (Normal)
SNS-0232,0422290015,Orange,Marseille,56.3,33.7,48.33,70.6,0.63,2.0,Aucun (Normal)
SNS-0233,0262290171,SFR,Annecy,68.0,54.3,48.46,76.4,0.11,36.3,Aucun (Normal)
SNS-0234,0132290025,Free Mobile,Nice,47.6,77.9,48.43,95.1,4.14,20.8,Aucun (Normal)
SNS-0235,0062290029,Free Mobile,Montpellier,57.0,72.1,47.69,73.2,1.92,32.5,Aucun (Normal)
SNS-0236,0042290059,Bouygues Telecom,Lyon,76.5,71.6,47.8,68.5,2.56,67.1,Module Optique SFP+ 10G
