id_incident,nom_operateur,commune,code_departement,nom_region,type_equipement,severite_incident,nombre_abonnes_impactes,statut_resolution
INC-00029,Bouygues Telecom,Paris,75 - Paris,Île-de-France,Antenne 5G 3.5GHz,Majeur - Rupture 48h,10220,RESOLU
INC-00030,Bouygues Telecom,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,Routeur Cœur IP,Moyen - Dégradation débit,590,INTERVENTION_EQUIPE
INC-00031,Free Mobile,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,PBO Fibre Optique,Moyen - Dégradation débit,102,RESOLU
INC-00032,Orange,Rennes,35 - Ille-et-Vilaine,Bretagne,Routeur Cœur IP,Moyen - Dégradation débit,156,INTERVENTION_EQUIPE
INC-00033,Free Mobile,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Antenne 5G 3.5GHz,Mineur,783,EN_COURS
INC-00034,Bouygues Telecom,Strasbourg,67 - Bas-Rhin,Grand Est,PBO Fibre Optique,Moyen - Dégradation débit,176,EN_COURS
INC-00035,Orange,Toulouse,31 - Haute-Garonne,Occitanie,Routeur Cœur IP,Majeur - Rupture 48h,9076,EN_COURS
INC-00036,Bouygues Telecom,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,Antenne 5G 3.5GHz,Mineur,51,INTERVENTION_EQUIPE
INC-00037,SFR,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,Routeur Cœur IP,Majeur - Rupture 48h,4876,EN_COURS
INC-00038,Bouygues Telecom,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Routeur Cœur IP,Mineur,90,INTERVENTION_EQUIPE
INC-00039,Orange,Strasbourg,67 - Bas-Rhin,Grand Est,Antenne 4G LTE,Mineur,803,INTERVENTION_EQUIPE
INC-00040,Bouygues Telecom,Rennes,35 - Ille-et-Vilaine,Bretagne,Antenne 5G 3.5GHz,Mineur,69,RESOLU
INC-00041,Bouygues Telecom,Strasbourg,67 - Bas-Rhin,Grand Est,Routeur Cœur IP,Majeur - Rupture 48h,12334,EN_COURS
INC-00042,Bouygues Telecom,Lille,59 - Nord,Hauts-de-France,PBO Fibre Optique,Moyen - Dégradation débit,310,RESOLU
INC-00043,Orange,Toulouse,31 - Haute-Garonne,Occitanie,Antenne 5G 3.5GHz,Majeur - Rupture 48h,5095,INTERVENTION_EQUIPE
INC-00044,Bouygues Telecom,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,Antenne 4G LTE,Mineur,424,RESOLU
INC-00045,Bouygues Telecom,Toulouse,31 - Haute-Garonne,Occitanie,Routeur Cœur IP,Moyen - Dégradation débit,627,INTERVENTION_EQUIPE
INC-00046,Bouygues Telecom,Lille,59 - Nord,Hauts-de-France,Antenne 5G 3.5GHz,Moyen - Dégradation débit,825,RESOLU
INC-00047,Orange,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Routeur Cœur IP,Moyen - Dégradation débit,684,EN_COURS
INC-00048,Orange,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Antenne 4G LTE,Majeur - Rupture 48h,3655,EN_COURS
INC-00049,Bouygues Telecom,Montpellier,34 - Hérault,Occitanie,NRO Central Enedis/SFR,Mineur,420,EN_COURS
INC-00050,Orange,Toulouse,31 - Haute-Garonne,Occitanie,NRO Central Enedis/SFR,Mineur,731,EN_COURS
INC-00051,Free Mobile,Lille,59 - Nord,Hauts-de-France,PBO Fibre Optique,Mineur,237,INTERVENTION_EQUIPE
INC-00052,Free Mobile,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,Antenne 4G LTE,Mineur,417,EN_COURS
INC-00053,Free Mobile,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Routeur Cœur IP,Mineur,709,EN_COURS
INC-00054,Bouygues Telecom,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,Antenne 4G LTE,Moyen - Dégradation débit,240,RESOLU
INC-00055,Free Mobile,Toulouse,31 - Haute-Garonne,Occitanie,Routeur Cœur IP,Majeur - Rupture 48h,6125,EN_COURS
INC-00056,Orange,Strasbourg,67 - Bas-Rhin,Grand Est,Antenne 4G LTE,Majeur - Rupture 48h,7045,EN_COURS
INC-00057,Free Mobile,Nantes,44 - Loire-Atlantique,Pays de la Loire,NRO Central Enedis/SFR,Moyen - Dégradation débit,795,INTERVENTION_EQUIPE
INC-00058,Orange,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,Routeur Cœur IP,Mineur,421,EN_COURS
INC-00059,Free Mobile,Rennes,35 - Ille-et-Vilaine,Bretagne,Antenne 4G LTE,Mineur,669,RESOLU
INC-00060,Orange,Toulouse,31 - Haute-Garonne,Occitanie,PBO Fibre Optique,Moyen - Dégradation débit,807,INTERVENTION_EQUIPE
INC-00061,SFR,Lille,59 - Nord,Hauts-de-France,NRO Central Enedis/SFR,Majeur - Rupture 48h,9330,INTERVENTION_EQUIPE
INC-00062,Free Mobile,Nantes,44 - Loire-Atlantique,Pays de la Loire,Antenne 5G 3.5GHz,Mineur,512,RESOLU
INC-00063,SFR,Lille,59 - Nord,Hauts-de-France,Routeur Cœur IP,Mineur,71,INTERVENTION_EQUIPE
INC-00064,Free Mobile,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,Antenne 5G 3.5GHz,Mineur,187,INTERVENTION_EQUIPE
INC-00065,Free Mobile,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Antenne 5G 3.5GHz,Moyen - Dégradation débit,303,RESOLU
INC-00066,Bouygues Telecom,Strasbourg,67 - Bas-Rhin,Grand Est,Antenne 4G LTE,Majeur - Rupture 48h,5431,INTERVENTION_EQUIPE
INC-00067,SFR,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Antenne 5G 3.5GHz,Mineur,310,EN_COURS
INC-00068,Orange,Rennes,35 - Ille-et-Vilaine,Bretagne,PBO Fibre Optique,Moyen - Dégradation débit,407,RESOLU
INC-00069,Bouygues Telecom,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,PBO Fibre Optique,Majeur - Rupture 48h,11499,EN_COURS
INC-00070,Bouygues Telecom,Toulouse,31 - Haute-Garonne,Occitanie,Routeur Cœur IP,Moyen - Dégradation débit,70,EN_COURS
INC-00071,Bouygues Telecom,Rennes,35 - Ille-et-Vilaine,Bretagne,NRO Central Enedis/SFR,Mineur,653,INTERVENTION_EQUIPE
INC-00072,Bouygues Telecom,Toulouse,31 - Haute-Garonne,Occitanie,Antenne 4G LTE,Mineur,58,INTERVENTION_EQUIPE
INC-00073,Free Mobile,Montpellier,34 - Hérault,Occitanie,PBO Fibre Optique,Majeur - Rupture 48h,12123,INTERVENTION_EQUIPE
INC-00074,Orange,Strasbourg,67 - Bas-Rhin,Grand Est,Routeur Cœur IP,Moyen - Dégradation débit,585,INTERVENTION_EQUIPE
INC-00075,Free Mobile,Montpellier,34 - Hérault,Occitanie,PBO Fibre Optique,Majeur - Rupture 48h,4609,EN_COURS
INC-00076,Bouygues Telecom,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Routeur Cœur IP,Majeur - Rupture 48h,303,INTERVENTION_EQUIPE
INC-00077,Bouygues Telecom,Nantes,44 - Loire-Atlantique,Pays de la Loire,PBO Fibre Optique,Mineur,296,EN_COURS
INC-00078,SFR,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Antenne 4G LTE,Mineur,154,EN_COURS
INC-00079,Bouygues Telecom,Montpellier,34 - Hérault,Occitanie,Antenne 4G LTE,Mineur,49,RESOLU
INC-00080,Bouygues Telecom,Montpellier,34 - Hérault,Occitanie,PBO Fibre Optique,Mineur,278,INTERVENTION_EQUIPE
INC-00081,Bouygues Telecom,Strasbourg,67 - Bas-Rhin,Grand Est,NRO Central Enedis/SFR,Moyen - Dégradation débit,259,RESOLU
INC-00082,SFR,Rennes,35 - Ille-et-Vilaine,Bretagne,PBO Fibre Optique,Majeur - Rupture 48h,12349,INTERVENTION_EQUIPE
INC-00083,SFR,Strasbourg,67 - Bas-Rhin,Grand Est,NRO Central Enedis/SFR,Majeur - Rupture 48h,7361,EN_COURS
INC-00084,Orange,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,PBO Fibre Optique,Moyen - Dégradation débit,546,RESOLU
INC-00085,Bouygues Telecom,Toulouse,31 - Haute-Garonne,Occitanie,PBO Fibre Optique,Majeur - Rupture 48h,9539,RESOLU
INC-00086,Orange,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,Antenne 4G LTE,Moyen - Dégradation débit,749,INTERVENTION_EQUIPE
INC-00087,Free Mobile,Montpellier,34 - Hérault,Occitanie,Antenne 4G LTE,Mineur,94,EN_COURS
INC-00088,Bouygues Telecom,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,NRO Central Enedis/SFR,Moyen - Dégradation débit,578,INTERVENTION_EQUIPE
INC-00089,Free Mobile,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Antenne 4G LTE,Majeur - Rupture 48h,5317,INTERVENTION_EQUIPE
INC-00090,Orange,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Antenne 4G LTE,Mineur,365,EN_COURS
INC-00091,Free Mobile,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,NRO Central Enedis/SFR,Mineur,641,RESOLU
INC-00092,Bouygues Telecom,Rennes,35 - Ille-et-Vilaine,Bretagne,Antenne 5G 3.5GHz,Mineur,635,EN_COURS
INC-00093,Free Mobile,Toulouse,31 - Haute-Garonne,Occitanie,PBO Fibre Optique,Majeur - Rupture 48h,10837,INTERVENTION_EQUIPE
INC-00094,SFR,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,PBO Fibre Optique,Majeur - Rupture 48h,7038,RESOLU
INC-00095,Bouygues Telecom,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,NRO Central Enedis/SFR,Mineur,620,EN_COURS
INC-00096,Bouygues Telecom,Rennes,35 - Ille-et-Vilaine,Bretagne,Antenne 4G LTE,Majeur - Rupture 48h,7611,INTERVENTION_EQUIPE
INC-00097,SFR,Nantes,44 - Loire-Atlantique,Pays de la Loire,Antenne 5G 3.5GHz,Moyen - Dégradation débit,315,EN_COURS
INC-00098,Bouygues Telecom,Nantes,44 - Loire-Atlantique,Pays de la Loire,PBO Fibre Optique,Moyen - Dégradation débit,399,INTERVENTION_EQUIPE
INC-00099,Orange,Montpellier,34 - Hérault,Occitanie,NRO Central Enedis/SFR,Majeur - Rupture 48h,4440,EN_COURS
INC-00100,Bouygues Telecom,Paris,75 - Paris,Île-de-France,PBO Fibre Optique,Moyen - Dégradation débit,728,INTERVENTION_EQUIPE
INC-00101,SFR,Nantes,44 - Loire-Atlantique,Pays de la Loire,NRO Central Enedis/SFR,Moyen - Dégradation débit,72,INTERVENTION_EQUIPE
INC-00102,SFR,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Antenne 4G LTE,Majeur - Rupture 48h,1894,RESOLU
INC-00103,Orange,Rennes,35 - Ille-et-Vilaine,Bretagne,Routeur Cœur IP,Moyen - Dégradation débit,372,EN_COURS
INC-00104,Free Mobile,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,PBO Fibre Optique,Moyen - Dégradation débit,228,EN_COURS
INC-00105,Orange,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Antenne 5G 3.5GHz,Majeur - Rupture 48h,8310,EN_COURS
INC-00106,Bouygues Telecom,Nantes,44 - Loire-Atlantique,Pays de la Loire,NRO Central Enedis/SFR,Mineur,23,RESOLU
INC-00107,Bouygues Telecom,Strasbourg,67 - Bas-Rhin,Grand Est,PBO Fibre Optique,Mineur,437,INTERVENTION_EQUIPE
INC-00108,Bouygues Telecom,Montpellier,34 - Hérault,Occitanie,Antenne 4G LTE,Mineur,111,EN_COURS
INC-00109,Orange,Paris,75 - Paris,Île-de-France,Antenne 5G 3.5GHz,Mineur,801,EN_COURS
INC-00110,Bouygues Telecom,Nantes,44 - Loire-Atlantique,Pays de la Loire,PBO Fibre Optique,Moyen - Dégradation débit,179,RESOLU
INC-00111,Free Mobile,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,PBO Fibre Optique,Mineur,691,EN_COURS
INC-00112,Free Mobile,Nantes,44 - Loire-Atlantique,Pays de la Loire,Antenne 4G LTE,Majeur - Rupture 48h,260,EN_COURS
INC-00113,Free Mobile,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,Routeur Cœur IP,Moyen - Dégradation débit,738,RESOLU
INC-00114,Free Mobile,Paris,75 - Paris,Île-de-France,Antenne 5G 3.5GHz,Moyen - Dégradation débit,224,RESOLU
INC-00115,SFR,Toulouse,31 - Haute-Garonne,Occitanie,Routeur Cœur IP,Majeur - Rupture 48h,2415,RESOLU
INC-00116,Free Mobile,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,Antenne 4G LTE,Mineur,450,RESOLU
INC-00117,Orange,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,Antenne 5G 3.5GHz,Majeur - Rupture 48h,2553,RESOLU
INC-00118,Orange,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,Antenne 4G LTE,Mineur,358,INTERVENTION_EQUIPE
INC-00119,Bouygues Telecom,Toulouse,31 - Haute-Garonne,Occitanie,Antenne 4G LTE,Mineur,581,INTERVENTION_EQUIPE
INC-00120,Bouygues Telecom,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,NRO Central Enedis/SFR,Mineur,186,RESOLU
INC-00121,Bouygues Telecom,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Antenne 4G LTE,Moyen - Dégradation débit,351,EN_COURS
INC-00122,Orange,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,NRO Central Enedis/SFR,Mineur,793,RESOLU
INC-00123,Orange,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Antenne 5G 3.5GHz,Moyen - Dégradation débit,776,RESOLU
INC-00124,SFR,Montpellier,34 - Hérault,Occitanie,Routeur Cœur IP,Mineur,44,EN_COURS
INC-00125,SFR,Nantes,44 - Loire-Atlantique,Pays de la Loire,Antenne 5G 3.5GHz,Majeur - Rupture 48h,8522,EN_COURS
INC-00126,Orange,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,Antenne 4G LTE,Majeur - Rupture 48h,11632,INTERVENTION_EQUIPE
INC-00127,Bouygues Telecom,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,PBO Fibre Optique,Moyen - Dégradation débit,71,EN_COURS
INC-00128,Bouygues Telecom,Toulouse,31 - Haute-Garonne,Occitanie,NRO Central Enedis/SFR,Mineur,839,EN_COURS
INC-00129,Orange,Montpellier,34 - Hérault,Occitanie,Antenne 5G 3.5GHz,Mineur,488,EN_COURS
INC-00130,Orange,Lille,59 - Nord,Hauts-de-France,Antenne 4G LTE,Majeur - Rupture 48h,1847,EN_COURS
INC-00131,Free Mobile,Toulouse,31 - Haute-Garonne,Occitanie,NRO Central Enedis/SFR,Moyen - Dégradation débit,846,EN_COURS
INC-00132,Free Mobile,Toulouse,31 - Haute-Garonne,Occitanie,NRO Central Enedis/SFR,Majeur - Rupture 48h,14455,RESOLU
INC-00133,Bouygues Telecom,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Antenne 4G LTE,Majeur - Rupture 48h,14235,INTERVENTION_EQUIPE
INC-00134,Bouygues Telecom,Nantes,44 - Loire-Atlantique,Pays de la Loire,Antenne 5G 3.5GHz,Moyen - Dégradation débit,229,INTERVENTION_EQUIPE
INC-00135,SFR,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,NRO Central Enedis/SFR,Moyen - Dégradation débit,292,RESOLU
INC-00136,SFR,Paris,75 - Paris,Île-de-France,NRO Central Enedis/SFR,Mineur,765,EN_COURS
INC-00137,Free Mobile,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,Antenne 5G 3.5GHz,Mineur,721,EN_COURS
INC-00138,SFR,Paris,75 - Paris,Île-de-France,PBO Fibre Optique,Majeur - Rupture 48h,7150,RESOLU
INC-00139,Orange,Nantes,44 - Loire-Atlantique,Pays de la Loire,PBO Fibre Optique,Majeur - Rupture 48h,11156,EN_COURS
INC-00140,Free Mobile,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,PBO Fibre Optique,Moyen - Dégradation débit,805,INTERVENTION_EQUIPE
INC-00141,Bouygues Telecom,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,PBO Fibre Optique,Mineur,243,INTERVENTION_EQUIPE
INC-00142,SFR,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,Routeur Cœur IP,Moyen - Dégradation débit,358,RESOLU
INC-00143,Free Mobile,Paris,75 - Paris,Île-de-France,PBO Fibre Optique,Mineur,686,RESOLU
INC-00144,SFR,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,PBO Fibre Optique,Majeur - Rupture 48h,5159,RESOLU
INC-00145,Orange,Strasbourg,67 - Bas-Rhin,Grand Est,Antenne 5G 3.5GHz,Moyen - Dégradation débit,73,EN_COURS
INC-00146,Free Mobile,Paris,75 - Paris,Île-de-France,PBO Fibre Optique,Majeur - Rupture 48h,6829,EN_COURS
INC-00147,Orange,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Routeur Cœur IP,Mineur,57,RESOLU
INC-00148,Orange,Paris,75 - Paris,Île-de-France,Antenne 4G LTE,Mineur,203,RESOLU
INC-00149,Free Mobile,Montpellier,34 - Hérault,Occitanie,NRO Central Enedis/SFR,Majeur - Rupture 48h,13161,EN_COURS
INC-00150,SFR,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Routeur Cœur IP,Mineur,196,RESOLU
INC-00151,Bouygues Telecom,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,NRO Central Enedis/SFR,Majeur - Rupture 48h,2873,RESOLU
INC-00152,Free Mobile,Rennes,35 - Ille-et-Vilaine,Bretagne,PBO Fibre Optique,Moyen - Dégradation débit,199,EN_COURS
INC-00153,Bouygues Telecom,Nantes,44 - Loire-Atlantique,Pays de la Loire,Antenne 5G 3.5GHz,Moyen - Dégradation débit,587,INTERVENTION_EQUIPE
INC-00154,Free Mobile,Rennes,35 - Ille-et-Vilaine,Bretagne,Antenne 4G LTE,Moyen - Dégradation débit,635,INTERVENTION_EQUIPE
INC-00155,Orange,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,NRO Central Enedis/SFR,Majeur - Rupture 48h,1553,EN_COURS
INC-00156,Free Mobile,Montpellier,34 - Hérault,Occitanie,PBO Fibre Optique,Mineur,326,EN_COURS
INC-00157,SFR,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,Antenne 5G 3.5GHz,Majeur - Rupture 48h,1322,RESOLU
INC-00158,SFR,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,PBO Fibre Optique,Majeur - Rupture 48h,1355,RESOLU
INC-00159,Bouygues Telecom,Paris,75 - Paris,Île-de-France,Antenne 4G LTE,Majeur - Rupture 48h,14419,RESOLU
INC-00160,SFR,Montpellier,34 - Hérault,Occitanie,NRO Central Enedis/SFR,Majeur - Rupture 48h,9805,RESOLU
INC-00161,Orange,Toulouse,31 - Haute-Garonne,Occitanie,Antenne 4G LTE,Majeur - Rupture 48h,11699,INTERVENTION_EQUIPE
INC-00162,Orange,Rennes,35 - Ille-et-Vilaine,Bretagne,Antenne 5G 3.5GHz,Majeur - Rupture 48h,12732,RESOLU
INC-00163,Orange,Montpellier,34 - Hérault,Occitanie,Antenne 4G LTE,Mineur,593,RESOLU
INC-00164,Orange,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Routeur Cœur IP,Mineur,732,INTERVENTION_EQUIPE
INC-00165,SFR,Montpellier,34 - Hérault,Occitanie,Antenne 4G LTE,Moyen - Dégradation débit,59,RESOLU
INC-00166,Bouygues Telecom,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,Routeur Cœur IP,Majeur - Rupture 48h,8837,INTERVENTION_EQUIPE
INC-00167,Orange,Montpellier,34 - Hérault,Occitanie,PBO Fibre Optique,Moyen - Dégradation débit,311,EN_COURS
INC-00168,Free Mobile,Paris,75 - Paris,Île-de-France,NRO Central Enedis/SFR,Majeur - Rupture 48h,3724,EN_COURS
INC-00169,SFR,Montpellier,34 - Hérault,Occitanie,PBO Fibre Optique,Moyen - Dégradation débit,96,INTERVENTION_EQUIPE
INC-00170,Bouygues Telecom,Toulouse,31 - Haute-Garonne,Occitanie,NRO Central Enedis/SFR,Moyen - Dégradation débit,661,RESOLU
INC-00171,Orange,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,NRO Central Enedis/SFR,Mineur,455,EN_COURS
INC-00172,Orange,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,NRO Central Enedis/SFR,Majeur - Rupture 48h,2655,RESOLU
INC-00173,Orange,Paris,75 - Paris,Île-de-France,Antenne 4G LTE,Majeur - Rupture 48h,13362,EN_COURS
INC-00174,SFR,Nantes,44 - Loire-Atlantique,Pays de la Loire,NRO Central Enedis/SFR,Majeur - Rupture 48h,10920,RESOLU
INC-00175,SFR,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,Antenne 4G LTE,Mineur,216,INTERVENTION_EQUIPE
INC-00176,Bouygues Telecom,Lille,59 - Nord,Hauts-de-France,PBO Fibre Optique,Majeur - Rupture 48h,10357,EN_COURS
INC-00177,SFR,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Antenne 4G LTE,Moyen - Dégradation débit,543,EN_COURS
INC-00178,Orange,Montpellier,34 - Hérault,Occitanie,NRO Central Enedis/SFR,Majeur - Rupture 48h,8612,INTERVENTION_EQUIPE
INC-00179,Orange,Paris,75 - Paris,Île-de-France,PBO Fibre Optique,Moyen - Dégradation débit,722,INTERVENTION_EQUIPE
INC-00180,Bouygues Telecom,Montpellier,34 - Hérault,Occitanie,PBO Fibre Optique,Majeur - Rupture 48h,13729,INTERVENTION_EQUIPE
INC-00181,Orange,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,Antenne 4G LTE,Mineur,447,INTERVENTION_EQUIPE
INC-00182,Bouygues Telecom,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,NRO Central Enedis/SFR,Majeur - Rupture 48h,13949,INTERVENTION_EQUIPE
INC-00183,Orange,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Antenne 4G LTE,Mineur,422,EN_COURS
INC-00184,SFR,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,Antenne 4G LTE,Mineur,371,RESOLU
INC-00185,SFR,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,NRO Central Enedis/SFR,Mineur,791,INTERVENTION_EQUIPE
INC-00186,Free Mobile,Nantes,44 - Loire-Atlantique,Pays de la Loire,Routeur Cœur IP,Moyen - Dégradation débit,65,INTERVENTION_EQUIPE
INC-00187,SFR,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,Routeur Cœur IP,Mineur,371,RESOLU
INC-00188,Orange,Rennes,35 - Ille-et-Vilaine,Bretagne,NRO Central Enedis/SFR,Moyen - Dégradation débit,131,EN_COURS
INC-00189,Bouygues Telecom,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,NRO Central Enedis/SFR,Mineur,400,INTERVENTION_EQUIPE
