flow_id,imei,antenna_id,timestamp,application_name,traffic_type,volume_mb_uplink,volume_mb_downlink,user_location,latency_ms,postal_code
FLOW-00015-2,354381179382704,0062290648,2025-03-13 15:51:00,Netflix,Streaming 4K Video,146.77,1005.2,POINT(3.8738 43.6133),44,34000
FLOW-00016-1,353014294674145,0122290241,2025-03-06 08:04:00,YouTube 4K,Streaming 4K Video,97.33,1678.44,POINT(5.3589 43.2787),20,13001
FLOW-00016-2,353014294674145,0592290818,2025-03-10 17:31:00,Google Meet,Visio Pro,109.45,1278.74,POINT(5.3659 43.2925),50,13001
FLOW-00017-1,351968037058208,0522290091,2025-03-10 10:34:00,Instagram,Réseaux Sociaux,74.14,237.48,POINT(4.8330 45.7756),60,69001
FLOW-00017-2,351968037058208,0692290290,2025-03-15 13:03:00,Microsoft Teams,Visio Pro,20.74,1025.71,POINT(4.8297 45.7785),34,69001
FLOW-00018-1,358195364541298,0132290094,2025-03-11 14:11:00,Google Cloud Drive,Cloud Storage,49.89,1123.07,POINT(4.8292 45.7548),43,69001
FLOW-00018-2,358195364541298,0062290087,2025-03-28 13:10:00,Instagram,Réseaux Sociaux,140.58,64.57,POINT(4.8320 45.7488),13,69001
FLOW-00019-1,353591777597824,0412290007,2025-03-28 22:54:00,YouTube 4K,Streaming 4K Video,88.48,1168.09,POINT(4.8429 45.7741),60,69001
FLOW-00019-2,353591777597824,0922290192,2025-03-03 10:56:00,Google Cloud Drive,Cloud Storage,51.98,1657.28,POINT(4.8516 45.7577),21,69001
FLOW-00020-1,353868214883871,0882290108,2025-03-14 15:06:00,Netflix,Streaming 4K Video,12.8,1024.47,POINT(-1.6780 48.1356),57,35000
FLOW-00020-2,353868214883871,0852290096,2025-03-05 11:26:00,TikTok,Réseaux Sociaux,16.24,465.47,POINT(-1.6950 48.1252),36,35000
FLOW-00021-1,359760489998143,0912290485,2025-03-16 08:37:00,Netflix,Streaming 4K Video,63.23,1505.81,POINT(4.8349 45.7602),30,69001
FLOW-00021-2,359760489998143,0032290078,2025-03-02 10:40:00,Instagram,Réseaux Sociaux,147.14,1095.46,POINT(4.8518 45.7821),16,69001
FLOW-00022-1,358567822013404,0542290017,2025-03-07 14:49:00,Microsoft Teams,Visio Pro,19.25,622.1,POINT(-1.6898 48.1171),43,35000
FLOW-00022-2,358567822013404,0222290003,2025-03-19 19:17:00,Microsoft Teams,Visio Pro,35.72,1716.98,POINT(-1.6888 48.1247),52,35000
FLOW-00023-1,353333584129720,0632290041,2025-03-01 18:44:00,YouTube 4K,Streaming 4K Video,142.03,956.99,POINT(6.1285 45.8935),17,74000
FLOW-00023-2,353333584129720,0342290080,2025-03-20 14:55:00,Google Meet,Visio Pro,146.27,1481.72,POINT(6.1206 45.8970),21,74000
FLOW-00024-1,357203961525551,0222290191,2025-03-22 18:59:00,TikTok,Réseaux Sociaux,55.87,349.66,POINT(7.7380 48.5716),63,67000
FLOW-00024-2,357203961525551,0152290001,2025-03-28 15:46:00,Google Cloud Drive,Cloud Storage,147.65,1238.49,POINT(7.7351 48.5903),25,67000
FLOW-00025-1,356988028271873,0142290150,2025-03-11 17:15:00,YouTube 4K,Streaming 4K Video,66.57,244.98,POINT(3.0743 50.6246),62,59000
FLOW-00025-2,356988028271873,0392290072,2025-03-10 21:37:00,Microsoft Teams,Visio Pro,128.21,1662.77,POINT(3.0757 50.6145),51,59000
FLOW-00026-1,352421489903891,0472290018,2025-03-05 10:15:00,YouTube 4K,Streaming 4K Video,109.29,26.56,POINT(7.7513 48.5609),32,67000
FLOW-00026-2,352421489903891,0692290014,2025-03-01 10:12:00,Google Meet,Visio Pro,101.66,297.98,POINT(7.7372 48.5589),56,67000
FLOW-00027-1,351992851213879,0672290065,2025-03-26 14:51:00,Google Meet,Visio Pro,45.39,1311.05,POINT(5.3728 43.2931),45,13001
FLOW-00027-2,351992851213879,0772290493,2025-03-06 17:49:00,Google Meet,Visio Pro,36.79,1238.74,POINT(5.3637 43.3035),41,13001
FLOW-00028-1,355884061545669,0852290162,2025-03-02 21:14:00,Netflix,Streaming 4K Video,149.74,1708.99,POINT(-1.6921 48.1276),17,35000
FLOW-00028-2,355884061545669,0072290051,2025-03-13 09:53:00,TikTok,Réseaux Sociaux,99.11,1301.66,POINT(-1.6732 48.1267),27,35000
FLOW-00029-1,351505746223793,0752290377,2025-03-08 13:17:00,Fortnite Mobile,Gaming en Ligne,13.23,1060.15,POINT(-0.5830 44.8283),60,33000
FLOW-00029-2,351505746223793,0592290645,2025-03-15 14:55:00,TikTok,Réseaux Sociaux,71.74,134.68,POINT(-0.5963 44.8536),55,33000
FLOW-00030-1,351996336476791,0832290399,2025-03-17 10:00:00,Fortnite Mobile,Gaming en Ligne,76.14,841.39,POINT(-0.5671 44.8429),15,33000
FLOW-00030-2,351996336476791,0802290080,2025-03-19 17:16:00,Fortnite Mobile,Gaming en Ligne,107.36,1442.5,POINT(-0.5749 44.8556),51,33000
FLOW-00031-1,354547092085842,0872290032,2025-03-07 13:48:00,YouTube 4K,Streaming 4K Video,62.89,1833.94,POINT(-1.6798 48.1039),60,35000
FLOW-00031-2,354547092085842,0932290126,2025-03-15 18:24:00,Microsoft Teams,Visio Pro,124.31,1013.8,POINT(-1.6644 48.1220),36,35000
FLOW-00032-1,358944500705104,0272290097,2025-03-11 21:11:00,Google Cloud Drive,Cloud Storage,10.18,295.14,POINT(1.4548 43.6172),52,31000
FLOW-00032-2,358944500705104,0692290233,2025-03-27 11:25:00,Google Meet,Visio Pro,15.0,106.16,POINT(1.4323 43.5948),56,31000
FLOW-00033-1,353937963955507,0242290101,2025-03-26 12:51:00,YouTube 4K,Streaming 4K Video,105.71,787.6,POINT(3.8965 43.6007),37,34000
FLOW-00033-2,353937963955507,0062290137,2025-03-03 12:16:00,Google Cloud Drive,Cloud Storage,95.98,1767.82,POINT(3.8847 43.5968),42,34000
FLOW-00034-1,355316672466295,0842290079,2025-03-16 19:07:00,Netflix,Streaming 4K Video,22.66,1111.18,POINT(3.0622 50.6237),59,59000
FLOW-00034-2,355316672466295,0342290747,2025-03-23 20:30:00,Instagram,Réseaux Sociaux,146.71,149.26,POINT(3.0574 50.6108),40,59000
FLOW-00035-1,351855706231282,0782290118,2025-03-24 08:38:00,YouTube 4K,Streaming 4K Video,40.74,668.99,POINT(7.2807 43.7205),55,06000
FLOW-00035-2,351855706231282,0222290089,2025-03-20 19:05:00,YouTube 4K,Streaming 4K Video,20.34,343.76,POINT(7.2799 43.7151),64,06000
FLOW-00036-1,357703858003508,0942290427,2025-03-16 21:31:00,Instagram,Réseaux Sociaux,22.49,302.64,POINT(3.8941 43.6205),60,34000
FLOW-00036-2,357703858003508,0132290218,2025-03-16 12:09:00,Netflix,Streaming 4K Video,123.87,1443.46,POINT(3.8644 43.6019),13,34000
FLOW-00037-1,351690617558706,0912290111,2025-03-13 15:27:00,Netflix,Streaming 4K Video,39.75,646.59,POINT(5.3729 43.2929),28,13001
FLOW-00037-2,351690617558706,0852290084,2025-03-21 10:45:00,TikTok,Réseaux Sociaux,76.43,1465.39,POINT(5.3748 43.2986),22,13001
FLOW-00038-1,353850789180206,0692290703,2025-03-02 15:31:00,Google Meet,Visio Pro,88.22,684.42,POINT(3.8669 43.6219),44,34000
FLOW-00038-2,353850789180206,0062290306,2025-03-20 19:21:00,Netflix,Streaming 4K Video,132.92,1128.41,POINT(3.8799 43.6130),36,34000
FLOW-00039-1,356096030445512,0132290620,2025-03-21 15:28:00,TikTok,Réseaux Sociaux,62.84,203.65,POINT(1.4529 43.5974),45,31000
FLOW-00039-2,356096030445512,0332290088,2025-03-08 19:00:00,Fortnite Mobile,Gaming en Ligne,131.08,1568.74,POINT(1.4263 43.6124),21,31000
FLOW-00040-1,358959379687479,0832290095,2025-03-10 18:25:00,Google Cloud Drive,Cloud Storage,76.62,203.17,POINT(1.4250 43.6242),41,31000
FLOW-00040-2,358959379687479,0572290171,2025-03-24 08:23:00,TikTok,Réseaux Sociaux,101.82,842.35,POINT(1.4492 43.6203),29,31000
FLOW-00041-1,355185222982615,0832290472,2025-03-18 17:51:00,Netflix,Streaming 4K Video,115.75,557.94,POINT(7.7473 48.5858),51,67000
FLOW-00041-2,355185222982615,0862290059,2025-03-28 12:30:00,Google Cloud Drive,Cloud Storage,112.27,1000.53,POINT(7.7640 48.5843),32,67000
FLOW-00042-1,351940668457999,0502290078,2025-03-02 09:16:00,Fortnite Mobile,Gaming en Ligne,36.14,1747.7,POINT(4.8216 45.7834),46,69001
FLOW-00042-2,351940668457999,0542290077,2025-03-25 21:33:00,Microsoft Teams,Visio Pro,46.62,373.04,POINT(4.8267 45.7718),22,69001
FLOW-00043-1,352042286120898,0732290097,2025-03-09 12:07:00,Instagram,Réseaux Sociaux,26.53,1388.04,POINT(5.3790 43.3110),25,13001
FLOW-00043-2,352042286120898,0132290208,2025-03-05 18:57:00,Fortnite Mobile,Gaming en Ligne,104.55,889.27,POINT(5.3864 43.2901),25,13001
FLOW-00044-1,352654590983402,0622290181,2025-03-10 08:12:00,Instagram,Réseaux Sociaux,95.48,1310.34,POINT(7.2566 43.7226),25,06000
FLOW-00044-2,352654590983402,0932290182,2025-03-11 22:38:00,Microsoft Teams,Visio Pro,7.13,1164.95,POINT(7.2713 43.7131),18,06000
FLOW-00045-1,356877056468689,0312290452,2025-03-24 18:13:00,Fortnite Mobile,Gaming en Ligne,138.53,167.64,POINT(-1.5630 47.2039),60,44000
FLOW-00045-2,356877056468689,0752292155,2025-03-10 11:50:00,TikTok,Réseaux Sociaux,104.39,291.79,POINT(-1.5658 47.2275),54,44000
FLOW-00046-1,352202460146459,0772290023,2025-03-11 08:00:00,TikTok,Réseaux Sociaux,120.45,236.22,POINT(6.1330 45.9041),31,74000
FLOW-00046-2,352202460146459,0832290182,2025-03-18 09:29:00,Instagram,Réseaux Sociaux,26.46,111.97,POINT(6.1121 45.9133),43,74000
FLOW-00047-1,357271188525236,0312290141,2025-03-12 18:49:00,Netflix,Streaming 4K Video,125.23,1738.39,POINT(-0.5597 44.8476),27,33000
FLOW-00047-2,357271188525236,0082290010,2025-03-09 17:58:00,Instagram,Réseaux Sociaux,94.83,311.45,POINT(-0.5883 44.8357),48,33000
FLOW-00048-1,354820975709018,0692290486,2025-03-09 22:57:00,Fortnite Mobile,Gaming en Ligne,12.76,729.2,POINT(6.1132 45.8862),61,74000
FLOW-00048-2,354820975709018,0222290045,2025-03-03 10:42:00,TikTok,Réseaux Sociaux,85.98,1475.45,POINT(6.1121 45.8868),62,74000
FLOW-00049-1,356298179847886,0632290127,2025-03-25 20:30:00,Netflix,Streaming 4K Video,148.69,1665.9,POINT(6.1417 45.9022),55,74000
FLOW-00049-2,356298179847886,0332290386,2025-03-06 22:03:00,YouTube 4K,Streaming 4K Video,119.3,1617.47,POINT(6.1440 45.9021),38,74000
FLOW-00050-1,351196692334710,0912290387,2025-03-09 14:26:00,Netflix,Streaming 4K Video,33.82,966.62,POINT(-1.5441 47.2048),20,44000
FLOW-00050-2,351196692334710,0622290181,2025-03-01 10:01:00,Google Meet,Visio Pro,108.95,487.83,POINT(-1.5348 47.2128),39,44000
FLOW-00051-1,353249340126883,0592290077,2025-03-23 16:28:00,Google Cloud Drive,Cloud Storage,24.81,1367.62,POINT(3.0511 50.6192),30,59000
FLOW-00051-2,353249340126883,0342290211,2025-03-19 08:59:00,Netflix,Streaming 4K Video,7.31,1391.9,POINT(3.0759 50.6270),55,59000
FLOW-00052-1,354514355059054,0862290127,2025-03-14 17:02:00,Google Cloud Drive,Cloud Storage,79.46,1057.11,POINT(-0.5816 44.8293),17,33000
FLOW-00052-2,354514355059054,0152290030,2025-03-10 22:06:00,Google Cloud Drive,Cloud Storage,76.76,858.09,POINT(-0.5842 44.8472),51,33000
FLOW-00053-1,353448821293658,0692290123,2025-03-13 15:14:00,Netflix,Streaming 4K Video,117.78,1452.52,POINT(6.1253 45.9045),22,74000
FLOW-00053-2,353448821293658,0012290040,2025-03-05 13:34:00,Netflix,Streaming 4K Video,111.32,1241.95,POINT(6.1102 45.9098),21,74000
FLOW-00054-1,352649122243460,0292290142,2025-03-28 17:03:00,Fortnite Mobile,Gaming en Ligne,47.01,1603.79,POINT(1.4492 43.5881),31,31000
FLOW-00054-2,352649122243460,0852290132,2025-03-24 15:07:00,TikTok,Réseaux Sociaux,127.01,1605.61,POINT(1.4320 43.6189),22,31000
FLOW-00055-1,358029760038651,0752290284,2025-03-24 12:51:00,Netflix,Streaming 4K Video,104.56,1827.74,POINT(-1.6787 48.1290),64,35000
FLOW-00055-2,358029760038651,0882290138,2025-03-14 20:40:00,Google Cloud Drive,Cloud Storage,57.63,77.81,POINT(-1.6966 48.1126),37,35000
FLOW-00056-1,353622901528821,0472290016,2025-03-26 17:27:00,TikTok,Réseaux Sociaux,21.4,923.43,POINT(3.0403 50.6287),43,59000
FLOW-00056-2,353622901528821,0402290047,2025-03-20 11:56:00,YouTube 4K,Streaming 4K Video,23.22,621.85,POINT(3.0591 50.6172),12,59000
FLOW-00057-1,354958329456502,0442290449,2025-03-16 11:37:00,Netflix,Streaming 4K Video,103.57,332.11,POINT(5.3791 43.2773),38,13001
FLOW-00057-2,354958329456502,0832290195,2025-03-28 15:08:00,Instagram,Réseaux Sociaux,133.74,880.23,POINT(5.3838 43.2865),22,13001
FLOW-00058-1,355556026721043,0022290043,2025-03-20 15:56:00,Fortnite Mobile,Gaming en Ligne,97.02,972.46,POINT(2.3713 48.8429),53,75001
FLOW-00058-2,355556026721043,0442290025,2025-03-15 15:54:00,TikTok,Réseaux Sociaux,93.97,199.54,POINT(2.3692 48.8683),39,75001
FLOW-00059-1,351509550919444,0652290066,2025-03-06 16:34:00,Google Meet,Visio Pro,91.59,1657.75,POINT(-1.6604 48.1055),34,35000
FLOW-00059-2,351509550919444,0852290075,2025-03-18 18:20:00,Microsoft Teams,Visio Pro,73.97,69.71,POINT(-1.6664 48.1138),44,35000
FLOW-00060-1,358617457370971,0812290111,2025-03-06 09:00:00,YouTube 4K,Streaming 4K Video,38.46,675.33,POINT(4.8533 45.7599),64,69001
FLOW-00060-2,358617457370971,0332290268,2025-03-22 16:55:00,TikTok,Réseaux Sociaux,116.37,834.2,POINT(4.8167 45.7839),26,69001
FLOW-00061-1,355155950666044,0652290049,2025-03-24 11:39:00,Fortnite Mobile,Gaming en Ligne,5.8,1388.77,POINT(3.8962 43.6260),16,34000
FLOW-00061-2,355155950666044,0512290223,2025-03-19 19:15:00,Instagram,Réseaux Sociaux,90.49,1668.17,POINT(3.8855 43.6186),37,34000
FLOW-00062-1,351612729587453,0122290048,2025-03-11 18:52:00,Google Meet,Visio Pro,30.55,524.01,POINT(3.8690 43.5930),39,34000
FLOW-00062-2,351612729587453,0372290062,2025-03-19 18:38:00,TikTok,Réseaux Sociaux,103.07,1074.5,POINT(3.8656 43.6086),12,34000
FLOW-00063-1,351569158895162,0692290176,2025-03-14 16:12:00,TikTok,Réseaux Sociaux,54.43,850.69,POINT(-1.5399 47.2316),51,44000
FLOW-00063-2,351569158895162,0572290125,2025-03-09 16:40:00,Google Meet,Visio Pro,147.62,1514.28,POINT(-1.5670 47.2022),43,44000
FLOW-00064-1,358975023615058,0222290068,2025-03-15 09:45:00,Google Cloud Drive,Cloud Storage,59.49,693.17,POINT(7.7444 48.5589),34,67000
FLOW-00064-2,358975023615058,0592290172,2025-03-09 18:54:00,Fortnite Mobile,Gaming en Ligne,68.19,108.84,POINT(7.7327 48.5762),56,67000
FLOW-00065-1,355168063480804,0342290223,2025-03-24 15:36:00,Google Cloud Drive,Cloud Storage,121.31,1203.84,POINT(5.3733 43.3116),15,13001
FLOW-00065-2,355168063480804,0672290332,2025-03-10 11:56:00,Instagram,Réseaux Sociaux,54.4,36.23,POINT(5.3596 43.2823),44,13001
FLOW-00066-1,355381374954710,0672290339,2025-03-08 12:28:00,Google Cloud Drive,Cloud Storage,104.06,987.82,POINT(2.3580 48.8379),29,75001
FLOW-00066-2,355381374954710,0872290015,2025-03-02 12:44:00,Google Meet,Visio Pro,87.68,967.96,POINT(2.3627 48.8643),43,75001
FLOW-00067-1,357709392657077,0062290495,2025-03-06 16:42:00,Netflix,Streaming 4K Video,143.91,603.55,POINT(-1.6760 48.1068),55,35000
FLOW-00067-2,357709392657077,0622290212,2025-03-25 21:27:00,Google Meet,Visio Pro,84.25,199.78,POINT(-1.6769 48.1281),64,35000
FLOW-00068-1,359043194377835,0612290125,2025-03-22 21:36:00,Google Cloud Drive,Cloud Storage,2.29,846.74,POINT(-0.5983 44.8407),23,33000
FLOW-00068-2,359043194377835,0542290032,2025-03-11 15:10:00,Instagram,Réseaux Sociaux,134.7,1101.3,POINT(-0.5704 44.8568),50,33000
FLOW-00069-1,352573777719396,0222290188,2025-03-24 22:21:00,TikTok,Réseaux Sociaux,32.18,684.89,POINT(4.8235 45.7760),43,69001
FLOW-00069-2,352573777719396,0932290177,2025-03-01 15:50:00,Instagram,Réseaux Sociaux,49.14,1559.94,POINT(4.8476 45.7525),60,69001
FLOW-00070-1,356759615141738,0922290430,2025-03-28 21:42:00,Google Meet,Visio Pro,58.13,1834.21,POINT(3.8807 43.6194),42,34000
FLOW-00070-2,356759615141738,0522290039,2025-03-01 17:06:00,TikTok,Réseaux Sociaux,92.7,1608.52,POINT(3.8642 43.6141),44,34000
FLOW-00071-1,351460670568625,0562290148,2025-03-24 20:36:00,TikTok,Réseaux Sociaux,112.23,1272.28,POINT(3.8854 43.6247),65,34000
FLOW-00071-2,351460670568625,0542290148,2025-03-12 21:11:00,Fortnite Mobile,Gaming en Ligne,32.08,232.05,POINT(3.8881 43.5934),52,34000
FLOW-00072-1,355361560623647,0452290201,2025-03-07 21:34:00,Google Meet,Visio Pro,8.16,1524.44,POINT(3.0574 50.6435),62,59000
FLOW-00072-2,355361560623647,0772290042,2025-03-11 11:35:00,Netflix,Streaming 4K Video,44.44,1405.66,POINT(3.0456 50.6258),54,59000
FLOW-00073-1,357644169576335,0742290095,2025-03-09 12:56:00,Instagram,Réseaux Sociaux,56.89,944.29,POINT(5.3558 43.3048),40,13001
FLOW-00073-2,357644169576335,0132290343,2025-03-08 18:48:00,Netflix,Streaming 4K Video,120.24,287.2,POINT(5.3833 43.2870),58,13001
FLOW-00074-1,359058416215658,0912290334,2025-03-19 21:38:00,Instagram,Réseaux Sociaux,125.96,914.89,POINT(7.7392 48.5546),65,67000
FLOW-00074-2,359058416215658,0882290082,2025-03-25 18:10:00,Google Meet,Visio Pro,105.83,1023.53,POINT(7.7712 48.5803),39,67000
FLOW-00075-1,358937929533914,0272290005,2025-03-16 08:53:00,Fortnite Mobile,Gaming en Ligne,41.12,1523.31,POINT(4.8292 45.7774),19,69001
FLOW-00075-2,358937929533914,0312290129,2025-03-07 08:56:00,TikTok,Réseaux Sociaux,76.15,674.93,POINT(4.8327 45.7823),20,69001
FLOW-00076-1,354602441494415,0682290117,2025-03-02 09:01:00,Microsoft Teams,Visio Pro,26.06,437.72,POINT(1.4425 43.5888),13,31000
FLOW-00076-2,354602441494415,0172290083,2025-03-07 17:25:00,Google Cloud Drive,Cloud Storage,4.99,1283.63,POINT(1.4250 43.6005),59,31000
FLOW-00077-1,356108220616307,0132290035,2025-03-16 19:43:00,TikTok,Réseaux Sociaux,137.65,814.55,POINT(1.4345 43.6086),62,31000
FLOW-00077-2,356108220616307,0752291595,2025-03-18 18:41:00,Fortnite Mobile,Gaming en Ligne,95.78,738.37,POINT(1.4584 43.5912),52,31000
FLOW-00078-1,351211165444812,0342290062,2025-03-04 11:15:00,YouTube 4K,Streaming 4K Video,48.35,1734.19,POINT(-0.5709 44.8192),48,33000
FLOW-00078-2,351211165444812,0272290054,2025-03-05 10:04:00,YouTube 4K,Streaming 4K Video,37.38,394.48,POINT(-0.5829 44.8230),18,33000
FLOW-00079-1,355422174866350,0172290008,2025-03-17 08:22:00,Google Meet,Visio Pro,119.0,714.22,POINT(2.3614 48.8461),61,75001
FLOW-00079-2,355422174866350,0122290040,2025-03-07 13:11:00,Microsoft Teams,Visio Pro,90.9,792.64,POINT(2.3490 48.8672),46,75001
FLOW-00080-1,359083623155328,0072290027,2025-03-28 10:41:00,Netflix,Streaming 4K Video,32.96,1841.2,POINT(5.3708 43.3149),28,13001
FLOW-00080-2,359083623155328,0632290108,2025-03-27 14:12:00,TikTok,Réseaux Sociaux,41.64,1574.05,POINT(5.3889 43.2940),55,13001
FLOW-00081-1,359592716454607,0412290066,2025-03-13 08:45:00,Netflix,Streaming 4K Video,96.54,392.36,POINT(2.3513 48.8518),17,75001
FLOW-00081-2,359592716454607,0752291904,2025-03-11 16:23:00,Microsoft Teams,Visio Pro,75.33,1547.19,POINT(2.3425 48.8726),16,75001
FLOW-00082-1,358545746663356,0162290048,2025-03-10 11:25:00,Google Meet,Visio Pro,2.11,795.59,POINT(6.1388 45.8880),33,74000
FLOW-00082-2,358545746663356,0952290054,2025-03-16 14:58:00,Google Cloud Drive,Cloud Storage,57.97,1114.39,POINT(6.1256 45.8951),32,74000
FLOW-00083-1,357327334853755,0352290136,2025-03-12 18:21:00,YouTube 4K,Streaming 4K Video,134.97,614.1,POINT(-1.6585 48.1041),18,35000
FLOW-00083-2,357327334853755,0822290048,2025-03-22 20:06:00,Google Meet,Visio Pro,57.16,990.95,POINT(-1.6793 48.1098),57,35000
FLOW-00084-1,359345061432975,0352290087,2025-03-09 16:38:00,YouTube 4K,Streaming 4K Video,68.98,759.96,POINT(-1.5391 47.2351),20,44000
FLOW-00084-2,359345061432975,0022290132,2025-03-09 20:10:00,Netflix,Streaming 4K Video,103.45,1295.23,POINT(-1.5732 47.2322),40,44000
FLOW-00085-1,352296464239333,0592290584,2025-03-04 18:36:00,Google Cloud Drive,Cloud Storage,25.95,151.93,POINT(3.0746 50.6123),16,59000
FLOW-00085-2,352296464239333,0692290288,2025-03-26 13:24:00,Instagram,Réseaux Sociaux,62.1,235.34,POINT(3.0676 50.6285),65,59000
FLOW-00086-1,355526559641842,0332290438,2025-03-08 20:21:00,YouTube 4K,Streaming 4K Video,115.95,767.03,POINT(4.8206 45.7784),55,69001
FLOW-00086-2,355526559641842,0622290857,2025-03-10 19:31:00,Netflix,Streaming 4K Video,120.55,1512.87,POINT(4.8215 45.7766),51,69001
FLOW-00087-1,357253978753321,0752290495,2025-03-15 17:57:00,Microsoft Teams,Visio Pro,83.77,351.09,POINT(-1.5362 47.2248),15,44000
FLOW-00087-2,357253978753321,0252290014,2025-03-10 09:52:00,Instagram,Réseaux Sociaux,138.52,1742.13,POINT(-1.5512 47.2276),29,44000
FLOW-00088-1,359184995316737,0132290012,2025-03-07 14:57:00,Fortnite Mobile,Gaming en Ligne,113.5,195.49,POINT(6.1177 45.8936),50,74000
FLOW-00088-2,359184995316737,0832290121,2025-03-17 16:39:00,Google Cloud Drive,Cloud Storage,108.47,803.53,POINT(6.1445 45.8995),18,74000
FLOW-00089-1,352098427706184,0302290091,2025-03-05 22:54:00,YouTube 4K,Streaming 4K Video,92.27,861.14,POINT(7.7442 48.5891),25,67000
