id_mesure,nom_operateur,commune,code_departement,nom_region,technologie_reseau,debit_descendant_mbps,debit_montant_mbps,latence_ms,taux_couverture_4g_pct
QOS-00079,Orange,Strasbourg,67 - Bas-Rhin,Grand Est,4G+ LTE,82.8,21.3,25.5,98.2
QOS-00080,Free Mobile,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,5G 700MHz,233.6,35.3,14.6,94.8
QOS-00081,SFR,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,4G+ LTE,104.0,28.5,21.2,98.0
QOS-00082,Orange,Lille,59 - Nord,Hauts-de-France,4G,50.7,12.4,29.9,96.4
QOS-00083,Free Mobile,Lille,59 - Nord,Hauts-de-France,5G 3.5GHz,454.7,81.5,10.1,97.7
QOS-00084,SFR,Toulouse,31 - Haute-Garonne,Occitanie,5G 3.5GHz,597.4,48.8,15.5,99.1
QOS-00085,Free Mobile,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,4G+ LTE,69.8,16.2,33.9,97.8
QOS-00086,Bouygues Telecom,Nantes,44 - Loire-Atlantique,Pays de la Loire,4G,46.6,14.4,46.3,95.9
QOS-00087,SFR,Paris,75 - Paris,Île-de-France,5G 3.5GHz,590.1,56.9,15.0,98.2
QOS-00088,Bouygues Telecom,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,4G+ LTE,94.5,23.2,26.2,98.5
QOS-00089,Free Mobile,Nantes,44 - Loire-Atlantique,Pays de la Loire,4G+ LTE,79.7,26.5,30.5,96.9
QOS-00090,Orange,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,4G,38.3,10.3,48.5,97.7
QOS-00091,Orange,Montpellier,34 - Hérault,Occitanie,5G 3.5GHz,336.5,68.6,13.2,95.5
QOS-00092,Orange,Nantes,44 - Loire-Atlantique,Pays de la Loire,5G 700MHz,224.4,37.0,20.1,99.7
QOS-00093,SFR,Rennes,35 - Ille-et-Vilaine,Bretagne,4G,29.6,14.6,31.5,99.5
QOS-00094,Orange,Rennes,35 - Ille-et-Vilaine,Bretagne,5G 700MHz,177.4,29.9,14.8,97.7
QOS-00095,Bouygues Telecom,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,5G 3.5GHz,579.6,57.7,12.0,94.8
QOS-00096,Orange,Rennes,35 - Ille-et-Vilaine,Bretagne,4G,39.9,9.1,35.8,99.4
QOS-00097,Bouygues Telecom,Nantes,44 - Loire-Atlantique,Pays de la Loire,4G+ LTE,101.9,23.2,26.9,98.3
QOS-00098,SFR,Montpellier,34 - Hérault,Occitanie,4G,52.4,12.1,48.4,95.9
QOS-00099,Bouygues Telecom,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,4G+ LTE,82.4,24.9,23.5,94.8
QOS-00100,Bouygues Telecom,Lille,59 - Nord,Hauts-de-France,5G 700MHz,173.4,28.1,17.7,99.5
QOS-00101,Orange,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,4G,49.0,11.2,31.6,99.3
QOS-00102,SFR,Toulouse,31 - Haute-Garonne,Occitanie,5G 3.5GHz,382.1,54.3,11.2,94.7
QOS-00103,SFR,Strasbourg,67 - Bas-Rhin,Grand Est,5G 3.5GHz,344.0,80.3,11.4,99.9
QOS-00104,SFR,Rennes,35 - Ille-et-Vilaine,Bretagne,5G 3.5GHz,600.2,83.5,14.0,97.3
QOS-00105,Free Mobile,Paris,75 - Paris,Île-de-France,4G+ LTE,106.1,23.4,25.5,96.7
QOS-00106,Bouygues Telecom,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,4G+ LTE,118.1,18.2,33.3,95.7
QOS-00107,Free Mobile,Toulouse,31 - Haute-Garonne,Occitanie,4G+ LTE,118.2,23.6,29.6,97.2
QOS-00108,Bouygues Telecom,Paris,75 - Paris,Île-de-France,4G,34.6,14.9,32.2,96.3
QOS-00109,Orange,Montpellier,34 - Hérault,Occitanie,4G+ LTE,105.0,15.9,28.8,98.3
QOS-00110,Bouygues Telecom,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,4G,51.2,13.8,32.9,99.4
QOS-00111,SFR,Lille,59 - Nord,Hauts-de-France,5G 700MHz,158.1,26.0,16.8,98.0
QOS-00112,Orange,Strasbourg,67 - Bas-Rhin,Grand Est,4G+ LTE,82.5,21.4,33.6,95.4
QOS-00113,Bouygues Telecom,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,4G,39.5,11.4,34.3,99.7
QOS-00114,SFR,Montpellier,34 - Hérault,Occitanie,4G,36.7,10.2,40.4,97.7
QOS-00115,SFR,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,4G,31.0,11.4,34.5,99.8
QOS-00116,SFR,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,5G 700MHz,137.1,30.5,19.3,96.6
QOS-00117,SFR,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,5G 3.5GHz,327.4,78.4,12.9,95.4
QOS-00118,Bouygues Telecom,Nantes,44 - Loire-Atlantique,Pays de la Loire,4G,39.0,10.8,29.2,97.3
QOS-00119,Orange,Paris,75 - Paris,Île-de-France,5G 3.5GHz,451.3,72.0,15.1,95.3
QOS-00120,Orange,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,5G 700MHz,213.1,32.6,17.1,95.3
QOS-00121,Free Mobile,Montpellier,34 - Hérault,Occitanie,5G 3.5GHz,590.2,76.0,16.6,96.0
QOS-00122,Orange,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,5G 700MHz,231.2,41.6,14.5,99.7
QOS-00123,Orange,Toulouse,31 - Haute-Garonne,Occitanie,5G 3.5GHz,491.4,83.0,14.0,96.2
QOS-00124,Bouygues Telecom,Toulouse,31 - Haute-Garonne,Occitanie,4G,47.4,10.1,34.6,99.3
QOS-00125,Orange,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,4G+ LTE,67.7,23.0,33.8,98.2
QOS-00126,Bouygues Telecom,Lille,59 - Nord,Hauts-de-France,5G 3.5GHz,414.3,84.4,15.3,98.8
QOS-00127,SFR,Rennes,35 - Ille-et-Vilaine,Bretagne,5G 700MHz,202.0,31.2,18.8,95.6
QOS-00128,SFR,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,4G,41.3,13.2,41.4,96.1
QOS-00129,Orange,Nantes,44 - Loire-Atlantique,Pays de la Loire,5G 3.5GHz,513.4,49.9,9.6,96.5
QOS-00130,Orange,Paris,75 - Paris,Île-de-France,5G 700MHz,177.3,37.8,24.6,96.8
QOS-00131,Orange,Rennes,35 - Ille-et-Vilaine,Bretagne,5G 3.5GHz,474.9,57.5,14.2,97.3
QOS-00132,Orange,Toulouse,31 - Haute-Garonne,Occitanie,5G 700MHz,164.2,41.7,22.1,97.0
QOS-00133,Free Mobile,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,5G 3.5GHz,395.6,64.8,13.1,96.8
QOS-00134,Free Mobile,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,5G 700MHz,194.0,44.4,16.1,97.1
QOS-00135,Bouygues Telecom,Montpellier,34 - Hérault,Occitanie,5G 3.5GHz,407.2,72.3,14.7,99.1
QOS-00136,SFR,Lille,59 - Nord,Hauts-de-France,5G 700MHz,176.2,35.8,22.0,96.1
QOS-00137,SFR,Toulouse,31 - Haute-Garonne,Occitanie,4G,45.5,12.1,33.2,95.6
QOS-00138,SFR,Paris,75 - Paris,Île-de-France,4G+ LTE,128.2,16.7,30.8,96.0
QOS-00139,SFR,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,5G 700MHz,206.3,43.4,24.7,96.4
QOS-00140,Orange,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,5G 3.5GHz,601.4,59.4,14.4,98.2
QOS-00141,SFR,Strasbourg,67 - Bas-Rhin,Grand Est,5G 700MHz,202.5,29.2,20.8,96.6
QOS-00142,SFR,Paris,75 - Paris,Île-de-France,5G 3.5GHz,365.3,63.3,16.0,96.2
QOS-00143,SFR,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,4G,47.4,8.8,42.6,99.9
QOS-00144,Orange,Nantes,44 - Loire-Atlantique,Pays de la Loire,4G,31.6,14.0,36.3,95.9
QOS-00145,Free Mobile,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,4G,32.6,15.2,31.1,98.7
QOS-00146,Free Mobile,Rennes,35 - Ille-et-Vilaine,Bretagne,5G 3.5GHz,428.3,58.5,11.8,95.8
QOS-00147,SFR,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,4G+ LTE,99.2,19.5,29.7,96.3
QOS-00148,Free Mobile,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,4G+ LTE,83.0,20.4,33.6,94.5
QOS-00149,Orange,Rennes,35 - Ille-et-Vilaine,Bretagne,5G 700MHz,184.3,32.9,15.3,98.7
QOS-00150,Orange,Rennes,35 - Ille-et-Vilaine,Bretagne,5G 700MHz,229.1,40.7,17.8,96.2
QOS-00151,Orange,Nantes,44 - Loire-Atlantique,Pays de la Loire,4G,46.7,9.5,44.8,97.3
QOS-00152,Free Mobile,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,4G,31.6,11.3,28.6,99.1
QOS-00153,Free Mobile,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,5G 3.5GHz,354.8,83.1,11.5,98.8
QOS-00154,Bouygues Telecom,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,4G+ LTE,119.0,16.0,31.1,95.1
QOS-00155,Bouygues Telecom,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,4G+ LTE,122.5,21.2,26.7,95.2
QOS-00156,SFR,Toulouse,31 - Haute-Garonne,Occitanie,5G 700MHz,242.5,45.1,18.4,94.8
QOS-00157,Bouygues Telecom,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,5G 700MHz,236.3,28.4,25.1,96.5
QOS-00158,Orange,Nantes,44 - Loire-Atlantique,Pays de la Loire,5G 700MHz,196.8,34.9,18.3,96.1
QOS-00159,Free Mobile,Strasbourg,67 - Bas-Rhin,Grand Est,4G+ LTE,103.0,22.3,29.8,95.2
QOS-00160,Bouygues Telecom,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,5G 700MHz,207.6,39.8,22.7,94.8
QOS-00161,SFR,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,5G 700MHz,193.8,28.5,18.8,95.5
QOS-00162,SFR,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,4G+ LTE,122.7,25.6,29.5,96.6
QOS-00163,SFR,Montpellier,34 - Hérault,Occitanie,4G,35.2,12.2,39.8,99.8
QOS-00164,Bouygues Telecom,Toulouse,31 - Haute-Garonne,Occitanie,4G+ LTE,123.1,22.7,30.8,99.2
QOS-00165,SFR,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,4G,52.5,10.5,37.4,96.8
QOS-00166,SFR,Lille,59 - Nord,Hauts-de-France,4G,49.5,11.7,35.2,99.5
QOS-00167,SFR,Montpellier,34 - Hérault,Occitanie,4G+ LTE,114.1,24.6,27.5,96.4
QOS-00168,Free Mobile,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,4G,45.3,11.9,30.3,97.4
QOS-00169,SFR,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,4G+ LTE,126.9,19.2,24.7,99.3
QOS-00170,Free Mobile,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,5G 700MHz,146.4,31.5,20.5,96.9
QOS-00171,Bouygues Telecom,Toulouse,31 - Haute-Garonne,Occitanie,4G+ LTE,72.7,16.1,22.0,97.2
QOS-00172,Free Mobile,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,4G,35.6,13.3,28.8,98.4
QOS-00173,Bouygues Telecom,Rennes,35 - Ille-et-Vilaine,Bretagne,5G 3.5GHz,455.6,73.4,16.6,97.8
QOS-00174,Bouygues Telecom,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,5G 3.5GHz,323.7,72.0,14.7,97.8
QOS-00175,SFR,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,4G,52.4,13.4,41.3,99.4
QOS-00176,SFR,Rennes,35 - Ille-et-Vilaine,Bretagne,4G+ LTE,93.5,20.9,20.9,95.5
QOS-00177,Free Mobile,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,5G 700MHz,175.9,43.6,14.9,96.3
QOS-00178,Free Mobile,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,4G+ LTE,95.3,19.8,22.4,96.2
QOS-00179,SFR,Lille,59 - Nord,Hauts-de-France,5G 3.5GHz,524.8,72.2,13.3,98.7
QOS-00180,SFR,Nantes,44 - Loire-Atlantique,Pays de la Loire,5G 700MHz,133.5,35.4,15.3,95.4
QOS-00181,SFR,Strasbourg,67 - Bas-Rhin,Grand Est,5G 3.5GHz,407.3,76.9,16.2,97.3
QOS-00182,Bouygues Telecom,Rennes,35 - Ille-et-Vilaine,Bretagne,5G 3.5GHz,589.5,66.8,13.2,97.7
QOS-00183,Free Mobile,Nantes,44 - Loire-Atlantique,Pays de la Loire,5G 3.5GHz,424.4,76.7,13.3,96.6
QOS-00184,SFR,Montpellier,34 - Hérault,Occitanie,4G,33.1,15.5,31.1,96.5
QOS-00185,Orange,Paris,75 - Paris,Île-de-France,4G,54.3,14.1,32.5,96.2
QOS-00186,Free Mobile,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,4G,37.2,12.4,34.7,96.2
QOS-00187,Bouygues Telecom,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,4G,37.8,8.8,31.2,95.0
QOS-00188,Bouygues Telecom,Montpellier,34 - Hérault,Occitanie,5G 3.5GHz,438.4,75.0,11.8,94.9
QOS-00189,Free Mobile,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,4G,34.0,8.9,31.1,97.0
QOS-00190,Free Mobile,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,4G+ LTE,107.4,15.5,26.7,99.6
QOS-00191,Bouygues Telecom,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,5G 700MHz,151.4,35.7,14.6,95.1
QOS-00192,Bouygues Telecom,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,4G,46.6,11.1,44.0,97.0
QOS-00193,Bouygues Telecom,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,5G 3.5GHz,347.0,49.9,15.9,97.8
QOS-00194,SFR,Montpellier,34 - Hérault,Occitanie,5G 700MHz,214.9,34.6,15.0,99.6
QOS-00195,SFR,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,5G 700MHz,242.4,31.6,19.2,96.1
QOS-00196,Free Mobile,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,5G 3.5GHz,548.1,47.2,13.2,96.8
QOS-00197,SFR,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,4G,43.5,12.0,42.2,97.9
QOS-00198,Free Mobile,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,5G 700MHz,201.3,42.3,24.0,96.9
QOS-00199,Orange,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,4G+ LTE,113.4,26.3,25.2,95.5
QOS-00200,SFR,Nantes,44 - Loire-Atlantique,Pays de la Loire,4G+ LTE,105.7,18.1,32.5,99.2
QOS-00201,Free Mobile,Montpellier,34 - Hérault,Occitanie,4G+ LTE,85.4,18.0,30.6,96.4
QOS-00202,Bouygues Telecom,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,4G+ LTE,111.3,18.2,23.4,95.6
QOS-00203,SFR,Montpellier,34 - Hérault,Occitanie,5G 700MHz,190.5,36.0,17.7,96.7
QOS-00204,Orange,Montpellier,34 - Hérault,Occitanie,4G+ LTE,68.2,16.5,24.3,98.7
QOS-00205,Bouygues Telecom,Nantes,44 - Loire-Atlantique,Pays de la Loire,4G,45.0,11.9,34.1,96.8
QOS-00206,Bouygues Telecom,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,4G+ LTE,127.4,15.8,29.2,99.9
QOS-00207,Free Mobile,Toulouse,31 - Haute-Garonne,Occitanie,4G+ LTE,89.5,26.5,27.3,99.4
QOS-00208,Bouygues Telecom,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,4G+ LTE,106.9,22.8,20.6,99.0
QOS-00209,SFR,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,5G 700MHz,144.3,25.9,21.4,98.6
QOS-00210,Free Mobile,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,4G+ LTE,125.1,27.2,33.6,99.3
QOS-00211,Free Mobile,Strasbourg,67 - Bas-Rhin,Grand Est,5G 700MHz,191.2,37.6,15.6,98.9
QOS-00212,Orange,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,4G,46.6,11.3,48.5,95.1
QOS-00213,Bouygues Telecom,Strasbourg,67 - Bas-Rhin,Grand Est,4G,49.5,13.0,40.9,99.9
QOS-00214,Orange,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,5G 3.5GHz,576.6,58.0,16.1,95.6
QOS-00215,Orange,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,5G 3.5GHz,587.2,69.3,12.0,97.4
QOS-00216,Bouygues Telecom,Rennes,35 - Ille-et-Vilaine,Bretagne,4G,39.2,9.6,39.1,98.8
QOS-00217,Free Mobile,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,5G 700MHz,214.7,35.7,20.9,97.2
