trimestre,nom_region,indice_prix_immo_commercial,indice_prix_immo_residentiel,variation_annuelle_immo_pct
2020-Q2,Provence-Alpes-Côte d'Azur,102,100,6.24
2020-Q2,Auvergne-Rhône-Alpes,102,100,3.4
2020-Q2,Nouvelle-Aquitaine,102,100,4.51
2020-Q3,Occitanie,102,100,4.8
2020-Q3,Île-de-France,102,100,4.69
2020-Q3,Provence-Alpes-Côte d'Azur,102,100,4.17
2020-Q3,Auvergne-Rhône-Alpes,102,100,5.43
2020-Q3,Nouvelle-Aquitaine,102,100,5.89
2020-Q4,Occitanie,102,100,4.61
2020-Q4,Île-de-France,102,100,2.71
2020-Q4,Provence-Alpes-Côte d'Azur,102,100,4.39
2020-Q4,Auvergne-Rhône-Alpes,102,100,4.6
2020-Q4,Nouvelle-Aquitaine,102,100,4.26
2021-Q1,Occitanie,105.5,104,3.58
2021-Q1,Île-de-France,105.5,104,5.84
2021-Q1,Provence-Alpes-Côte d'Azur,105.5,104,3.67
2021-Q1,Auvergne-Rhône-Alpes,105.5,104,3.48
2021-Q1,Nouvelle-Aquitaine,105.5,104,3.47
2021-Q2,Occitanie,105.5,104,5.57
2021-Q2,Île-de-France,105.5,104,3.95
2021-Q2,Provence-Alpes-Côte d'Azur,105.5,104,4.32
2021-Q2,Auvergne-Rhône-Alpes,105.5,104,5.49
2021-Q2,Nouvelle-Aquitaine,105.5,104,2.96
2021-Q3,Occitanie,105.5,104,3.46
2021-Q3,Île-de-France,105.5,104,5.43
2021-Q3,Provence-Alpes-Côte d'Azur,105.5,104,6.02
2021-Q3,Auvergne-Rhône-Alpes,105.5,104,3.95
2021-Q3,Nouvelle-Aquitaine,105.5,104,3.91
2021-Q4,Occitanie,105.5,104,4.52
2021-Q4,Île-de-France,105.5,104,6.16
2021-Q4,Provence-Alpes-Côte d'Azur,105.5,104,5.11
2021-Q4,Auvergne-Rhône-Alpes,105.5,104,4.92
2021-Q4,Nouvelle-Aquitaine,105.5,104,4.3
2022-Q1,Occitanie,86.5,99,-0.24
2022-Q1,Île-de-France,86.5,99,0.21
2022-Q1,Provence-Alpes-Côte d'Azur,86.5,99,0.98
2022-Q1,Auvergne-Rhône-Alpes,86.5,99,-1.12
2022-Q1,Nouvelle-Aquitaine,86.5,99,0.11
2022-Q2,Occitanie,86.5,99,0.83
2022-Q2,Île-de-France,86.5,99,-0.28
2022-Q2,Provence-Alpes-Côte d'Azur,86.5,99,0.25
2022-Q2,Auvergne-Rhône-Alpes,86.5,99,-1.09
2022-Q2,Nouvelle-Aquitaine,86.5,99,-0.72
2022-Q3,Occitanie,86.5,99,-0.64
2022-Q3,Île-de-France,86.5,99,-0.56
2022-Q3,Provence-Alpes-Côte d'Azur,86.5,99,-1.26
2022-Q3,Auvergne-Rhône-Alpes,86.5,99,-0.24
2022-Q3,Nouvelle-Aquitaine,86.5,99,1.45
2022-Q4,Occitanie,86.5,99,0.23
2022-Q4,Île-de-France,86.5,99,0.4
2022-Q4,Provence-Alpes-Côte d'Azur,86.5,99,0.82
2022-Q4,Auvergne-Rhône-Alpes,86.5,99,1.2
2022-Q4,Nouvelle-Aquitaine,86.5,99,1.13
2023-Q1,Occitanie,100.5,106.5,-14.64
2023-Q1,Île-de-France,100.5,106.5,-13.52
2023-Q1,Provence-Alpes-Côte d'Azur,100.5,106.5,-12.01
2023-Q1,Auvergne-Rhône-Alpes,100.5,106.5,-8.92
2023-Q1,Nouvelle-Aquitaine,100.5,106.5,-4.94
2023-Q2,Occitanie,100.5,106.5,-6.93
2023-Q2,Île-de-France,100.5,106.5,-13.46
2023-Q2,Provence-Alpes-Côte d'Azur,100.5,106.5,-14.44
2023-Q2,Auvergne-Rhône-Alpes,100.5,106.5,-10.23
2023-Q2,Nouvelle-Aquitaine,100.5,106.5,-7.49
2023-Q3,Occitanie,100.5,106.5,-4.31
2023-Q3,Île-de-France,100.5,106.5,-13.4
2023-Q3,Provence-Alpes-Côte d'Azur,100.5,106.5,-5.61
2023-Q3,Auvergne-Rhône-Alpes,100.5,106.5,-5.06
2023-Q3,Nouvelle-Aquitaine,100.5,106.5,-5.21
2023-Q4,Occitanie,100.5,106.5,-11.04
2023-Q4,Île-de-France,100.5,106.5,-10.54
2023-Q4,Provence-Alpes-Côte d'Azur,100.5,106.5,-8.9
2023-Q4,Auvergne-Rhône-Alpes,100.5,106.5,-7.25
2023-Q4,Nouvelle-Aquitaine,100.5,106.5,-13.54
2024-Q1,Occitanie,93,103,-5.29
2024-Q1,Île-de-France,93,103,-5.28
2024-Q1,Provence-Alpes-Côte d'Azur,93,103,-8.53
2024-Q1,Auvergne-Rhône-Alpes,93,103,-8.26
2024-Q1,Nouvelle-Aquitaine,93,103,-4.26
2024-Q2,Occitanie,93,103,-14.32
2024-Q2,Île-de-France,93,103,-6.97
2024-Q2,Provence-Alpes-Côte d'Azur,93,103,-11.04
2024-Q2,Auvergne-Rhône-Alpes,93,103,-10.04
2024-Q2,Nouvelle-Aquitaine,93,103,-10.47
2024-Q3,Occitanie,93,103,-10.03
2024-Q3,Île-de-France,93,103,-5.95
2024-Q3,Provence-Alpes-Côte d'Azur,93,103,-11.73
2024-Q3,Auvergne-Rhône-Alpes,93,103,-9.74
2024-Q3,Nouvelle-Aquitaine,93,103,-13.37
2024-Q4,Occitanie,93,103,-12.86
2024-Q4,Île-de-France,93,103,-6.68
2024-Q4,Provence-Alpes-Côte d'Azur,93,103,-5.09
2024-Q4,Auvergne-Rhône-Alpes,93,103,-4.87
2024-Q4,Nouvelle-Aquitaine,93,103,-13.91
2025-Q1,Occitanie,85.5,99.5,-5.31
2025-Q1,Île-de-France,85.5,99.5,-8.51
2025-Q1,Provence-Alpes-Côte d'Azur,85.5,99.5,-10.88
2025-Q1,Auvergne-Rhône-Alpes,85.5,99.5,-7.92
2025-Q1,Nouvelle-Aquitaine,85.5,99.5,-10.78
2025-Q2,Occitanie,85.5,99.5,-10.15
2025-Q2,Île-de-France,85.5,99.5,-9.41
2025-Q2,Provence-Alpes-Côte d'Azur,85.5,99.5,-8.57
2025-Q2,Auvergne-Rhône-Alpes,85.5,99.5,-4.79
2025-Q2,Nouvelle-Aquitaine,85.5,99.5,-13.77
2025-Q3,Occitanie,85.5,99.5,-11.65
2025-Q3,Île-de-France,85.5,99.5,-11.18
2025-Q3,Provence-Alpes-Côte d'Azur,85.5,99.5,-8.82
2025-Q3,Auvergne-Rhône-Alpes,85.5,99.5,-5.29
2025-Q3,Nouvelle-Aquitaine,85.5,99.5,-8.65
2025-Q4,Occitanie,85.5,99.5,-5.85
2025-Q4,Île-de-France,85.5,99.5,-10.28
2025-Q4,Provence-Alpes-Côte d'Azur,85.5,99.5,-11.38
2025-Q4,Auvergne-Rhône-Alpes,85.5,99.5,-11.42
2025-Q4,Nouvelle-Aquitaine,85.5,99.5,-12.91
2026-Q1,Occitanie,86.5,99,-1.07
2026-Q1,Île-de-France,86.5,99,0.94
2026-Q1,Provence-Alpes-Côte d'Azur,86.5,99,0.7
2026-Q1,Auvergne-Rhône-Alpes,86.5,99,1.47
2026-Q1,Nouvelle-Aquitaine,86.5,99,-0.87
2026-Q2,Occitanie,86.5,99,0.06
2026-Q2,Île-de-France,86.5,99,0.23
2026-Q2,Provence-Alpes-Côte d'Azur,86.5,99,0.35
2026-Q2,Auvergne-Rhône-Alpes,86.5,99,-1.2
2026-Q2,Nouvelle-Aquitaine,86.5,99,-0.65
2026-Q3,Occitanie,86.5,99,-1.14
2026-Q3,Île-de-France,86.5,99,-0.68
2026-Q3,Provence-Alpes-Côte d'Azur,86.5,99,-0.18
2026-Q3,Auvergne-Rhône-Alpes,86.5,99,1.16
2026-Q3,Nouvelle-Aquitaine,86.5,99,-0.63
2026-Q4,Occitanie,86.5,99,1.25
2026-Q4,Île-de-France,86.5,99,1.47
2026-Q4,Provence-Alpes-Côte d'Azur,86.5,99,0.76
2026-Q4,Auvergne-Rhône-Alpes,86.5,99,1.27
2026-Q4,Nouvelle-Aquitaine,86.5,99,0.5
