annee_mois,secteur_activite,nom_region,taux_defaillance_annuel_pct,variation_trimestrielle_pct
2018-01,Immobilier,Provence-Alpes-Côte d'Azur,4.27,1.68
2018-01,Immobilier,Auvergne-Rhône-Alpes,5.05,0.36
2018-01,Immobilier,Nouvelle-Aquitaine,4.76,-1.14
2018-01,Aéronautique,Occitanie,5.27,1.45
2018-01,Aéronautique,Île-de-France,4.02,2.13
2018-01,Aéronautique,Provence-Alpes-Côte d'Azur,4.92,1.32
2018-01,Aéronautique,Auvergne-Rhône-Alpes,4.05,3.12
2018-01,Aéronautique,Nouvelle-Aquitaine,4.84,0.13
2018-01,Automobile,Occitanie,8.31,0.24
2018-01,Automobile,Île-de-France,7.51,0.1
2018-01,Automobile,Provence-Alpes-Côte d'Azur,7.92,2.36
2018-01,Automobile,Auvergne-Rhône-Alpes,7.03,3.02
2018-01,Automobile,Nouvelle-Aquitaine,7.66,2.39
2018-02,Commerce,Occitanie,8.65,0.55
2018-02,Commerce,Île-de-France,7.78,3.04
2018-02,Commerce,Provence-Alpes-Côte d'Azur,7.22,2.3
2018-02,Commerce,Auvergne-Rhône-Alpes,7.55,0.77
2018-02,Commerce,Nouvelle-Aquitaine,7.42,1.94
2018-02,Industrie,Occitanie,4.76,2.5
2018-02,Industrie,Île-de-France,4.9,-1.09
2018-02,Industrie,Provence-Alpes-Côte d'Azur,4.96,-0.35
2018-02,Industrie,Auvergne-Rhône-Alpes,4.46,1.37
2018-02,Industrie,Nouvelle-Aquitaine,4.35,-1.37
2018-02,BTP,Occitanie,10.73,-0.65
2018-02,BTP,Île-de-France,8.85,2.25
2018-02,BTP,Provence-Alpes-Côte d'Azur,9.01,2.64
2018-02,BTP,Auvergne-Rhône-Alpes,9.44,-0.2
2018-02,BTP,Nouvelle-Aquitaine,8.61,2.96
2018-02,Technologies,Occitanie,4.54,1.88
2018-02,Technologies,Île-de-France,4.49,2.06
2018-02,Technologies,Provence-Alpes-Côte d'Azur,4.73,1.54
2018-02,Technologies,Auvergne-Rhône-Alpes,4.49,2.23
2018-02,Technologies,Nouvelle-Aquitaine,4.01,-0.46
2018-02,Agroalimentaire,Occitanie,5.27,-0.06
2018-02,Agroalimentaire,Île-de-France,4.6,0.72
2018-02,Agroalimentaire,Provence-Alpes-Côte d'Azur,4.54,0.5
2018-02,Agroalimentaire,Auvergne-Rhône-Alpes,4.8,0.05
2018-02,Agroalimentaire,Nouvelle-Aquitaine,4.74,-0.23
2018-02,Transport,Occitanie,4.74,-0.93
2018-02,Transport,Île-de-France,4.13,-0.94
2018-02,Transport,Provence-Alpes-Côte d'Azur,4.54,2.08
2018-02,Transport,Auvergne-Rhône-Alpes,4.12,-0.48
2018-02,Transport,Nouvelle-Aquitaine,4.48,1.91
2018-02,Immobilier,Occitanie,5.61,0.97
2018-02,Immobilier,Île-de-France,4.24,-1.03
2018-02,Immobilier,Provence-Alpes-Côte d'Azur,4.13,-0.43
2018-02,Immobilier,Auvergne-Rhône-Alpes,4.12,-1.43
2018-02,Immobilier,Nouvelle-Aquitaine,4.54,-0.21
2018-02,Aéronautique,Occitanie,5.61,1.1
2018-02,Aéronautique,Île-de-France,4.74,-0.91
2018-02,Aéronautique,Provence-Alpes-Côte d'Azur,4.94,0.81
2018-02,Aéronautique,Auvergne-Rhône-Alpes,4.95,1.2
2018-02,Aéronautique,Nouvelle-Aquitaine,4.46,0.57
2018-02,Automobile,Occitanie,8.02,-1.26
2018-02,Automobile,Île-de-France,8.03,0.75
2018-02,Automobile,Provence-Alpes-Côte d'Azur,7.89,0.38
2018-02,Automobile,Auvergne-Rhône-Alpes,6.99,1.46
2018-02,Automobile,Nouvelle-Aquitaine,6.96,-0.8
2018-03,Commerce,Occitanie,8.48,-0.07
2018-03,Commerce,Île-de-France,8.09,-0.94
2018-03,Commerce,Provence-Alpes-Côte d'Azur,7.82,1.35
2018-03,Commerce,Auvergne-Rhône-Alpes,7.85,-0.44
2018-03,Commerce,Nouvelle-Aquitaine,7.53,0.62
2018-03,Industrie,Occitanie,4.97,2.54
2018-03,Industrie,Île-de-France,5.09,-0.06
2018-03,Industrie,Provence-Alpes-Côte d'Azur,4.65,1.37
2018-03,Industrie,Auvergne-Rhône-Alpes,4.79,2.95
2018-03,Industrie,Nouvelle-Aquitaine,4.15,-0.51
2018-03,BTP,Occitanie,10.5,-0.76
2018-03,BTP,Île-de-France,8.81,-1.15
2018-03,BTP,Provence-Alpes-Côte d'Azur,8.6,0.62
2018-03,BTP,Auvergne-Rhône-Alpes,9.31,-0.13
2018-03,BTP,Nouvelle-Aquitaine,8.88,1.82
2018-03,Technologies,Occitanie,5.28,0.63
2018-03,Technologies,Île-de-France,4.72,2.84
2018-03,Technologies,Provence-Alpes-Côte d'Azur,4.85,1.44
2018-03,Technologies,Auvergne-Rhône-Alpes,4.69,2.89
2018-03,Technologies,Nouvelle-Aquitaine,4.41,1.06
2018-03,Agroalimentaire,Occitanie,5.22,2.77
2018-03,Agroalimentaire,Île-de-France,4.89,-1.16
2018-03,Agroalimentaire,Provence-Alpes-Côte d'Azur,4.1,-0.05
2018-03,Agroalimentaire,Auvergne-Rhône-Alpes,4.8,1.18
2018-03,Agroalimentaire,Nouvelle-Aquitaine,4.25,-0.92
2018-03,Transport,Occitanie,5.27,1.79
2018-03,Transport,Île-de-France,5.03,0.85
2018-03,Transport,Provence-Alpes-Côte d'Azur,4.49,-1.12
2018-03,Transport,Auvergne-Rhône-Alpes,3.95,0.53
2018-03,Transport,Nouvelle-Aquitaine,4.29,-0.32
2018-03,Immobilier,Occitanie,4.55,3.02
2018-03,Immobilier,Île-de-France,4.9,1.2
2018-03,Immobilier,Provence-Alpes-Côte d'Azur,5.04,3.2
2018-03,Immobilier,Auvergne-Rhône-Alpes,4.71,-0.23
2018-03,Immobilier,Nouvelle-Aquitaine,3.95,2.05
2018-03,Aéronautique,Occitanie,5,1.56
2018-03,Aéronautique,Île-de-France,5,-0.65
2018-03,Aéronautique,Provence-Alpes-Côte d'Azur,4.6,1.48
2018-03,Aéronautique,Auvergne-Rhône-Alpes,4.49,-1.07
2018-03,Aéronautique,Nouvelle-Aquitaine,4.32,0.07
2018-03,Automobile,Occitanie,8.6,2.53
2018-03,Automobile,Île-de-France,7.3,1.76
2018-03,Automobile,Provence-Alpes-Côte d'Azur,7.25,2.94
2018-03,Automobile,Auvergne-Rhône-Alpes,7.88,1.09
2018-03,Automobile,Nouvelle-Aquitaine,7.45,-0.02
2018-04,Commerce,Occitanie,8.19,3.06
2018-04,Commerce,Île-de-France,7.39,0.92
2018-04,Commerce,Provence-Alpes-Côte d'Azur,8.09,1.59
2018-04,Commerce,Auvergne-Rhône-Alpes,7.55,0.44
2018-04,Commerce,Nouvelle-Aquitaine,7.13,0.2
2018-04,Industrie,Occitanie,5.35,1.44
2018-04,Industrie,Île-de-France,4.81,-0.54
2018-04,Industrie,Provence-Alpes-Côte d'Azur,4.56,2.86
2018-04,Industrie,Auvergne-Rhône-Alpes,4.43,1.78
2018-04,Industrie,Nouvelle-Aquitaine,4.05,3.07
2018-04,BTP,Occitanie,10.43,-0.38
2018-04,BTP,Île-de-France,8.79,1.09
2018-04,BTP,Provence-Alpes-Côte d'Azur,9.26,-1.06
2018-04,BTP,Auvergne-Rhône-Alpes,9.79,2.79
2018-04,BTP,Nouvelle-Aquitaine,9.15,-0.95
2018-04,Technologies,Occitanie,5.44,0.84
2018-04,Technologies,Île-de-France,4.76,0.89
2018-04,Technologies,Provence-Alpes-Côte d'Azur,4.23,2.42
2018-04,Technologies,Auvergne-Rhône-Alpes,5.08,-0.35
2018-04,Technologies,Nouvelle-Aquitaine,4.56,0.3
2018-04,Agroalimentaire,Occitanie,5.55,0.89
2018-04,Agroalimentaire,Île-de-France,4.96,2.56
2018-04,Agroalimentaire,Provence-Alpes-Côte d'Azur,4.23,2.21
2018-04,Agroalimentaire,Auvergne-Rhône-Alpes,4.4,2.89
2018-04,Agroalimentaire,Nouvelle-Aquitaine,4.51,2.36
2018-04,Transport,Occitanie,4.78,-0.1
2018-04,Transport,Île-de-France,4.6,3.19
2018-04,Transport,Provence-Alpes-Côte d'Azur,4.49,-0.8
2018-04,Transport,Auvergne-Rhône-Alpes,4.55,0.12
2018-04,Transport,Nouvelle-Aquitaine,4.56,1.05
2018-04,Immobilier,Occitanie,4.99,0.01
2018-04,Immobilier,Île-de-France,4.13,1.78
2018-04,Immobilier,Provence-Alpes-Côte d'Azur,4.59,-0.4
2018-04,Immobilier,Auvergne-Rhône-Alpes,4.83,-1.29
2018-04,Immobilier,Nouvelle-Aquitaine,4.79,1.81
2018-04,Aéronautique,Occitanie,5.41,0.31
2018-04,Aéronautique,Île-de-France,4.7,2.36
2018-04,Aéronautique,Provence-Alpes-Côte d'Azur,5.08,0.83
2018-04,Aéronautique,Auvergne-Rhône-Alpes,3.94,0.86
2018-04,Aéronautique,Nouvelle-Aquitaine,4.61,2.59
2018-04,Automobile,Occitanie,8.85,0.57
2018-04,Automobile,Île-de-France,7.53,0.65
2018-04,Automobile,Provence-Alpes-Côte d'Azur,7.77,0.43
2018-04,Automobile,Auvergne-Rhône-Alpes,7.69,-0.77
2018-04,Automobile,Nouvelle-Aquitaine,7.46,3.06
2018-05,Commerce,Occitanie,8.21,1.76
2018-05,Commerce,Île-de-France,7.68,2.5
2018-05,Commerce,Provence-Alpes-Côte d'Azur,7.92,2.54
2018-05,Commerce,Auvergne-Rhône-Alpes,7.36,-0.01
2018-05,Commerce,Nouvelle-Aquitaine,7.76,2.07
2018-05,Industrie,Occitanie,5.49,-1.33
2018-05,Industrie,Île-de-France,3.98,1.47
2018-05,Industrie,Provence-Alpes-Côte d'Azur,5.01,3.19
2018-05,Industrie,Auvergne-Rhône-Alpes,4.8,0.54
2018-05,Industrie,Nouvelle-Aquitaine,4.02,1.48
2018-05,BTP,Occitanie,10.75,0.59
2018-05,BTP,Île-de-France,9.43,2.75
2018-05,BTP,Provence-Alpes-Côte d'Azur,8.66,2.24
2018-05,BTP,Auvergne-Rhône-Alpes,8.95,0.26
2018-05,BTP,Nouvelle-Aquitaine,8.77,1
2018-05,Technologies,Occitanie,5.12,2.22
2018-05,Technologies,Île-de-France,4.1,-1.13
2018-05,Technologies,Provence-Alpes-Côte d'Azur,4.95,1.41
2018-05,Technologies,Auvergne-Rhône-Alpes,4.19,2.79
2018-05,Technologies,Nouvelle-Aquitaine,4.07,0.67
2018-05,Agroalimentaire,Occitanie,4.74,-0.3
2018-05,Agroalimentaire,Île-de-France,3.91,2.28
2018-05,Agroalimentaire,Provence-Alpes-Côte d'Azur,4.98,1.68
2018-05,Agroalimentaire,Auvergne-Rhône-Alpes,4.09,0.58
2018-05,Agroalimentaire,Nouvelle-Aquitaine,4.31,1.26
2018-05,Transport,Occitanie,5.21,0.49
2018-05,Transport,Île-de-France,4.2,2.47
2018-05,Transport,Provence-Alpes-Côte d'Azur,4.14,0.31
2018-05,Transport,Auvergne-Rhône-Alpes,4.48,-0.39
2018-05,Transport,Nouvelle-Aquitaine,4.59,1.2
2018-05,Immobilier,Occitanie,5.63,-0.11
2018-05,Immobilier,Île-de-France,5.07,1.59
2018-05,Immobilier,Provence-Alpes-Côte d'Azur,4.23,1.16
2018-05,Immobilier,Auvergne-Rhône-Alpes,4.72,2
2018-05,Immobilier,Nouvelle-Aquitaine,3.96,1.35
2018-05,Aéronautique,Occitanie,5.04,2.75
2018-05,Aéronautique,Île-de-France,4.24,2.25
2018-05,Aéronautique,Provence-Alpes-Côte d'Azur,4.63,0.16
2018-05,Aéronautique,Auvergne-Rhône-Alpes,4.66,1.42
2018-05,Aéronautique,Nouvelle-Aquitaine,4.71,1.89
2018-05,Automobile,Occitanie,8.59,2.44
2018-05,Automobile,Île-de-France,7.65,2.75
2018-05,Automobile,Provence-Alpes-Côte d'Azur,7.68,-0.05
2018-05,Automobile,Auvergne-Rhône-Alpes,7.43,1.22
2018-05,Automobile,Nouvelle-Aquitaine,7.78,-1.08
2018-06,Commerce,Occitanie,8.15,2.01
2018-06,Commerce,Île-de-France,7.11,-0.88
2018-06,Commerce,Provence-Alpes-Côte d'Azur,7.55,3.07
2018-06,Commerce,Auvergne-Rhône-Alpes,7.54,2.79
2018-06,Commerce,Nouvelle-Aquitaine,7.9,-0.29
2018-06,Industrie,Occitanie,5.43,0.76
2018-06,Industrie,Île-de-France,4.87,2.01
2018-06,Industrie,Provence-Alpes-Côte d'Azur,4.31,-0.96
2018-06,Industrie,Auvergne-Rhône-Alpes,5.06,-0.84
2018-06,Industrie,Nouvelle-Aquitaine,5.06,2.54
2018-06,BTP,Occitanie,10.57,3.11
2018-06,BTP,Île-de-France,9.76,2.28
2018-06,BTP,Provence-Alpes-Côte d'Azur,9.04,2.22
2018-06,BTP,Auvergne-Rhône-Alpes,8.62,1.02
2018-06,BTP,Nouvelle-Aquitaine,9.15,1.66
2018-06,Technologies,Occitanie,5.25,1.25
2018-06,Technologies,Île-de-France,4.89,2.92
2018-06,Technologies,Provence-Alpes-Côte d'Azur,4.03,-0.4
2018-06,Technologies,Auvergne-Rhône-Alpes,3.93,2.66
2018-06,Technologies,Nouvelle-Aquitaine,4.57,2.8
2018-06,Agroalimentaire,Occitanie,4.71,-1.2
2018-06,Agroalimentaire,Île-de-France,4.89,2.77
2018-06,Agroalimentaire,Provence-Alpes-Côte d'Azur,4.26,0.42
2018-06,Agroalimentaire,Auvergne-Rhône-Alpes,4.07,2.95
2018-06,Agroalimentaire,Nouvelle-Aquitaine,4.27,0.82
2018-06,Transport,Occitanie,4.56,2.67
2018-06,Transport,Île-de-France,4.06,0.63
2018-06,Transport,Provence-Alpes-Côte d'Azur,4.7,1.99
2018-06,Transport,Auvergne-Rhône-Alpes,5.04,0.47
2018-06,Transport,Nouvelle-Aquitaine,4.79,-0.77
2018-06,Immobilier,Occitanie,4.94,-1.03
2018-06,Immobilier,Île-de-France,4.49,0.42
2018-06,Immobilier,Provence-Alpes-Côte d'Azur,5.04,-1.35
2018-06,Immobilier,Auvergne-Rhône-Alpes,4.34,0.58
2018-06,Immobilier,Nouvelle-Aquitaine,5.04,2.52
2018-06,Aéronautique,Occitanie,4.56,1.72
2018-06,Aéronautique,Île-de-France,4.55,3.1
2018-06,Aéronautique,Provence-Alpes-Côte d'Azur,4.33,0.37
2018-06,Aéronautique,Auvergne-Rhône-Alpes,4.13,-0.93
2018-06,Aéronautique,Nouvelle-Aquitaine,4.92,0.64
2018-06,Automobile,Occitanie,8.6,1.52
2018-06,Automobile,Île-de-France,7.62,-1.4
2018-06,Automobile,Provence-Alpes-Côte d'Azur,7.84,-0.36
2018-06,Automobile,Auvergne-Rhône-Alpes,7.05,1.15
2018-06,Automobile,Nouvelle-Aquitaine,6.98,2.1
2018-07,Commerce,Occitanie,8.05,-0.49
2018-07,Commerce,Île-de-France,7.94,0.04
2018-07,Commerce,Provence-Alpes-Côte d'Azur,7.08,2.73
2018-07,Commerce,Auvergne-Rhône-Alpes,6.9,2.53
2018-07,Commerce,Nouvelle-Aquitaine,7.07,-0.89
2018-07,Industrie,Occitanie,4.74,-0.68
2018-07,Industrie,Île-de-France,4.69,-1.38
2018-07,Industrie,Provence-Alpes-Côte d'Azur,3.92,2.21
2018-07,Industrie,Auvergne-Rhône-Alpes,4.19,0.02
2018-07,Industrie,Nouvelle-Aquitaine,4.11,-1.25
2018-07,BTP,Occitanie,10.59,0.97
2018-07,BTP,Île-de-France,9.49,0.74
2018-07,BTP,Provence-Alpes-Côte d'Azur,9.53,0.91
2018-07,BTP,Auvergne-Rhône-Alpes,8.73,0.87
2018-07,BTP,Nouvelle-Aquitaine,9.73,-1.3
2018-07,Technologies,Occitanie,5.38,2.57
2018-07,Technologies,Île-de-France,4.53,0.65
2018-07,Technologies,Provence-Alpes-Côte d'Azur,5.06,-1.21
2018-07,Technologies,Auvergne-Rhône-Alpes,4.47,0.39
2018-07,Technologies,Nouvelle-Aquitaine,4.72,0.8
2018-07,Agroalimentaire,Occitanie,5.53,-1.15
2018-07,Agroalimentaire,Île-de-France,4,1.36
2018-07,Agroalimentaire,Provence-Alpes-Côte d'Azur,3.98,-0.21
2018-07,Agroalimentaire,Auvergne-Rhône-Alpes,4.66,1.08
2018-07,Agroalimentaire,Nouvelle-Aquitaine,4.29,3.17
2018-07,Transport,Occitanie,5.08,0.63
2018-07,Transport,Île-de-France,4.63,-1.03
2018-07,Transport,Provence-Alpes-Côte d'Azur,4.74,2.51
2018-07,Transport,Auvergne-Rhône-Alpes,4.68,2.11
2018-07,Transport,Nouvelle-Aquitaine,4.77,-0.49
2018-07,Immobilier,Occitanie,4.98,-0.43
2018-07,Immobilier,Île-de-France,4.31,0.63
2018-07,Immobilier,Provence-Alpes-Côte d'Azur,4.4,-1.05
2018-07,Immobilier,Auvergne-Rhône-Alpes,4.41,1.63
2018-07,Immobilier,Nouvelle-Aquitaine,4.35,-0.78
2018-07,Aéronautique,Occitanie,5.55,-1.18
2018-07,Aéronautique,Île-de-France,4.9,-1.06
2018-07,Aéronautique,Provence-Alpes-Côte d'Azur,4.02,1.97
2018-07,Aéronautique,Auvergne-Rhône-Alpes,4.87,1.11
2018-07,Aéronautique,Nouvelle-Aquitaine,4.6,1.14
2018-07,Automobile,Occitanie,8.2,-0.93
2018-07,Automobile,Île-de-France,7.32,1.63
2018-07,Automobile,Provence-Alpes-Côte d'Azur,7.8,2.58
2018-07,Automobile,Auvergne-Rhône-Alpes,7.77,3.05
2018-07,Automobile,Nouvelle-Aquitaine,7.62,0.15
2018-08,Commerce,Occitanie,8.49,-0.5
2018-08,Commerce,Île-de-France,7.69,-0.45
2018-08,Commerce,Provence-Alpes-Côte d'Azur,7.03,2.47
2018-08,Commerce,Auvergne-Rhône-Alpes,7.34,2.08
2018-08,Commerce,Nouvelle-Aquitaine,7.59,2.29
2018-08,Industrie,Occitanie,5.45,3.08
2018-08,Industrie,Île-de-France,4.88,1.38
2018-08,Industrie,Provence-Alpes-Côte d'Azur,4.67,-1.38
2018-08,Industrie,Auvergne-Rhône-Alpes,5.01,2.4
2018-08,Industrie,Nouvelle-Aquitaine,4.22,-0.65
2018-08,BTP,Occitanie,10.55,-0.05
2018-08,BTP,Île-de-France,9.01,-1.47
2018-08,BTP,Provence-Alpes-Côte d'Azur,9.64,1.16
2018-08,BTP,Auvergne-Rhône-Alpes,9.08,-0.83
2018-08,BTP,Nouvelle-Aquitaine,9.36,-1.36
2018-08,Technologies,Occitanie,5.34,-0.49
2018-08,Technologies,Île-de-France,4.4,0.1
2018-08,Technologies,Provence-Alpes-Côte d'Azur,4.34,1.89
2018-08,Technologies,Auvergne-Rhône-Alpes,4.83,1.17
2018-08,Technologies,Nouvelle-Aquitaine,4,-1.25
2018-08,Agroalimentaire,Occitanie,4.63,1.4
2018-08,Agroalimentaire,Île-de-France,4.71,-0.22
2018-08,Agroalimentaire,Provence-Alpes-Côte d'Azur,4.69,0.78
2018-08,Agroalimentaire,Auvergne-Rhône-Alpes,4.43,-0.22
2018-08,Agroalimentaire,Nouvelle-Aquitaine,4.81,-0.97
2018-08,Transport,Occitanie,4.96,-0.17
2018-08,Transport,Île-de-France,4.71,0.79
2018-08,Transport,Provence-Alpes-Côte d'Azur,4.7,-1.29
2018-08,Transport,Auvergne-Rhône-Alpes,4.37,1.32
2018-08,Transport,Nouvelle-Aquitaine,3.91,-0.08
2018-08,Immobilier,Occitanie,4.69,-0.85
2018-08,Immobilier,Île-de-France,4.21,0.04
2018-08,Immobilier,Provence-Alpes-Côte d'Azur,3.91,2.01
2018-08,Immobilier,Auvergne-Rhône-Alpes,4.11,0.29
2018-08,Immobilier,Nouvelle-Aquitaine,4.74,0.85
2018-08,Aéronautique,Occitanie,5.44,2.29
2018-08,Aéronautique,Île-de-France,3.99,2.55
2018-08,Aéronautique,Provence-Alpes-Côte d'Azur,3.95,-1.41
2018-08,Aéronautique,Auvergne-Rhône-Alpes,5.01,2.55
2018-08,Aéronautique,Nouvelle-Aquitaine,4.59,1.19
2018-08,Automobile,Occitanie,8.65,0.46
2018-08,Automobile,Île-de-France,7.04,-1.4
2018-08,Automobile,Provence-Alpes-Côte d'Azur,7.29,2.27
2018-08,Automobile,Auvergne-Rhône-Alpes,7.64,2.41
2018-08,Automobile,Nouvelle-Aquitaine,8,-1.09
2018-09,Commerce,Occitanie,8.81,-0.36
2018-09,Commerce,Île-de-France,7.61,0.96
2018-09,Commerce,Provence-Alpes-Côte d'Azur,7.37,-0.04
2018-09,Commerce,Auvergne-Rhône-Alpes,7.31,0.07
2018-09,Commerce,Nouvelle-Aquitaine,7.1,0.9
2018-09,Industrie,Occitanie,4.58,0.9
2018-09,Industrie,Île-de-France,4.99,0.14
2018-09,Industrie,Provence-Alpes-Côte d'Azur,4.77,2.35
2018-09,Industrie,Auvergne-Rhône-Alpes,4.88,-0.39
2018-09,Industrie,Nouvelle-Aquitaine,4.08,-0.57
2018-09,BTP,Occitanie,10.43,2.07
2018-09,BTP,Île-de-France,9.39,-0.67
2018-09,BTP,Provence-Alpes-Côte d'Azur,9.53,0.82
2018-09,BTP,Auvergne-Rhône-Alpes,9.51,2.07
2018-09,BTP,Nouvelle-Aquitaine,9.14,2.84
2018-09,Technologies,Occitanie,5.12,1.49
2018-09,Technologies,Île-de-France,4.65,2.56
2018-09,Technologies,Provence-Alpes-Côte d'Azur,4.65,-0.79
2018-09,Technologies,Auvergne-Rhône-Alpes,3.98,0.58
2018-09,Technologies,Nouvelle-Aquitaine,4.26,-0.21
2018-09,Agroalimentaire,Occitanie,4.51,0.88
2018-09,Agroalimentaire,Île-de-France,4.27,0.62
2018-09,Agroalimentaire,Provence-Alpes-Côte d'Azur,3.97,2.41
2018-09,Agroalimentaire,Auvergne-Rhône-Alpes,3.99,2.56
2018-09,Agroalimentaire,Nouvelle-Aquitaine,4.93,1.39
2018-09,Transport,Occitanie,5.05,0.67
2018-09,Transport,Île-de-France,4.57,2.22
2018-09,Transport,Provence-Alpes-Côte d'Azur,4.98,0.61
2018-09,Transport,Auvergne-Rhône-Alpes,4.87,1.56
2018-09,Transport,Nouvelle-Aquitaine,4.29,0.74
2018-09,Immobilier,Occitanie,4.62,-1.21
2018-09,Immobilier,Île-de-France,4.02,2.73
2018-09,Immobilier,Provence-Alpes-Côte d'Azur,4.31,1.86
2018-09,Immobilier,Auvergne-Rhône-Alpes,4.51,-0.69
2018-09,Immobilier,Nouvelle-Aquitaine,4.2,0.56
2018-09,Aéronautique,Occitanie,4.97,0.96
2018-09,Aéronautique,Île-de-France,4.09,0.25
2018-09,Aéronautique,Provence-Alpes-Côte d'Azur,4.24,0.42
2018-09,Aéronautique,Auvergne-Rhône-Alpes,4.31,1.31
2018-09,Aéronautique,Nouvelle-Aquitaine,4.85,1.54
2018-09,Automobile,Occitanie,7.88,-1.06
2018-09,Automobile,Île-de-France,7.71,-0.16
2018-09,Automobile,Provence-Alpes-Côte d'Azur,7.77,1.59
2018-09,Automobile,Auvergne-Rhône-Alpes,7.99,2.6
2018-09,Automobile,Nouvelle-Aquitaine,7.3,1.24
2018-10,Commerce,Occitanie,7.97,0.14
2018-10,Commerce,Île-de-France,8.06,1.78
2018-10,Commerce,Provence-Alpes-Côte d'Azur,7.37,1.3
2018-10,Commerce,Auvergne-Rhône-Alpes,8.03,-0.04
2018-10,Commerce,Nouvelle-Aquitaine,7.35,2.22
2018-10,Industrie,Occitanie,5.42,1.65
2018-10,Industrie,Île-de-France,4.89,1.97
2018-10,Industrie,Provence-Alpes-Côte d'Azur,4.72,0.97
2018-10,Industrie,Auvergne-Rhône-Alpes,4.68,0.49
2018-10,Industrie,Nouvelle-Aquitaine,4.33,0.2
2018-10,BTP,Occitanie,9.92,-0.49
2018-10,BTP,Île-de-France,9.74,0.79
2018-10,BTP,Provence-Alpes-Côte d'Azur,8.87,-0.85
2018-10,BTP,Auvergne-Rhône-Alpes,8.69,2.47
2018-10,BTP,Nouvelle-Aquitaine,8.72,2.12
2018-10,Technologies,Occitanie,5.44,2.65
2018-10,Technologies,Île-de-France,3.95,0.08
2018-10,Technologies,Provence-Alpes-Côte d'Azur,4.82,-0.88
2018-10,Technologies,Auvergne-Rhône-Alpes,4.35,-0.74
2018-10,Technologies,Nouvelle-Aquitaine,4.9,2.12
2018-10,Agroalimentaire,Occitanie,5.41,-0.72
2018-10,Agroalimentaire,Île-de-France,4.43,0.43
2018-10,Agroalimentaire,Provence-Alpes-Côte d'Azur,4.71,-0.38
2018-10,Agroalimentaire,Auvergne-Rhône-Alpes,4.43,-0.16
2018-10,Agroalimentaire,Nouvelle-Aquitaine,4.8,0.61
2018-10,Transport,Occitanie,5.08,-0.05
2018-10,Transport,Île-de-France,4.87,0.7
2018-10,Transport,Provence-Alpes-Côte d'Azur,4.9,0.23
2018-10,Transport,Auvergne-Rhône-Alpes,5.04,3.13
2018-10,Transport,Nouvelle-Aquitaine,4.45,-0.18
2018-10,Immobilier,Occitanie,4.9,0.98
2018-10,Immobilier,Île-de-France,5.06,2.34
2018-10,Immobilier,Provence-Alpes-Côte d'Azur,4.86,-0.85
2018-10,Immobilier,Auvergne-Rhône-Alpes,4.2,1.51
2018-10,Immobilier,Nouvelle-Aquitaine,4.95,1.11
2018-10,Aéronautique,Occitanie,4.56,2.48
2018-10,Aéronautique,Île-de-France,4.92,-0.16
2018-10,Aéronautique,Provence-Alpes-Côte d'Azur,4.82,-0.22
2018-10,Aéronautique,Auvergne-Rhône-Alpes,4.99,-0.81
2018-10,Aéronautique,Nouvelle-Aquitaine,4.42,2.95
2018-10,Automobile,Occitanie,8.07,0.62
2018-10,Automobile,Île-de-France,7.32,-1.37
2018-10,Automobile,Provence-Alpes-Côte d'Azur,6.96,0.86
