id_parcelle,id_exploitation,nom_parcelle,surface_ha,culture_actuelle,code_ciqual,type_sol,irrigation_active,score_sante_sol,annee_plantation
PAR_EXP_310009_2,EXP_310009,Champ chemin #2,52.5,"Blé tendre, cru",11084,Granitique,False,86,2017
PAR_EXP_310009_3,EXP_310009,Champ rue #3,52.5,"Maïs grain, cru",11015,Sableux,False,45,2022
PAR_EXP_310010_1,EXP_310010,Champ avenue #1,88.3,"Carotte, crue",20008,Sableux,True,53,2024
PAR_EXP_310010_2,EXP_310010,Champ chemin #2,88.3,"Pomme de terre, crue",20038,Granitique,True,32,2016
PAR_EXP_310010_3,EXP_310010,Champ boulevard #3,88.3,"Tomate, crue",20047,Alluvial,True,68,2023
PAR_EXP_310011_1,EXP_310011,Champ chemin #1,23.5,Graines de tournesol,15011,Granitique,False,70,2021
PAR_EXP_310011_2,EXP_310011,Champ boulevard #2,23.5,"Maïs grain, cru",11015,Alluvial,True,91,2016
PAR_EXP_310011_3,EXP_310011,Champ rue #3,23.5,"Maïs grain, cru",11015,Sableux,False,78,2021
PAR_EXP_310012_1,EXP_310012,Champ rue #1,103.2,"Pois chiche, sec",20042,Argilo-calcaire,False,50,2024
PAR_EXP_310012_2,EXP_310012,Champ rue #2,103.2,"Blé tendre, cru",11084,Granitique,False,45,2022
PAR_EXP_310012_3,EXP_310012,Champ avenue #3,103.2,Graines de colza,15003,Limoneux,True,66,2019
PAR_EXP_310013_1,EXP_310013,Champ avenue #1,103.7,Graines de tournesol,15011,Limoneux,True,44,2022
PAR_EXP_310013_2,EXP_310013,Champ chemin #2,103.7,"Maïs grain, cru",11015,Sableux,False,67,2023
PAR_EXP_310013_3,EXP_310013,Champ avenue #3,103.7,"Blé tendre, cru",11084,Argilo-calcaire,False,34,2017
PAR_EXP_310014_1,EXP_310014,Champ avenue #1,105.9,"Tomate, crue",20047,Granitique,True,86,2015
PAR_EXP_310014_2,EXP_310014,Champ avenue #2,105.9,"Pomme de terre, crue",20038,Granitique,True,90,2020
PAR_EXP_310014_3,EXP_310014,Champ rue #3,105.9,"Tomate, crue",20047,Limoneux,True,45,2024
PAR_EXP_310015_1,EXP_310015,Champ rue #1,53.6,"Tomate, crue",20047,Alluvial,True,68,2020
PAR_EXP_310015_2,EXP_310015,Champ rue #2,53.6,"Carotte, crue",20008,Alluvial,True,33,2016
PAR_EXP_310015_3,EXP_310015,Champ rue #3,53.6,"Carotte, crue",20008,Argilo-calcaire,True,40,2021
PAR_EXP_310016_1,EXP_310016,Champ rue #1,34.0,"Poire, crue",13032,Limoneux,True,87,2022
PAR_EXP_310016_2,EXP_310016,Champ boulevard #2,34.0,"Poire, crue",13032,Argilo-calcaire,True,47,2016
PAR_EXP_310016_3,EXP_310016,Champ rue #3,34.0,"Pomme, crue",13034,Alluvial,True,79,2017
PAR_EXP_310017_1,EXP_310017,Champ avenue #1,25.2,"Tomate, crue",20047,Alluvial,True,75,2022
PAR_EXP_310017_2,EXP_310017,Champ rue #2,25.2,"Pomme de terre, crue",20038,Argilo-calcaire,True,57,2022
PAR_EXP_310017_3,EXP_310017,Champ chemin #3,25.2,"Carotte, crue",20008,Argilo-calcaire,True,65,2015
PAR_EXP_310018_1,EXP_310018,Champ rue #1,26.4,"Raisin de cuve rouge, cru",13012,Limoneux,False,68,2022
PAR_EXP_310018_2,EXP_310018,Champ rue #2,26.4,"Raisin de cuve blanc, cru",13013,Sableux,False,47,2016
PAR_EXP_310018_3,EXP_310018,Champ rue #3,26.4,"Raisin de cuve blanc, cru",13013,Granitique,False,55,2023
PAR_EXP_310019_1,EXP_310019,Champ avenue #1,92.9,"Tomate, crue",20047,Limoneux,True,26,2018
PAR_EXP_310019_2,EXP_310019,Champ rue #2,92.9,"Carotte, crue",20008,Granitique,True,72,2021
PAR_EXP_310019_3,EXP_310019,Champ avenue #3,92.9,"Pomme de terre, crue",20038,Alluvial,True,70,2015
PAR_EXP_310020_1,EXP_310020,Champ rue #1,25.8,Graines de tournesol,15011,Sableux,False,63,2017
PAR_EXP_310020_2,EXP_310020,Champ rue #2,25.8,"Maïs grain, cru",11015,Limoneux,False,53,2022
PAR_EXP_310020_3,EXP_310020,Champ boulevard #3,25.8,"Maïs grain, cru",11015,Argilo-calcaire,False,48,2017
PAR_EXP_310021_1,EXP_310021,Champ rue #1,80.8,"Pomme de terre, crue",20038,Granitique,True,58,2018
PAR_EXP_310021_2,EXP_310021,Champ rue #2,80.8,"Carotte, crue",20008,Alluvial,True,26,2016
PAR_EXP_310021_3,EXP_310021,Champ boulevard #3,80.8,"Carotte, crue",20008,Sableux,True,65,2019
PAR_EXP_310022_1,EXP_310022,Champ rue #1,27.7,"Blé tendre, cru",11084,Granitique,True,66,2015
PAR_EXP_310022_2,EXP_310022,Champ boulevard #2,27.7,Graines de tournesol,15011,Limoneux,False,45,2020
PAR_EXP_310022_3,EXP_310022,Champ chemin #3,27.7,Graines de tournesol,15011,Sableux,True,46,2017
PAR_EXP_310023_1,EXP_310023,Champ avenue #1,46.6,"Pomme de terre, crue",20038,Granitique,True,62,2018
PAR_EXP_310023_2,EXP_310023,Champ chemin #2,46.6,"Tomate, crue",20047,Argilo-calcaire,True,71,2015
PAR_EXP_310023_3,EXP_310023,Champ rue #3,46.6,"Tomate, crue",20047,Granitique,True,85,2015
PAR_EXP_310024_1,EXP_310024,Champ chemin #1,82.3,"Pomme, crue",13034,Argilo-calcaire,True,49,2021
PAR_EXP_310024_2,EXP_310024,Champ chemin #2,82.3,"Pomme, crue",13034,Limoneux,True,76,2016
PAR_EXP_310024_3,EXP_310024,Champ avenue #3,82.3,"Poire, crue",13032,Granitique,True,64,2017
PAR_EXP_310025_1,EXP_310025,Champ rue #1,33.6,"Raisin de cuve rouge, cru",13012,Alluvial,False,43,2023
PAR_EXP_310025_2,EXP_310025,Champ rue #2,33.6,"Raisin de cuve blanc, cru",13013,Sableux,False,58,2018
PAR_EXP_310025_3,EXP_310025,Champ rue #3,33.6,"Raisin de cuve blanc, cru",13013,Limoneux,True,43,2015
PAR_EXP_310026_1,EXP_310026,Champ chemin #1,98.0,"Pois chiche, sec",20042,Limoneux,True,57,2021
PAR_EXP_310026_2,EXP_310026,Champ chemin #2,98.0,"Maïs grain, cru",11015,Alluvial,False,91,2017
PAR_EXP_310026_3,EXP_310026,Champ avenue #3,98.0,"Pois chiche, sec",20042,Granitique,False,62,2017
PAR_EXP_310027_1,EXP_310027,Champ rue #1,71.9,"Blé tendre, cru",11084,Limoneux,False,93,2019
PAR_EXP_310027_2,EXP_310027,Champ avenue #2,71.9,"Blé tendre, cru",11084,Granitique,False,61,2015
PAR_EXP_310027_3,EXP_310027,Champ rue #3,71.9,"Maïs grain, cru",11015,Granitique,False,82,2016
PAR_EXP_310028_1,EXP_310028,Champ rue #1,85.5,"Blé tendre, cru",11084,Alluvial,False,50,2024
PAR_EXP_310028_2,EXP_310028,Champ rue #2,85.5,"Blé tendre, cru",11084,Granitique,True,47,2023
PAR_EXP_310028_3,EXP_310028,Champ rue #3,85.5,Graines de colza,15003,Limoneux,False,82,2022
PAR_EXP_310029_1,EXP_310029,Champ rue #1,76.0,"Poire, crue",13032,Argilo-calcaire,True,55,2015
PAR_EXP_310029_2,EXP_310029,Champ rue #2,76.0,"Pêche, crue",13030,Limoneux,True,50,2019
PAR_EXP_310029_3,EXP_310029,Champ rue #3,76.0,"Pêche, crue",13030,Granitique,True,70,2015
PAR_EXP_310030_1,EXP_310030,Champ rue #1,77.0,"Raisin de cuve rouge, cru",13012,Granitique,False,75,2018
PAR_EXP_310030_2,EXP_310030,Champ avenue #2,77.0,"Raisin de cuve blanc, cru",13013,Alluvial,True,53,2016
PAR_EXP_310030_3,EXP_310030,Champ avenue #3,77.0,"Raisin de cuve blanc, cru",13013,Alluvial,False,61,2024
PAR_EXP_310031_1,EXP_310031,Champ rue #1,20.3,"Carotte, crue",20008,Limoneux,True,94,2020
PAR_EXP_310031_2,EXP_310031,Champ chemin #2,20.3,"Carotte, crue",20008,Alluvial,True,84,2020
PAR_EXP_310031_3,EXP_310031,Champ chemin #3,20.3,"Tomate, crue",20047,Argilo-calcaire,True,93,2019
PAR_EXP_310032_1,EXP_310032,Champ chemin #1,48.3,"Blé tendre, cru",11084,Granitique,True,26,2021
PAR_EXP_310032_2,EXP_310032,Champ chemin #2,48.3,Graines de colza,15003,Granitique,False,44,2020
PAR_EXP_310032_3,EXP_310032,Champ boulevard #3,48.3,"Maïs grain, cru",11015,Limoneux,True,32,2015
PAR_EXP_310033_1,EXP_310033,Champ boulevard #1,70.2,"Pêche, crue",13030,Limoneux,True,93,2015
PAR_EXP_310033_2,EXP_310033,Champ avenue #2,70.2,"Pomme, crue",13034,Granitique,True,50,2020
PAR_EXP_310033_3,EXP_310033,Champ boulevard #3,70.2,"Pomme, crue",13034,Sableux,True,81,2022
PAR_EXP_310034_1,EXP_310034,Champ rue #1,11.2,"Tomate, crue",20047,Alluvial,True,65,2022
PAR_EXP_310034_2,EXP_310034,Champ chemin #2,11.2,"Carotte, crue",20008,Granitique,True,41,2018
PAR_EXP_310034_3,EXP_310034,Champ chemin #3,11.2,"Carotte, crue",20008,Alluvial,True,55,2023
PAR_EXP_310035_1,EXP_310035,Champ chemin #1,80.4,"Pêche, crue",13030,Sableux,True,80,2023
PAR_EXP_310035_2,EXP_310035,Champ rue #2,80.4,"Pomme, crue",13034,Limoneux,True,94,2020
PAR_EXP_310035_3,EXP_310035,Champ avenue #3,80.4,"Pêche, crue",13030,Granitique,True,53,2024
PAR_EXP_310036_1,EXP_310036,Champ rue #1,75.2,"Pêche, crue",13030,Granitique,True,55,2022
PAR_EXP_310036_2,EXP_310036,Champ rue #2,75.2,"Pomme, crue",13034,Sableux,True,62,2024
PAR_EXP_310036_3,EXP_310036,Champ chemin #3,75.2,"Pomme, crue",13034,Granitique,True,66,2018
PAR_EXP_310037_1,EXP_310037,Champ rue #1,22.0,"Tomate, crue",20047,Sableux,True,86,2016
PAR_EXP_310037_2,EXP_310037,Champ boulevard #2,22.0,"Pomme de terre, crue",20038,Argilo-calcaire,True,57,2016
PAR_EXP_310037_3,EXP_310037,Champ chemin #3,22.0,"Carotte, crue",20008,Limoneux,True,50,2016
PAR_EXP_310038_1,EXP_310038,Champ rue #1,62.2,"Pomme, crue",13034,Limoneux,True,58,2020
PAR_EXP_310038_2,EXP_310038,Champ rue #2,62.2,"Poire, crue",13032,Alluvial,True,46,2022
PAR_EXP_310038_3,EXP_310038,Champ rue #3,62.2,"Pêche, crue",13030,Sableux,True,83,2021
PAR_EXP_310039_1,EXP_310039,Champ avenue #1,76.0,"Raisin de cuve rouge, cru",13012,Limoneux,False,75,2015
PAR_EXP_310039_2,EXP_310039,Champ rue #2,76.0,"Raisin de cuve rouge, cru",13012,Limoneux,False,52,2019
PAR_EXP_310039_3,EXP_310039,Champ rue #3,76.0,"Raisin de cuve rouge, cru",13012,Sableux,True,57,2021
PAR_EXP_310040_1,EXP_310040,Champ boulevard #1,62.5,"Maïs grain, cru",11015,Alluvial,False,51,2016
PAR_EXP_310040_2,EXP_310040,Champ boulevard #2,62.5,"Maïs grain, cru",11015,Granitique,True,36,2018
PAR_EXP_310040_3,EXP_310040,Champ avenue #3,62.5,"Maïs grain, cru",11015,Limoneux,False,43,2022
PAR_EXP_310041_1,EXP_310041,Champ boulevard #1,99.4,"Raisin de cuve rouge, cru",13012,Limoneux,False,81,2019
PAR_EXP_310041_2,EXP_310041,Champ avenue #2,99.4,"Raisin de cuve blanc, cru",13013,Sableux,False,56,2018
PAR_EXP_310041_3,EXP_310041,Champ rue #3,99.4,"Raisin de cuve rouge, cru",13012,Limoneux,False,85,2016
PAR_EXP_310042_1,EXP_310042,Champ boulevard #1,29.9,"Raisin de cuve rouge, cru",13012,Limoneux,True,75,2016
PAR_EXP_310042_2,EXP_310042,Champ chemin #2,29.9,"Raisin de cuve blanc, cru",13013,Limoneux,False,86,2015
PAR_EXP_310042_3,EXP_310042,Champ chemin #3,29.9,"Raisin de cuve blanc, cru",13013,Alluvial,False,76,2024
PAR_EXP_310043_1,EXP_310043,Champ rue #1,62.8,"Raisin de cuve rouge, cru",13012,Sableux,False,53,2019
PAR_EXP_310043_2,EXP_310043,Champ rue #2,62.8,"Raisin de cuve rouge, cru",13012,Argilo-calcaire,False,57,2019
PAR_EXP_310043_3,EXP_310043,Champ rue #3,62.8,"Raisin de cuve blanc, cru",13013,Alluvial,True,46,2020
PAR_EXP_310044_1,EXP_310044,Champ avenue #1,90.3,"Raisin de cuve rouge, cru",13012,Argilo-calcaire,True,51,2021
PAR_EXP_310044_2,EXP_310044,Champ rue #2,90.3,"Raisin de cuve rouge, cru",13012,Limoneux,False,65,2021
PAR_EXP_310044_3,EXP_310044,Champ avenue #3,90.3,"Raisin de cuve rouge, cru",13012,Sableux,False,78,2021
PAR_EXP_310045_1,EXP_310045,Champ rue #1,45.4,"Pois chiche, sec",20042,Sableux,True,28,2016
PAR_EXP_310045_2,EXP_310045,Champ rue #2,45.4,"Blé tendre, cru",11084,Alluvial,False,61,2024
PAR_EXP_310045_3,EXP_310045,Champ avenue #3,45.4,"Pois chiche, sec",20042,Granitique,False,31,2017
PAR_EXP_310046_1,EXP_310046,Champ rue #1,8.4,"Maïs grain, cru",11015,Limoneux,False,87,2023
PAR_EXP_310046_2,EXP_310046,Champ boulevard #2,8.4,"Maïs grain, cru",11015,Sableux,False,74,2024
PAR_EXP_310046_3,EXP_310046,Champ rue #3,8.4,Graines de tournesol,15011,Granitique,False,57,2017
PAR_EXP_310047_1,EXP_310047,Champ avenue #1,67.8,"Tomate, crue",20047,Sableux,True,80,2021
PAR_EXP_310047_2,EXP_310047,Champ chemin #2,67.8,"Pomme de terre, crue",20038,Alluvial,True,74,2020
PAR_EXP_310047_3,EXP_310047,Champ chemin #3,67.8,"Pomme de terre, crue",20038,Sableux,True,53,2024
PAR_EXP_310048_1,EXP_310048,Champ rue #1,28.8,"Tomate, crue",20047,Alluvial,True,68,2021
PAR_EXP_310048_2,EXP_310048,Champ rue #2,28.8,"Pomme de terre, crue",20038,Argilo-calcaire,True,27,2018
PAR_EXP_310048_3,EXP_310048,Champ rue #3,28.8,"Tomate, crue",20047,Alluvial,True,44,2024
PAR_EXP_310049_1,EXP_310049,Champ rue #1,37.8,"Carotte, crue",20008,Granitique,True,82,2022
PAR_EXP_310049_2,EXP_310049,Champ chemin #2,37.8,"Pomme de terre, crue",20038,Argilo-calcaire,True,55,2020
PAR_EXP_310049_3,EXP_310049,Champ boulevard #3,37.8,"Pomme de terre, crue",20038,Sableux,True,56,2015
PAR_EXP_310050_1,EXP_310050,Champ boulevard #1,42.3,"Poire, crue",13032,Limoneux,True,32,2023
PAR_EXP_310050_2,EXP_310050,Champ boulevard #2,42.3,"Poire, crue",13032,Alluvial,True,57,2019
PAR_EXP_310050_3,EXP_310050,Champ rue #3,42.3,"Pomme, crue",13034,Sableux,True,42,2020
PAR_EXP_310051_1,EXP_310051,Champ chemin #1,22.2,"Pêche, crue",13030,Sableux,True,68,2019
PAR_EXP_310051_2,EXP_310051,Champ rue #2,22.2,"Poire, crue",13032,Argilo-calcaire,True,64,2023
PAR_EXP_310051_3,EXP_310051,Champ chemin #3,22.2,"Poire, crue",13032,Alluvial,True,47,2015
PAR_EXP_310052_1,EXP_310052,Champ rue #1,89.8,"Raisin de cuve rouge, cru",13012,Alluvial,True,56,2024
PAR_EXP_310052_2,EXP_310052,Champ avenue #2,89.8,"Raisin de cuve rouge, cru",13012,Argilo-calcaire,False,94,2020
PAR_EXP_310052_3,EXP_310052,Champ avenue #3,89.8,"Raisin de cuve rouge, cru",13012,Argilo-calcaire,False,46,2019
PAR_EXP_310053_1,EXP_310053,Champ avenue #1,104.7,"Pomme de terre, crue",20038,Sableux,True,37,2020
PAR_EXP_310053_2,EXP_310053,Champ boulevard #2,104.7,"Carotte, crue",20008,Limoneux,True,61,2021
PAR_EXP_310053_3,EXP_310053,Champ rue #3,104.7,"Pomme de terre, crue",20038,Limoneux,True,60,2023
PAR_EXP_310054_1,EXP_310054,Champ rue #1,87.3,"Raisin de cuve rouge, cru",13012,Limoneux,True,37,2024
PAR_EXP_310054_2,EXP_310054,Champ avenue #2,87.3,"Raisin de cuve rouge, cru",13012,Limoneux,False,54,2021
PAR_EXP_310054_3,EXP_310054,Champ chemin #3,87.3,"Raisin de cuve blanc, cru",13013,Argilo-calcaire,False,52,2016
PAR_EXP_310055_1,EXP_310055,Champ rue #1,44.7,"Raisin de cuve blanc, cru",13013,Limoneux,True,59,2019
PAR_EXP_310055_2,EXP_310055,Champ avenue #2,44.7,"Raisin de cuve rouge, cru",13012,Argilo-calcaire,False,49,2020
PAR_EXP_310055_3,EXP_310055,Champ avenue #3,44.7,"Raisin de cuve rouge, cru",13012,Limoneux,False,48,2019
PAR_EXP_310056_1,EXP_310056,Champ avenue #1,60.8,"Maïs grain, cru",11015,Granitique,False,92,2016
PAR_EXP_310056_2,EXP_310056,Champ chemin #2,60.8,"Pois chiche, sec",20042,Granitique,False,64,2016
PAR_EXP_310056_3,EXP_310056,Champ chemin #3,60.8,"Pois chiche, sec",20042,Sableux,False,81,2015
PAR_EXP_310057_1,EXP_310057,Champ avenue #1,16.6,"Carotte, crue",20008,Sableux,True,42,2022
PAR_EXP_310057_2,EXP_310057,Champ rue #2,16.6,"Pomme de terre, crue",20038,Sableux,True,43,2017
PAR_EXP_310057_3,EXP_310057,Champ chemin #3,16.6,"Tomate, crue",20047,Alluvial,True,30,2015
PAR_EXP_310058_1,EXP_310058,Champ avenue #1,92.6,"Tomate, crue",20047,Alluvial,True,51,2024
PAR_EXP_310058_2,EXP_310058,Champ boulevard #2,92.6,"Carotte, crue",20008,Limoneux,True,72,2021
PAR_EXP_310058_3,EXP_310058,Champ boulevard #3,92.6,"Pomme de terre, crue",20038,Argilo-calcaire,True,62,2019
PAR_EXP_310059_1,EXP_310059,Champ rue #1,10.1,"Pois chiche, sec",20042,Alluvial,False,74,2024
PAR_EXP_310059_2,EXP_310059,Champ boulevard #2,10.1,"Maïs grain, cru",11015,Sableux,False,26,2015
PAR_EXP_310059_3,EXP_310059,Champ rue #3,10.1,Graines de tournesol,15011,Alluvial,False,42,2024
PAR_EXP_310060_1,EXP_310060,Champ chemin #1,32.0,"Pomme de terre, crue",20038,Alluvial,True,93,2015
PAR_EXP_310060_2,EXP_310060,Champ avenue #2,32.0,"Carotte, crue",20008,Argilo-calcaire,True,58,2018
PAR_EXP_310060_3,EXP_310060,Champ chemin #3,32.0,"Pomme de terre, crue",20038,Argilo-calcaire,True,58,2016
PAR_EXP_310061_1,EXP_310061,Champ rue #1,103.6,"Pomme de terre, crue",20038,Alluvial,True,59,2015
PAR_EXP_310061_2,EXP_310061,Champ boulevard #2,103.6,"Pomme de terre, crue",20038,Granitique,True,64,2015
PAR_EXP_310061_3,EXP_310061,Champ rue #3,103.6,"Pomme de terre, crue",20038,Argilo-calcaire,True,82,2017
PAR_EXP_310062_1,EXP_310062,Champ boulevard #1,73.1,"Tomate, crue",20047,Sableux,True,45,2016
PAR_EXP_310062_2,EXP_310062,Champ avenue #2,73.1,"Tomate, crue",20047,Granitique,True,56,2022
PAR_EXP_310062_3,EXP_310062,Champ chemin #3,73.1,"Carotte, crue",20008,Limoneux,True,70,2023
PAR_EXP_310063_1,EXP_310063,Champ rue #1,23.5,"Tomate, crue",20047,Granitique,True,62,2019
PAR_EXP_310063_2,EXP_310063,Champ boulevard #2,23.5,"Carotte, crue",20008,Sableux,True,30,2016
PAR_EXP_310063_3,EXP_310063,Champ rue #3,23.5,"Carotte, crue",20008,Alluvial,True,29,2017
PAR_EXP_310064_1,EXP_310064,Champ chemin #1,69.3,"Pomme, crue",13034,Argilo-calcaire,True,73,2024
PAR_EXP_310064_2,EXP_310064,Champ avenue #2,69.3,"Pêche, crue",13030,Alluvial,True,70,2020
PAR_EXP_310064_3,EXP_310064,Champ chemin #3,69.3,"Poire, crue",13032,Limoneux,True,54,2015
PAR_EXP_310065_1,EXP_310065,Champ rue #1,30.5,"Pêche, crue",13030,Limoneux,True,63,2019
PAR_EXP_310065_2,EXP_310065,Champ rue #2,30.5,"Poire, crue",13032,Granitique,True,76,2018
PAR_EXP_310065_3,EXP_310065,Champ chemin #3,30.5,"Pomme, crue",13034,Argilo-calcaire,True,85,2022
PAR_EXP_310066_1,EXP_310066,Champ avenue #1,59.7,"Poire, crue",13032,Granitique,True,26,2020
PAR_EXP_310066_2,EXP_310066,Champ avenue #2,59.7,"Poire, crue",13032,Limoneux,True,42,2020
PAR_EXP_310066_3,EXP_310066,Champ avenue #3,59.7,"Pêche, crue",13030,Argilo-calcaire,True,54,2023
PAR_EXP_310067_1,EXP_310067,Champ chemin #1,85.0,"Raisin de cuve blanc, cru",13013,Alluvial,False,27,2018
PAR_EXP_310067_2,EXP_310067,Champ rue #2,85.0,"Raisin de cuve blanc, cru",13013,Alluvial,False,38,2015
PAR_EXP_310067_3,EXP_310067,Champ boulevard #3,85.0,"Raisin de cuve rouge, cru",13012,Limoneux,False,39,2019
PAR_EXP_310068_1,EXP_310068,Champ avenue #1,87.4,"Blé tendre, cru",11084,Sableux,True,75,2023
PAR_EXP_310068_2,EXP_310068,Champ avenue #2,87.4,Graines de colza,15003,Alluvial,False,95,2015
PAR_EXP_310068_3,EXP_310068,Champ boulevard #3,87.4,"Pois chiche, sec",20042,Alluvial,False,49,2021
PAR_EXP_310069_1,EXP_310069,Champ chemin #1,102.2,"Pois chiche, sec",20042,Alluvial,False,50,2015
PAR_EXP_310069_2,EXP_310069,Champ chemin #2,102.2,Graines de tournesol,15011,Argilo-calcaire,False,61,2020
PAR_EXP_310069_3,EXP_310069,Champ avenue #3,102.2,"Blé tendre, cru",11084,Limoneux,False,95,2016
PAR_EXP_310070_1,EXP_310070,Champ chemin #1,99.4,"Pomme de terre, crue",20038,Sableux,True,37,2022
PAR_EXP_310070_2,EXP_310070,Champ rue #2,99.4,"Tomate, crue",20047,Sableux,True,64,2018
PAR_EXP_310070_3,EXP_310070,Champ rue #3,99.4,"Tomate, crue",20047,Limoneux,True,54,2020
PAR_EXP_310071_1,EXP_310071,Champ boulevard #1,104.0,"Pêche, crue",13030,Alluvial,True,78,2017
PAR_EXP_310071_2,EXP_310071,Champ avenue #2,104.0,"Poire, crue",13032,Granitique,True,69,2023
PAR_EXP_310071_3,EXP_310071,Champ rue #3,104.0,"Poire, crue",13032,Argilo-calcaire,True,85,2020
PAR_EXP_310072_1,EXP_310072,Champ rue #1,40.7,Graines de colza,15003,Alluvial,False,58,2019
PAR_EXP_310072_2,EXP_310072,Champ rue #2,40.7,"Blé tendre, cru",11084,Sableux,False,85,2022
PAR_EXP_310072_3,EXP_310072,Champ chemin #3,40.7,Graines de tournesol,15011,Granitique,True,65,2024
PAR_EXP_310073_1,EXP_310073,Champ rue #1,38.2,"Raisin de cuve blanc, cru",13013,Alluvial,True,72,2019
PAR_EXP_310073_2,EXP_310073,Champ chemin #2,38.2,"Raisin de cuve blanc, cru",13013,Alluvial,True,35,2021
PAR_EXP_310073_3,EXP_310073,Champ avenue #3,38.2,"Raisin de cuve rouge, cru",13012,Argilo-calcaire,True,63,2018
PAR_EXP_310074_1,EXP_310074,Champ boulevard #1,76.2,"Pomme, crue",13034,Alluvial,True,67,2017
PAR_EXP_310074_2,EXP_310074,Champ rue #2,76.2,"Pêche, crue",13030,Alluvial,True,55,2019
PAR_EXP_310074_3,EXP_310074,Champ avenue #3,76.2,"Pomme, crue",13034,Argilo-calcaire,True,56,2016
PAR_EXP_310075_1,EXP_310075,Champ boulevard #1,96.6,"Carotte, crue",20008,Sableux,True,51,2018
PAR_EXP_310075_2,EXP_310075,Champ rue #2,96.6,"Pomme de terre, crue",20038,Limoneux,True,64,2020
PAR_EXP_310075_3,EXP_310075,Champ chemin #3,96.6,"Pomme de terre, crue",20038,Alluvial,True,57,2015
PAR_EXP_310076_1,EXP_310076,Champ rue #1,27.6,"Blé tendre, cru",11084,Alluvial,False,45,2019
PAR_EXP_310076_2,EXP_310076,Champ rue #2,27.6,Graines de colza,15003,Argilo-calcaire,False,68,2021
PAR_EXP_310076_3,EXP_310076,Champ chemin #3,27.6,Graines de tournesol,15011,Argilo-calcaire,True,64,2022
