id_capteur,id_parcelle,date_releve,humidite_sol_pct,temperature_sol_c,niveau_stress_hydrique,precipitations_mm,evapotranspiration_mm,indice_vegetation_ndvi
IOT_PAR_EXP_310000_3,PAR_EXP_310000_3,2025-06-11,39.0,22.1,FAIBLE,6.4,4.7,0.54
IOT_PAR_EXP_310000_3,PAR_EXP_310000_3,2025-06-12,24.3,20.2,MODERE,1.2,2.7,0.78
IOT_PAR_EXP_310000_3,PAR_EXP_310000_3,2025-06-13,28.3,17.9,MODERE,6.0,3.3,0.53
IOT_PAR_EXP_310000_3,PAR_EXP_310000_3,2025-06-14,30.6,16.8,FAIBLE,5.6,4.9,0.76
IOT_PAR_EXP_310000_3,PAR_EXP_310000_3,2025-06-15,43.5,16.2,FAIBLE,8.3,3.9,0.78
IOT_PAR_EXP_310001_1,PAR_EXP_310001_1,2025-06-01,18.6,17.9,SEVERE,9.7,4.2,0.5
IOT_PAR_EXP_310001_1,PAR_EXP_310001_1,2025-06-02,23.9,24.7,MODERE,2.4,4.3,0.73
IOT_PAR_EXP_310001_1,PAR_EXP_310001_1,2025-06-03,38.2,17.4,FAIBLE,14.0,2.5,0.75
IOT_PAR_EXP_310001_1,PAR_EXP_310001_1,2025-06-04,18.7,19.9,SEVERE,13.9,3.6,0.7
IOT_PAR_EXP_310001_1,PAR_EXP_310001_1,2025-06-05,37.3,16.9,FAIBLE,9.1,2.5,0.71
IOT_PAR_EXP_310001_1,PAR_EXP_310001_1,2025-06-06,38.9,26.6,FAIBLE,1.8,5.7,0.67
IOT_PAR_EXP_310001_1,PAR_EXP_310001_1,2025-06-07,39.1,20.3,FAIBLE,5.4,4.0,0.61
IOT_PAR_EXP_310001_1,PAR_EXP_310001_1,2025-06-08,27.2,26.6,MODERE,1.5,5.7,0.75
IOT_PAR_EXP_310001_1,PAR_EXP_310001_1,2025-06-09,35.2,26.4,FAIBLE,6.3,4.8,0.71
IOT_PAR_EXP_310001_1,PAR_EXP_310001_1,2025-06-10,44.1,19.4,FAIBLE,7.8,3.9,0.75
IOT_PAR_EXP_310001_1,PAR_EXP_310001_1,2025-06-11,29.8,25.1,MODERE,12.3,5.2,0.55
IOT_PAR_EXP_310001_1,PAR_EXP_310001_1,2025-06-12,20.3,27.0,SEVERE,6.7,4.4,0.54
IOT_PAR_EXP_310001_1,PAR_EXP_310001_1,2025-06-13,28.2,16.4,MODERE,2.6,2.9,0.76
IOT_PAR_EXP_310001_1,PAR_EXP_310001_1,2025-06-14,39.5,20.3,FAIBLE,10.2,3.1,0.78
IOT_PAR_EXP_310001_1,PAR_EXP_310001_1,2025-06-15,18.3,27.9,SEVERE,10.4,3.9,0.48
IOT_PAR_EXP_310001_2,PAR_EXP_310001_2,2025-06-01,23.8,22.1,MODERE,14.2,4.0,0.72
IOT_PAR_EXP_310001_2,PAR_EXP_310001_2,2025-06-02,25.6,17.3,MODERE,3.3,2.8,0.52
IOT_PAR_EXP_310001_2,PAR_EXP_310001_2,2025-06-03,18.4,22.7,SEVERE,14.1,4.1,0.55
IOT_PAR_EXP_310001_2,PAR_EXP_310001_2,2025-06-04,36.8,17.6,FAIBLE,7.1,5.3,0.77
IOT_PAR_EXP_310001_2,PAR_EXP_310001_2,2025-06-05,33.5,21.9,FAIBLE,2.7,2.3,0.61
IOT_PAR_EXP_310001_2,PAR_EXP_310001_2,2025-06-06,43.4,22.0,FAIBLE,5.8,2.4,0.75
IOT_PAR_EXP_310001_2,PAR_EXP_310001_2,2025-06-07,35.0,16.7,FAIBLE,8.2,3.2,0.51
IOT_PAR_EXP_310001_2,PAR_EXP_310001_2,2025-06-08,44.8,17.5,FAIBLE,8.8,5.0,0.73
IOT_PAR_EXP_310001_2,PAR_EXP_310001_2,2025-06-09,24.1,22.5,MODERE,6.4,5.3,0.62
IOT_PAR_EXP_310001_2,PAR_EXP_310001_2,2025-06-10,44.7,19.8,FAIBLE,8.8,4.8,0.68
IOT_PAR_EXP_310001_2,PAR_EXP_310001_2,2025-06-11,43.6,18.6,FAIBLE,9.6,2.7,0.53
IOT_PAR_EXP_310001_2,PAR_EXP_310001_2,2025-06-12,22.7,16.9,MODERE,6.5,4.3,0.45
IOT_PAR_EXP_310001_2,PAR_EXP_310001_2,2025-06-13,25.9,18.9,MODERE,10.2,3.8,0.71
IOT_PAR_EXP_310001_2,PAR_EXP_310001_2,2025-06-14,36.6,27.5,FAIBLE,9.1,4.5,0.74
IOT_PAR_EXP_310001_2,PAR_EXP_310001_2,2025-06-15,43.2,21.3,FAIBLE,9.4,5.5,0.65
IOT_PAR_EXP_310001_3,PAR_EXP_310001_3,2025-06-01,38.6,26.3,FAIBLE,11.1,2.7,0.66
IOT_PAR_EXP_310001_3,PAR_EXP_310001_3,2025-06-02,32.0,21.5,FAIBLE,14.5,3.7,0.55
IOT_PAR_EXP_310001_3,PAR_EXP_310001_3,2025-06-03,40.0,28.1,FAIBLE,5.9,3.3,0.62
IOT_PAR_EXP_310001_3,PAR_EXP_310001_3,2025-06-04,20.8,18.0,SEVERE,7.2,4.6,0.6
IOT_PAR_EXP_310001_3,PAR_EXP_310001_3,2025-06-05,28.8,25.5,MODERE,1.3,3.0,0.46
IOT_PAR_EXP_310001_3,PAR_EXP_310001_3,2025-06-06,21.1,25.7,SEVERE,12.0,2.1,0.77
IOT_PAR_EXP_310001_3,PAR_EXP_310001_3,2025-06-07,41.5,21.8,FAIBLE,7.5,4.4,0.47
IOT_PAR_EXP_310001_3,PAR_EXP_310001_3,2025-06-08,31.5,21.5,FAIBLE,3.9,2.6,0.47
IOT_PAR_EXP_310001_3,PAR_EXP_310001_3,2025-06-09,25.8,27.0,MODERE,0.4,4.4,0.63
IOT_PAR_EXP_310001_3,PAR_EXP_310001_3,2025-06-10,39.6,24.9,FAIBLE,0.2,3.6,0.56
IOT_PAR_EXP_310001_3,PAR_EXP_310001_3,2025-06-11,24.1,26.5,MODERE,13.7,4.5,0.49
IOT_PAR_EXP_310001_3,PAR_EXP_310001_3,2025-06-12,22.2,27.7,MODERE,10.2,3.6,0.56
IOT_PAR_EXP_310001_3,PAR_EXP_310001_3,2025-06-13,31.0,21.9,FAIBLE,2.1,2.8,0.62
IOT_PAR_EXP_310001_3,PAR_EXP_310001_3,2025-06-14,34.2,25.3,FAIBLE,1.0,5.0,0.5
IOT_PAR_EXP_310001_3,PAR_EXP_310001_3,2025-06-15,41.1,20.2,FAIBLE,3.9,2.1,0.74
IOT_PAR_EXP_310002_1,PAR_EXP_310002_1,2025-06-01,42.0,22.1,FAIBLE,9.0,3.0,0.65
IOT_PAR_EXP_310002_1,PAR_EXP_310002_1,2025-06-02,36.5,19.6,FAIBLE,1.3,5.7,0.53
IOT_PAR_EXP_310002_1,PAR_EXP_310002_1,2025-06-03,38.5,24.8,FAIBLE,2.4,3.2,0.49
IOT_PAR_EXP_310002_1,PAR_EXP_310002_1,2025-06-04,18.8,20.1,SEVERE,5.2,3.7,0.47
IOT_PAR_EXP_310002_1,PAR_EXP_310002_1,2025-06-05,24.6,21.2,MODERE,2.6,2.7,0.7
IOT_PAR_EXP_310002_1,PAR_EXP_310002_1,2025-06-06,34.5,20.8,FAIBLE,7.2,4.3,0.7
IOT_PAR_EXP_310002_1,PAR_EXP_310002_1,2025-06-07,24.3,24.0,MODERE,9.7,5.4,0.62
IOT_PAR_EXP_310002_1,PAR_EXP_310002_1,2025-06-08,30.6,19.6,FAIBLE,1.1,5.6,0.65
IOT_PAR_EXP_310002_1,PAR_EXP_310002_1,2025-06-09,44.7,19.7,FAIBLE,10.0,3.8,0.81
IOT_PAR_EXP_310002_1,PAR_EXP_310002_1,2025-06-10,26.2,28.5,MODERE,1.5,3.5,0.77
IOT_PAR_EXP_310002_1,PAR_EXP_310002_1,2025-06-11,27.7,19.7,MODERE,0.3,5.2,0.71
IOT_PAR_EXP_310002_1,PAR_EXP_310002_1,2025-06-12,28.7,16.1,MODERE,11.3,5.7,0.77
IOT_PAR_EXP_310002_1,PAR_EXP_310002_1,2025-06-13,42.6,25.3,FAIBLE,13.1,5.0,0.76
IOT_PAR_EXP_310002_1,PAR_EXP_310002_1,2025-06-14,24.2,26.0,MODERE,2.8,3.0,0.53
IOT_PAR_EXP_310002_1,PAR_EXP_310002_1,2025-06-15,38.4,25.6,FAIBLE,2.0,2.5,0.7
IOT_PAR_EXP_310002_2,PAR_EXP_310002_2,2025-06-01,39.7,20.6,FAIBLE,0.2,4.1,0.74
IOT_PAR_EXP_310002_2,PAR_EXP_310002_2,2025-06-02,30.3,24.4,FAIBLE,8.5,5.1,0.7
IOT_PAR_EXP_310002_2,PAR_EXP_310002_2,2025-06-03,43.4,17.4,FAIBLE,0.4,5.4,0.54
IOT_PAR_EXP_310002_2,PAR_EXP_310002_2,2025-06-04,33.2,27.4,FAIBLE,0.9,5.1,0.53
IOT_PAR_EXP_310002_2,PAR_EXP_310002_2,2025-06-05,42.6,19.8,FAIBLE,2.0,5.6,0.6
IOT_PAR_EXP_310002_2,PAR_EXP_310002_2,2025-06-06,26.2,22.2,MODERE,12.9,2.6,0.49
IOT_PAR_EXP_310002_2,PAR_EXP_310002_2,2025-06-07,30.2,24.4,FAIBLE,13.7,3.7,0.72
IOT_PAR_EXP_310002_2,PAR_EXP_310002_2,2025-06-08,38.0,17.9,FAIBLE,1.4,3.9,0.6
IOT_PAR_EXP_310002_2,PAR_EXP_310002_2,2025-06-09,29.0,27.9,MODERE,5.4,3.7,0.46
IOT_PAR_EXP_310002_2,PAR_EXP_310002_2,2025-06-10,43.7,26.7,FAIBLE,9.9,4.1,0.49
IOT_PAR_EXP_310002_2,PAR_EXP_310002_2,2025-06-11,44.4,20.5,FAIBLE,2.8,2.6,0.6
IOT_PAR_EXP_310002_2,PAR_EXP_310002_2,2025-06-12,40.9,21.7,FAIBLE,9.3,4.3,0.7
IOT_PAR_EXP_310002_2,PAR_EXP_310002_2,2025-06-13,18.6,25.8,SEVERE,1.8,4.2,0.54
IOT_PAR_EXP_310002_2,PAR_EXP_310002_2,2025-06-14,19.9,25.6,SEVERE,3.1,5.3,0.53
IOT_PAR_EXP_310002_2,PAR_EXP_310002_2,2025-06-15,26.9,17.8,MODERE,0.0,5.3,0.78
IOT_PAR_EXP_310002_3,PAR_EXP_310002_3,2025-06-01,44.0,16.8,FAIBLE,5.8,4.6,0.63
IOT_PAR_EXP_310002_3,PAR_EXP_310002_3,2025-06-02,31.2,27.4,FAIBLE,1.2,4.4,0.48
IOT_PAR_EXP_310002_3,PAR_EXP_310002_3,2025-06-03,19.8,19.4,SEVERE,8.0,3.3,0.68
IOT_PAR_EXP_310002_3,PAR_EXP_310002_3,2025-06-04,44.9,22.6,FAIBLE,8.8,2.5,0.62
IOT_PAR_EXP_310002_3,PAR_EXP_310002_3,2025-06-05,36.9,26.7,FAIBLE,11.1,4.8,0.69
IOT_PAR_EXP_310002_3,PAR_EXP_310002_3,2025-06-06,23.8,21.6,MODERE,4.9,3.8,0.53
IOT_PAR_EXP_310002_3,PAR_EXP_310002_3,2025-06-07,29.2,17.2,MODERE,9.6,3.5,0.61
IOT_PAR_EXP_310002_3,PAR_EXP_310002_3,2025-06-08,22.1,27.5,MODERE,12.1,2.4,0.47
IOT_PAR_EXP_310002_3,PAR_EXP_310002_3,2025-06-09,20.6,25.2,SEVERE,8.1,4.3,0.75
IOT_PAR_EXP_310002_3,PAR_EXP_310002_3,2025-06-10,33.2,20.1,FAIBLE,5.1,4.6,0.5
IOT_PAR_EXP_310002_3,PAR_EXP_310002_3,2025-06-11,38.3,26.9,FAIBLE,14.0,4.3,0.72
IOT_PAR_EXP_310002_3,PAR_EXP_310002_3,2025-06-12,27.5,23.2,MODERE,9.5,2.9,0.53
IOT_PAR_EXP_310002_3,PAR_EXP_310002_3,2025-06-13,20.9,26.6,SEVERE,11.1,4.2,0.59
IOT_PAR_EXP_310002_3,PAR_EXP_310002_3,2025-06-14,39.8,26.6,FAIBLE,11.9,4.4,0.81
IOT_PAR_EXP_310002_3,PAR_EXP_310002_3,2025-06-15,35.4,16.3,FAIBLE,12.0,3.1,0.79
IOT_PAR_EXP_310003_1,PAR_EXP_310003_1,2025-06-01,38.7,25.6,FAIBLE,1.7,3.9,0.56
IOT_PAR_EXP_310003_1,PAR_EXP_310003_1,2025-06-02,29.6,17.6,MODERE,3.3,4.2,0.65
IOT_PAR_EXP_310003_1,PAR_EXP_310003_1,2025-06-03,36.0,20.4,FAIBLE,10.8,3.7,0.6
IOT_PAR_EXP_310003_1,PAR_EXP_310003_1,2025-06-04,30.4,17.0,FAIBLE,6.2,3.6,0.57
IOT_PAR_EXP_310003_1,PAR_EXP_310003_1,2025-06-05,35.3,19.6,FAIBLE,14.0,2.7,0.6
IOT_PAR_EXP_310003_1,PAR_EXP_310003_1,2025-06-06,43.6,21.8,FAIBLE,5.2,3.7,0.71
IOT_PAR_EXP_310003_1,PAR_EXP_310003_1,2025-06-07,20.9,21.4,SEVERE,1.1,5.3,0.6
IOT_PAR_EXP_310003_1,PAR_EXP_310003_1,2025-06-08,38.1,18.8,FAIBLE,1.1,4.4,0.74
IOT_PAR_EXP_310003_1,PAR_EXP_310003_1,2025-06-09,32.3,18.4,FAIBLE,5.1,5.6,0.74
IOT_PAR_EXP_310003_1,PAR_EXP_310003_1,2025-06-10,35.4,17.8,FAIBLE,3.7,2.7,0.49
IOT_PAR_EXP_310003_1,PAR_EXP_310003_1,2025-06-11,22.1,25.5,MODERE,13.8,4.4,0.48
IOT_PAR_EXP_310003_1,PAR_EXP_310003_1,2025-06-12,30.5,23.0,FAIBLE,9.9,5.4,0.66
IOT_PAR_EXP_310003_1,PAR_EXP_310003_1,2025-06-13,35.4,28.3,FAIBLE,14.1,3.3,0.57
IOT_PAR_EXP_310003_1,PAR_EXP_310003_1,2025-06-14,29.9,21.9,MODERE,11.5,4.3,0.68
IOT_PAR_EXP_310003_1,PAR_EXP_310003_1,2025-06-15,27.5,16.9,MODERE,0.5,3.5,0.62
IOT_PAR_EXP_310003_2,PAR_EXP_310003_2,2025-06-01,38.9,24.5,FAIBLE,9.1,3.3,0.47
IOT_PAR_EXP_310003_2,PAR_EXP_310003_2,2025-06-02,26.9,23.0,MODERE,3.7,5.3,0.59
IOT_PAR_EXP_310003_2,PAR_EXP_310003_2,2025-06-03,44.0,23.5,FAIBLE,1.2,4.6,0.51
IOT_PAR_EXP_310003_2,PAR_EXP_310003_2,2025-06-04,42.8,19.9,FAIBLE,9.6,2.6,0.69
IOT_PAR_EXP_310003_2,PAR_EXP_310003_2,2025-06-05,37.1,17.1,FAIBLE,9.3,3.3,0.66
IOT_PAR_EXP_310003_2,PAR_EXP_310003_2,2025-06-06,21.5,24.8,SEVERE,14.5,5.5,0.8
IOT_PAR_EXP_310003_2,PAR_EXP_310003_2,2025-06-07,20.5,24.4,SEVERE,0.3,3.2,0.64
IOT_PAR_EXP_310003_2,PAR_EXP_310003_2,2025-06-08,43.7,20.3,FAIBLE,2.8,5.8,0.73
IOT_PAR_EXP_310003_2,PAR_EXP_310003_2,2025-06-09,22.2,19.7,MODERE,7.4,4.1,0.74
IOT_PAR_EXP_310003_2,PAR_EXP_310003_2,2025-06-10,37.9,22.6,FAIBLE,12.7,4.4,0.69
IOT_PAR_EXP_310003_2,PAR_EXP_310003_2,2025-06-11,34.1,17.9,FAIBLE,10.0,4.4,0.52
IOT_PAR_EXP_310003_2,PAR_EXP_310003_2,2025-06-12,42.4,25.0,FAIBLE,5.3,4.8,0.47
IOT_PAR_EXP_310003_2,PAR_EXP_310003_2,2025-06-13,44.2,23.6,FAIBLE,11.4,3.0,0.73
IOT_PAR_EXP_310003_2,PAR_EXP_310003_2,2025-06-14,24.5,28.1,MODERE,13.1,2.8,0.74
IOT_PAR_EXP_310003_2,PAR_EXP_310003_2,2025-06-15,36.3,23.1,FAIBLE,11.2,5.0,0.61
IOT_PAR_EXP_310003_3,PAR_EXP_310003_3,2025-06-01,28.1,16.4,MODERE,12.2,4.5,0.79
IOT_PAR_EXP_310003_3,PAR_EXP_310003_3,2025-06-02,39.4,17.7,FAIBLE,12.0,4.7,0.56
IOT_PAR_EXP_310003_3,PAR_EXP_310003_3,2025-06-03,21.7,24.8,SEVERE,0.1,2.4,0.62
IOT_PAR_EXP_310003_3,PAR_EXP_310003_3,2025-06-04,24.9,26.4,MODERE,10.5,4.1,0.65
IOT_PAR_EXP_310003_3,PAR_EXP_310003_3,2025-06-05,21.0,19.6,SEVERE,0.7,3.7,0.56
IOT_PAR_EXP_310003_3,PAR_EXP_310003_3,2025-06-06,39.4,21.7,FAIBLE,13.1,4.3,0.49
IOT_PAR_EXP_310003_3,PAR_EXP_310003_3,2025-06-07,18.4,22.4,SEVERE,2.1,3.7,0.54
IOT_PAR_EXP_310003_3,PAR_EXP_310003_3,2025-06-08,34.6,19.0,FAIBLE,9.6,2.4,0.6
IOT_PAR_EXP_310003_3,PAR_EXP_310003_3,2025-06-09,44.3,16.8,FAIBLE,7.4,5.8,0.64
IOT_PAR_EXP_310003_3,PAR_EXP_310003_3,2025-06-10,33.0,20.9,FAIBLE,9.2,5.7,0.62
IOT_PAR_EXP_310003_3,PAR_EXP_310003_3,2025-06-11,24.8,16.2,MODERE,5.0,4.8,0.74
IOT_PAR_EXP_310003_3,PAR_EXP_310003_3,2025-06-12,35.0,25.6,FAIBLE,4.8,2.3,0.72
IOT_PAR_EXP_310003_3,PAR_EXP_310003_3,2025-06-13,32.7,26.2,FAIBLE,11.3,3.8,0.51
IOT_PAR_EXP_310003_3,PAR_EXP_310003_3,2025-06-14,36.8,23.9,FAIBLE,0.9,5.0,0.75
IOT_PAR_EXP_310003_3,PAR_EXP_310003_3,2025-06-15,30.4,19.7,FAIBLE,2.9,2.3,0.47
IOT_PAR_EXP_310004_1,PAR_EXP_310004_1,2025-06-01,35.2,20.5,FAIBLE,9.9,5.6,0.75
IOT_PAR_EXP_310004_1,PAR_EXP_310004_1,2025-06-02,21.9,23.6,SEVERE,0.5,2.3,0.74
IOT_PAR_EXP_310004_1,PAR_EXP_310004_1,2025-06-03,39.0,20.6,FAIBLE,8.2,4.3,0.59
IOT_PAR_EXP_310004_1,PAR_EXP_310004_1,2025-06-04,36.3,27.9,FAIBLE,11.1,4.2,0.59
IOT_PAR_EXP_310004_1,PAR_EXP_310004_1,2025-06-05,32.3,21.0,FAIBLE,3.6,2.5,0.69
IOT_PAR_EXP_310004_1,PAR_EXP_310004_1,2025-06-06,37.9,22.2,FAIBLE,8.1,3.1,0.59
IOT_PAR_EXP_310004_1,PAR_EXP_310004_1,2025-06-07,25.0,21.6,MODERE,4.1,5.5,0.82
IOT_PAR_EXP_310004_1,PAR_EXP_310004_1,2025-06-08,31.3,17.5,FAIBLE,6.6,5.4,0.77
IOT_PAR_EXP_310004_1,PAR_EXP_310004_1,2025-06-09,30.0,17.1,MODERE,12.3,3.3,0.7
IOT_PAR_EXP_310004_1,PAR_EXP_310004_1,2025-06-10,27.4,16.8,MODERE,12.9,5.3,0.65
IOT_PAR_EXP_310004_1,PAR_EXP_310004_1,2025-06-11,37.2,27.6,FAIBLE,11.5,4.0,0.69
IOT_PAR_EXP_310004_1,PAR_EXP_310004_1,2025-06-12,21.3,18.5,SEVERE,11.5,2.2,0.5
IOT_PAR_EXP_310004_1,PAR_EXP_310004_1,2025-06-13,33.0,20.6,FAIBLE,8.0,4.4,0.75
IOT_PAR_EXP_310004_1,PAR_EXP_310004_1,2025-06-14,20.3,19.9,SEVERE,10.4,4.0,0.82
IOT_PAR_EXP_310004_1,PAR_EXP_310004_1,2025-06-15,38.8,26.3,FAIBLE,14.1,4.5,0.48
IOT_PAR_EXP_310004_2,PAR_EXP_310004_2,2025-06-01,22.6,27.8,MODERE,9.6,4.8,0.51
IOT_PAR_EXP_310004_2,PAR_EXP_310004_2,2025-06-02,34.3,26.5,FAIBLE,12.0,2.2,0.66
IOT_PAR_EXP_310004_2,PAR_EXP_310004_2,2025-06-03,19.2,24.0,SEVERE,9.4,4.9,0.66
IOT_PAR_EXP_310004_2,PAR_EXP_310004_2,2025-06-04,29.2,24.0,MODERE,9.1,3.2,0.63
IOT_PAR_EXP_310004_2,PAR_EXP_310004_2,2025-06-05,43.8,22.0,FAIBLE,9.9,3.2,0.75
IOT_PAR_EXP_310004_2,PAR_EXP_310004_2,2025-06-06,20.0,16.7,SEVERE,7.0,2.9,0.61
IOT_PAR_EXP_310004_2,PAR_EXP_310004_2,2025-06-07,34.4,19.9,FAIBLE,10.6,5.3,0.72
IOT_PAR_EXP_310004_2,PAR_EXP_310004_2,2025-06-08,44.3,17.6,FAIBLE,8.1,3.3,0.59
IOT_PAR_EXP_310004_2,PAR_EXP_310004_2,2025-06-09,30.6,19.3,FAIBLE,1.4,3.2,0.54
IOT_PAR_EXP_310004_2,PAR_EXP_310004_2,2025-06-10,28.4,23.7,MODERE,12.5,2.7,0.54
IOT_PAR_EXP_310004_2,PAR_EXP_310004_2,2025-06-11,26.8,23.2,MODERE,11.1,3.9,0.57
IOT_PAR_EXP_310004_2,PAR_EXP_310004_2,2025-06-12,31.9,22.2,FAIBLE,0.3,5.6,0.56
IOT_PAR_EXP_310004_2,PAR_EXP_310004_2,2025-06-13,31.6,28.1,FAIBLE,5.1,2.3,0.53
IOT_PAR_EXP_310004_2,PAR_EXP_310004_2,2025-06-14,31.4,27.0,FAIBLE,6.8,4.1,0.69
IOT_PAR_EXP_310004_2,PAR_EXP_310004_2,2025-06-15,40.9,21.4,FAIBLE,10.5,4.9,0.78
IOT_PAR_EXP_310004_3,PAR_EXP_310004_3,2025-06-01,31.9,20.1,FAIBLE,2.4,5.8,0.68
IOT_PAR_EXP_310004_3,PAR_EXP_310004_3,2025-06-02,38.0,19.7,FAIBLE,12.0,4.1,0.57
IOT_PAR_EXP_310004_3,PAR_EXP_310004_3,2025-06-03,37.1,19.7,FAIBLE,5.3,4.6,0.75
IOT_PAR_EXP_310004_3,PAR_EXP_310004_3,2025-06-04,44.5,23.3,FAIBLE,10.5,4.6,0.74
IOT_PAR_EXP_310004_3,PAR_EXP_310004_3,2025-06-05,18.7,21.9,SEVERE,11.4,5.0,0.81
IOT_PAR_EXP_310004_3,PAR_EXP_310004_3,2025-06-06,33.6,25.0,FAIBLE,2.5,4.4,0.67
IOT_PAR_EXP_310004_3,PAR_EXP_310004_3,2025-06-07,34.7,26.5,FAIBLE,9.9,2.2,0.5
IOT_PAR_EXP_310004_3,PAR_EXP_310004_3,2025-06-08,43.6,17.4,FAIBLE,4.5,2.7,0.46
