id_recolte,id_parcelle,id_exploitation,annee_campagne,quantite_recoltee_tonnes,rendement_ha_tonnes,taux_humidite_pct,score_ef_total_lot,emissions_co2_kg_eq,prix_vente_tonne_eur,statut_commercialisation
REC_PAR_EXP_310001_3_2023,PAR_EXP_310001_3,EXP_310001,2023,1049.66,29.82,15.1,0.264,277110.24,263.73,VALORISE_BAS_CARBONE
REC_PAR_EXP_310001_3_2024,PAR_EXP_310001_3,EXP_310001,2024,1275.65,36.24,12.4,0.319,406932.35,183.62,VALORISE_BAS_CARBONE
REC_PAR_EXP_310001_3_2025,PAR_EXP_310001_3,EXP_310001,2025,1205.6,34.25,11.6,0.404,487062.4,262.2,VALORISE_BAS_CARBONE
REC_PAR_EXP_310002_1_2021,PAR_EXP_310002_1,EXP_310002,2021,2361.55,28.35,15.0,0.369,871411.95,250.32,STOCKE_FERME
REC_PAR_EXP_310002_1_2022,PAR_EXP_310002_1,EXP_310002,2022,3402.8,40.85,11.6,0.57,1939596.0,253.63,STOCKE_FERME
REC_PAR_EXP_310002_1_2023,PAR_EXP_310002_1,EXP_310002,2023,1396.11,16.76,13.4,0.785,1095946.35,315.79,VENDU_COOPERATIVE
REC_PAR_EXP_310002_1_2024,PAR_EXP_310002_1,EXP_310002,2024,3663.53,43.98,14.9,0.519,1901372.07,276.98,VENDU_COOPERATIVE
REC_PAR_EXP_310002_1_2025,PAR_EXP_310002_1,EXP_310002,2025,3342.83,40.13,14.0,0.78,2607407.4,233.2,STOCKE_FERME
REC_PAR_EXP_310002_2_2021,PAR_EXP_310002_2,EXP_310002,2021,1091.23,13.1,12.8,0.532,580534.36,198.4,STOCKE_FERME
REC_PAR_EXP_310002_2_2022,PAR_EXP_310002_2,EXP_310002,2022,2141.64,25.71,13.6,0.45,963738.0,290.11,STOCKE_FERME
REC_PAR_EXP_310002_2_2023,PAR_EXP_310002_2,EXP_310002,2023,3511.09,42.15,15.4,0.765,2685983.85,215.98,STOCKE_FERME
REC_PAR_EXP_310002_2_2024,PAR_EXP_310002_2,EXP_310002,2024,1810.94,21.74,15.4,0.785,1421587.9,292.59,STOCKE_FERME
REC_PAR_EXP_310002_2_2025,PAR_EXP_310002_2,EXP_310002,2025,1386.11,16.64,15.4,0.833,1154629.63,300.42,STOCKE_FERME
REC_PAR_EXP_310002_3_2021,PAR_EXP_310002_3,EXP_310002,2021,3194.55,38.35,11.6,0.405,1293792.75,301.3,VENDU_COOPERATIVE
REC_PAR_EXP_310002_3_2022,PAR_EXP_310002_3,EXP_310002,2022,3171.23,38.07,12.6,0.469,1487306.87,225.33,VENDU_COOPERATIVE
REC_PAR_EXP_310002_3_2023,PAR_EXP_310002_3,EXP_310002,2023,1347.79,16.18,13.4,0.56,754762.4,195.91,VENDU_COOPERATIVE
REC_PAR_EXP_310002_3_2024,PAR_EXP_310002_3,EXP_310002,2024,3137.91,37.67,15.3,0.607,1904711.37,195.27,VENDU_COOPERATIVE
REC_PAR_EXP_310002_3_2025,PAR_EXP_310002_3,EXP_310002,2025,1118.72,13.43,13.3,0.742,830090.24,301.38,STOCKE_FERME
REC_PAR_EXP_310003_1_2021,PAR_EXP_310003_1,EXP_310003,2021,3534.4,37.64,12.1,0.634,2240809.6,191.89,VENDU_COOPERATIVE
REC_PAR_EXP_310003_1_2022,PAR_EXP_310003_1,EXP_310003,2022,3464.91,36.9,14.1,0.375,1299341.25,191.42,STOCKE_FERME
REC_PAR_EXP_310003_1_2023,PAR_EXP_310003_1,EXP_310003,2023,2632.02,28.03,12.9,0.571,1502883.42,218.24,VENDU_COOPERATIVE
REC_PAR_EXP_310003_1_2024,PAR_EXP_310003_1,EXP_310003,2024,1470.47,15.66,11.7,0.689,1013153.83,263.04,STOCKE_FERME
REC_PAR_EXP_310003_1_2025,PAR_EXP_310003_1,EXP_310003,2025,2351.26,25.04,15.3,0.65,1528319.0,181.08,STOCKE_FERME
REC_PAR_EXP_310003_2_2021,PAR_EXP_310003_2,EXP_310003,2021,3032.97,32.3,13.3,0.604,1831913.88,244.78,VENDU_COOPERATIVE
REC_PAR_EXP_310003_2_2022,PAR_EXP_310003_2,EXP_310003,2022,3635.81,38.72,13.5,0.676,2457807.56,225.01,STOCKE_FERME
REC_PAR_EXP_310003_2_2023,PAR_EXP_310003_2,EXP_310003,2023,4094.04,43.6,15.4,0.575,2354073.0,293.54,STOCKE_FERME
REC_PAR_EXP_310003_2_2024,PAR_EXP_310003_2,EXP_310003,2024,1387.84,14.78,15.5,0.673,934016.32,185.48,STOCKE_FERME
REC_PAR_EXP_310003_2_2025,PAR_EXP_310003_2,EXP_310003,2025,2750.33,29.29,13.0,0.655,1801466.15,230.95,STOCKE_FERME
REC_PAR_EXP_310003_3_2021,PAR_EXP_310003_3,EXP_310003,2021,3658.34,38.96,11.7,0.751,2747413.34,199.38,STOCKE_FERME
REC_PAR_EXP_310003_3_2022,PAR_EXP_310003_3,EXP_310003,2022,2616.05,27.86,12.6,0.536,1402202.8,310.8,VENDU_COOPERATIVE
REC_PAR_EXP_310003_3_2023,PAR_EXP_310003_3,EXP_310003,2023,3491.2,37.18,14.8,0.486,1696723.2,306.74,VENDU_COOPERATIVE
REC_PAR_EXP_310003_3_2024,PAR_EXP_310003_3,EXP_310003,2024,1411.32,15.03,15.2,0.805,1136112.6,294.34,STOCKE_FERME
REC_PAR_EXP_310003_3_2025,PAR_EXP_310003_3,EXP_310003,2025,2412.29,25.69,15.5,0.548,1321934.92,232.35,STOCKE_FERME
REC_PAR_EXP_310004_1_2021,PAR_EXP_310004_1,EXP_310004,2021,1734.23,24.12,14.4,0.749,1298938.27,217.34,VENDU_COOPERATIVE
REC_PAR_EXP_310004_1_2022,PAR_EXP_310004_1,EXP_310004,2022,1049.74,14.6,12.8,0.651,683380.74,295.13,STOCKE_FERME
REC_PAR_EXP_310004_1_2023,PAR_EXP_310004_1,EXP_310004,2023,1052.62,14.64,12.2,0.68,715781.6,222.91,STOCKE_FERME
REC_PAR_EXP_310004_1_2024,PAR_EXP_310004_1,EXP_310004,2024,1916.13,26.65,14.0,0.574,1099858.62,281.75,STOCKE_FERME
REC_PAR_EXP_310004_1_2025,PAR_EXP_310004_1,EXP_310004,2025,1894.57,26.35,11.8,0.67,1269361.9,290.81,VENDU_COOPERATIVE
REC_PAR_EXP_310004_2_2021,PAR_EXP_310004_2,EXP_310004,2021,1680.3,23.37,14.6,0.789,1325756.7,289.24,VENDU_COOPERATIVE
REC_PAR_EXP_310004_2_2022,PAR_EXP_310004_2,EXP_310004,2022,1169.09,16.26,13.6,0.601,702623.09,301.55,VENDU_COOPERATIVE
REC_PAR_EXP_310004_2_2023,PAR_EXP_310004_2,EXP_310004,2023,1584.68,22.04,12.9,0.431,682997.08,310.86,VENDU_COOPERATIVE
REC_PAR_EXP_310004_2_2024,PAR_EXP_310004_2,EXP_310004,2024,3095.3,43.05,12.3,0.797,2466954.1,298.43,STOCKE_FERME
REC_PAR_EXP_310004_2_2025,PAR_EXP_310004_2,EXP_310004,2025,3131.96,43.56,13.5,0.487,1525264.52,267.5,VENDU_COOPERATIVE
REC_PAR_EXP_310004_3_2021,PAR_EXP_310004_3,EXP_310004,2021,2215.96,30.82,13.0,0.447,990534.12,257.45,VENDU_COOPERATIVE
REC_PAR_EXP_310004_3_2022,PAR_EXP_310004_3,EXP_310004,2022,1931.23,26.86,12.0,0.625,1207018.75,295.54,VENDU_COOPERATIVE
REC_PAR_EXP_310004_3_2023,PAR_EXP_310004_3,EXP_310004,2023,1092.16,15.19,14.5,0.537,586489.92,318.15,STOCKE_FERME
REC_PAR_EXP_310004_3_2024,PAR_EXP_310004_3,EXP_310004,2024,1335.18,18.57,11.7,0.605,807783.9,250.01,VENDU_COOPERATIVE
REC_PAR_EXP_310004_3_2025,PAR_EXP_310004_3,EXP_310004,2025,2556.05,35.55,13.9,0.752,1922149.6,252.71,VENDU_COOPERATIVE
REC_PAR_EXP_310005_1_2021,PAR_EXP_310005_1,EXP_310005,2021,3303.1,32.32,14.1,0.314,1037173.4,213.94,VENDU_COOPERATIVE
REC_PAR_EXP_310005_1_2022,PAR_EXP_310005_1,EXP_310005,2022,1403.21,13.73,14.2,0.256,359221.76,280.43,VENDU_COOPERATIVE
REC_PAR_EXP_310005_1_2023,PAR_EXP_310005_1,EXP_310005,2023,1690.39,16.54,13.1,0.438,740390.82,316.91,VENDU_COOPERATIVE
REC_PAR_EXP_310005_1_2024,PAR_EXP_310005_1,EXP_310005,2024,4380.29,42.86,14.5,0.41,1795918.9,246.84,VENDU_COOPERATIVE
REC_PAR_EXP_310005_1_2025,PAR_EXP_310005_1,EXP_310005,2025,2195.26,21.48,14.1,0.214,469785.64,188.28,VENDU_COOPERATIVE
REC_PAR_EXP_310005_2_2021,PAR_EXP_310005_2,EXP_310005,2021,3795.71,37.14,13.6,0.345,1309519.95,263.41,VENDU_COOPERATIVE
REC_PAR_EXP_310005_2_2022,PAR_EXP_310005_2,EXP_310005,2022,3007.75,29.43,11.7,0.239,718852.25,308.41,VENDU_COOPERATIVE
REC_PAR_EXP_310005_2_2023,PAR_EXP_310005_2,EXP_310005,2023,3073.15,30.07,12.2,0.287,881994.05,260.18,VENDU_COOPERATIVE
REC_PAR_EXP_310005_2_2024,PAR_EXP_310005_2,EXP_310005,2024,4108.44,40.2,11.9,0.266,1092845.04,275.24,STOCKE_FERME
REC_PAR_EXP_310005_2_2025,PAR_EXP_310005_2,EXP_310005,2025,2947.45,28.84,13.3,0.387,1140663.15,243.48,STOCKE_FERME
REC_PAR_EXP_310005_3_2021,PAR_EXP_310005_3,EXP_310005,2021,1971.44,19.29,14.0,0.219,431745.36,188.53,VENDU_COOPERATIVE
REC_PAR_EXP_310005_3_2022,PAR_EXP_310005_3,EXP_310005,2022,2667.42,26.1,14.6,0.284,757547.28,316.12,STOCKE_FERME
REC_PAR_EXP_310005_3_2023,PAR_EXP_310005_3,EXP_310005,2023,2301.54,22.52,12.2,0.257,591495.78,200.89,STOCKE_FERME
REC_PAR_EXP_310005_3_2024,PAR_EXP_310005_3,EXP_310005,2024,3040.45,29.75,14.7,0.2,608090.0,211.55,VENDU_COOPERATIVE
REC_PAR_EXP_310005_3_2025,PAR_EXP_310005_3,EXP_310005,2025,4311.82,42.19,13.1,0.306,1319416.92,315.49,VENDU_COOPERATIVE
REC_PAR_EXP_310006_1_2021,PAR_EXP_310006_1,EXP_310006,2021,1519.92,28.57,11.9,0.699,1062424.08,240.28,VENDU_COOPERATIVE
REC_PAR_EXP_310006_1_2022,PAR_EXP_310006_1,EXP_310006,2022,807.58,15.18,14.8,0.424,342413.92,206.87,STOCKE_FERME
REC_PAR_EXP_310006_1_2023,PAR_EXP_310006_1,EXP_310006,2023,1107.62,20.82,13.3,0.548,606975.76,232.23,STOCKE_FERME
REC_PAR_EXP_310006_1_2024,PAR_EXP_310006_1,EXP_310006,2024,1065.6,20.03,14.1,0.699,744854.4,222.0,VENDU_COOPERATIVE
REC_PAR_EXP_310006_1_2025,PAR_EXP_310006_1,EXP_310006,2025,2145.02,40.32,13.0,0.73,1565864.6,193.09,STOCKE_FERME
REC_PAR_EXP_310006_2_2021,PAR_EXP_310006_2,EXP_310006,2021,819.81,15.41,15.0,0.395,323824.95,257.59,STOCKE_FERME
REC_PAR_EXP_310006_2_2022,PAR_EXP_310006_2,EXP_310006,2022,660.21,12.41,13.8,0.557,367736.97,289.08,VENDU_COOPERATIVE
REC_PAR_EXP_310006_2_2023,PAR_EXP_310006_2,EXP_310006,2023,936.32,17.6,12.6,0.54,505612.8,199.44,STOCKE_FERME
REC_PAR_EXP_310006_2_2024,PAR_EXP_310006_2,EXP_310006,2024,894.82,16.82,13.4,0.434,388351.88,218.63,STOCKE_FERME
REC_PAR_EXP_310006_2_2025,PAR_EXP_310006_2,EXP_310006,2025,773.53,14.54,13.9,0.476,368200.28,214.52,STOCKE_FERME
REC_PAR_EXP_310006_3_2021,PAR_EXP_310006_3,EXP_310006,2021,1026.23,19.29,12.9,0.537,551085.51,244.83,VENDU_COOPERATIVE
REC_PAR_EXP_310006_3_2022,PAR_EXP_310006_3,EXP_310006,2022,681.49,12.81,12.0,0.402,273958.98,238.24,VENDU_COOPERATIVE
REC_PAR_EXP_310006_3_2023,PAR_EXP_310006_3,EXP_310006,2023,2289.73,43.04,14.6,0.421,963976.33,223.66,STOCKE_FERME
REC_PAR_EXP_310006_3_2024,PAR_EXP_310006_3,EXP_310006,2024,1553.44,29.2,12.8,0.524,814002.56,193.67,STOCKE_FERME
REC_PAR_EXP_310006_3_2025,PAR_EXP_310006_3,EXP_310006,2025,1165.61,21.91,14.1,0.755,880035.55,196.11,STOCKE_FERME
REC_PAR_EXP_310007_1_2021,PAR_EXP_310007_1,EXP_310007,2021,903.62,36.29,15.0,0.336,303616.32,214.65,VALORISE_BAS_CARBONE
REC_PAR_EXP_310007_1_2022,PAR_EXP_310007_1,EXP_310007,2022,325.19,13.06,11.8,0.207,67314.33,300.71,VALORISE_BAS_CARBONE
REC_PAR_EXP_310007_1_2023,PAR_EXP_310007_1,EXP_310007,2023,1009.69,40.55,12.3,0.159,160540.71,293.66,VALORISE_BAS_CARBONE
REC_PAR_EXP_310007_1_2024,PAR_EXP_310007_1,EXP_310007,2024,904.87,36.34,13.9,0.347,313989.89,300.55,VALORISE_BAS_CARBONE
REC_PAR_EXP_310007_1_2025,PAR_EXP_310007_1,EXP_310007,2025,650.64,26.13,14.8,0.323,210156.72,289.88,VALORISE_BAS_CARBONE
REC_PAR_EXP_310007_2_2021,PAR_EXP_310007_2,EXP_310007,2021,341.38,13.71,14.5,0.326,111289.88,281.64,VALORISE_BAS_CARBONE
REC_PAR_EXP_310007_2_2022,PAR_EXP_310007_2,EXP_310007,2022,651.38,26.16,12.4,0.15,97707.0,193.33,VALORISE_BAS_CARBONE
REC_PAR_EXP_310007_2_2023,PAR_EXP_310007_2,EXP_310007,2023,362.79,14.57,13.3,0.316,114641.64,252.72,VALORISE_BAS_CARBONE
REC_PAR_EXP_310007_2_2024,PAR_EXP_310007_2,EXP_310007,2024,305.52,12.27,14.9,0.233,71186.16,196.88,VALORISE_BAS_CARBONE
REC_PAR_EXP_310007_2_2025,PAR_EXP_310007_2,EXP_310007,2025,869.01,34.9,11.9,0.278,241584.78,212.05,VALORISE_BAS_CARBONE
REC_PAR_EXP_310007_3_2021,PAR_EXP_310007_3,EXP_310007,2021,739.53,29.7,14.8,0.249,184142.97,268.8,VALORISE_BAS_CARBONE
REC_PAR_EXP_310007_3_2022,PAR_EXP_310007_3,EXP_310007,2022,858.3,34.47,14.4,0.142,121878.6,277.81,VALORISE_BAS_CARBONE
REC_PAR_EXP_310007_3_2023,PAR_EXP_310007_3,EXP_310007,2023,994.26,39.93,13.2,0.139,138202.14,192.07,VALORISE_BAS_CARBONE
REC_PAR_EXP_310007_3_2024,PAR_EXP_310007_3,EXP_310007,2024,671.3,26.96,14.5,0.321,215487.3,223.3,VALORISE_BAS_CARBONE
REC_PAR_EXP_310007_3_2025,PAR_EXP_310007_3,EXP_310007,2025,907.36,36.44,14.3,0.159,144270.24,279.11,VALORISE_BAS_CARBONE
REC_PAR_EXP_310008_1_2021,PAR_EXP_310008_1,EXP_310008,2021,3468.15,33.03,13.2,0.547,1897078.05,262.87,VENDU_COOPERATIVE
REC_PAR_EXP_310008_1_2022,PAR_EXP_310008_1,EXP_310008,2022,4601.1,43.82,15.2,0.468,2153314.8,216.54,STOCKE_FERME
REC_PAR_EXP_310008_1_2023,PAR_EXP_310008_1,EXP_310008,2023,2621.85,24.97,12.6,0.766,2008337.1,225.68,STOCKE_FERME
REC_PAR_EXP_310008_1_2024,PAR_EXP_310008_1,EXP_310008,2024,1518.3,14.46,12.1,0.451,684753.3,289.19,VENDU_COOPERATIVE
REC_PAR_EXP_310008_1_2025,PAR_EXP_310008_1,EXP_310008,2025,1829.1,17.42,15.4,0.583,1066365.3,236.91,STOCKE_FERME
REC_PAR_EXP_310008_2_2021,PAR_EXP_310008_2,EXP_310008,2021,4422.6,42.12,11.6,0.601,2657982.6,234.37,VENDU_COOPERATIVE
REC_PAR_EXP_310008_2_2022,PAR_EXP_310008_2,EXP_310008,2022,3328.5,31.7,11.7,0.365,1214902.5,293.5,STOCKE_FERME
REC_PAR_EXP_310008_2_2023,PAR_EXP_310008_2,EXP_310008,2023,4695.6,44.72,15.4,0.615,2887794.0,287.36,VENDU_COOPERATIVE
REC_PAR_EXP_310008_2_2024,PAR_EXP_310008_2,EXP_310008,2024,1606.5,15.3,14.6,0.678,1089207.0,217.31,VENDU_COOPERATIVE
REC_PAR_EXP_310008_2_2025,PAR_EXP_310008_2,EXP_310008,2025,4544.4,43.28,12.9,0.638,2899327.2,317.57,STOCKE_FERME
REC_PAR_EXP_310008_3_2021,PAR_EXP_310008_3,EXP_310008,2021,2807.7,26.74,12.9,0.483,1356119.1,214.94,VENDU_COOPERATIVE
REC_PAR_EXP_310008_3_2022,PAR_EXP_310008_3,EXP_310008,2022,3986.85,37.97,14.4,0.71,2830663.5,186.74,STOCKE_FERME
REC_PAR_EXP_310008_3_2023,PAR_EXP_310008_3,EXP_310008,2023,4617.9,43.98,12.9,0.792,3657376.8,249.03,STOCKE_FERME
REC_PAR_EXP_310008_3_2024,PAR_EXP_310008_3,EXP_310008,2024,2560.95,24.39,12.2,0.764,1956565.8,290.42,VENDU_COOPERATIVE
REC_PAR_EXP_310008_3_2025,PAR_EXP_310008_3,EXP_310008,2025,1515.15,14.43,12.5,0.773,1171210.95,221.29,STOCKE_FERME
REC_PAR_EXP_310009_1_2021,PAR_EXP_310009_1,EXP_310009,2021,1586.55,30.22,14.6,0.403,639379.65,252.76,VENDU_COOPERATIVE
REC_PAR_EXP_310009_1_2022,PAR_EXP_310009_1,EXP_310009,2022,1709.4,32.56,12.1,0.292,499144.8,238.74,STOCKE_FERME
REC_PAR_EXP_310009_1_2023,PAR_EXP_310009_1,EXP_310009,2023,1611.75,30.7,15.2,0.312,502866.0,315.08,VENDU_COOPERATIVE
REC_PAR_EXP_310009_1_2024,PAR_EXP_310009_1,EXP_310009,2024,1604.92,30.57,15.0,0.153,245552.76,220.05,STOCKE_FERME
REC_PAR_EXP_310009_1_2025,PAR_EXP_310009_1,EXP_310009,2025,1087.8,20.72,11.6,0.336,365500.8,260.08,STOCKE_FERME
REC_PAR_EXP_310009_2_2021,PAR_EXP_310009_2,EXP_310009,2021,384.82,7.33,14.4,0.123,47332.86,215.33,STOCKE_FERME
REC_PAR_EXP_310009_2_2022,PAR_EXP_310009_2,EXP_310009,2022,411.07,7.83,13.3,0.211,86735.77,305.37,STOCKE_FERME
REC_PAR_EXP_310009_2_2023,PAR_EXP_310009_2,EXP_310009,2023,290.32,5.53,13.8,0.22,63870.4,252.89,STOCKE_FERME
REC_PAR_EXP_310009_2_2024,PAR_EXP_310009_2,EXP_310009,2024,237.83,4.53,13.7,0.45,107023.5,315.31,STOCKE_FERME
REC_PAR_EXP_310009_2_2025,PAR_EXP_310009_2,EXP_310009,2025,382.73,7.29,11.8,0.213,81521.49,275.82,STOCKE_FERME
REC_PAR_EXP_310009_3_2021,PAR_EXP_310009_3,EXP_310009,2021,303.98,5.79,13.5,0.371,112776.58,203.6,VENDU_COOPERATIVE
REC_PAR_EXP_310009_3_2022,PAR_EXP_310009_3,EXP_310009,2022,424.72,8.09,13.1,0.149,63283.28,266.03,STOCKE_FERME
REC_PAR_EXP_310009_3_2023,PAR_EXP_310009_3,EXP_310009,2023,474.6,9.04,14.4,0.246,116751.6,185.28,VENDU_COOPERATIVE
REC_PAR_EXP_310009_3_2024,PAR_EXP_310009_3,EXP_310009,2024,470.93,8.97,11.6,0.414,194965.02,285.96,VENDU_COOPERATIVE
REC_PAR_EXP_310009_3_2025,PAR_EXP_310009_3,EXP_310009,2025,237.3,4.52,12.7,0.362,85902.6,211.68,STOCKE_FERME
REC_PAR_EXP_310010_1_2021,PAR_EXP_310010_1,EXP_310010,2021,1841.06,20.85,12.2,0.717,1320040.02,232.17,STOCKE_FERME
REC_PAR_EXP_310010_1_2022,PAR_EXP_310010_1,EXP_310010,2022,2227.81,25.23,14.3,0.831,1851310.11,218.06,STOCKE_FERME
REC_PAR_EXP_310010_1_2023,PAR_EXP_310010_1,EXP_310010,2023,2452.97,27.78,12.0,0.561,1376116.17,304.06,VENDU_COOPERATIVE
REC_PAR_EXP_310010_1_2024,PAR_EXP_310010_1,EXP_310010,2024,3087.85,34.97,11.9,0.379,1170295.15,311.95,VENDU_COOPERATIVE
REC_PAR_EXP_310010_1_2025,PAR_EXP_310010_1,EXP_310010,2025,3714.78,42.07,12.2,0.591,2195434.98,259.65,STOCKE_FERME
REC_PAR_EXP_310010_2_2021,PAR_EXP_310010_2,EXP_310010,2021,3272.4,37.06,13.7,0.461,1508576.4,227.79,STOCKE_FERME
REC_PAR_EXP_310010_2_2022,PAR_EXP_310010_2,EXP_310010,2022,2149.22,24.34,12.1,0.403,866135.66,305.56,STOCKE_FERME
REC_PAR_EXP_310010_2_2023,PAR_EXP_310010_2,EXP_310010,2023,3148.78,35.66,12.3,0.711,2238782.58,194.97,VENDU_COOPERATIVE
REC_PAR_EXP_310010_2_2024,PAR_EXP_310010_2,EXP_310010,2024,3770.41,42.7,14.4,0.546,2058643.86,243.99,VENDU_COOPERATIVE
REC_PAR_EXP_310010_2_2025,PAR_EXP_310010_2,EXP_310010,2025,1373.95,15.56,14.6,0.557,765290.15,309.73,VENDU_COOPERATIVE
REC_PAR_EXP_310010_3_2021,PAR_EXP_310010_3,EXP_310010,2021,3579.68,40.54,13.5,0.721,2580949.28,258.58,VENDU_COOPERATIVE
REC_PAR_EXP_310010_3_2022,PAR_EXP_310010_3,EXP_310010,2022,3381.89,38.3,15.2,0.698,2360559.22,277.01,VENDU_COOPERATIVE
REC_PAR_EXP_310010_3_2023,PAR_EXP_310010_3,EXP_310010,2023,2188.96,24.79,15.4,0.828,1812458.88,316.62,STOCKE_FERME
REC_PAR_EXP_310010_3_2024,PAR_EXP_310010_3,EXP_310010,2024,1216.77,13.78,14.8,0.722,878507.94,208.43,STOCKE_FERME
REC_PAR_EXP_310010_3_2025,PAR_EXP_310010_3,EXP_310010,2025,3715.66,42.08,14.6,0.702,2608393.32,270.67,VENDU_COOPERATIVE
REC_PAR_EXP_310011_1_2021,PAR_EXP_310011_1,EXP_310011,2021,527.34,22.44,11.5,0.249,131307.66,196.56,VALORISE_BAS_CARBONE
REC_PAR_EXP_310011_1_2022,PAR_EXP_310011_1,EXP_310011,2022,840.6,35.77,11.7,0.141,118524.6,284.43,VALORISE_BAS_CARBONE
REC_PAR_EXP_310011_1_2023,PAR_EXP_310011_1,EXP_310011,2023,939.77,39.99,12.7,0.238,223665.26,250.4,VALORISE_BAS_CARBONE
REC_PAR_EXP_310011_1_2024,PAR_EXP_310011_1,EXP_310011,2024,813.81,34.63,15.2,0.32,260419.2,219.41,VALORISE_BAS_CARBONE
REC_PAR_EXP_310011_1_2025,PAR_EXP_310011_1,EXP_310011,2025,577.87,24.59,12.1,0.391,225947.17,184.31,VALORISE_BAS_CARBONE
