id_bilan,id_exploitation,annee_exercice,bilan_co2_tonnes_evitees,montant_subvention_pac_eur,montant_credits_carbone_eur,label_obtenu
BIL_EXP_310007_2023,EXP_310007,2023,156.71,26313.48,7051.95,LABEL_BAS_CARBONE
BIL_EXP_310007_2024,EXP_310007,2024,259.66,27726.46,11684.7,LABEL_BAS_CARBONE
BIL_EXP_310007_2025,EXP_310007,2025,89.8,24001.93,4041.0,LABEL_BAS_CARBONE
BIL_EXP_310008_2023,EXP_310008,2023,0.0,93825.57,0.0,AUCUN
BIL_EXP_310008_2024,EXP_310008,2024,0.0,96753.04,0.0,AUCUN
BIL_EXP_310008_2025,EXP_310008,2025,0.0,118776.52,0.0,AUCUN
BIL_EXP_310009_2023,EXP_310009,2023,219.73,52448.75,9887.85,Conversion Bio
BIL_EXP_310009_2024,EXP_310009,2024,559.51,50327.12,25177.95,Conversion Bio
BIL_EXP_310009_2025,EXP_310009,2025,376.04,59241.97,16921.8,Conversion Bio
BIL_EXP_310010_2023,EXP_310010,2023,0.0,94580.33,0.0,AUCUN
BIL_EXP_310010_2024,EXP_310010,2024,0.0,74732.42,0.0,AUCUN
BIL_EXP_310010_2025,EXP_310010,2025,0.0,60309.14,0.0,AUCUN
BIL_EXP_310011_2023,EXP_310011,2023,221.36,20128.85,9961.2,LABEL_BAS_CARBONE
BIL_EXP_310011_2024,EXP_310011,2024,212.48,16720.36,9561.6,LABEL_BAS_CARBONE
BIL_EXP_310011_2025,EXP_310011,2025,123.73,19577.91,5567.85,LABEL_BAS_CARBONE
BIL_EXP_310012_2023,EXP_310012,2023,0.0,88817.35,0.0,AUCUN
BIL_EXP_310012_2024,EXP_310012,2024,0.0,101850.37,0.0,AUCUN
BIL_EXP_310012_2025,EXP_310012,2025,0.0,90881.37,0.0,AUCUN
BIL_EXP_310013_2023,EXP_310013,2023,0.0,93784.49,0.0,AUCUN
BIL_EXP_310013_2024,EXP_310013,2024,0.0,76109.44,0.0,AUCUN
BIL_EXP_310013_2025,EXP_310013,2025,0.0,93004.96,0.0,AUCUN
BIL_EXP_310014_2023,EXP_310014,2023,541.5,111751.07,24367.5,HVE - Haute Valeur Environnementale
BIL_EXP_310014_2024,EXP_310014,2024,1143.06,92593.16,51437.7,HVE - Haute Valeur Environnementale
BIL_EXP_310014_2025,EXP_310014,2025,773.19,68637.47,34793.55,HVE - Haute Valeur Environnementale
BIL_EXP_310015_2023,EXP_310015,2023,0.0,38565.21,0.0,AUCUN
BIL_EXP_310015_2024,EXP_310015,2024,0.0,49975.69,0.0,AUCUN
BIL_EXP_310015_2025,EXP_310015,2025,0.0,37923.01,0.0,AUCUN
BIL_EXP_310016_2023,EXP_310016,2023,217.71,26122.09,9796.95,Bio / Agriculture Biologique
BIL_EXP_310016_2024,EXP_310016,2024,211.69,21998.07,9526.05,Bio / Agriculture Biologique
BIL_EXP_310016_2025,EXP_310016,2025,273.48,26311.45,12306.6,Bio / Agriculture Biologique
BIL_EXP_310017_2023,EXP_310017,2023,100.98,20490.53,4544.1,LABEL_BAS_CARBONE
BIL_EXP_310017_2024,EXP_310017,2024,215.5,28114.43,9697.5,LABEL_BAS_CARBONE
BIL_EXP_310017_2025,EXP_310017,2025,100.16,19598.51,4507.2,LABEL_BAS_CARBONE
BIL_EXP_310018_2023,EXP_310018,2023,244.36,17416.23,10996.2,LABEL_BAS_CARBONE
BIL_EXP_310018_2024,EXP_310018,2024,136.19,22830.06,6128.55,LABEL_BAS_CARBONE
BIL_EXP_310018_2025,EXP_310018,2025,144.36,26648.29,6496.2,LABEL_BAS_CARBONE
BIL_EXP_310019_2023,EXP_310019,2023,0.0,61180.14,0.0,AUCUN
BIL_EXP_310019_2024,EXP_310019,2024,0.0,61900.04,0.0,AUCUN
BIL_EXP_310019_2025,EXP_310019,2025,0.0,103664.26,0.0,AUCUN
BIL_EXP_310020_2023,EXP_310020,2023,0.0,20945.19,0.0,AUCUN
BIL_EXP_310020_2024,EXP_310020,2024,0.0,16903.88,0.0,AUCUN
BIL_EXP_310020_2025,EXP_310020,2025,0.0,24851.43,0.0,AUCUN
BIL_EXP_310021_2023,EXP_310021,2023,0.0,51949.53,0.0,AUCUN
BIL_EXP_310021_2024,EXP_310021,2024,0.0,81292.6,0.0,AUCUN
BIL_EXP_310021_2025,EXP_310021,2025,0.0,91209.36,0.0,AUCUN
BIL_EXP_310022_2023,EXP_310022,2023,211.75,19878.38,9528.75,Conversion Bio
BIL_EXP_310022_2024,EXP_310022,2024,285.47,23255.24,12846.15,Conversion Bio
BIL_EXP_310022_2025,EXP_310022,2025,133.65,19015.48,6014.25,Conversion Bio
BIL_EXP_310023_2023,EXP_310023,2023,236.39,39409.71,10637.55,Bio / Agriculture Biologique
BIL_EXP_310023_2024,EXP_310023,2024,469.36,35367.74,21121.2,Bio / Agriculture Biologique
BIL_EXP_310023_2025,EXP_310023,2025,277.61,52355.96,12492.45,Bio / Agriculture Biologique
BIL_EXP_310024_2023,EXP_310024,2023,849.98,81062.12,38249.1,Bio / Agriculture Biologique
BIL_EXP_310024_2024,EXP_310024,2024,299.82,70649.31,13491.9,Bio / Agriculture Biologique
BIL_EXP_310024_2025,EXP_310024,2025,498.24,53513.62,22420.8,Bio / Agriculture Biologique
BIL_EXP_310025_2023,EXP_310025,2023,0.0,27721.54,0.0,AUCUN
BIL_EXP_310025_2024,EXP_310025,2024,0.0,36334.87,0.0,AUCUN
BIL_EXP_310025_2025,EXP_310025,2025,0.0,23380.78,0.0,AUCUN
BIL_EXP_310026_2023,EXP_310026,2023,996.54,102586.49,44844.3,HVE - Haute Valeur Environnementale
BIL_EXP_310026_2024,EXP_310026,2024,711.11,77419.54,31999.95,HVE - Haute Valeur Environnementale
BIL_EXP_310026_2025,EXP_310026,2025,843.75,103121.2,37968.75,HVE - Haute Valeur Environnementale
BIL_EXP_310027_2023,EXP_310027,2023,478.01,72029.54,21510.45,LABEL_BAS_CARBONE
BIL_EXP_310027_2024,EXP_310027,2024,485.14,56988.73,21831.3,LABEL_BAS_CARBONE
BIL_EXP_310027_2025,EXP_310027,2025,347.86,53791.35,15653.7,LABEL_BAS_CARBONE
BIL_EXP_310028_2023,EXP_310028,2023,499.67,79836.11,22485.15,HVE - Haute Valeur Environnementale
BIL_EXP_310028_2024,EXP_310028,2024,796.92,57951.84,35861.4,HVE - Haute Valeur Environnementale
BIL_EXP_310028_2025,EXP_310028,2025,643.16,84376.14,28942.2,HVE - Haute Valeur Environnementale
BIL_EXP_310029_2023,EXP_310029,2023,421.9,49308.7,18985.5,LABEL_BAS_CARBONE
BIL_EXP_310029_2024,EXP_310029,2024,717.85,64965.14,32303.25,LABEL_BAS_CARBONE
BIL_EXP_310029_2025,EXP_310029,2025,495.28,72317.23,22287.6,LABEL_BAS_CARBONE
BIL_EXP_310030_2023,EXP_310030,2023,0.0,74036.59,0.0,AUCUN
BIL_EXP_310030_2024,EXP_310030,2024,0.0,86057.13,0.0,AUCUN
BIL_EXP_310030_2025,EXP_310030,2025,0.0,86192.51,0.0,AUCUN
BIL_EXP_310031_2023,EXP_310031,2023,120.72,17511.25,5432.4,HVE - Haute Valeur Environnementale
BIL_EXP_310031_2024,EXP_310031,2024,88.72,22786.3,3992.4,HVE - Haute Valeur Environnementale
BIL_EXP_310031_2025,EXP_310031,2025,164.05,16660.34,7382.25,HVE - Haute Valeur Environnementale
BIL_EXP_310032_2023,EXP_310032,2023,0.0,41938.69,0.0,AUCUN
BIL_EXP_310032_2024,EXP_310032,2024,0.0,38385.24,0.0,AUCUN
BIL_EXP_310032_2025,EXP_310032,2025,0.0,44316.33,0.0,AUCUN
BIL_EXP_310033_2023,EXP_310033,2023,670.79,67751.09,30185.55,Bio / Agriculture Biologique
BIL_EXP_310033_2024,EXP_310033,2024,627.19,47768.83,28223.55,Bio / Agriculture Biologique
BIL_EXP_310033_2025,EXP_310033,2025,570.66,59222.92,25679.7,Bio / Agriculture Biologique
BIL_EXP_310034_2023,EXP_310034,2023,0.0,8679.55,0.0,AUCUN
BIL_EXP_310034_2024,EXP_310034,2024,0.0,9751.16,0.0,AUCUN
BIL_EXP_310034_2025,EXP_310034,2025,0.0,12087.41,0.0,AUCUN
BIL_EXP_310035_2023,EXP_310035,2023,384.46,85876.8,17300.7,Conversion Bio
BIL_EXP_310035_2024,EXP_310035,2024,618.45,83431.26,27830.25,Conversion Bio
BIL_EXP_310035_2025,EXP_310035,2025,516.65,60075.37,23249.25,Conversion Bio
BIL_EXP_310036_2023,EXP_310036,2023,0.0,62881.01,0.0,AUCUN
BIL_EXP_310036_2024,EXP_310036,2024,0.0,74290.93,0.0,AUCUN
BIL_EXP_310036_2025,EXP_310036,2025,0.0,73693.31,0.0,AUCUN
BIL_EXP_310037_2023,EXP_310037,2023,134.94,18307.69,6072.3,LABEL_BAS_CARBONE
BIL_EXP_310037_2024,EXP_310037,2024,203.01,16145.87,9135.45,LABEL_BAS_CARBONE
BIL_EXP_310037_2025,EXP_310037,2025,116.25,15978.38,5231.25,LABEL_BAS_CARBONE
BIL_EXP_310038_2023,EXP_310038,2023,558.26,43273.83,25121.7,Conversion Bio
BIL_EXP_310038_2024,EXP_310038,2024,498.46,54236.15,22430.7,Conversion Bio
BIL_EXP_310038_2025,EXP_310038,2025,232.64,50950.7,10468.8,Conversion Bio
BIL_EXP_310039_2023,EXP_310039,2023,684.54,51048.37,30804.3,Conversion Bio
BIL_EXP_310039_2024,EXP_310039,2024,521.97,52216.47,23488.65,Conversion Bio
BIL_EXP_310039_2025,EXP_310039,2025,570.82,49507.08,25686.9,Conversion Bio
BIL_EXP_310040_2023,EXP_310040,2023,0.0,66343.29,0.0,AUCUN
BIL_EXP_310040_2024,EXP_310040,2024,0.0,48190.01,0.0,AUCUN
BIL_EXP_310040_2025,EXP_310040,2025,0.0,56827.82,0.0,AUCUN
BIL_EXP_310041_2023,EXP_310041,2023,1111.67,112837.76,50025.15,Bio / Agriculture Biologique
BIL_EXP_310041_2024,EXP_310041,2024,397.47,92586.22,17886.15,Bio / Agriculture Biologique
BIL_EXP_310041_2025,EXP_310041,2025,979.07,75657.54,44058.15,Bio / Agriculture Biologique
BIL_EXP_310042_2023,EXP_310042,2023,333.39,31946.09,15002.55,Bio / Agriculture Biologique
BIL_EXP_310042_2024,EXP_310042,2024,127.37,31656.92,5731.65,Bio / Agriculture Biologique
BIL_EXP_310042_2025,EXP_310042,2025,246.05,27367.43,11072.25,Bio / Agriculture Biologique
BIL_EXP_310043_2023,EXP_310043,2023,283.67,68744.75,12765.15,LABEL_BAS_CARBONE
BIL_EXP_310043_2024,EXP_310043,2024,325.91,59618.08,14665.95,LABEL_BAS_CARBONE
BIL_EXP_310043_2025,EXP_310043,2025,656.87,49133.29,29559.15,LABEL_BAS_CARBONE
BIL_EXP_310044_2023,EXP_310044,2023,902.88,102815.96,40629.6,LABEL_BAS_CARBONE
BIL_EXP_310044_2024,EXP_310044,2024,345.79,61804.96,15560.55,LABEL_BAS_CARBONE
BIL_EXP_310044_2025,EXP_310044,2025,873.5,62047.61,39307.5,LABEL_BAS_CARBONE
BIL_EXP_310045_2023,EXP_310045,2023,0.0,33371.13,0.0,AUCUN
BIL_EXP_310045_2024,EXP_310045,2024,0.0,51703.88,0.0,AUCUN
BIL_EXP_310045_2025,EXP_310045,2025,0.0,49653.88,0.0,AUCUN
BIL_EXP_310046_2023,EXP_310046,2023,80.35,5642.81,3615.75,LABEL_BAS_CARBONE
BIL_EXP_310046_2024,EXP_310046,2024,80.78,6027.64,3635.1,LABEL_BAS_CARBONE
BIL_EXP_310046_2025,EXP_310046,2025,55.11,7529.15,2479.95,LABEL_BAS_CARBONE
BIL_EXP_310047_2023,EXP_310047,2023,475.75,51337.87,21408.75,HVE - Haute Valeur Environnementale
BIL_EXP_310047_2024,EXP_310047,2024,733.87,68569.62,33024.15,HVE - Haute Valeur Environnementale
BIL_EXP_310047_2025,EXP_310047,2025,357.47,52892.51,16086.15,HVE - Haute Valeur Environnementale
BIL_EXP_310048_2023,EXP_310048,2023,0.0,27967.12,0.0,AUCUN
BIL_EXP_310048_2024,EXP_310048,2024,0.0,30352.66,0.0,AUCUN
BIL_EXP_310048_2025,EXP_310048,2025,0.0,20809.4,0.0,AUCUN
BIL_EXP_310049_2023,EXP_310049,2023,158.53,37895.55,7133.85,LABEL_BAS_CARBONE
BIL_EXP_310049_2024,EXP_310049,2024,407.19,24844.82,18323.55,LABEL_BAS_CARBONE
BIL_EXP_310049_2025,EXP_310049,2025,291.98,28224.95,13139.1,LABEL_BAS_CARBONE
BIL_EXP_310050_2023,EXP_310050,2023,0.0,39808.63,0.0,AUCUN
BIL_EXP_310050_2024,EXP_310050,2024,0.0,39456.04,0.0,AUCUN
BIL_EXP_310050_2025,EXP_310050,2025,0.0,46963.85,0.0,AUCUN
BIL_EXP_310051_2023,EXP_310051,2023,0.0,23587.81,0.0,AUCUN
BIL_EXP_310051_2024,EXP_310051,2024,0.0,15765.54,0.0,AUCUN
BIL_EXP_310051_2025,EXP_310051,2025,0.0,17700.65,0.0,AUCUN
BIL_EXP_310052_2023,EXP_310052,2023,988.25,58164.77,44471.25,LABEL_BAS_CARBONE
BIL_EXP_310052_2024,EXP_310052,2024,806.25,60125.56,36281.25,LABEL_BAS_CARBONE
BIL_EXP_310052_2025,EXP_310052,2025,818.07,73328.94,36813.15,LABEL_BAS_CARBONE
BIL_EXP_310053_2023,EXP_310053,2023,0.0,77255.53,0.0,AUCUN
BIL_EXP_310053_2024,EXP_310053,2024,0.0,83103.6,0.0,AUCUN
BIL_EXP_310053_2025,EXP_310053,2025,0.0,95175.66,0.0,AUCUN
BIL_EXP_310054_2023,EXP_310054,2023,0.0,70492.01,0.0,AUCUN
BIL_EXP_310054_2024,EXP_310054,2024,0.0,91268.02,0.0,AUCUN
BIL_EXP_310054_2025,EXP_310054,2025,0.0,66115.96,0.0,AUCUN
BIL_EXP_310055_2023,EXP_310055,2023,0.0,42234.16,0.0,AUCUN
BIL_EXP_310055_2024,EXP_310055,2024,0.0,43238.89,0.0,AUCUN
BIL_EXP_310055_2025,EXP_310055,2025,0.0,41061.76,0.0,AUCUN
BIL_EXP_310056_2023,EXP_310056,2023,363.85,59461.34,16373.25,LABEL_BAS_CARBONE
BIL_EXP_310056_2024,EXP_310056,2024,383.31,60439.7,17248.95,LABEL_BAS_CARBONE
BIL_EXP_310056_2025,EXP_310056,2025,367.34,50923.64,16530.3,LABEL_BAS_CARBONE
BIL_EXP_310057_2023,EXP_310057,2023,0.0,12269.67,0.0,AUCUN
BIL_EXP_310057_2024,EXP_310057,2024,0.0,12693.52,0.0,AUCUN
BIL_EXP_310057_2025,EXP_310057,2025,0.0,14577.61,0.0,AUCUN
BIL_EXP_310058_2023,EXP_310058,2023,0.0,75332.45,0.0,AUCUN
BIL_EXP_310058_2024,EXP_310058,2024,0.0,73895.02,0.0,AUCUN
BIL_EXP_310058_2025,EXP_310058,2025,0.0,99869.03,0.0,AUCUN
BIL_EXP_310059_2023,EXP_310059,2023,0.0,10557.61,0.0,AUCUN
BIL_EXP_310059_2024,EXP_310059,2024,0.0,6551.62,0.0,AUCUN
BIL_EXP_310059_2025,EXP_310059,2025,0.0,6452.25,0.0,AUCUN
BIL_EXP_310060_2023,EXP_310060,2023,275.81,28028.61,12411.45,Bio / Agriculture Biologique
BIL_EXP_310060_2024,EXP_310060,2024,141.76,21384.18,6379.2,Bio / Agriculture Biologique
BIL_EXP_310060_2025,EXP_310060,2025,231.21,26214.58,10404.45,Bio / Agriculture Biologique
BIL_EXP_310061_2023,EXP_310061,2023,999.09,102225.24,44959.05,LABEL_BAS_CARBONE
BIL_EXP_310061_2024,EXP_310061,2024,947.18,90514.41,42623.1,LABEL_BAS_CARBONE
BIL_EXP_310061_2025,EXP_310061,2025,699.85,74350.57,31493.25,LABEL_BAS_CARBONE
BIL_EXP_310062_2023,EXP_310062,2023,700.02,64998.26,31500.9,HVE - Haute Valeur Environnementale
BIL_EXP_310062_2024,EXP_310062,2024,613.95,71107.09,27627.75,HVE - Haute Valeur Environnementale
BIL_EXP_310062_2025,EXP_310062,2025,585.99,66024.43,26369.55,HVE - Haute Valeur Environnementale
BIL_EXP_310063_2023,EXP_310063,2023,0.0,25944.02,0.0,AUCUN
BIL_EXP_310063_2024,EXP_310063,2024,0.0,26672.13,0.0,AUCUN
BIL_EXP_310063_2025,EXP_310063,2025,0.0,19907.59,0.0,AUCUN
BIL_EXP_310064_2023,EXP_310064,2023,688.36,78385.22,30976.2,LABEL_BAS_CARBONE
BIL_EXP_310064_2024,EXP_310064,2024,568.96,48526.52,25603.2,LABEL_BAS_CARBONE
BIL_EXP_310064_2025,EXP_310064,2025,422.13,70099.81,18995.85,LABEL_BAS_CARBONE
BIL_EXP_310065_2023,EXP_310065,2023,143.27,34191.14,6447.15,Conversion Bio
BIL_EXP_310065_2024,EXP_310065,2024,158.4,27364.81,7128.0,Conversion Bio
BIL_EXP_310065_2025,EXP_310065,2025,239.44,26700.08,10774.8,Conversion Bio
BIL_EXP_310066_2023,EXP_310066,2023,0.0,66976.98,0.0,AUCUN
BIL_EXP_310066_2024,EXP_310066,2024,0.0,38705.2,0.0,AUCUN
BIL_EXP_310066_2025,EXP_310066,2025,0.0,41193.57,0.0,AUCUN
BIL_EXP_310067_2023,EXP_310067,2023,0.0,75002.54,0.0,AUCUN
BIL_EXP_310067_2024,EXP_310067,2024,0.0,72398.21,0.0,AUCUN
BIL_EXP_310067_2025,EXP_310067,2025,0.0,57635.17,0.0,AUCUN
BIL_EXP_310068_2023,EXP_310068,2023,782.36,78871.37,35206.2,LABEL_BAS_CARBONE
BIL_EXP_310068_2024,EXP_310068,2024,383.22,57115.92,17244.9,LABEL_BAS_CARBONE
BIL_EXP_310068_2025,EXP_310068,2025,698.95,90628.38,31452.75,LABEL_BAS_CARBONE
BIL_EXP_310069_2023,EXP_310069,2023,559.89,87991.93,25195.05,Bio / Agriculture Biologique
BIL_EXP_310069_2024,EXP_310069,2024,586.03,87559.44,26371.35,Bio / Agriculture Biologique
BIL_EXP_310069_2025,EXP_310069,2025,402.51,85214.28,18112.95,Bio / Agriculture Biologique
BIL_EXP_310070_2023,EXP_310070,2023,0.0,102573.96,0.0,AUCUN
BIL_EXP_310070_2024,EXP_310070,2024,0.0,77486.49,0.0,AUCUN
BIL_EXP_310070_2025,EXP_310070,2025,0.0,87665.21,0.0,AUCUN
BIL_EXP_310071_2023,EXP_310071,2023,762.1,78396.67,34294.5,Conversion Bio
BIL_EXP_310071_2024,EXP_310071,2024,414.88,71544.56,18669.6,Conversion Bio
BIL_EXP_310071_2025,EXP_310071,2025,773.95,99462.34,34827.75,Conversion Bio
BIL_EXP_310072_2023,EXP_310072,2023,262.96,34082.06,11833.2,Conversion Bio
BIL_EXP_310072_2024,EXP_310072,2024,392.86,35907.82,17678.7,Conversion Bio
BIL_EXP_310072_2025,EXP_310072,2025,162.16,33510.11,7297.2,Conversion Bio
BIL_EXP_310073_2023,EXP_310073,2023,0.0,39278.89,0.0,AUCUN
BIL_EXP_310073_2024,EXP_310073,2024,0.0,29394.64,0.0,AUCUN
BIL_EXP_310073_2025,EXP_310073,2025,0.0,35875.84,0.0,AUCUN
BIL_EXP_310074_2023,EXP_310074,2023,0.0,60519.17,0.0,AUCUN
BIL_EXP_310074_2024,EXP_310074,2024,0.0,82191.31,0.0,AUCUN
BIL_EXP_310074_2025,EXP_310074,2025,0.0,50578.64,0.0,AUCUN
BIL_EXP_310075_2023,EXP_310075,2023,943.02,91887.12,42435.9,Bio / Agriculture Biologique
BIL_EXP_310075_2024,EXP_310075,2024,921.17,73168.61,41452.65,Bio / Agriculture Biologique
BIL_EXP_310075_2025,EXP_310075,2025,835.42,89116.69,37593.9,Bio / Agriculture Biologique
BIL_EXP_310076_2023,EXP_310076,2023,179.01,23909.56,8055.45,LABEL_BAS_CARBONE
BIL_EXP_310076_2024,EXP_310076,2024,280.45,31155.38,12620.25,LABEL_BAS_CARBONE
BIL_EXP_310076_2025,EXP_310076,2025,281.7,29217.7,12676.5,LABEL_BAS_CARBONE
BIL_EXP_310077_2023,EXP_310077,2023,0.0,37767.02,0.0,AUCUN
BIL_EXP_310077_2024,EXP_310077,2024,0.0,27823.07,0.0,AUCUN
BIL_EXP_310077_2025,EXP_310077,2025,0.0,43164.59,0.0,AUCUN
BIL_EXP_310078_2023,EXP_310078,2023,734.85,61955.1,33068.25,HVE - Haute Valeur Environnementale
BIL_EXP_310078_2024,EXP_310078,2024,534.59,78910.93,24056.55,HVE - Haute Valeur Environnementale
BIL_EXP_310078_2025,EXP_310078,2025,844.87,76025.27,38019.15,HVE - Haute Valeur Environnementale
BIL_EXP_310079_2023,EXP_310079,2023,552.85,49616.92,24878.25,Bio / Agriculture Biologique
BIL_EXP_310079_2024,EXP_310079,2024,423.51,52419.64,19057.95,Bio / Agriculture Biologique
BIL_EXP_310079_2025,EXP_310079,2025,574.45,41616.78,25850.25,Bio / Agriculture Biologique
BIL_EXP_310080_2023,EXP_310080,2023,0.0,27180.71,0.0,AUCUN
BIL_EXP_310080_2024,EXP_310080,2024,0.0,43275.11,0.0,AUCUN
BIL_EXP_310080_2025,EXP_310080,2025,0.0,31915.2,0.0,AUCUN
BIL_EXP_310081_2023,EXP_310081,2023,0.0,50292.36,0.0,AUCUN
BIL_EXP_310081_2024,EXP_310081,2024,0.0,37295.58,0.0,AUCUN
BIL_EXP_310081_2025,EXP_310081,2025,0.0,41532.51,0.0,AUCUN
BIL_EXP_310082_2023,EXP_310082,2023,0.0,60693.42,0.0,AUCUN
BIL_EXP_310082_2024,EXP_310082,2024,0.0,64018.33,0.0,AUCUN
BIL_EXP_310082_2025,EXP_310082,2025,0.0,84317.86,0.0,AUCUN
BIL_EXP_310083_2023,EXP_310083,2023,0.0,83930.15,0.0,AUCUN
BIL_EXP_310083_2024,EXP_310083,2024,0.0,95412.07,0.0,AUCUN
BIL_EXP_310083_2025,EXP_310083,2025,0.0,65123.81,0.0,AUCUN
BIL_EXP_310084_2023,EXP_310084,2023,609.76,79450.39,27439.2,Conversion Bio
BIL_EXP_310084_2024,EXP_310084,2024,742.66,112237.72,33419.7,Conversion Bio
BIL_EXP_310084_2025,EXP_310084,2025,900.89,110603.15,40540.05,Conversion Bio
BIL_EXP_310085_2023,EXP_310085,2023,0.0,102599.57,0.0,AUCUN
BIL_EXP_310085_2024,EXP_310085,2024,0.0,93430.82,0.0,AUCUN
BIL_EXP_310085_2025,EXP_310085,2025,0.0,65466.66,0.0,AUCUN
BIL_EXP_310086_2023,EXP_310086,2023,732.65,113527.49,32969.25,LABEL_BAS_CARBONE
BIL_EXP_310086_2024,EXP_310086,2024,565.19,67732.3,25433.55,LABEL_BAS_CARBONE
BIL_EXP_310086_2025,EXP_310086,2025,1044.26,115442.43,46991.7,LABEL_BAS_CARBONE
BIL_EXP_310087_2023,EXP_310087,2023,0.0,38132.06,0.0,AUCUN
BIL_EXP_310087_2024,EXP_310087,2024,0.0,51784.26,0.0,AUCUN
BIL_EXP_310087_2025,EXP_310087,2025,0.0,50546.18,0.0,AUCUN
BIL_EXP_310088_2023,EXP_310088,2023,0.0,65340.58,0.0,AUCUN
BIL_EXP_310088_2024,EXP_310088,2024,0.0,70958.79,0.0,AUCUN
BIL_EXP_310088_2025,EXP_310088,2025,0.0,71147.77,0.0,AUCUN
BIL_EXP_310089_2023,EXP_310089,2023,402.48,58675.47,18111.6,LABEL_BAS_CARBONE
BIL_EXP_310089_2024,EXP_310089,2024,516.02,48715.37,23220.9,LABEL_BAS_CARBONE
BIL_EXP_310089_2025,EXP_310089,2025,441.36,64355.23,19861.2,LABEL_BAS_CARBONE
BIL_EXP_310090_2023,EXP_310090,2023,0.0,90720.92,0.0,AUCUN
BIL_EXP_310090_2024,EXP_310090,2024,0.0,56687.68,0.0,AUCUN
BIL_EXP_310090_2025,EXP_310090,2025,0.0,88154.46,0.0,AUCUN
BIL_EXP_310091_2023,EXP_310091,2023,529.32,48585.84,23819.4,Conversion Bio
BIL_EXP_310091_2024,EXP_310091,2024,298.0,44161.4,13410.0,Conversion Bio
BIL_EXP_310091_2025,EXP_310091,2025,579.04,62074.65,26056.8,Conversion Bio
BIL_EXP_310092_2023,EXP_310092,2023,425.07,75287.05,19128.15,LABEL_BAS_CARBONE
BIL_EXP_310092_2024,EXP_310092,2024,815.78,91835.89,36710.1,LABEL_BAS_CARBONE
BIL_EXP_310092_2025,EXP_310092,2025,525.97,103400.48,23668.65,LABEL_BAS_CARBONE
BIL_EXP_310093_2023,EXP_310093,2023,0.0,96342.44,0.0,AUCUN
BIL_EXP_310093_2024,EXP_310093,2024,0.0,89198.33,0.0,AUCUN
BIL_EXP_310093_2025,EXP_310093,2025,0.0,63956.11,0.0,AUCUN
BIL_EXP_310094_2023,EXP_310094,2023,0.0,71083.68,0.0,AUCUN
BIL_EXP_310094_2024,EXP_310094,2024,0.0,77355.89,0.0,AUCUN
BIL_EXP_310094_2025,EXP_310094,2025,0.0,64530.97,0.0,AUCUN
BIL_EXP_310095_2023,EXP_310095,2023,614.22,67714.35,27639.9,LABEL_BAS_CARBONE
BIL_EXP_310095_2024,EXP_310095,2024,1047.4,80512.19,47133.0,LABEL_BAS_CARBONE
BIL_EXP_310095_2025,EXP_310095,2025,1005.79,109585.33,45260.55,LABEL_BAS_CARBONE
BIL_EXP_310096_2023,EXP_310096,2023,0.0,12284.07,0.0,AUCUN
BIL_EXP_310096_2024,EXP_310096,2024,0.0,19563.76,0.0,AUCUN
BIL_EXP_310096_2025,EXP_310096,2025,0.0,15629.92,0.0,AUCUN
