id_medicament,id_finess_etablissement,nom_etablissement,code_cip13,nom_substance_active,quantite_en_stock_doses,jours_autonomie_restants,statut_approvisionnement
MED-00028,10005239,CH DU HAUT BUGEY - GEOVREISSET,3400930056789,Paracétamol Injectable IV 10mg/ml,698,33,STOCK_CONFORME
MED-00029,20000162,CH SAINT-QUENTIN,3400930077777,Morphine Sulfate 10mg,3706,9,REAPPROVISIONNEMENT_TENDU
MED-00030,20019329,HDJ INFANTO-JUVENILE CLINIQUE ROSERAIE,3400930056789,Paracétamol Injectable IV 10mg/ml,6029,11,STOCK_CONFORME
MED-00031,10012680,CHU FAST HÔTEL,3400930012345,Amoxicilline 1g,7467,40,STOCK_CONFORME
MED-00032,60000510,CH D'ANTIBES JUAN LES PINS,3400930066666,Cefotaxime 1g Poudre Solution,5471,7,REAPPROVISIONNEMENT_TENDU
MED-00033,20004693,EHPAD CH CHÂTEAU-THIERRY,3400930056789,Paracétamol Injectable IV 10mg/ml,6461,10,REAPPROVISIONNEMENT_TENDU
MED-00034,10786085,EHPAD CH PONT DE VAUX,3400930088888,Propofol Émulsion IV,7909,42,STOCK_CONFORME
MED-00035,20001061,CH CHÂTEAU-THIERRY,3400930012345,Amoxicilline 1g,3388,40,STOCK_CONFORME
MED-00036,60014529,EAM L'EOLIENNE DU CH DE BREIL,3400930012345,Amoxicilline 1g,3486,37,STOCK_CONFORME
MED-00037,70000179,CH ARDECHE NORD,3400930056789,Paracétamol Injectable IV 10mg/ml,6746,32,STOCK_CONFORME
MED-00038,50008630,HJ L'ESCALE BRIANCON,3400930088888,Propofol Émulsion IV,6393,16,STOCK_CONFORME
MED-00039,20014502,URCA EPSMD AISNE,3400930088888,Propofol Émulsion IV,6606,7,REAPPROVISIONNEMENT_TENDU
MED-00040,60780442,CLINIQUE SAINT FRANCOIS,3400930077777,Morphine Sulfate 10mg,7225,2,RUPTURE_AVEREE_CRITIQUE
MED-00041,10000180,CH PUBLIC HAUTEVILLE - UNITE ESPERANCE,3400930099999,Insuline Rapide 100 UI/ml,6226,19,STOCK_CONFORME
MED-00042,20014098,CENTRE PSYCHOTHÉRAPIQUE EPSMDA HIRSON,3400930012345,Amoxicilline 1g,3967,12,STOCK_CONFORME
MED-00043,20004776,EHPAD CH CHAUNY,3400930088888,Propofol Émulsion IV,2691,11,STOCK_CONFORME
MED-00044,40788887,HJ PSY GEN SISTERON,3400930099999,Insuline Rapide 100 UI/ml,5026,6,REAPPROVISIONNEMENT_TENDU
MED-00045,40788788,SSIAD DU CH DE RIEZ,3400930066666,Cefotaxime 1g Poudre Solution,1240,31,STOCK_CONFORME
MED-00046,10009744,FOYER RESIDENCE ROBERT SCHUMAN,3400930056789,Paracétamol Injectable IV 10mg/ml,1578,23,STOCK_CONFORME
MED-00047,10010171,CLINIQUE DE CHATILLON,3400930088888,Propofol Émulsion IV,1747,13,STOCK_CONFORME
MED-00048,50008929,SAAD ADMR DE BUECH ET CHAURANNE,3400930056789,Paracétamol Injectable IV 10mg/ml,4541,12,STOCK_CONFORME
MED-00049,40788580,HJ PSY IJ CHATEAU ARNOUX,3400930012345,Amoxicilline 1g,6091,39,STOCK_CONFORME
MED-00050,30785869,ESPACE CANGUILHEM,3400930077777,Morphine Sulfate 10mg,8013,22,STOCK_CONFORME
MED-00051,60780525,CLINIQUE LE VAL D'ESTREILLES,3400930066666,Cefotaxime 1g Poudre Solution,1070,27,STOCK_CONFORME
MED-00052,40000044,EPS DUCELIA DE CASTELLANE,3400930077777,Morphine Sulfate 10mg,2633,30,STOCK_CONFORME
MED-00053,20000386,CLINIQUE DE LA ROSERAIE,3400930099999,Insuline Rapide 100 UI/ml,7569,24,STOCK_CONFORME
MED-00054,40005258,IRM GIE IRM 04 SITE CH MANOSQUE,3400930088888,Propofol Émulsion IV,1488,5,REAPPROVISIONNEMENT_TENDU
MED-00055,10000099,CH DE MEXIMIEUX,3400930012345,Amoxicilline 1g,4687,23,STOCK_CONFORME
MED-00056,60007788,CENTRE DE FORMATION DU CH DE MENTON,3400930077777,Morphine Sulfate 10mg,6412,44,STOCK_CONFORME
MED-00057,30009849,CEGIDD - CH DE MOULINS YZEURE,3400930012345,Amoxicilline 1g,3469,27,STOCK_CONFORME
MED-00058,10789022,USLD CH DU PAYS DE GEX,3400930099999,Insuline Rapide 100 UI/ml,1597,18,STOCK_CONFORME
MED-00059,60000486,CH SAINT ELOI DE SOSPEL,3400930088888,Propofol Émulsion IV,4050,8,REAPPROVISIONNEMENT_TENDU
MED-00060,60780277,CLINIQUE SAINTE BRIGITTE,3400930056789,Paracétamol Injectable IV 10mg/ml,1106,19,STOCK_CONFORME
MED-00061,40000911,CENTRE HOSPITALIER DE DIGNE LES BAINS,3400930066666,Cefotaxime 1g Poudre Solution,193,24,STOCK_CONFORME
MED-00062,60793775,CHU DE NICE SLD DE L'HOPITAL DE CIMIEZ,3400930012345,Amoxicilline 1g,155,3,RUPTURE_AVEREE_CRITIQUE
MED-00063,20009437,CAMSP CH SOISSONS,3400930056789,Paracétamol Injectable IV 10mg/ml,5114,44,STOCK_CONFORME
MED-00064,30009013,CMP ADULTES CÉRILLY,3400930056789,Paracétamol Injectable IV 10mg/ml,7639,33,STOCK_CONFORME
MED-00065,10000032,CH BUGEY SUD,3400930088888,Propofol Émulsion IV,8010,22,STOCK_CONFORME
MED-00066,70006804,SSR L.ROUVEYROL CH ARDECHE MERIDIONALE,3400930056789,Paracétamol Injectable IV 10mg/ml,7394,40,STOCK_CONFORME
MED-00067,10789717,USLD CH D'OYONNAX,3400930012345,Amoxicilline 1g,8302,39,STOCK_CONFORME
MED-00068,10786879,CPEF DE BELLEY,3400930066666,Cefotaxime 1g Poudre Solution,4793,8,REAPPROVISIONNEMENT_TENDU
MED-00069,60023751,CSAPA CHU DE NICE,3400930077777,Morphine Sulfate 10mg,4601,42,STOCK_CONFORME
MED-00070,60790680,CH DE GRASSE CENTRE DE LONG SEJOUR,3400930056789,Paracétamol Injectable IV 10mg/ml,4265,20,STOCK_CONFORME
MED-00071,20018305,CHU AEP HIRSON,3400930066666,Cefotaxime 1g Poudre Solution,1076,38,STOCK_CONFORME
MED-00072,50008119,IRM GIE ALPES DU SUD SITE CH BRIANCON,3400930077777,Morphine Sulfate 10mg,893,16,STOCK_CONFORME
MED-00073,30000079,CH DE MONTLUCON,3400930077777,Morphine Sulfate 10mg,1441,36,STOCK_CONFORME
MED-00074,50009182,CHI DES ALPES DU SUD,3400930056789,Paracétamol Injectable IV 10mg/ml,363,15,STOCK_CONFORME
MED-00075,60788379,HJ CAGNES SUR MER CHS SAINTE MARIE,3400930056789,Paracétamol Injectable IV 10mg/ml,1374,31,STOCK_CONFORME
MED-00076,40788788,SSIAD DU CH DE RIEZ,3400930066666,Cefotaxime 1g Poudre Solution,869,19,STOCK_CONFORME
MED-00077,60780749,CLINIQUE SAINT LUC,3400930012345,Amoxicilline 1g,3680,36,STOCK_CONFORME
MED-00078,60780590,CLINIQUE DU PALAIS,3400930056789,Paracétamol Injectable IV 10mg/ml,1051,38,STOCK_CONFORME
MED-00079,20018305,CHU AEP HIRSON,3400930056789,Paracétamol Injectable IV 10mg/ml,4180,6,REAPPROVISIONNEMENT_TENDU
MED-00080,30784136,EHPAD DU CH DE BOURBON L'ARCHAMBAULT,3400930099999,Insuline Rapide 100 UI/ml,6094,23,STOCK_CONFORME
MED-00081,10006526,AURAL UNITE DIALYSE CH HAUT BUGEY,3400930012345,Amoxicilline 1g,7007,8,REAPPROVISIONNEMENT_TENDU
MED-00082,20018909,CLIC CH LA FERE,3400930077777,Morphine Sulfate 10mg,5062,10,REAPPROVISIONNEMENT_TENDU
MED-00083,70000609,CH ARDECHE MERIDIONALE - AUBENAS,3400930056789,Paracétamol Injectable IV 10mg/ml,3712,38,STOCK_CONFORME
MED-00084,20000162,CH SAINT-QUENTIN,3400930099999,Insuline Rapide 100 UI/ml,5089,37,STOCK_CONFORME
MED-00085,40788218,HJ YVES ARNOUX MANOSQUE,3400930012345,Amoxicilline 1g,6434,29,STOCK_CONFORME
MED-00086,60788262,HJ CHU NICE,3400930066666,Cefotaxime 1g Poudre Solution,7370,26,STOCK_CONFORME
MED-00087,40000069,CHI MANOSQUE SITE FORCALQUIER,3400930088888,Propofol Émulsion IV,1815,18,STOCK_CONFORME
MED-00088,50008697,HJ PSY IJ LA DOUCETTE GAP,3400930056789,Paracétamol Injectable IV 10mg/ml,866,23,STOCK_CONFORME
MED-00089,10012680,CHU FAST HÔTEL,3400930088888,Propofol Émulsion IV,6700,38,STOCK_CONFORME
MED-00090,60790177,CHU NICE CTRE DE CONVALESCENCE TENDE,3400930099999,Insuline Rapide 100 UI/ml,3490,8,REAPPROVISIONNEMENT_TENDU
MED-00091,70007398,EML SCM INVRV IRM CLINIQUE PASTEUR,3400930077777,Morphine Sulfate 10mg,6390,45,STOCK_CONFORME
MED-00092,20004693,EHPAD CH CHÂTEAU-THIERRY,3400930099999,Insuline Rapide 100 UI/ml,5944,32,STOCK_CONFORME
MED-00093,70006838,HOPITAL DE JOUR ADULTES VILLA SOPHIE,3400930056789,Paracétamol Injectable IV 10mg/ml,5251,38,STOCK_CONFORME
MED-00094,20018495,SCANNER CLINIQUE ST CLAUDE,3400930099999,Insuline Rapide 100 UI/ml,4133,15,STOCK_CONFORME
MED-00095,10789717,USLD CH D'OYONNAX,3400930088888,Propofol Émulsion IV,3024,25,STOCK_CONFORME
MED-00096,60790680,CH DE GRASSE CENTRE DE LONG SEJOUR,3400930088888,Propofol Émulsion IV,5317,18,STOCK_CONFORME
MED-00097,50000090,POLYCLINIQUE DES ALPES DU SUD GAP,3400930012345,Amoxicilline 1g,5398,9,REAPPROVISIONNEMENT_TENDU
MED-00098,60026127,IRM GIMBC SITE CH CANNES,3400930077777,Morphine Sulfate 10mg,7252,26,STOCK_CONFORME
MED-00099,20004990,CENTRE POUR ADOLESCENTS EPSMD AISNE,3400930077777,Morphine Sulfate 10mg,7877,10,REAPPROVISIONNEMENT_TENDU
MED-00100,10007458,CHU ALFA 3A,3400930056789,Paracétamol Injectable IV 10mg/ml,6140,2,RUPTURE_AVEREE_CRITIQUE
MED-00101,20008793,HJ EPSMD TERGNIER,3400930066666,Cefotaxime 1g Poudre Solution,5314,25,STOCK_CONFORME
MED-00102,50001841,LES SABOTS DE VENUS - CH D'AIGUILLES,3400930012345,Amoxicilline 1g,3523,29,STOCK_CONFORME
MED-00103,20018305,CHU AEP HIRSON,3400930077777,Morphine Sulfate 10mg,5929,28,STOCK_CONFORME
MED-00104,20001087,CH HIRSON,3400930077777,Morphine Sulfate 10mg,8323,32,STOCK_CONFORME
MED-00105,20014833,CAMSP CH SOISSONS CHÂTEAU-THIERRY,3400930056789,Paracétamol Injectable IV 10mg/ml,1326,4,REAPPROVISIONNEMENT_TENDU
MED-00106,60790094,CAMSP CH ANTIBES,3400930077777,Morphine Sulfate 10mg,6769,34,STOCK_CONFORME
MED-00107,20004776,EHPAD CH CHAUNY,3400930066666,Cefotaxime 1g Poudre Solution,3751,20,STOCK_CONFORME
MED-00108,20004727,USLD CH CHAUNY,3400930099999,Insuline Rapide 100 UI/ml,1757,43,STOCK_CONFORME
MED-00109,30785901,SSIAD DU CH DE BOURBON L'ARCHAMBAULT,3400930012345,Amoxicilline 1g,3859,25,STOCK_CONFORME
MED-00110,10011575,GIE IMAG MED HB - SITE CH HAUT BUGEY,3400930088888,Propofol Émulsion IV,1305,37,STOCK_CONFORME
MED-00111,20000162,CH SAINT-QUENTIN,3400930056789,Paracétamol Injectable IV 10mg/ml,8324,24,STOCK_CONFORME
MED-00112,20018453,SANTELYS DIALYSE À DOMICILE CH SOISSON,3400930077777,Morphine Sulfate 10mg,8458,45,STOCK_CONFORME
MED-00113,10011641,CLINIQUE DU SOUFFLE LE PONTET,3400930012345,Amoxicilline 1g,4526,2,RUPTURE_AVEREE_CRITIQUE
MED-00114,60789799,CAMSP CHU DE NICE,3400930077777,Morphine Sulfate 10mg,649,9,REAPPROVISIONNEMENT_TENDU
MED-00115,20009007,USLD CH GUISE,3400930077777,Morphine Sulfate 10mg,3846,16,STOCK_CONFORME
MED-00116,60000304,CENTRE HOSPITALIER DE BREIL SUR ROYA,3400930066666,Cefotaxime 1g Poudre Solution,7837,12,STOCK_CONFORME
MED-00117,10000099,CH DE MEXIMIEUX,3400930056789,Paracétamol Injectable IV 10mg/ml,5675,6,REAPPROVISIONNEMENT_TENDU
MED-00118,20004735,EHPAD CH LAON,3400930099999,Insuline Rapide 100 UI/ml,2593,41,STOCK_CONFORME
MED-00119,30784169,EHPAD CH COEUR DU BOURBONNAIS,3400930099999,Insuline Rapide 100 UI/ml,2145,11,STOCK_CONFORME
MED-00120,20009494,CENTRE EPSMD02 CHAUNY,3400930088888,Propofol Émulsion IV,6938,23,STOCK_CONFORME
MED-00121,50006014,SSIAD DU CH D'AIGUILLES,3400930012345,Amoxicilline 1g,7353,37,STOCK_CONFORME
MED-00122,60007788,CENTRE DE FORMATION DU CH DE MENTON,3400930088888,Propofol Émulsion IV,3912,38,STOCK_CONFORME
MED-00123,60022894,EHPAD ISOLA BELLA CH CANNES,3400930088888,Propofol Émulsion IV,4609,4,REAPPROVISIONNEMENT_TENDU
MED-00124,20006151,HJ EPSMD LA FÈRE,3400930099999,Insuline Rapide 100 UI/ml,4453,39,STOCK_CONFORME
MED-00125,60007879,GCS UNITE EVEIL CHU NICE UGECAM SIEGE,3400930077777,Morphine Sulfate 10mg,1325,28,STOCK_CONFORME
MED-00126,40000069,CHI MANOSQUE SITE FORCALQUIER,3400930077777,Morphine Sulfate 10mg,6137,8,REAPPROVISIONNEMENT_TENDU
MED-00127,60789195,CHU DE NICE HOPITAL DE L'ARCHET,3400930066666,Cefotaxime 1g Poudre Solution,1124,42,STOCK_CONFORME
MED-00128,20009213,SSIAD CH LA FÈRE,3400930088888,Propofol Émulsion IV,2293,21,STOCK_CONFORME
MED-00129,60790631,CH LA PALMOSA SLD DE MENTON,3400930066666,Cefotaxime 1g Poudre Solution,4119,5,REAPPROVISIONNEMENT_TENDU
MED-00130,60793981,CH PLANIFICATION GYN OBS DE GRASSE,3400930056789,Paracétamol Injectable IV 10mg/ml,6987,22,STOCK_CONFORME
MED-00131,10011112,EML VASELINA CLINIQUE CONVERT,3400930099999,Insuline Rapide 100 UI/ml,3099,27,STOCK_CONFORME
MED-00132,70000013,CH DE PRIVAS ARDECHE,3400930056789,Paracétamol Injectable IV 10mg/ml,2704,30,STOCK_CONFORME
MED-00133,20004735,EHPAD CH LAON,3400930088888,Propofol Émulsion IV,1865,32,STOCK_CONFORME
MED-00134,30009237,CMP ADULTES LURCY-LÉVIS,3400930077777,Morphine Sulfate 10mg,6305,18,STOCK_CONFORME
MED-00135,40000044,EPS DUCELIA DE CASTELLANE,3400930099999,Insuline Rapide 100 UI/ml,3123,31,STOCK_CONFORME
MED-00136,10780013,EHPAD DE DIVONNE DU CH DU PAYS DE GEX,3400930066666,Cefotaxime 1g Poudre Solution,5030,20,STOCK_CONFORME
MED-00137,20000394,CH LAON,3400930077777,Morphine Sulfate 10mg,7803,11,STOCK_CONFORME
MED-00138,10002129,CLINIQUE LES ARBELLES,3400930077777,Morphine Sulfate 10mg,2258,29,STOCK_CONFORME
MED-00139,60785003,CHU DE NICE HOPITAL PASTEUR,3400930099999,Insuline Rapide 100 UI/ml,3738,29,STOCK_CONFORME
MED-00140,50000330,PSY GEN LE CHABRE LARAGNE,3400930099999,Insuline Rapide 100 UI/ml,4774,31,STOCK_CONFORME
MED-00141,40787772,CENTRE HOSPIT SPE PSY DIGNE LES BAINS,3400930012345,Amoxicilline 1g,381,21,STOCK_CONFORME
MED-00142,30780548,POLYCLINIQUE LA PERGOLA,3400930099999,Insuline Rapide 100 UI/ml,3753,40,STOCK_CONFORME
MED-00143,20018248,CHU COALLIA ESSOMES SUR MARNE,3400930099999,Insuline Rapide 100 UI/ml,1222,31,STOCK_CONFORME
MED-00144,30784169,EHPAD CH COEUR DU BOURBONNAIS,3400930099999,Insuline Rapide 100 UI/ml,2849,2,RUPTURE_AVEREE_CRITIQUE
MED-00145,60014529,EAM L'EOLIENNE DU CH DE BREIL,3400930056789,Paracétamol Injectable IV 10mg/ml,4283,10,REAPPROVISIONNEMENT_TENDU
MED-00146,20009486,CAMSP CH SAINT-QUENTIN,3400930012345,Amoxicilline 1g,5349,45,STOCK_CONFORME
MED-00147,20009213,SSIAD CH LA FÈRE,3400930066666,Cefotaxime 1g Poudre Solution,5534,32,STOCK_CONFORME
MED-00148,30785901,SSIAD DU CH DE BOURBON L'ARCHAMBAULT,3400930056789,Paracétamol Injectable IV 10mg/ml,4492,32,STOCK_CONFORME
MED-00149,60788262,HJ CHU NICE,3400930088888,Propofol Émulsion IV,7968,1,RUPTURE_AVEREE_CRITIQUE
MED-00150,10002251,HDJ ADULTES CHATILLON,3400930099999,Insuline Rapide 100 UI/ml,7006,26,STOCK_CONFORME
MED-00151,20004388,CPEF CH SAINT-QUENTIN,3400930077777,Morphine Sulfate 10mg,5422,1,RUPTURE_AVEREE_CRITIQUE
MED-00152,50008697,HJ PSY IJ LA DOUCETTE GAP,3400930056789,Paracétamol Injectable IV 10mg/ml,5021,44,STOCK_CONFORME
MED-00153,60788742,CSAPA PREVADD ET CONSULT CH CANNES,3400930012345,Amoxicilline 1g,6596,37,STOCK_CONFORME
MED-00154,20006151,HJ EPSMD LA FÈRE,3400930012345,Amoxicilline 1g,5722,20,STOCK_CONFORME
MED-00155,20004156,CLINIQUE TEMPS DE VIE SAINT-QUENTIN,3400930077777,Morphine Sulfate 10mg,1706,5,REAPPROVISIONNEMENT_TENDU
MED-00156,10000107,CH DE PONT DE VAUX,3400930077777,Morphine Sulfate 10mg,6728,39,STOCK_CONFORME
MED-00157,60790573,INSTITUT MED BUCCO DENTAIRE RIQUIER,3400930012345,Amoxicilline 1g,7275,19,STOCK_CONFORME
MED-00158,60024940,HJ ATELIER THERAPEUTIQUE AGRICOLE,3400930077777,Morphine Sulfate 10mg,5473,13,STOCK_CONFORME
MED-00159,60780947,HOP PEDIATRIQUES DE NICE CHU LENVAL,3400930056789,Paracétamol Injectable IV 10mg/ml,6965,37,STOCK_CONFORME
MED-00160,70000039,CH DE VALLON PONT D'ARC,3400930077777,Morphine Sulfate 10mg,7530,21,STOCK_CONFORME
MED-00161,40000127,EPS VALLEE DE LA BLANCHE SEYNE ALPES,3400930012345,Amoxicilline 1g,1392,45,STOCK_CONFORME
MED-00162,20004974,EHPAD CH LE NOUVION-EN-THIÉRACHE,3400930099999,Insuline Rapide 100 UI/ml,5380,6,REAPPROVISIONNEMENT_TENDU
MED-00163,60021094,CLINIQUE VILLA ROMAINE,3400930088888,Propofol Émulsion IV,889,44,STOCK_CONFORME
MED-00164,20005476,USLD CH LAON,3400930012345,Amoxicilline 1g,6298,28,STOCK_CONFORME
MED-00165,60787835,HJ SAINTE AGATHE CHS SAINTE MARIE,3400930056789,Paracétamol Injectable IV 10mg/ml,1717,28,STOCK_CONFORME
MED-00166,20006151,HJ EPSMD LA FÈRE,3400930099999,Insuline Rapide 100 UI/ml,8382,33,STOCK_CONFORME
MED-00167,60780541,CLINIQUE LA GRANGEA,3400930012345,Amoxicilline 1g,96,25,STOCK_CONFORME
MED-00168,20001087,CH HIRSON,3400930056789,Paracétamol Injectable IV 10mg/ml,2112,21,STOCK_CONFORME
MED-00169,50000256,CENTRE HOSPITALIER D'EMBRUN,3400930077777,Morphine Sulfate 10mg,6662,4,REAPPROVISIONNEMENT_TENDU
MED-00170,10784510,EHPAD CH PAYS DE GEX,3400930012345,Amoxicilline 1g,1197,9,REAPPROVISIONNEMENT_TENDU
MED-00171,30000061,CH DE MOULINS,3400930077777,Morphine Sulfate 10mg,4458,17,STOCK_CONFORME
MED-00172,20002788,CENTRE PSYCHOTHÉRAPIQUE EPSMD AISNE,3400930088888,Propofol Émulsion IV,4235,27,STOCK_CONFORME
MED-00173,60014529,EAM L'EOLIENNE DU CH DE BREIL,3400930088888,Propofol Émulsion IV,4247,7,REAPPROVISIONNEMENT_TENDU
MED-00174,40788788,SSIAD DU CH DE RIEZ,3400930099999,Insuline Rapide 100 UI/ml,4014,27,STOCK_CONFORME
MED-00175,60000510,CH D'ANTIBES JUAN LES PINS,3400930099999,Insuline Rapide 100 UI/ml,4493,44,STOCK_CONFORME
MED-00176,20000030,EHPAD CH HIRSON,3400930012345,Amoxicilline 1g,7355,24,STOCK_CONFORME
MED-00177,20015749,FH APEI SOISSONS HÔPITAL,3400930012345,Amoxicilline 1g,4216,36,STOCK_CONFORME
MED-00178,20003877,SSR CH LAON,3400930088888,Propofol Émulsion IV,1994,28,STOCK_CONFORME
MED-00179,50001932,EFS ALPES MEDITERRANEE CH DE BRIANCON,3400930056789,Paracétamol Injectable IV 10mg/ml,142,18,STOCK_CONFORME
MED-00180,20004677,USLD CH SOISSONS,3400930077777,Morphine Sulfate 10mg,2018,5,REAPPROVISIONNEMENT_TENDU
MED-00181,40005035,HJ CASA CH DIGNE,3400930012345,Amoxicilline 1g,5892,38,STOCK_CONFORME
MED-00182,10011641,CLINIQUE DU SOUFFLE LE PONTET,3400930056789,Paracétamol Injectable IV 10mg/ml,4928,25,STOCK_CONFORME
MED-00183,70000013,CH DE PRIVAS ARDECHE,3400930056789,Paracétamol Injectable IV 10mg/ml,1035,28,STOCK_CONFORME
MED-00184,60788742,CSAPA PREVADD ET CONSULT CH CANNES,3400930012345,Amoxicilline 1g,6145,40,STOCK_CONFORME
MED-00185,60793932,CENTRE PLANIF GYN OBS CH CANNES,3400930099999,Insuline Rapide 100 UI/ml,3090,32,STOCK_CONFORME
MED-00186,20018305,CHU AEP HIRSON,3400930056789,Paracétamol Injectable IV 10mg/ml,1295,38,STOCK_CONFORME
MED-00187,60022894,EHPAD ISOLA BELLA CH CANNES,3400930066666,Cefotaxime 1g Poudre Solution,5068,11,STOCK_CONFORME
MED-00188,20004974,EHPAD CH LE NOUVION-EN-THIÉRACHE,3400930012345,Amoxicilline 1g,3117,16,STOCK_CONFORME
MED-00189,70005061,HOPITAL DE JOUR ADULTES AUBENAS,3400930056789,Paracétamol Injectable IV 10mg/ml,7619,45,STOCK_CONFORME
MED-00190,10784510,EHPAD CH PAYS DE GEX,3400930056789,Paracétamol Injectable IV 10mg/ml,6239,18,STOCK_CONFORME
MED-00191,20018339,CHU ARILE SOISSONS,3400930056789,Paracétamol Injectable IV 10mg/ml,6166,41,STOCK_CONFORME
MED-00192,30783880,EHPAD DU CH DE MOULINS-YZEURE,3400930088888,Propofol Émulsion IV,4312,27,STOCK_CONFORME
MED-00193,60780541,CLINIQUE LA GRANGEA,3400930099999,Insuline Rapide 100 UI/ml,3321,27,STOCK_CONFORME
MED-00194,40780520,CLINIQUE LE VERDON,3400930066666,Cefotaxime 1g Poudre Solution,886,8,REAPPROVISIONNEMENT_TENDU
MED-00195,60014479,EAM L'HELIANTHE CH DE PUGET THENIERS,3400930012345,Amoxicilline 1g,4829,4,REAPPROVISIONNEMENT_TENDU
MED-00196,30785885,HOPITAL DE JOUR PSY INFANTJUV,3400930012345,Amoxicilline 1g,2465,42,STOCK_CONFORME
MED-00197,60032604,PSY INF JUV HJ CH ANTIBES,3400930077777,Morphine Sulfate 10mg,3992,15,STOCK_CONFORME
MED-00198,40787772,CENTRE HOSPIT SPE PSY DIGNE LES BAINS,3400930088888,Propofol Émulsion IV,7604,15,STOCK_CONFORME
MED-00199,30000012,CH DE NERIS LES BAINS,3400930012345,Amoxicilline 1g,4994,3,RUPTURE_AVEREE_CRITIQUE
MED-00200,60788379,HJ CAGNES SUR MER CHS SAINTE MARIE,3400930077777,Morphine Sulfate 10mg,4018,32,STOCK_CONFORME
MED-00201,30783583,ULSD CH JACQUES LACARIN VICHY,3400930012345,Amoxicilline 1g,7925,33,STOCK_CONFORME
