id_planning,id_finess_etablissement,nom_etablissement,categorie_personnel,effectif_present,effectif_requis_h24,taux_absenteisme_pct,nombre_heures_supplementaires_semaine,statut_garde
PLN-00041,10000214,CH PUBLIC HAUTEVILLE - UNITE ALBARINE,Médecins Urgentistes,20,22,9.1,22.4,GARDE_CONFORME
PLN-00042,60780350,CLINIQUE LES HELLENIDES,Médecins Urgentistes,10,10,0.0,14.6,GARDE_CONFORME
PLN-00043,30009849,CEGIDD - CH DE MOULINS YZEURE,Anesthésistes Réanimateurs,25,27,7.4,7.1,GARDE_CONFORME
PLN-00044,20014643,CMP CH SAINT-QUENTIN,Anesthésistes Réanimateurs,16,20,20.0,13.0,GARDE_CONFORME
PLN-00045,40000119,EPS LUMIERE DE RIEZ,Aides-Soignants,37,42,11.9,7.0,GARDE_CONFORME
PLN-00046,10000065,CH DE TREVOUX - MONTPENSIER,Infirmiers IDE,6,11,45.5,15.6,SOUS_EFFECTIF_SEVERE
PLN-00047,20004693,EHPAD CH CHÂTEAU-THIERRY,Anesthésistes Réanimateurs,13,16,18.8,9.0,GARDE_CONFORME
PLN-00048,60014479,EAM L'HELIANTHE CH DE PUGET THENIERS,Médecins Urgentistes,17,24,29.2,20.5,SOUS_EFFECTIF_SEVERE
PLN-00049,50000330,PSY GEN LE CHABRE LARAGNE,Médecins Urgentistes,24,25,4.0,21.9,GARDE_CONFORME
PLN-00050,70006804,SSR L.ROUVEYROL CH ARDECHE MERIDIONALE,Anesthésistes Réanimateurs,31,44,29.5,20.4,SOUS_EFFECTIF_SEVERE
PLN-00051,10000131,CHI AIN VAL DE SAONE - THOISSEY,Anesthésistes Réanimateurs,31,42,26.2,14.1,SOUS_EFFECTIF_SEVERE
PLN-00052,40005035,HJ CASA CH DIGNE,Anesthésistes Réanimateurs,31,32,3.1,7.8,GARDE_CONFORME
PLN-00053,30780548,POLYCLINIQUE LA PERGOLA,Aides-Soignants,10,11,9.1,20.7,GARDE_CONFORME
PLN-00054,60785003,CHU DE NICE HOPITAL PASTEUR,Infirmiers IDE,23,28,17.9,7.6,GARDE_CONFORME
PLN-00055,60781200,CLINIQUE SAINT ANTOINE KANTYS CENTRE,Aides-Soignants,27,43,37.2,4.8,SOUS_EFFECTIF_SEVERE
PLN-00056,70000047,CH DE VILLENEUVE DE BERG,Aides-Soignants,35,45,22.2,10.7,SOUS_EFFECTIF_SEVERE
PLN-00057,20017455,SANTELYS DIALYSE À DOMICILE CH LAON,Médecins Urgentistes,32,43,25.6,8.5,SOUS_EFFECTIF_SEVERE
PLN-00058,20009809,RADIO CH SOISSONS / INSTITUT GODINOT,Aides-Soignants,36,40,10.0,17.4,GARDE_CONFORME
PLN-00059,30009203,CMP ADULTES VALIGNY/LURCY,Aides-Soignants,14,19,26.3,12.2,SOUS_EFFECTIF_SEVERE
PLN-00060,20012423,SSIAD CH GUISE,Aides-Soignants,15,26,42.3,20.5,SOUS_EFFECTIF_SEVERE
PLN-00061,70005202,IFSI-IFAS CH ARDÈCHE NORD,Médecins Urgentistes,28,35,20.0,19.3,GARDE_CONFORME
PLN-00062,70005228,IFSI-IFAS CH ARDECHE MERIDIONALE,Infirmiers IDE,20,30,33.3,9.6,SOUS_EFFECTIF_SEVERE
PLN-00063,20000154,HJ EPSMD SAINT-QUENTIN,Aides-Soignants,26,43,39.5,9.0,SOUS_EFFECTIF_SEVERE
PLN-00064,20000246,CH VERVINS,Médecins Urgentistes,43,44,2.3,4.1,GARDE_CONFORME
PLN-00065,30785430,POLYCLINIQUE SAINT-ODILON,Infirmiers IDE,19,19,0.0,17.1,GARDE_CONFORME
PLN-00066,60026127,IRM GIMBC SITE CH CANNES,Infirmiers IDE,16,23,30.4,5.3,SOUS_EFFECTIF_SEVERE
PLN-00067,20014676,CMP CH SAINT-QUENTIN BOHAIN-EN-VER,Aides-Soignants,20,23,13.0,22.5,GARDE_CONFORME
PLN-00068,20018271,CHU L'ESCAL'YPSO COALLIA SOISSONS,Anesthésistes Réanimateurs,39,42,7.1,11.0,GARDE_CONFORME
PLN-00069,10000024,CH DE FLEYRIAT,Infirmiers IDE,13,23,43.5,11.8,SOUS_EFFECTIF_SEVERE
PLN-00070,10002251,HDJ ADULTES CHATILLON,Anesthésistes Réanimateurs,28,30,6.7,21.7,GARDE_CONFORME
PLN-00071,60788262,HJ CHU NICE,Aides-Soignants,15,26,42.3,21.2,SOUS_EFFECTIF_SEVERE
PLN-00072,30782916,IFSI IFAS MARCEL HAY CH MONTLUCON,Aides-Soignants,31,36,13.9,11.1,GARDE_CONFORME
PLN-00073,60780277,CLINIQUE SAINTE BRIGITTE,Anesthésistes Réanimateurs,28,40,30.0,13.0,SOUS_EFFECTIF_SEVERE
PLN-00074,20000535,CH CHAUNY,Infirmiers IDE,16,21,23.8,12.7,SOUS_EFFECTIF_SEVERE
PLN-00075,60788791,CMP CATTP IJ LA PARENTHESE CH CANNES,Infirmiers IDE,10,11,9.1,8.7,GARDE_CONFORME
PLN-00076,50000256,CENTRE HOSPITALIER D'EMBRUN,Médecins Urgentistes,25,26,3.8,12.6,GARDE_CONFORME
PLN-00077,70000021,CH DE JOYEUSE,Médecins Urgentistes,17,20,15.0,19.7,GARDE_CONFORME
PLN-00078,10011120,EML SCAN/IRM DRS CLINIQUE CONVERT,Infirmiers IDE,10,18,44.4,22.1,SOUS_EFFECTIF_SEVERE
PLN-00079,40780389,CLINIQUE JEAN GIONO,Infirmiers IDE,24,26,7.7,15.3,GARDE_CONFORME
PLN-00080,30000012,CH DE NERIS LES BAINS,Médecins Urgentistes,30,32,6.2,13.1,GARDE_CONFORME
PLN-00081,50008929,SAAD ADMR DE BUECH ET CHAURANNE,Infirmiers IDE,38,45,15.6,4.4,GARDE_CONFORME
PLN-00082,30007587,EML IRM - SITE CH DE MOULINS YZEURE,Infirmiers IDE,7,10,30.0,18.1,SOUS_EFFECTIF_SEVERE
PLN-00083,30780589,CHS D'YZEURE,Infirmiers IDE,33,36,8.3,7.6,GARDE_CONFORME
PLN-00084,40788788,SSIAD DU CH DE RIEZ,Médecins Urgentistes,18,18,0.0,8.7,GARDE_CONFORME
PLN-00085,70000070,CH DU CHEYLARD,Aides-Soignants,12,14,14.3,12.0,GARDE_CONFORME
PLN-00086,10005239,CH DU HAUT BUGEY - GEOVREISSET,Anesthésistes Réanimateurs,14,17,17.6,15.7,GARDE_CONFORME
PLN-00087,60002102,CH LA PALMOSA DE MENTON,Médecins Urgentistes,25,29,13.8,7.4,GARDE_CONFORME
PLN-00088,20004529,HJ EPSMD HIRSON,Médecins Urgentistes,37,38,2.6,5.3,GARDE_CONFORME
PLN-00089,10007458,CHU ALFA 3A,Médecins Urgentistes,26,35,25.7,11.5,SOUS_EFFECTIF_SEVERE
PLN-00090,20004735,EHPAD CH LAON,Médecins Urgentistes,18,27,33.3,19.8,SOUS_EFFECTIF_SEVERE
PLN-00091,60787801,HOPITAL DU PETIT PARIS,Médecins Urgentistes,11,14,21.4,19.2,SOUS_EFFECTIF_SEVERE
PLN-00092,20014296,EHPAD CH SAINT-QUENTIN,Médecins Urgentistes,24,30,20.0,17.7,GARDE_CONFORME
PLN-00093,60032406,CLINIQUE GRIMALDI,Médecins Urgentistes,18,21,14.3,11.7,GARDE_CONFORME
PLN-00094,60007788,CENTRE DE FORMATION DU CH DE MENTON,Anesthésistes Réanimateurs,17,27,37.0,14.5,SOUS_EFFECTIF_SEVERE
PLN-00095,60780756,POLYCLINIQUE SANTA MARIA,Anesthésistes Réanimateurs,7,13,46.2,11.7,SOUS_EFFECTIF_SEVERE
PLN-00096,60787777,CMP CATTP IJ LES VIOLETTES CH CANNES,Anesthésistes Réanimateurs,29,44,34.1,21.6,SOUS_EFFECTIF_SEVERE
PLN-00097,60780517,POLYCLINIQUE SAINT JEAN,Médecins Urgentistes,40,45,11.1,19.2,GARDE_CONFORME
PLN-00098,30000087,CH JACQUES LACARIN VICHY,Aides-Soignants,17,20,15.0,21.2,GARDE_CONFORME
PLN-00099,60780442,CLINIQUE SAINT FRANCOIS,Aides-Soignants,7,11,36.4,5.5,SOUS_EFFECTIF_SEVERE
PLN-00100,50005958,CH DE BRIANCON SLD,Anesthésistes Réanimateurs,15,19,21.1,12.0,SOUS_EFFECTIF_SEVERE
PLN-00101,60019288,GCS HOP PEDIA NICE CHU LENVAL ET SIEGE,Anesthésistes Réanimateurs,19,26,26.9,19.7,SOUS_EFFECTIF_SEVERE
PLN-00102,60780590,CLINIQUE DU PALAIS,Aides-Soignants,9,12,25.0,20.2,SOUS_EFFECTIF_SEVERE
PLN-00103,70005046,HDJ ADULTE GUILHERAND,Infirmiers IDE,6,9,33.3,9.9,SOUS_EFFECTIF_SEVERE
PLN-00104,60026119,IRM SCAN GIE GRASCANNER SITE CH GRASSE,Infirmiers IDE,18,21,14.3,16.4,GARDE_CONFORME
PLN-00105,60781929,CLINIQUE DE LA COSTIERE,Infirmiers IDE,22,27,18.5,10.4,GARDE_CONFORME
PLN-00106,10000180,CH PUBLIC HAUTEVILLE - UNITE ESPERANCE,Infirmiers IDE,35,37,5.4,16.8,GARDE_CONFORME
PLN-00107,10000198,CH PUBLIC HAUTEVILLE - UNITE INTERDEPT,Aides-Soignants,17,25,32.0,6.6,SOUS_EFFECTIF_SEVERE
PLN-00108,60003779,SSIAD CH DU PAYS DE LA ROUDOULE,Médecins Urgentistes,15,21,28.6,15.5,SOUS_EFFECTIF_SEVERE
PLN-00109,10784510,EHPAD CH PAYS DE GEX,Anesthésistes Réanimateurs,26,32,18.8,15.4,GARDE_CONFORME
PLN-00110,60013729,FAM DU CH DE SAINT ETIENNE DE TINEE,Anesthésistes Réanimateurs,6,10,40.0,20.8,SOUS_EFFECTIF_SEVERE
PLN-00111,60780277,CLINIQUE SAINTE BRIGITTE,Médecins Urgentistes,12,13,7.7,20.8,GARDE_CONFORME
PLN-00112,40003212,CAMSP CH DIGNE,Infirmiers IDE,39,40,2.5,13.6,GARDE_CONFORME
PLN-00113,70006465,HOPITAL DE JOUR ENFANTS PRIVAS,Anesthésistes Réanimateurs,7,10,30.0,18.2,SOUS_EFFECTIF_SEVERE
PLN-00114,60780459,CLINIQUE ORSAC MONTFLEURI,Anesthésistes Réanimateurs,40,40,0.0,20.1,GARDE_CONFORME
PLN-00115,60032604,PSY INF JUV HJ CH ANTIBES,Infirmiers IDE,16,27,40.7,17.8,SOUS_EFFECTIF_SEVERE
PLN-00116,60793775,CHU DE NICE SLD DE L'HOPITAL DE CIMIEZ,Médecins Urgentistes,27,36,25.0,7.7,SOUS_EFFECTIF_SEVERE
PLN-00117,60013729,FAM DU CH DE SAINT ETIENNE DE TINEE,Médecins Urgentistes,32,44,27.3,10.2,SOUS_EFFECTIF_SEVERE
PLN-00118,60030889,CATTP IJ COEUR DE GRASSE CH CANNES,Aides-Soignants,32,43,25.6,10.9,SOUS_EFFECTIF_SEVERE
PLN-00119,20016366,SMUR CH SAINT-QUENTIN GUISE,Anesthésistes Réanimateurs,17,17,0.0,15.2,GARDE_CONFORME
PLN-00120,50008119,IRM GIE ALPES DU SUD SITE CH BRIANCON,Médecins Urgentistes,24,26,7.7,18.3,GARDE_CONFORME
PLN-00121,10002129,CLINIQUE LES ARBELLES,Anesthésistes Réanimateurs,8,13,38.5,10.2,SOUS_EFFECTIF_SEVERE
PLN-00122,20004669,EHPAD CH SOISSONS,Anesthésistes Réanimateurs,32,39,17.9,20.8,GARDE_CONFORME
PLN-00123,50005958,CH DE BRIANCON SLD,Infirmiers IDE,39,42,7.1,4.5,GARDE_CONFORME
PLN-00124,30009211,CMP ADULTES SAINT BONNET TRONÇAIS,Médecins Urgentistes,6,9,33.3,4.1,SOUS_EFFECTIF_SEVERE
PLN-00125,60000304,CENTRE HOSPITALIER DE BREIL SUR ROYA,Médecins Urgentistes,18,20,10.0,4.5,GARDE_CONFORME
PLN-00126,60014529,EAM L'EOLIENNE DU CH DE BREIL,Infirmiers IDE,26,26,0.0,16.7,GARDE_CONFORME
PLN-00127,20004750,EHPAD CH VERVINS,Infirmiers IDE,22,35,37.1,22.1,SOUS_EFFECTIF_SEVERE
PLN-00128,20004990,CENTRE POUR ADOLESCENTS EPSMD AISNE,Médecins Urgentistes,37,40,7.5,15.9,GARDE_CONFORME
PLN-00129,30783583,ULSD CH JACQUES LACARIN VICHY,Médecins Urgentistes,16,24,33.3,12.0,SOUS_EFFECTIF_SEVERE
PLN-00130,30000061,CH DE MOULINS,Anesthésistes Réanimateurs,10,10,0.0,18.2,GARDE_CONFORME
PLN-00131,50001841,LES SABOTS DE VENUS - CH D'AIGUILLES,Aides-Soignants,21,28,25.0,14.9,SOUS_EFFECTIF_SEVERE
PLN-00132,60026119,IRM SCAN GIE GRASCANNER SITE CH GRASSE,Infirmiers IDE,29,31,6.5,22.3,GARDE_CONFORME
PLN-00133,70000609,CH ARDECHE MERIDIONALE - AUBENAS,Infirmiers IDE,24,32,25.0,21.8,SOUS_EFFECTIF_SEVERE
PLN-00134,70007455,CENTRE DE SANTE CH ARDECHE MERIDIONALE,Infirmiers IDE,34,35,2.9,22.4,GARDE_CONFORME
PLN-00135,20004529,HJ EPSMD HIRSON,Aides-Soignants,9,9,0.0,18.2,GARDE_CONFORME
PLN-00136,60793981,CH PLANIFICATION GYN OBS DE GRASSE,Médecins Urgentistes,30,42,28.6,10.9,SOUS_EFFECTIF_SEVERE
PLN-00137,60026127,IRM GIMBC SITE CH CANNES,Infirmiers IDE,28,42,33.3,12.8,SOUS_EFFECTIF_SEVERE
PLN-00138,50000348,CHI DES ALPES DU SUD SITE DE GAP,Médecins Urgentistes,15,16,6.2,7.6,GARDE_CONFORME
PLN-00139,10789717,USLD CH D'OYONNAX,Anesthésistes Réanimateurs,28,33,15.2,14.2,GARDE_CONFORME
PLN-00140,30009237,CMP ADULTES LURCY-LÉVIS,Infirmiers IDE,19,21,9.5,14.8,GARDE_CONFORME
PLN-00141,30007835,MAISON COMMUNAUTAIRE,Médecins Urgentistes,19,33,42.4,7.8,SOUS_EFFECTIF_SEVERE
PLN-00142,20009577,SSIAD CH LE NOUVION-EN-THIÉRACHE,Aides-Soignants,28,42,33.3,10.4,SOUS_EFFECTIF_SEVERE
PLN-00143,60785003,CHU DE NICE HOPITAL PASTEUR,Infirmiers IDE,16,22,27.3,6.0,SOUS_EFFECTIF_SEVERE
PLN-00144,20008793,HJ EPSMD TERGNIER,Anesthésistes Réanimateurs,16,16,0.0,13.8,GARDE_CONFORME
PLN-00145,10013134,CEGIDD - CH BOURG-EN-BRESSE FLEYRIAT,Anesthésistes Réanimateurs,26,32,18.8,5.5,GARDE_CONFORME
PLN-00146,30009864,CEGIDD - CH DE MOULINS YZEURE,Anesthésistes Réanimateurs,12,17,29.4,19.7,SOUS_EFFECTIF_SEVERE
PLN-00147,60024395,CHU DE NICE ANTENNE SMUR SITE CH,Aides-Soignants,32,32,0.0,20.4,GARDE_CONFORME
PLN-00148,60780277,CLINIQUE SAINTE BRIGITTE,Anesthésistes Réanimateurs,31,40,22.5,13.6,SOUS_EFFECTIF_SEVERE
PLN-00149,30009864,CEGIDD - CH DE MOULINS YZEURE,Anesthésistes Réanimateurs,29,29,0.0,11.6,GARDE_CONFORME
PLN-00150,60790862,CLINIQUE LE CALME,Aides-Soignants,8,12,33.3,17.6,SOUS_EFFECTIF_SEVERE
PLN-00151,60780459,CLINIQUE ORSAC MONTFLEURI,Anesthésistes Réanimateurs,12,19,36.8,8.3,SOUS_EFFECTIF_SEVERE
PLN-00152,20004735,EHPAD CH LAON,Infirmiers IDE,26,39,33.3,15.8,SOUS_EFFECTIF_SEVERE
PLN-00153,60790177,CHU NICE CTRE DE CONVALESCENCE TENDE,Médecins Urgentistes,20,27,25.9,5.5,SOUS_EFFECTIF_SEVERE
PLN-00154,60032604,PSY INF JUV HJ CH ANTIBES,Médecins Urgentistes,24,30,20.0,17.4,GARDE_CONFORME
PLN-00155,20000154,HJ EPSMD SAINT-QUENTIN,Aides-Soignants,14,17,17.6,11.4,GARDE_CONFORME
PLN-00156,70000203,CH DE SAINT FELICIEN,Anesthésistes Réanimateurs,12,17,29.4,8.6,SOUS_EFFECTIF_SEVERE
PLN-00157,20004677,USLD CH SOISSONS,Anesthésistes Réanimateurs,14,18,22.2,21.7,SOUS_EFFECTIF_SEVERE
PLN-00158,10003598,IFAS CH DU HAUT BUGEY,Aides-Soignants,22,30,26.7,16.6,SOUS_EFFECTIF_SEVERE
PLN-00159,20004750,EHPAD CH VERVINS,Aides-Soignants,30,30,0.0,7.0,GARDE_CONFORME
PLN-00160,10000065,CH DE TREVOUX - MONTPENSIER,Aides-Soignants,16,25,36.0,8.9,SOUS_EFFECTIF_SEVERE
PLN-00161,60790862,CLINIQUE LE CALME,Infirmiers IDE,37,42,11.9,16.8,GARDE_CONFORME
PLN-00162,60001625,CENTRE JEAN CHANTON ROQUEBILLIERE,Médecins Urgentistes,13,19,31.6,19.8,SOUS_EFFECTIF_SEVERE
PLN-00163,40006686,IFP CH DIGNE-LES-BAINS SITE MANOSQUE,Médecins Urgentistes,26,32,18.8,10.6,GARDE_CONFORME
PLN-00164,70007398,EML SCM INVRV IRM CLINIQUE PASTEUR,Médecins Urgentistes,22,38,42.1,21.2,SOUS_EFFECTIF_SEVERE
PLN-00165,40003212,CAMSP CH DIGNE,Infirmiers IDE,18,20,10.0,7.1,GARDE_CONFORME
PLN-00166,60788262,HJ CHU NICE,Anesthésistes Réanimateurs,19,19,0.0,7.5,GARDE_CONFORME
PLN-00167,60024932,HJ DU CONGRES CHS SAINTE MARIE,Médecins Urgentistes,19,19,0.0,5.4,GARDE_CONFORME
PLN-00168,20015053,CSAPA - CH DE CHAUNY,Médecins Urgentistes,42,45,6.7,16.6,GARDE_CONFORME
PLN-00169,70006465,HOPITAL DE JOUR ENFANTS PRIVAS,Infirmiers IDE,32,33,3.0,14.2,GARDE_CONFORME
PLN-00170,70004957,CSAPA CH ARDECHE MERIDIONALE,Infirmiers IDE,37,44,15.9,13.0,GARDE_CONFORME
PLN-00171,30009005,CATTP DU CH DAINAY LE CHATEAU,Médecins Urgentistes,29,34,14.7,21.7,GARDE_CONFORME
PLN-00172,30000012,CH DE NERIS LES BAINS,Médecins Urgentistes,15,21,28.6,17.9,SOUS_EFFECTIF_SEVERE
PLN-00173,10011112,EML VASELINA CLINIQUE CONVERT,Aides-Soignants,28,39,28.2,22.0,SOUS_EFFECTIF_SEVERE
PLN-00174,70005046,HDJ ADULTE GUILHERAND,Médecins Urgentistes,30,34,11.8,11.2,GARDE_CONFORME
PLN-00175,70006465,HOPITAL DE JOUR ENFANTS PRIVAS,Anesthésistes Réanimateurs,25,31,19.4,18.9,GARDE_CONFORME
PLN-00176,60780558,CLINIQUE FSEF VENCE,Anesthésistes Réanimateurs,14,24,41.7,17.6,SOUS_EFFECTIF_SEVERE
PLN-00177,20004677,USLD CH SOISSONS,Infirmiers IDE,12,17,29.4,16.5,SOUS_EFFECTIF_SEVERE
PLN-00178,60780145,CLINIQUE SAINT DOMINIQUE,Aides-Soignants,22,38,42.1,14.1,SOUS_EFFECTIF_SEVERE
PLN-00179,10000180,CH PUBLIC HAUTEVILLE - UNITE ESPERANCE,Aides-Soignants,14,14,0.0,12.3,GARDE_CONFORME
PLN-00180,10010163,CHMS - SITE BELLEY LABO BIO MEDICALE,Anesthésistes Réanimateurs,9,11,18.2,15.5,GARDE_CONFORME
PLN-00181,60026150,IRM GIE GRAMO SITE CH ANTIBES,Infirmiers IDE,18,24,25.0,22.3,SOUS_EFFECTIF_SEVERE
PLN-00182,20004776,EHPAD CH CHAUNY,Anesthésistes Réanimateurs,31,33,6.1,14.0,GARDE_CONFORME
PLN-00183,60790177,CHU NICE CTRE DE CONVALESCENCE TENDE,Aides-Soignants,15,23,34.8,6.9,SOUS_EFFECTIF_SEVERE
PLN-00184,40788580,HJ PSY IJ CHATEAU ARNOUX,Anesthésistes Réanimateurs,31,31,0.0,5.7,GARDE_CONFORME
PLN-00185,70004957,CSAPA CH ARDECHE MERIDIONALE,Aides-Soignants,17,17,0.0,19.7,GARDE_CONFORME
PLN-00186,10009744,FOYER RESIDENCE ROBERT SCHUMAN,Aides-Soignants,12,14,14.3,17.9,GARDE_CONFORME
PLN-00187,60780749,CLINIQUE SAINT LUC,Anesthésistes Réanimateurs,29,32,9.4,14.8,GARDE_CONFORME
PLN-00188,30784169,EHPAD CH COEUR DU BOURBONNAIS,Médecins Urgentistes,37,38,2.6,9.3,GARDE_CONFORME
PLN-00189,70006465,HOPITAL DE JOUR ENFANTS PRIVAS,Anesthésistes Réanimateurs,27,31,12.9,18.5,GARDE_CONFORME
PLN-00190,10007599,CHU ADSEA 01,Médecins Urgentistes,15,20,25.0,19.9,SOUS_EFFECTIF_SEVERE
PLN-00191,10012680,CHU FAST HÔTEL,Aides-Soignants,18,24,25.0,10.7,SOUS_EFFECTIF_SEVERE
PLN-00192,70005046,HDJ ADULTE GUILHERAND,Médecins Urgentistes,14,16,12.5,7.0,GARDE_CONFORME
PLN-00193,60787587,HJ SAINT MICHEL CHS SAINTE MARIE,Infirmiers IDE,38,39,2.6,19.9,GARDE_CONFORME
PLN-00194,10007904,HDJ ADULTES MONTLUEL,Médecins Urgentistes,17,19,10.5,7.7,GARDE_CONFORME
PLN-00195,20004586,EHPAD CH SAINT-QUENTIN HUGO,Anesthésistes Réanimateurs,38,43,11.6,19.0,GARDE_CONFORME
PLN-00196,60790573,INSTITUT MED BUCCO DENTAIRE RIQUIER,Anesthésistes Réanimateurs,39,44,11.4,8.7,GARDE_CONFORME
PLN-00197,60000544,CH DE CANNES SIMONE VEIL,Aides-Soignants,36,39,7.7,16.5,GARDE_CONFORME
PLN-00198,10000099,CH DE MEXIMIEUX,Médecins Urgentistes,14,19,26.3,4.8,SOUS_EFFECTIF_SEVERE
PLN-00199,10000107,CH DE PONT DE VAUX,Infirmiers IDE,25,33,24.2,8.2,SOUS_EFFECTIF_SEVERE
