id_bloc_operatoire,id_finess_etablissement,nom_etablissement,specialite_chirurgicale,nombre_salles_operatoires,taux_utilisation_bloc_pct,nombre_interventions_programmees,nombre_interventions_urgentes,delai_moyen_attente_chirurgie_jours
BLOC-0027,10012235,SERVICE D'ACCUEIL DE JOUR VIVRE VILLE,Chirurgie Viscérale & Digestive,13,89.4,115,14,16
BLOC-0028,70007166,EYRIEUX SANTE,Orthopédie & Traumatologie,7,61.5,85,7,10
BLOC-0029,10007094,SAAD ADMR CENTRE-DOMBES,Orthopédie & Traumatologie,13,91.2,90,14,34
BLOC-0030,60007739,IFAS DU CH D'ANTIBES,Chirurgie Viscérale & Digestive,18,93.3,94,29,2
BLOC-0031,30781058,MECS ASSOC ENTRAIDE UNION,Cardiologie Interventionnelle,16,61.0,87,7,16
BLOC-0032,40005209,HJ CMP CH DIGNE,Orthopédie & Traumatologie,4,95.7,78,10,2
BLOC-0033,60787348,CENTRE PMI DE VENCE,Chirurgie Viscérale & Digestive,12,70.6,73,15,27
BLOC-0034,30005318,BIEN VIVRE A DOMICILE (BVAD) YZEURE,Oncologie Chirurgicale,11,61.0,119,7,9
BLOC-0035,10008860,ASSOCIATION ECLAT,Oncologie Chirurgicale,16,68.4,102,26,19
BLOC-0036,60012069,EHPAD LA CORNICHE FLEURIE,Orthopédie & Traumatologie,12,66.9,67,34,34
BLOC-0037,10012672,HÉBERGEMENT D'URGENCE PRE-GU-EM,Orthopédie & Traumatologie,8,84.6,92,4,8
BLOC-0038,50006048,MAS DES ECRINS,Neurologie & Neurochirurgie,11,84.4,34,11,26
BLOC-0039,10009751,RESIDENCE DU TREVE,Chirurgie Viscérale & Digestive,8,60.7,89,13,21
BLOC-0040,10790384,MARPA DE MANZIAT,Oncologie Chirurgicale,15,95.3,107,13,2
BLOC-0041,10010411,MAISON DE SANTE BOURG-EN-BRESSE/NORD,Orthopédie & Traumatologie,16,94.8,90,23,23
BLOC-0042,50009117,SAAD DU CH D'AIGUILLES QUEYRAS,Oncologie Chirurgicale,14,79.2,41,11,15
BLOC-0043,60030087,RESIDENCE ACCUEIL VILLA BREA,Chirurgie Viscérale & Digestive,6,98.0,105,20,22
BLOC-0044,60780087,EEAP LES HIRONDELLES,Cardiologie Interventionnelle,15,70.6,56,13,20
BLOC-0045,10000214,CH PUBLIC HAUTEVILLE - UNITE ALBARINE,Chirurgie Viscérale & Digestive,11,96.3,77,15,7
BLOC-0046,60032190,ADMR HAUT PAILLON,Cardiologie Interventionnelle,17,67.2,98,32,7
BLOC-0047,60010758,SAVS APF FRANCE HANDICAP,Oncologie Chirurgicale,9,86.8,100,28,35
BLOC-0048,30004477,SELARL PHARMACIE RABOISSON,Neurologie & Neurochirurgie,8,64.6,63,22,22
BLOC-0049,20009403,LA BOISSELLE SAINT-QUENTIN,Neurologie & Neurochirurgie,14,85.7,103,5,8
BLOC-0050,20014809,CHRS COALLIA SOISSONS,Cardiologie Interventionnelle,15,94.2,97,17,13
BLOC-0051,60782109,FOYER DE VIE LES BOUGAINVILLIERS,Cardiologie Interventionnelle,15,97.0,93,7,29
BLOC-0052,10000065,CH DE TREVOUX - MONTPENSIER,Chirurgie Viscérale & Digestive,9,61.4,107,26,19
BLOC-0053,20017349,MAS DE PREMONTRE,Cardiologie Interventionnelle,5,61.2,111,34,13
BLOC-0054,60023900,LBM BIOESTEREL SITE LA COLLE SUR LOUP,Oncologie Chirurgicale,18,88.6,52,17,43
BLOC-0055,20004818,UEMO DE SAINT QUENTIN,Chirurgie Viscérale & Digestive,17,62.8,87,24,30
BLOC-0056,60791126,RESIDENCE AUTONOMIE LE RIOU,Chirurgie Viscérale & Digestive,5,81.1,91,34,19
BLOC-0057,10006054,GRANDE PHARMACIE DE VILLARS,Chirurgie Viscérale & Digestive,7,86.6,110,28,33
BLOC-0058,10003051,PHARMACIE DU PLATEAU,Cardiologie Interventionnelle,9,77.1,93,24,40
BLOC-0059,20015848,LBM SYNLAB NORD DE FRANCE SAINT-QUENTI,Chirurgie Viscérale & Digestive,5,73.1,106,6,38
BLOC-0060,10005288,ESAT HORS LES MURS LADAPT,Neurologie & Neurochirurgie,8,93.8,55,25,4
BLOC-0061,50008606,CAMPING NAPOLEON,Cardiologie Interventionnelle,12,89.2,112,33,32
BLOC-0062,30004147,PHARMACIE DE LA MADELEINE,Chirurgie Viscérale & Digestive,6,86.3,57,15,36
BLOC-0063,10011815,RÉSIDENCE SOCIALE TORTEREL,Neurologie & Neurochirurgie,17,91.3,92,35,42
BLOC-0064,40005811,SAAD ADMR DE SEYNE,Oncologie Chirurgicale,5,91.0,91,14,15
BLOC-0065,60017514,SELAS GRANDE PHARMACIE DU SUD,Cardiologie Interventionnelle,8,87.0,62,26,20
BLOC-0066,60025475,IME LE MOULIN SECONDAIRE,Chirurgie Viscérale & Digestive,15,92.6,82,9,41
BLOC-0067,20015624,GCS IMAGERIE SOISSONS SIÈGE,Cardiologie Interventionnelle,10,86.2,104,5,43
BLOC-0068,70003470,PHARMACIE AMPHOUX - BOURGUE,Cardiologie Interventionnelle,16,66.5,93,7,29
BLOC-0069,50008713,LHSS EDITH SELTZER,Orthopédie & Traumatologie,5,82.3,54,7,6
BLOC-0070,60016227,PHARMACIE DU VALLON DES FLEURS,Cardiologie Interventionnelle,16,69.4,52,18,14
BLOC-0071,60015849,PHARMACIE DE FALICON,Cardiologie Interventionnelle,16,86.0,117,4,43
BLOC-0072,30008460,CATTP ADOLESCENTS CUSSET,Oncologie Chirurgicale,16,73.7,47,22,25
BLOC-0073,60032919,ADMR CANTARON,Cardiologie Interventionnelle,6,91.0,113,31,3
BLOC-0074,60021201,CENTRE DE CONVALESCENCE ATLANTIS,Chirurgie Viscérale & Digestive,15,96.8,45,27,18
BLOC-0075,20006169,FE EDEF LAON DEBUISSON,Cardiologie Interventionnelle,4,78.2,78,4,34
BLOC-0076,60016540,PHARMACIE DU PALLADIUM,Neurologie & Neurochirurgie,9,95.9,69,4,7
BLOC-0077,60781556,FOYER MONTBRILLANT,Chirurgie Viscérale & Digestive,13,86.7,35,13,6
BLOC-0078,70003850,PHARMACIE LAPIERRE,Chirurgie Viscérale & Digestive,14,92.5,65,4,28
BLOC-0079,60022290,LBM CERBALLIANCE PROVENCE SITE LE CANN,Neurologie & Neurochirurgie,14,64.1,78,13,35
BLOC-0080,60018140,PHARMACIE DU PALAIS,Chirurgie Viscérale & Digestive,15,94.7,115,5,32
BLOC-0081,30780290,IME LE MOULIN DE PRESLES,Chirurgie Viscérale & Digestive,12,92.5,120,12,27
BLOC-0082,40002404,SELEURL PHARMACIE DAMERY,Cardiologie Interventionnelle,14,96.8,110,18,15
BLOC-0083,60017779,RESIDENSE SOCIALE BEAUMONT,Neurologie & Neurochirurgie,15,75.8,114,30,28
BLOC-0084,60780723,CLINIQUE DU PARC IMPERIAL,Cardiologie Interventionnelle,11,90.6,87,21,25
BLOC-0085,50007889,LIEU DE VIE ET D'ACCUEIL TREMPLIN,Oncologie Chirurgicale,6,65.8,58,15,26
BLOC-0086,40004145,ATELIER PROTEGE LOU JAS,Orthopédie & Traumatologie,7,86.1,39,17,45
BLOC-0087,50006204,SAVS CLAIR SOLEIL,Neurologie & Neurochirurgie,17,73.5,77,21,15
BLOC-0088,60023074,LBM BIOESTEREL SITE LE CANNET POMPIDOU,Neurologie & Neurochirurgie,15,75.3,106,8,17
BLOC-0089,20002077,SELAS PHARMACIE CHARLEMAGNE,Oncologie Chirurgicale,9,85.2,56,12,25
BLOC-0090,40003808,CENTRE DE FORMATION DU CH DE DIGNE,Cardiologie Interventionnelle,12,98.2,95,25,13
BLOC-0091,30786107,SERVICE D'ACTIVITES DE JOUR A.GAUDET,Cardiologie Interventionnelle,12,73.1,99,13,17
BLOC-0092,10007979,RÉSIDENCE SOCIALE PAUL BARBEROT,Neurologie & Neurochirurgie,18,90.7,85,17,16
BLOC-0093,70001532,LBM SYNLAB VALLÉ DU RHÔNE AUBENAS,Cardiologie Interventionnelle,14,69.1,104,26,19
BLOC-0094,40002594,PHARMACIE DE L'HORLOGE,Cardiologie Interventionnelle,7,85.6,73,9,3
BLOC-0095,20002895,PHARMACIE DES CORDELIERS,Orthopédie & Traumatologie,8,97.2,77,5,17
BLOC-0096,60032141,ADMR CANNES LA BOCCA,Orthopédie & Traumatologie,14,63.5,47,8,33
BLOC-0097,40785263,SSIAD MUTUELLES DU SOLEIL,Oncologie Chirurgicale,4,81.5,77,35,37
BLOC-0098,30005839,SAMSAH LES BOSQUETS,Chirurgie Viscérale & Digestive,10,63.2,94,30,25
BLOC-0099,40003055,SELARL PHARMACIE BELLEVUE,Orthopédie & Traumatologie,12,91.9,98,20,36
BLOC-0100,30005177,SELAS PHARMACIE LAFAYETTE CENTRALE,Cardiologie Interventionnelle,18,70.8,93,13,45
BLOC-0101,10002400,PHARMACIE D'AMBRONAY,Chirurgie Viscérale & Digestive,11,89.9,51,32,31
BLOC-0102,20004529,HJ EPSMD HIRSON,Chirurgie Viscérale & Digestive,7,70.9,98,11,4
BLOC-0103,60012291,PHARMACIE DU MONT JOLI,Chirurgie Viscérale & Digestive,6,98.0,68,9,9
BLOC-0104,60016995,SELARL PHIE CARREFOUR LINGOSTIERE,Cardiologie Interventionnelle,14,64.1,72,20,42
BLOC-0105,10010437,MAISON DE SANTE MARBOZ,Oncologie Chirurgicale,4,61.8,68,4,20
BLOC-0106,70005707,RÉSIDENCE SOCIALE ST LOUIS,Neurologie & Neurochirurgie,7,60.5,64,28,9
BLOC-0107,30009450,ATELIER THERAPEUTIQUE ADULTE,Chirurgie Viscérale & Digestive,14,88.0,30,20,33
BLOC-0108,40003980,CENTRE D'ACCUEIL SPECIALISE - SAMSAH,Orthopédie & Traumatologie,7,91.1,40,9,16
BLOC-0109,60032539,LBIA SITE NICE/GAMBETTA,Oncologie Chirurgicale,6,66.1,58,12,4
BLOC-0110,60013596,SELARL PHARMACIE BERT,Orthopédie & Traumatologie,4,63.7,33,25,19
BLOC-0111,40002347,SELARL PHARMACIE BARBERIN COCHELIN,Cardiologie Interventionnelle,8,63.6,111,12,42
BLOC-0112,60031168,SAAD HOME SERVICES,Oncologie Chirurgicale,10,80.3,55,11,23
BLOC-0113,40006124,SAAD AMICIAL MANOSQUE,Orthopédie & Traumatologie,8,80.1,43,17,16
BLOC-0114,60032802,ADMR LE CANNET,Chirurgie Viscérale & Digestive,18,75.4,116,13,27
BLOC-0115,30006647,CENTRE EDUCATIF RENFORCÉ L'OVAL'VIE,Neurologie & Neurochirurgie,11,72.8,46,6,8
BLOC-0116,60029196,SAAD CLUB AZUR SERVICES,Orthopédie & Traumatologie,9,77.7,117,35,9
BLOC-0117,60032612,SANTEOL MEDITERRANEE,Chirurgie Viscérale & Digestive,6,68.2,70,32,19
BLOC-0118,20015590,OXYPHARM SAINT-QUENTIN,Cardiologie Interventionnelle,7,97.8,111,20,43
BLOC-0119,60029527,SCAN SOGIRAD SITE CLIN PALAIS GRASSE,Cardiologie Interventionnelle,7,97.1,27,22,38
BLOC-0120,30785075,SAAD ASSO AIDE A DOMI ST PIERRE LAVAL,Chirurgie Viscérale & Digestive,15,80.0,97,35,17
BLOC-0121,10784098,RESIDENCE AUTONOMIE LES MARRONNIERS,Orthopédie & Traumatologie,9,76.1,56,19,30
BLOC-0122,30006258,LBM MAYMAT BELLERIVE,Orthopédie & Traumatologie,7,61.3,116,16,7
BLOC-0123,40785222,SSIAD DE LA RESIDENCE LES TILLEULS,Oncologie Chirurgicale,14,75.5,104,8,30
BLOC-0124,70001227,CAMSP AUBENAS,Oncologie Chirurgicale,4,79.4,65,15,12
BLOC-0125,60014677,PHARMACIE DU VAL D'OR,Orthopédie & Traumatologie,11,80.8,37,14,21
BLOC-0126,60025780,CENTRE PMI LA FRAYERE,Oncologie Chirurgicale,12,88.1,114,15,9
BLOC-0127,50006170,GRETA ANTENNES DES OURSONS,Neurologie & Neurochirurgie,7,87.8,90,35,45
BLOC-0128,50001486,EFS PACA CORSE SITE DE GAP,Neurologie & Neurochirurgie,9,68.2,29,5,32
BLOC-0129,60029121,SAAD AZUR SANTE PLUS GRASSE,Orthopédie & Traumatologie,10,85.3,95,21,16
BLOC-0130,60014396,SELARL PHARMACIE JACQUIER PEROTTI,Orthopédie & Traumatologie,9,95.3,32,21,4
BLOC-0131,10789824,SAVS DE LA FRETA,Neurologie & Neurochirurgie,17,94.9,25,22,39
BLOC-0132,20011474,PHARMACIE BORDET,Neurologie & Neurochirurgie,9,78.2,93,6,5
BLOC-0133,20019212,AUXILAIR PICARDIE,Chirurgie Viscérale & Digestive,5,64.7,33,27,29
BLOC-0134,60794187,CENTRE D'ACCUEIL DEMANDEURS D'ASILE,Oncologie Chirurgicale,16,66.2,48,5,8
BLOC-0135,20018172,MR-PF COALLIA LAON,Cardiologie Interventionnelle,11,78.9,73,27,24
BLOC-0136,60029055,SAAD ASSISTANCE PLUS,Neurologie & Neurochirurgie,14,71.9,116,9,8
BLOC-0137,40004095,SAMSAH LES CAMÉLIAS,Orthopédie & Traumatologie,15,74.5,50,28,42
BLOC-0138,20008942,CMP EPSMD BOHAIN-EN-VERMANDOIS,Oncologie Chirurgicale,9,95.7,34,11,15
BLOC-0139,50007541,FAM - APF GAP,Orthopédie & Traumatologie,8,62.5,60,11,28
BLOC-0140,40788861,EHPAD RESIDENCE DU LAC,Chirurgie Viscérale & Digestive,12,91.5,61,34,37
BLOC-0141,10010163,CHMS - SITE BELLEY LABO BIO MEDICALE,Chirurgie Viscérale & Digestive,18,63.3,62,30,12
BLOC-0142,70006556,MAISON MEDICALE LEOPOLD OLLIER,Orthopédie & Traumatologie,4,85.2,53,32,7
BLOC-0143,10005288,ESAT HORS LES MURS LADAPT,Neurologie & Neurochirurgie,9,96.2,42,24,34
BLOC-0144,60013349,EHPAD RESIDENCE VICTORIA,Cardiologie Interventionnelle,13,77.4,45,26,31
BLOC-0145,10780021,DITEP THERESE HEROLD,Cardiologie Interventionnelle,17,82.5,42,7,32
BLOC-0146,10003358,RESIDENCE DALLEX ALLOMBERT,Orthopédie & Traumatologie,17,95.8,59,29,22
BLOC-0147,60007747,SELARL PHARMACIE DE SAINT PAUL,Chirurgie Viscérale & Digestive,17,69.7,26,14,18
BLOC-0148,50007830,MSP DU VALGAUDEMAR,Cardiologie Interventionnelle,6,67.7,84,19,6
BLOC-0149,60024775,GRETA NICE COTE AZUR COLLEGE P. LYMPIA,Chirurgie Viscérale & Digestive,4,83.9,26,4,16
BLOC-0150,10786036,EHPAD NANTUA LES JARDINS DU LAC,Chirurgie Viscérale & Digestive,4,84.7,71,21,32
BLOC-0151,60025228,ALCURA FRANCE,Neurologie & Neurochirurgie,5,90.1,87,7,14
BLOC-0152,20004636,CPEF CD02 CHÂTEAU-THIERRY,Chirurgie Viscérale & Digestive,16,96.1,48,13,36
BLOC-0153,30780936,EHPAD LA VIGNE AU BOIS,Chirurgie Viscérale & Digestive,11,75.4,99,31,15
BLOC-0154,30007645,MAISON DE SANTE DE GANNAT,Oncologie Chirurgicale,15,76.8,84,16,8
BLOC-0155,60022035,LBM BIOESTEREL SITE CANNES CARNOT,Chirurgie Viscérale & Digestive,5,60.3,40,15,37
BLOC-0156,60015989,SSIAD DOMUSVI DOMICILE,Orthopédie & Traumatologie,8,79.2,73,14,10
BLOC-0157,60010493,SELARL PHARMACIE DE L'OPEN,Neurologie & Neurochirurgie,4,60.5,47,18,41
BLOC-0158,60029915,MSP DE LA ROYA,Oncologie Chirurgicale,14,81.3,47,24,5
BLOC-0159,20019295,CEGIDD DE LAON,Chirurgie Viscérale & Digestive,14,79.2,37,11,45
BLOC-0160,40005415,SAAD ADMR DE LA BRILLANNE,Neurologie & Neurochirurgie,15,73.1,66,13,22
BLOC-0161,60031895,MECS THERAPEUTIQUE VILLA LES IRIS,Orthopédie & Traumatologie,10,66.3,117,28,41
BLOC-0162,70005236,IFPS SAINTE MARIE,Chirurgie Viscérale & Digestive,8,85.4,110,16,38
BLOC-0163,60005345,PHARMACIE ISOLA 2000,Neurologie & Neurochirurgie,14,80.1,51,24,11
BLOC-0164,10007508,CHU BIBIANE BELL,Neurologie & Neurochirurgie,14,84.8,101,28,13
BLOC-0165,60013810,PHARMACIE DU LYCEE,Orthopédie & Traumatologie,8,88.4,89,8,36
BLOC-0166,20001863,ANTENNE ESAT AEI CHAUNY,Orthopédie & Traumatologie,6,65.6,98,31,25
BLOC-0167,60780442,CLINIQUE SAINT FRANCOIS,Orthopédie & Traumatologie,10,95.3,106,4,42
BLOC-0168,50003011,IME LE BOIS DE ST-JEAN,Oncologie Chirurgicale,6,90.9,120,4,18
BLOC-0169,10786507,DISPENSAIRE ANTITUBERCULEUX,Cardiologie Interventionnelle,9,86.9,95,23,20
BLOC-0170,60003555,EHPAD LA GORGHETTA,Orthopédie & Traumatologie,4,85.9,80,10,12
BLOC-0171,60032034,ADMR NICE SAINT PHILIPPE,Oncologie Chirurgicale,9,80.9,70,14,28
BLOC-0172,40002370,SELAS PHARMACIE DROUILLE,Neurologie & Neurochirurgie,18,61.7,30,31,26
BLOC-0173,60799889,EHPAD LE GRAND MAS,Cardiologie Interventionnelle,5,96.7,59,25,23
BLOC-0174,60029972,CENTRE DE PMI ET DE PLANIF DE GRASSE,Cardiologie Interventionnelle,16,70.3,93,22,4
BLOC-0175,60032182,ADMR GRASSE,Neurologie & Neurochirurgie,9,87.1,49,16,32
BLOC-0176,40780470,CLINIQUE TOUTES AURES,Neurologie & Neurochirurgie,18,79.9,55,12,14
BLOC-0177,20017059,SPASAD INTEGRE EXPERIMENTAL,Oncologie Chirurgicale,9,87.8,62,31,8
BLOC-0178,30007009,SSIAD AMALLIS,Cardiologie Interventionnelle,12,84.1,98,35,32
BLOC-0179,60029014,SAAD BEL AGE SERVICE,Orthopédie & Traumatologie,15,62.4,92,29,8
BLOC-0180,30008106,INST. SUP. RÉÉDUCATION PSYCHOMOTRICE,Orthopédie & Traumatologie,5,74.9,100,18,31
BLOC-0181,20012290,SELARL PHARMACIE D'ESSIGNY,Chirurgie Viscérale & Digestive,7,71.5,58,34,7
BLOC-0182,60029030,SAAD BEL AGE SERVICE MENTON,Chirurgie Viscérale & Digestive,5,98.2,45,35,16
BLOC-0183,10011864,GRETA DE L'AIN - FORMATION AES,Cardiologie Interventionnelle,4,76.4,93,7,26
BLOC-0184,10001733,LBM CROIX BLANCHE BOURG EN B,Cardiologie Interventionnelle,18,96.9,28,32,5
BLOC-0185,10007060,SAAD ADMR SULIGNAT,Oncologie Chirurgicale,15,75.7,26,4,17
BLOC-0186,60800455,EHPAD RESIDENCE BLEU D'AZUR,Oncologie Chirurgicale,17,81.3,111,25,27
BLOC-0187,20011441,PHARMACIE DE SOISSONS CHEVREUX,Orthopédie & Traumatologie,4,92.7,79,19,40
BLOC-0188,20004537,FH APEI-2V CHÂTEAU-THIERRY MACIET,Chirurgie Viscérale & Digestive,14,73.2,74,26,9
BLOC-0189,10789006,UNITE DE DIALYSE BOURG EN BRESSE,Oncologie Chirurgicale,9,76.7,69,21,14
BLOC-0190,60780046,IME LA CORNICHE FLEURIE,Orthopédie & Traumatologie,4,94.4,99,26,40
BLOC-0191,20015871,MSP ORIGNY-SAINTE-BENOITE,Neurologie & Neurochirurgie,6,88.3,106,22,20
BLOC-0192,20004370,CPEF CD02 LAON,Chirurgie Viscérale & Digestive,7,98.5,113,4,22
BLOC-0193,30003909,SAVS DE MOULINS,Cardiologie Interventionnelle,13,63.9,98,17,28
BLOC-0194,70005319,CMP ENFANTS LA VOULTE,Chirurgie Viscérale & Digestive,13,91.2,97,9,15
BLOC-0195,60022936,GCS STERILISATION ALP MARIT ET SIEGE,Orthopédie & Traumatologie,14,77.3,30,28,43
BLOC-0196,60005477,SELARL PHARMACIE PLAN DU BOIS,Neurologie & Neurochirurgie,10,92.9,106,19,12
BLOC-0197,60799822,CONSULTATION PMI STE THECLES,Oncologie Chirurgicale,5,97.1,48,24,45
BLOC-0198,10012409,CADA ADSEA,Oncologie Chirurgicale,11,78.0,54,6,7
BLOC-0199,60032174,ASSOC. ADMR DRAP,Oncologie Chirurgicale,17,97.6,58,12,7
BLOC-0200,20015285,LBM BIOMÉDIQUAL BEAUTOR,Oncologie Chirurgicale,8,87.6,58,16,12
BLOC-0201,40004475,MAISON RELAIS LE PREVOT,Orthopédie & Traumatologie,10,60.8,95,31,25
BLOC-0202,60005345,PHARMACIE ISOLA 2000,Oncologie Chirurgicale,7,65.4,36,33,2
BLOC-0203,60782679,EHPAD RESIDENCE LES MIMOSAS,Oncologie Chirurgicale,16,72.6,118,24,44
BLOC-0204,40004327,LA MAISON DES ACACIAS,Cardiologie Interventionnelle,11,83.9,70,28,7
BLOC-0205,60012374,PHARMACIE BEAU,Neurologie & Neurochirurgie,6,76.6,118,22,34
BLOC-0206,50008945,SAAD ADMR CHORGES - LA BATIE,Chirurgie Viscérale & Digestive,8,86.7,101,28,29
BLOC-0207,60022704,LBM EUROFINS LABAZUR NICE SITE CONTES,Orthopédie & Traumatologie,9,71.9,90,7,22
BLOC-0208,10784320,EFS AURA - BOURG-EN-BRESSE,Oncologie Chirurgicale,9,75.7,73,27,42
BLOC-0209,10005635,PHARMACIE REYMONDON,Orthopédie & Traumatologie,13,74.3,96,27,38
BLOC-0210,30000087,CH JACQUES LACARIN VICHY,Orthopédie & Traumatologie,18,82.6,68,15,27
BLOC-0211,70006846,HOPITAL DE JOUR ADULTES PRIVAS,Oncologie Chirurgicale,7,76.1,39,25,20
BLOC-0212,40005878,SAAD ADMR DE LA VALLÉE DE L'UBAYE,Chirurgie Viscérale & Digestive,7,91.0,99,22,27
BLOC-0213,20006474,PHARMACIE DE LA MAIRIE,Cardiologie Interventionnelle,14,77.4,89,4,2
BLOC-0214,20004636,CPEF CD02 CHÂTEAU-THIERRY,Orthopédie & Traumatologie,10,94.3,32,21,28
BLOC-0215,60024767,GRETA NICE COTE AZUR LYCEE P&M CURIE,Oncologie Chirurgicale,8,94.2,26,23,23
BLOC-0216,30004527,PHARMACIE NOUVELLE,Chirurgie Viscérale & Digestive,12,83.1,56,13,17
BLOC-0217,60016748,SAAD SERVICE PORTAGE REPAS A DOMICILE,Chirurgie Viscérale & Digestive,4,95.3,90,14,23
BLOC-0218,30780944,EHPAD DE COSNE D'ALLIER,Cardiologie Interventionnelle,4,71.5,81,17,2
BLOC-0219,20013033,MAS APAJH CHÂTEAU-THIERRY,Oncologie Chirurgicale,14,65.2,46,26,41
BLOC-0220,30009856,CEGIDD - CH DE MOULINS YZEURE,Neurologie & Neurochirurgie,15,63.6,26,8,16
BLOC-0221,40003212,CAMSP CH DIGNE,Oncologie Chirurgicale,7,65.9,59,28,9
BLOC-0222,60028057,SAAD NICE PRESTIGE SERVICES,Neurologie & Neurochirurgie,6,87.3,119,5,21
BLOC-0223,50007780,EANM UNAPEI SITE DE TALLARD,Cardiologie Interventionnelle,7,68.0,88,24,25
BLOC-0224,40002396,PHARMACIE DES ORMEAUX,Chirurgie Viscérale & Digestive,9,71.1,47,5,35
BLOC-0225,60019031,PHARMACIE TATU,Cardiologie Interventionnelle,14,68.6,52,22,6
BLOC-0226,60027539,SAAD CCAS SAINT ANDRE DE LA ROCHE,Orthopédie & Traumatologie,18,79.5,102,19,26
BLOC-0227,10002467,PHARMACIE D'ARS ET DOMBES,Orthopédie & Traumatologie,8,72.4,33,11,7
BLOC-0228,60787157,CENTRE DE PMI LES ECUREUILS,Oncologie Chirurgicale,5,92.5,34,31,12
BLOC-0229,60016243,SELARL PHARMACIE LAVALLIERE,Orthopédie & Traumatologie,6,68.5,54,28,38
BLOC-0230,20018180,SAMNA AEP SOISSONS,Oncologie Chirurgicale,5,61.7,51,19,42
BLOC-0231,10008399,MARPA DE REPLONGES,Cardiologie Interventionnelle,9,64.0,45,5,21
BLOC-0232,20016796,MSP DE LA CAPELLE,Neurologie & Neurochirurgie,14,61.0,120,32,40
BLOC-0233,30003214,PHARMACIE DES GRANDS PRES,Orthopédie & Traumatologie,9,71.3,25,23,26
BLOC-0234,40002495,PHARMACIE DE JAUSIERS,Neurologie & Neurochirurgie,11,89.5,26,12,33
BLOC-0235,60028115,SAAD 02 CAGNES SUR MER,Oncologie Chirurgicale,11,86.4,43,35,21
BLOC-0236,60028453,SAAD APPORT TEMPS,Orthopédie & Traumatologie,6,90.8,107,7,18
BLOC-0237,60782596,RESIDENCE AUTONOMIE LES STRELITZIAS,Orthopédie & Traumatologie,17,89.6,113,19,22
