annee,code_groupe_biologie,libelle_groupe_biologie,code_region_beneficiaire,nom_region,nombre_beneficiaires_consommateurs,nombre_actes_biologie_realises,montant_base_remboursement_eur,montant_rembourse_assurance_maladie_eur
2024,2,COAGULATION COURANTE,93,Provence-Alpes-Côte d'Azur,851936,3284534,15320327.94,12773307.27
2024,2,COAGULATION COURANTE,44,Grand Est,515336,1943321,9515399.31,7786355.98
2024,2,COAGULATION COURANTE,75,Nouvelle-Aquitaine,526412,1928180,9347621.81,7871800.21
2024,2,COAGULATION COURANTE,84,Auvergne-Rhône-Alpes,597204,2142618,10310041.12,8550133.81
2024,2,COAGULATION COURANTE,53,Bretagne,229643,755735,3559784.32,2950106.64
2024,2,COAGULATION COURANTE,52,Pays de la Loire,273073,916035,4338916.3,3581525.26
2024,2,COAGULATION COURANTE,27,Bourgogne-Franche-Comté,271074,1010457,4768229.49,3940171.17
2024,2,COAGULATION COURANTE,28,Normandie,275213,956536,4523327.36,3750851.5
2024,2,COAGULATION COURANTE,32,Hauts-de-France,562628,1994371,9249497.9,7522794.06
2024,2,COAGULATION COURANTE,99,Île-de-France,9066,28396,138212.35,113800.37
2024,3,IMMUNOHEMATOLOGIE COURANTE,5,Île-de-France,89116,370565,3772696.66,2723934.15
2024,3,IMMUNOHEMATOLOGIE COURANTE,27,Bourgogne-Franche-Comté,124448,502298,4292368.79,3152286.0
2024,3,IMMUNOHEMATOLOGIE COURANTE,11,Île-de-France,502009,2284521,19460485.46,14080834.22
2024,3,IMMUNOHEMATOLOGIE COURANTE,75,Nouvelle-Aquitaine,264805,1103350,9428747.42,7150444.11
2024,3,IMMUNOHEMATOLOGIE COURANTE,24,Centre-Val de Loire,110461,470784,4013637.01,3003622.09
2024,3,IMMUNOHEMATOLOGIE COURANTE,76,Occitanie,265190,1259845,10722566.88,8291782.9
2024,3,IMMUNOHEMATOLOGIE COURANTE,93,Provence-Alpes-Côte d'Azur,192270,853188,7267228.92,5694268.92
2024,3,IMMUNOHEMATOLOGIE COURANTE,53,Bretagne,129656,511896,4443517.39,3285887.79
2024,3,IMMUNOHEMATOLOGIE COURANTE,84,Auvergne-Rhône-Alpes,314132,1306685,11155083.72,8180754.36
2024,3,IMMUNOHEMATOLOGIE COURANTE,52,Pays de la Loire,144804,627343,5369176.15,3994851.63
2024,3,IMMUNOHEMATOLOGIE COURANTE,99,Île-de-France,4256,16548,143644.21,112500.87
2024,3,IMMUNOHEMATOLOGIE COURANTE,32,Hauts-de-France,283793,1122618,9587824.96,6909979.88
2024,3,IMMUNOHEMATOLOGIE COURANTE,28,Normandie,147935,680677,5799386.9,4279322.71
2024,3,IMMUNOHEMATOLOGIE COURANTE,44,Grand Est,247019,1049723,8978828.56,6604243.42
2024,4,BIOCHIMIE COURANTE (en dehors des groupes),99,Île-de-France,38660,163523,432045.48,334169.5
2024,4,BIOCHIMIE COURANTE (en dehors des groupes),76,Occitanie,3019365,16064711,39469314.65,31591897.53
2024,4,BIOCHIMIE COURANTE (en dehors des groupes),53,Bretagne,1570881,6733838,15073881.66,11888712.44
2024,4,BIOCHIMIE COURANTE (en dehors des groupes),93,Provence-Alpes-Côte d'Azur,2872767,17439251,45613912.74,36401358.75
2024,4,BIOCHIMIE COURANTE (en dehors des groupes),84,Auvergne-Rhône-Alpes,3614301,17619692,38809284.71,30956327.4
2024,4,BIOCHIMIE COURANTE (en dehors des groupes),75,Nouvelle-Aquitaine,3032870,14710627,33708187.65,26826041.52
2024,4,BIOCHIMIE COURANTE (en dehors des groupes),32,Hauts-de-France,2785360,14284892,34019234.63,26681320.23
2024,4,BIOCHIMIE COURANTE (en dehors des groupes),52,Pays de la Loire,1716818,7261136,16069249.51,12635335.3
2024,4,BIOCHIMIE COURANTE (en dehors des groupes),44,Grand Est,2773324,14519408,33941739.53,26588613.89
2024,4,BIOCHIMIE COURANTE (en dehors des groupes),11,Île-de-France,5122187,25474789,62575836.32,48408778.5
2024,4,BIOCHIMIE COURANTE (en dehors des groupes),28,Normandie,1537542,6848505,15388796.77,12184817.18
2024,4,BIOCHIMIE COURANTE (en dehors des groupes),24,Centre-Val de Loire,1178603,5509705,12241157.9,9793386.96
2024,4,BIOCHIMIE COURANTE (en dehors des groupes),5,Île-de-France,922456,5626838,17016977.22,13277137.59
2024,4,BIOCHIMIE COURANTE (en dehors des groupes),27,Bourgogne-Franche-Comté,1304119,6270090,13928364.5,11066747.07
2024,5,EXPLORATION LIPIDIQUE,28,Normandie,1246789,1765558,6820465.32,5018338.0
2024,5,EXPLORATION LIPIDIQUE,32,Hauts-de-France,2308318,3516055,13273392.44,9779208.55
2024,5,EXPLORATION LIPIDIQUE,27,Bourgogne-Franche-Comté,1067194,1591383,5808316.78,4297560.7
2024,5,EXPLORATION LIPIDIQUE,24,Centre-Val de Loire,961515,1369497,5238643.4,3843860.07
2024,5,EXPLORATION LIPIDIQUE,11,Île-de-France,4191587,6226747,24012407.59,17301497.96
2024,5,EXPLORATION LIPIDIQUE,44,Grand Est,2283688,3872813,15335035.94,11358263.0
2024,5,EXPLORATION LIPIDIQUE,5,Île-de-France,745894,1241147,5397681.48,4047124.16
2024,5,EXPLORATION LIPIDIQUE,93,Provence-Alpes-Côte d'Azur,2381843,3956049,15260225.93,11479178.62
2024,5,EXPLORATION LIPIDIQUE,84,Auvergne-Rhône-Alpes,2789334,3858323,15042282.73,10961180.07
2024,5,EXPLORATION LIPIDIQUE,76,Occitanie,2469703,3812823,13628685.73,10001380.78
2024,5,EXPLORATION LIPIDIQUE,75,Nouvelle-Aquitaine,2502064,3677612,13562742.9,9973605.06
2024,5,EXPLORATION LIPIDIQUE,53,Bretagne,1232996,1618532,6355675.32,4597865.27
2024,5,EXPLORATION LIPIDIQUE,99,Île-de-France,28586,42615,158167.19,112603.54
2024,5,EXPLORATION LIPIDIQUE,52,Pays de la Loire,1360718,2064923,6661791.97,4777990.78
2024,6,EXPLORATION GLUCIDIQUE,76,Occitanie,2758308,6352261,14016793.77,11290982.65
2024,6,EXPLORATION GLUCIDIQUE,84,Auvergne-Rhône-Alpes,3231579,6911043,15333088.72,12449074.37
2024,6,EXPLORATION GLUCIDIQUE,75,Nouvelle-Aquitaine,2780191,6092155,13496542.03,11055578.0
2024,6,EXPLORATION GLUCIDIQUE,53,Bretagne,1392122,2589384,5385577.31,4381214.02
2024,6,EXPLORATION GLUCIDIQUE,52,Pays de la Loire,1535629,2976578,6448717.76,5273211.31
2024,6,EXPLORATION GLUCIDIQUE,28,Normandie,1386741,2989702,6576887.5,5426620.18
2024,6,EXPLORATION GLUCIDIQUE,44,Grand Est,2505461,5758050,12914182.46,10583518.59
2024,6,EXPLORATION GLUCIDIQUE,32,Hauts-de-France,2564495,6007224,13464574.99,11028994.44
2024,6,EXPLORATION GLUCIDIQUE,27,Bourgogne-Franche-Comté,1186669,2660386,5972151.49,4929643.04
2024,6,EXPLORATION GLUCIDIQUE,24,Centre-Val de Loire,1081408,2424232,5365055.42,4403766.11
2024,6,EXPLORATION GLUCIDIQUE,99,Île-de-France,33591,62558,165277.06,124438.85
2024,6,EXPLORATION GLUCIDIQUE,11,Île-de-France,4710015,10994343,26066805.84,20108895.48
2024,6,EXPLORATION GLUCIDIQUE,5,Île-de-France,839818,2175304,6508346.16,5270895.23
2024,6,EXPLORATION GLUCIDIQUE,93,Provence-Alpes-Côte d'Azur,2627255,6606181,15195322.56,12167342.27
2024,7,EXPLORATION HEPATIQUE,84,Auvergne-Rhône-Alpes,3086136,15051222,24750073.01,19325152.47
2024,7,EXPLORATION HEPATIQUE,99,Île-de-France,32683,139826,234704.03,178466.9
2024,7,EXPLORATION HEPATIQUE,75,Nouvelle-Aquitaine,2739009,14039580,23000243.5,18140594.28
2024,7,EXPLORATION HEPATIQUE,52,Pays de la Loire,1469278,6666606,11039441.89,8551203.6
2024,7,EXPLORATION HEPATIQUE,53,Bretagne,1387712,6424571,10609161.86,8273997.17
2024,7,EXPLORATION HEPATIQUE,76,Occitanie,2727001,14416295,23522598.28,18463450.46
2024,7,EXPLORATION HEPATIQUE,28,Normandie,1314476,6691844,10916346.91,8583621.77
2024,7,EXPLORATION HEPATIQUE,93,Provence-Alpes-Côte d'Azur,2600152,14679043,23899203.34,18880057.28
2024,7,EXPLORATION HEPATIQUE,27,Bourgogne-Franche-Comté,1125961,5558608,9047445.16,7106897.18
2024,7,EXPLORATION HEPATIQUE,11,Île-de-France,4473294,22101244,36313398.13,27792147.88
2024,7,EXPLORATION HEPATIQUE,44,Grand Est,2486575,11993871,19931989.47,15451759.13
2024,7,EXPLORATION HEPATIQUE,32,Hauts-de-France,2412905,12231605,20180284.57,15728159.81
2024,7,EXPLORATION HEPATIQUE,5,Île-de-France,810904,3835851,7540104.98,5753794.58
2024,7,EXPLORATION HEPATIQUE,24,Centre-Val de Loire,1017254,4881281,8061493.9,6340597.33
2024,8,EXPLORATION CARDIAQUE,99,Île-de-France,9780,22395,188726.56,161416.99
2024,8,EXPLORATION CARDIAQUE,93,Provence-Alpes-Côte d'Azur,921896,2465273,18536534.22,16319099.61
2024,8,EXPLORATION CARDIAQUE,84,Auvergne-Rhône-Alpes,706472,1700291,13987712.8,12206358.65
2024,8,EXPLORATION CARDIAQUE,75,Nouvelle-Aquitaine,740454,1841518,15424764.96,13588100.12
2024,8,EXPLORATION CARDIAQUE,53,Bretagne,305478,709892,5496331.21,4814724.68
2024,8,EXPLORATION CARDIAQUE,52,Pays de la Loire,356076,909559,7039255.06,6095853.69
2024,8,EXPLORATION CARDIAQUE,76,Occitanie,802653,2165409,19652717.61,17344654.13
2024,8,EXPLORATION CARDIAQUE,28,Normandie,317615,714157,6013198.73,5295281.46
2024,8,EXPLORATION CARDIAQUE,32,Hauts-de-France,578689,1366105,11086758.57,9638617.06
2024,8,EXPLORATION CARDIAQUE,27,Bourgogne-Franche-Comté,333104,814852,6262917.25,5387146.81
2024,8,EXPLORATION CARDIAQUE,24,Centre-Val de Loire,266286,664834,5418790.25,4739627.07
2024,8,EXPLORATION CARDIAQUE,11,Île-de-France,1228906,3199285,22818857.6,19946374.55
2024,8,EXPLORATION CARDIAQUE,5,Île-de-France,242113,524850,4773077.66,4064461.65
2024,8,EXPLORATION CARDIAQUE,44,Grand Est,642665,1564463,12492053.63,10745300.24
2024,9,EXPLORATION THYROIDIENNE,99,Île-de-France,25829,35795,253195.02,176570.29
2024,9,EXPLORATION THYROIDIENNE,84,Auvergne-Rhône-Alpes,2582939,4055033,26229318.15,18708961.72
2024,9,EXPLORATION THYROIDIENNE,75,Nouvelle-Aquitaine,2306670,3673307,23947992.28,17313164.3
2024,9,EXPLORATION THYROIDIENNE,93,Provence-Alpes-Côte d'Azur,2186970,3781888,26560348.39,19479156.62
2024,9,EXPLORATION THYROIDIENNE,53,Bretagne,1111787,1679627,10331208.96,7400725.22
2024,9,EXPLORATION THYROIDIENNE,52,Pays de la Loire,1134920,1724487,10943768.38,7733333.73
2024,9,EXPLORATION THYROIDIENNE,76,Occitanie,2332329,3769615,24739195.48,17855579.04
2024,9,EXPLORATION THYROIDIENNE,44,Grand Est,2132077,3421219,22328311.61,16009966.48
2024,9,EXPLORATION THYROIDIENNE,28,Normandie,1047214,1604255,9982489.08,7208927.4
2024,9,EXPLORATION THYROIDIENNE,27,Bourgogne-Franche-Comté,946468,1474476,9503180.3,6884727.04
2024,9,EXPLORATION THYROIDIENNE,24,Centre-Val de Loire,806981,1244604,7965635.17,5703909.16
2024,9,EXPLORATION THYROIDIENNE,11,Île-de-France,3802818,6088533,42694543.33,29755583.74
2024,9,EXPLORATION THYROIDIENNE,32,Hauts-de-France,2010008,3242795,21078830.58,15048042.0
2024,9,EXPLORATION THYROIDIENNE,5,Île-de-France,623041,915949,7357263.55,5258368.64
2024,10,FER - FERRITINE,5,Île-de-France,535846,952424,5202732.73,3875779.35
2024,10,FER - FERRITINE,99,Île-de-France,21497,33591,159111.42,112817.22
2024,10,FER - FERRITINE,84,Auvergne-Rhône-Alpes,2006304,3308790,15101493.07,10977114.03
2024,10,FER - FERRITINE,76,Occitanie,1938682,3374432,15378569.04,11345495.59
2024,10,FER - FERRITINE,75,Nouvelle-Aquitaine,1623715,2963104,13455132.1,10004211.74
2024,10,FER - FERRITINE,93,Provence-Alpes-Côte d'Azur,1954780,3720098,16899426.26,12741181.47
2024,10,FER - FERRITINE,53,Bretagne,999859,1666030,7587938.84,5522213.67
2024,10,FER - FERRITINE,52,Pays de la Loire,848056,1408562,6427265.59,4649703.2
2024,10,FER - FERRITINE,44,Grand Est,1744519,3171805,14452923.72,10624554.32
2024,10,FER - FERRITINE,32,Hauts-de-France,1488759,2777614,12613565.74,9234389.69
2024,10,FER - FERRITINE,28,Normandie,798410,1397344,6340092.9,4653532.69
2024,10,FER - FERRITINE,27,Bourgogne-Franche-Comté,737902,1208170,5516229.65,4046547.6
2024,10,FER - FERRITINE,24,Centre-Val de Loire,546253,950044,4320317.26,3187752.62
2024,10,FER - FERRITINE,11,Île-de-France,3373573,5693719,25934101.21,18421093.73
2024,11,IONOGRAMMES,99,Île-de-France,32958,60660,166186.24,132129.68
2024,11,IONOGRAMMES,84,Auvergne-Rhône-Alpes,3029429,6767344,17462730.87,14216984.61
2024,11,IONOGRAMMES,76,Occitanie,2679354,6351953,16946781.21,13939372.13
2024,11,IONOGRAMMES,93,Provence-Alpes-Côte d'Azur,2585019,6502257,16833169.08,13864091.7
2024,11,IONOGRAMMES,75,Nouvelle-Aquitaine,2720490,6073768,15227948.43,12408547.24
2024,11,IONOGRAMMES,53,Bretagne,1404911,2960329,7427183.45,5951215.63
2024,11,IONOGRAMMES,52,Pays de la Loire,1508777,3136928,8032116.31,6426322.81
2024,11,IONOGRAMMES,44,Grand Est,2482359,5854135,14806767.21,11879681.22
2024,11,IONOGRAMMES,28,Normandie,1358482,2952073,7794958.4,6318982.74
2024,11,IONOGRAMMES,27,Bourgogne-Franche-Comté,1148372,2606929,6971626.19,5661017.42
2024,11,IONOGRAMMES,24,Centre-Val de Loire,1021979,2264691,5993814.64,4882511.03
2024,11,IONOGRAMMES,11,Île-de-France,4340740,9084501,25861385.88,20556274.76
2024,11,IONOGRAMMES,5,Île-de-France,813674,1743100,5479641.68,4400327.76
2024,11,IONOGRAMMES,32,Hauts-de-France,2510706,5916778,14862613.03,11975124.04
2024,12,PROTEINES SERIQUES,99,Île-de-France,29727,65899,294144.34,222956.25
2024,12,PROTEINES SERIQUES,84,Auvergne-Rhône-Alpes,2637850,7056880,26649474.9,20596164.59
2024,12,PROTEINES SERIQUES,76,Occitanie,2465647,7205622,27387460.63,21573342.35
2024,12,PROTEINES SERIQUES,75,Nouvelle-Aquitaine,2383706,6819208,25958436.12,20313437.4
2024,12,PROTEINES SERIQUES,53,Bretagne,1146115,2862683,10648500.66,8146794.14
2024,12,PROTEINES SERIQUES,52,Pays de la Loire,1138196,2874994,11531000.97,8800707.9
2024,12,PROTEINES SERIQUES,44,Grand Est,2125864,5892342,23217510.5,17932107.1
2024,12,PROTEINES SERIQUES,32,Hauts-de-France,2059335,5817023,20891032.7,16304584.17
2024,12,PROTEINES SERIQUES,93,Provence-Alpes-Côte d'Azur,2278092,6890412,29620918.77,23378817.84
2024,12,PROTEINES SERIQUES,28,Normandie,1063167,2737195,10053135.23,7849952.63
2024,12,PROTEINES SERIQUES,27,Bourgogne-Franche-Comté,982581,2787338,10356550.83,8011559.05
2024,12,PROTEINES SERIQUES,24,Centre-Val de Loire,810227,2233162,9036794.9,7094254.93
2024,12,PROTEINES SERIQUES,11,Île-de-France,3653167,9490037,39751899.31,30542781.86
2024,12,PROTEINES SERIQUES,5,Île-de-France,690399,1826295,8783057.65,6818706.48
2024,13,MARQUEURS TUMORAUX,93,Provence-Alpes-Côte d'Azur,833243,1663936,17048665.98,13791518.87
2024,13,MARQUEURS TUMORAUX,84,Auvergne-Rhône-Alpes,880621,1462558,14054689.55,11055683.37
2024,13,MARQUEURS TUMORAUX,99,Île-de-France,11332,18150,188311.58,142545.12
2024,13,MARQUEURS TUMORAUX,75,Nouvelle-Aquitaine,836477,1445099,14286197.11,11377699.0
2024,13,MARQUEURS TUMORAUX,53,Bretagne,369574,607442,5814110.06,4655789.89
2024,13,MARQUEURS TUMORAUX,52,Pays de la Loire,415624,678017,6546118.69,5149040.61
2024,13,MARQUEURS TUMORAUX,76,Occitanie,795556,1338531,12919718.88,10181482.21
2024,13,MARQUEURS TUMORAUX,28,Normandie,380138,638608,6208309.35,4944612.18
2024,13,MARQUEURS TUMORAUX,44,Grand Est,746469,1385672,13801579.11,10990297.81
2024,13,MARQUEURS TUMORAUX,32,Hauts-de-France,686901,1218447,11896242.73,9402379.97
2024,13,MARQUEURS TUMORAUX,27,Bourgogne-Franche-Comté,356833,635060,6162779.95,4958719.24
2024,13,MARQUEURS TUMORAUX,24,Centre-Val de Loire,308143,554486,5497713.01,4415856.16
2024,13,MARQUEURS TUMORAUX,11,Île-de-France,1186791,2241059,23157337.0,18479213.03
2024,13,MARQUEURS TUMORAUX,5,Île-de-France,227786,430603,5261126.57,4113541.44
2024,14,ALLERGOLOGIE,99,Île-de-France,1254,3711,48322.78,30287.0
2024,14,ALLERGOLOGIE,84,Auvergne-Rhône-Alpes,103902,338139,4382924.68,2708154.94
2024,14,ALLERGOLOGIE,76,Occitanie,97386,321264,4107911.3,2555100.68
2024,14,ALLERGOLOGIE,75,Nouvelle-Aquitaine,99405,365347,4657610.24,2888219.5
2024,14,ALLERGOLOGIE,53,Bretagne,42412,150402,1901640.28,1179992.78
2024,14,ALLERGOLOGIE,52,Pays de la Loire,39916,142744,1806901.27,1116244.3
2024,14,ALLERGOLOGIE,32,Hauts-de-France,122598,445730,5660348.94,3499264.1
2024,14,ALLERGOLOGIE,28,Normandie,55704,175155,2248288.52,1397186.8
2024,14,ALLERGOLOGIE,27,Bourgogne-Franche-Comté,38922,111359,1450559.33,901310.35
2024,14,ALLERGOLOGIE,44,Grand Est,96677,272875,3550896.11,2246354.07
2024,14,ALLERGOLOGIE,24,Centre-Val de Loire,31559,116628,1486678.55,916884.84
2024,14,ALLERGOLOGIE,11,Île-de-France,237121,841019,10815682.7,6626962.17
2024,14,ALLERGOLOGIE,5,Île-de-France,33519,110314,1517372.55,938105.21
2024,14,ALLERGOLOGIE,93,Provence-Alpes-Côte d'Azur,105831,352273,4556417.42,2852230.47
2024,15,HORMONOLOGIE COURANTE,99,Île-de-France,6031,15057,169257.41,118545.9
2024,15,HORMONOLOGIE COURANTE,93,Provence-Alpes-Côte d'Azur,515514,1474138,16359180.24,11605159.68
2024,15,HORMONOLOGIE COURANTE,84,Auvergne-Rhône-Alpes,545680,1522172,16475432.74,11783156.54
2024,15,HORMONOLOGIE COURANTE,76,Occitanie,470285,1270971,13989445.14,9987924.31
2024,15,HORMONOLOGIE COURANTE,75,Nouvelle-Aquitaine,434215,1167852,12626160.48,9199413.93
2024,15,HORMONOLOGIE COURANTE,53,Bretagne,212436,584842,6261772.82,4478153.75
2024,15,HORMONOLOGIE COURANTE,52,Pays de la Loire,229732,650087,6896141.91,5053960.51
2024,15,HORMONOLOGIE COURANTE,44,Grand Est,420167,1155720,12517152.91,8803103.96
2024,15,HORMONOLOGIE COURANTE,28,Normandie,210167,548969,5850905.11,4192283.92
2024,15,HORMONOLOGIE COURANTE,27,Bourgogne-Franche-Comté,180520,457501,4901151.53,3500457.88
2024,15,HORMONOLOGIE COURANTE,24,Centre-Val de Loire,159845,433138,4675813.01,3422025.38
2024,15,HORMONOLOGIE COURANTE,11,Île-de-France,997773,3176645,35019285.45,23997202.28
2024,15,HORMONOLOGIE COURANTE,5,Île-de-France,190602,504025,6473427.68,4637871.22
2024,15,HORMONOLOGIE COURANTE,32,Hauts-de-France,445574,1200632,12688694.28,8948614.44
2024,16,DHEA ET DERIVES,99,Île-de-France,279,296,4760.93,2974.07
2024,16,DHEA ET DERIVES,84,Auvergne-Rhône-Alpes,23070,25069,380873.64,235156.57
2024,16,DHEA ET DERIVES,76,Occitanie,23901,26583,404584.23,251889.09
2024,16,DHEA ET DERIVES,75,Nouvelle-Aquitaine,16790,18650,284264.22,179299.21
2024,16,DHEA ET DERIVES,93,Provence-Alpes-Côte d'Azur,31980,35567,543835.79,345303.87
2024,16,DHEA ET DERIVES,53,Bretagne,7824,8544,129739.24,80376.87
2024,16,DHEA ET DERIVES,52,Pays de la Loire,7479,8063,121638.3,75903.31
2024,16,DHEA ET DERIVES,44,Grand Est,15837,17580,269635.63,171311.28
2024,16,DHEA ET DERIVES,32,Hauts-de-France,14995,16313,247640.4,153894.09
2024,16,DHEA ET DERIVES,28,Normandie,6514,7649,122313.84,81257.91
2024,16,DHEA ET DERIVES,27,Bourgogne-Franche-Comté,5601,6649,101249.04,64088.89
2024,16,DHEA ET DERIVES,24,Centre-Val de Loire,4004,4440,68698.04,42816.03
2024,16,DHEA ET DERIVES,11,Île-de-France,57956,65356,1016617.12,622164.86
2024,16,DHEA ET DERIVES,5,Île-de-France,5663,6379,110525.94,69013.68
2024,17,MICROBIOLOGIE COURANTE,99,Île-de-France,12054,20450,458983.21,342660.87
2024,17,MICROBIOLOGIE COURANTE,93,Provence-Alpes-Côte d'Azur,1010038,2057782,41090181.42,30205025.53
2024,17,MICROBIOLOGIE COURANTE,84,Auvergne-Rhône-Alpes,1083173,2081696,43416261.29,30750025.83
2024,17,MICROBIOLOGIE COURANTE,76,Occitanie,958506,1982052,41255328.01,30388568.83
2024,17,MICROBIOLOGIE COURANTE,75,Nouvelle-Aquitaine,831071,1577716,32281748.8,22996976.62
2024,17,MICROBIOLOGIE COURANTE,53,Bretagne,432405,790336,16280196.31,11402664.33
2024,17,MICROBIOLOGIE COURANTE,52,Pays de la Loire,484006,909240,18903698.94,13463111.07
2024,17,MICROBIOLOGIE COURANTE,44,Grand Est,864778,1694982,34180553.64,23944431.73
2024,17,MICROBIOLOGIE COURANTE,32,Hauts-de-France,720177,1322446,25640582.02,18105006.77
2024,17,MICROBIOLOGIE COURANTE,28,Normandie,416699,763738,15074038.6,10643956.9
2024,17,MICROBIOLOGIE COURANTE,27,Bourgogne-Franche-Comté,361395,676726,13456419.98,9484697.68
2024,17,MICROBIOLOGIE COURANTE,24,Centre-Val de Loire,317104,613704,11964864.04,8690904.08
2024,17,MICROBIOLOGIE COURANTE,11,Île-de-France,1662442,3173070,65504801.93,46398715.3
2024,17,MICROBIOLOGIE COURANTE,5,Île-de-France,386575,762417,19224898.11,13359410.1
2024,18,INFECTIONS A VIH,99,Île-de-France,8362,9157,244399.89,200991.08
2024,18,INFECTIONS A VIH,84,Auvergne-Rhône-Alpes,615533,723349,8038003.81,7963675.24
2024,18,INFECTIONS A VIH,76,Occitanie,604725,717162,7919116.85,7873896.58
2024,18,INFECTIONS A VIH,75,Nouvelle-Aquitaine,531749,627217,6978255.33,6943875.77
2024,18,INFECTIONS A VIH,93,Provence-Alpes-Côte d'Azur,525805,623690,7132409.46,7057233.16
2024,18,INFECTIONS A VIH,53,Bretagne,247093,287224,3126746.51,3104659.04
2024,18,INFECTIONS A VIH,52,Pays de la Loire,296945,343372,3709867.08,3682705.11
2024,18,INFECTIONS A VIH,44,Grand Est,388690,459416,5053397.9,5002934.78
2024,18,INFECTIONS A VIH,32,Hauts-de-France,418847,490765,5351023.76,5312431.52
2024,18,INFECTIONS A VIH,28,Normandie,232622,269555,2961699.15,2942417.71
2024,18,INFECTIONS A VIH,27,Bourgogne-Franche-Comté,155769,180196,2002068.37,1991161.64
2024,18,INFECTIONS A VIH,24,Centre-Val de Loire,168197,196768,2221270.91,2204197.55
2024,18,INFECTIONS A VIH,11,Île-de-France,1249264,1586535,19263284.54,18651690.8
2024,18,INFECTIONS A VIH,5,Île-de-France,309766,380182,5031628.48,4915943.95
2024,19,HEPATITES VIRALES,24,Centre-Val de Loire,147268,319339,6784226.88,5066158.29
2024,19,HEPATITES VIRALES,11,Île-de-France,1141315,2656495,56438060.06,40727237.96
2024,19,HEPATITES VIRALES,5,Île-de-France,275685,614608,15701964.14,11468310.15
2024,19,HEPATITES VIRALES,99,Île-de-France,7383,13109,318296.47,243572.69
2024,19,HEPATITES VIRALES,93,Provence-Alpes-Côte d'Azur,483589,1103083,23390056.84,17401602.2
2024,19,HEPATITES VIRALES,84,Auvergne-Rhône-Alpes,525343,1144049,23659313.39,17429444.22
2024,19,HEPATITES VIRALES,76,Occitanie,479974,1082770,22912016.57,17046462.12
2024,19,HEPATITES VIRALES,75,Nouvelle-Aquitaine,416587,917789,19373735.79,14432313.8
2024,19,HEPATITES VIRALES,53,Bretagne,205713,439817,9079249.91,6659057.84
2024,19,HEPATITES VIRALES,52,Pays de la Loire,230113,492339,10336990.3,7530208.39
2024,19,HEPATITES VIRALES,44,Grand Est,380667,838029,17624221.92,13160841.27
2024,19,HEPATITES VIRALES,32,Hauts-de-France,359669,781466,16284700.75,12019168.72
2024,19,HEPATITES VIRALES,28,Normandie,205600,448068,9223673.75,6841558.36
2024,19,HEPATITES VIRALES,27,Bourgogne-Franche-Comté,152103,326765,6845812.58,5079023.49
2024,20,RUBEOLE,99,Île-de-France,1144,1224,12446.16,8094.68
2024,20,RUBEOLE,84,Auvergne-Rhône-Alpes,103307,129978,1170734.09,728216.45
2024,20,RUBEOLE,76,Occitanie,72956,97829,888246.97,555522.1
2024,20,RUBEOLE,75,Nouvelle-Aquitaine,68442,90916,805875.8,516216.2
2024,20,RUBEOLE,93,Provence-Alpes-Côte d'Azur,79281,107860,1056472.73,664664.16
2024,20,RUBEOLE,53,Bretagne,38535,54595,506024.8,315745.18
2024,20,RUBEOLE,52,Pays de la Loire,47485,58620,519810.03,325964.12
2024,20,RUBEOLE,44,Grand Est,64531,83636,761510.51,485758.14
