id_finess_etablissement,nom_etablissement,categorie_etablissement,commune,code_postal,code_departement,nom_region,capacite_totale_lits,capacite_lits_reanimation,capacite_lits_urgences,latitude,longitude
10001436,SSIAD DU CHAVS - PONT DE VEYLE,Service de Soins Infirmiers A Domicile (S.S.I.A.D),PONT DE VEYLE,1290,12 - Département 12,Île-de-France,76,8,12,46.263449,4.889971
10001733,LBM CROIX BLANCHE BOURG EN B,Laboratoire d'Analyses,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.203876,5.241822
10001741,FAM PRE LA TOUR,Etab.Acc.Médicalisé en tout ou partie personnes handicapées,ST JEAN DE GONVILLE,1630,16 - Département 16,Île-de-France,41,8,12,46.209077762,5.95846897
10002079,SESSAD BELLEVUE LES ESSENTIELS,Service d'Éducation Spéciale et de Soins à Domicile,DAGNEUX,1120,11 - Département 11,Île-de-France,49,8,12,45.851221011,5.077367302
10002129,CLINIQUE LES ARBELLES,Etablissement de santé privé autorisé en SSR,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.194335,5.231949
10002160,LBM NOVELAB MONTREVEL EN BRESSE,Laboratoire de Biologie Médicale,MONTREVEL EN BRESSE,1340,13 - Département 13,Île-de-France,250,20,30,46.332039,5.110053
10002228,EHPAD L'AMBARROISE AMBERIEU,Etablissement d'hébergement pour personnes âgées dépendantes,AMBERIEU EN BUGEY,1500,15 - Département 15,Île-de-France,60,8,12,45.957662,5.341405
10002236,CMP ENFANTS-ADO BOURG-EN-BRESSE,Centre Médico-Psychologique (C.M.P.),BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.208193,5.226786
10002244,CATTP AGORA,Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.),BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.195866,5.220112
10002251,HDJ ADULTES CHATILLON,Centre Hospitalier Spécialisé lutte Maladies Mentales,CHATILLON SUR CHALARONNE,1400,14 - Département 14,Île-de-France,250,20,30,46.123449002,4.953602601
10002269,SSIAD MIRIBEL,Service de Soins Infirmiers A Domicile (S.S.I.A.D),MIRIBEL,1700,17 - Département 17,Île-de-France,60,8,12,45.826224,4.962798
10002285,NOUVELLE PHARMACIE DU CHAMP DE MARS,Pharmacie d'Officine,AMBERIEU EN BUGEY,1500,15 - Département 15,Île-de-France,250,20,30,45.958916,5.358366
10002301,GRANDE PHARMACIE D'AMBERIEU CENTRE,Pharmacie d'Officine,AMBERIEU EN BUGEY,1500,15 - Département 15,Île-de-France,250,20,30,45.961084,5.357325
10002319,INSTITUT EDUCATION MOTRICE HANDAS,Institut d'éducation motrice,VIRIAT,1440,14 - Département 14,Île-de-France,40,8,12,46.256411,5.216023
10002335,PHARMACIE ORSET,Pharmacie d'Officine,AMBERIEU EN BUGEY,1500,15 - Département 15,Île-de-France,250,20,30,45.963239,5.342624
10002350,PHARMACIE DE LA GARE,Pharmacie d'Officine,AMBERIEU EN BUGEY,1500,15 - Département 15,Île-de-France,250,20,30,45.954946,5.343992
10002384,SELARL PHARMACIE VINOIS,Pharmacie d'Officine,AMBERIEUX EN DOMBES,1330,13 - Département 13,Île-de-France,250,20,30,45.995931675,4.90386335
10002400,PHARMACIE D'AMBRONAY,Pharmacie d'Officine,AMBRONAY,1500,15 - Département 15,Île-de-France,250,20,30,46.004246722,5.359546378
10002434,SARL GABRIELLE GROSS,Pharmacie d'Officine,ARBENT,1100,11 - Département 11,Île-de-France,250,20,30,46.271546238,5.66033366
10002459,ENSEIS - ÉTABLISSEMENT DE L'AIN,Ecoles Formant aux Professions Sociales,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.197811,5.214104
10002467,PHARMACIE D'ARS ET DOMBES,Pharmacie d'Officine,ARS SUR FORMANS,1480,14 - Département 14,Île-de-France,250,20,30,45.993227,4.821132
10002483,PHARMACIE COUZON ICARD,Pharmacie d'Officine,ARTEMARE,1510,15 - Département 15,Île-de-France,250,20,30,45.873167,5.69577
10002517,PHARMACIE D'ATTIGNAT,Pharmacie d'Officine,ATTIGNAT,1340,13 - Département 13,Île-de-France,250,20,30,46.287128,5.159548
10002533,PHARMACIE DES BAGE,Pharmacie d'Officine,BAGE DOMMARTIN,1380,13 - Département 13,Île-de-France,250,20,30,46.312042,4.940244
10002566,PHARMACIE DE BELLIGNAT,Pharmacie d'Officine,BELLIGNAT,1100,11 - Département 11,Île-de-France,250,20,30,46.251155,5.634511
10002582,PHARMACIE DE BELIGNEUX,Pharmacie d'Officine,BELIGNEUX,1360,13 - Département 13,Île-de-France,250,20,30,45.849938,5.124445
10002616,PHARMACIE DU CREDO,Pharmacie d'Officine,VALSERHONE,1200,12 - Département 12,Île-de-France,250,20,30,46.123345604,5.811982089
10002632,PHARMACIE DU MORTIER,Pharmacie d'Officine,VALSERHONE,1200,12 - Département 12,Île-de-France,250,20,30,46.107244,5.825507
10002657,PHARMACIE MANNIER,Pharmacie d'Officine,VALSERHONE,1200,12 - Département 12,Île-de-France,250,20,30,46.108799,5.825564
10002673,GRANDE PHARMACIE DE BELLEGARDE,Pharmacie d'Officine,VALSERHONE,1200,12 - Département 12,Île-de-France,250,20,30,46.105985,5.823371
10002707,PHARMACIE DE LA VALSERINE,Pharmacie d'Officine,VALSERHONE,1200,12 - Département 12,Île-de-France,250,20,30,46.107727,5.827317
10002723,PHARMACIE CAVAGNA,Pharmacie d'Officine,BELLEY,1300,13 - Département 13,Île-de-France,250,20,30,45.759221964,5.689413193
10002756,PHARMACIE GALENUS,Pharmacie d'Officine,BELLEY,1300,13 - Département 13,Île-de-France,250,20,30,45.759428,5.686391
10002772,GRANDE PHARMACIE DES TERREAUX,Pharmacie d'Officine,BELLEY,1300,13 - Département 13,Île-de-France,250,20,30,45.75897,5.696203
10002798,GRETA DE L'AIN,Ecoles Formant aux Professions Sociales,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.197376,5.223058
10002806,D2L - PHARMACIE BELLEYSANNE,Pharmacie d'Officine,BELLEY,1300,13 - Département 13,Île-de-France,250,20,30,45.760522,5.686699
10002822,PHARMACIE DE BEYNOST,Pharmacie d'Officine,BEYNOST,1700,17 - Département 17,Île-de-France,250,20,30,45.835129253,5.000043359
10002848,SAMSAH CTRE RESSOURCES LESES CEREBRAUX,Service d'accompagnement médico-social adultes handicapés,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,70,8,12,46.201284,5.213564
10002855,PHARMACIE DE LA BOISSE,Pharmacie d'Officine,LA BOISSE,1120,11 - Département 11,Île-de-France,250,20,30,45.846383,5.042157
10002921,PHARMACIE DE LA CROIX BLANCHE,Pharmacie d'Officine,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.204128,5.241013
10002954,PHARMACIE SIMONIN,Pharmacie d'Officine,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.216229,5.245779
10002970,PHARMACIE CALMELS,Pharmacie d'Officine,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.198955,5.234161
10003002,PHARMACIE DES ARCADES,Pharmacie d'Officine,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.204987,5.226802
10003036,PHARMACIE LA REYSSOUZE,Pharmacie d'Officine,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.209548,5.233338
10003051,PHARMACIE DU PLATEAU,Pharmacie d'Officine,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.200393,5.218958
10003069,SAVS VIVRE EN VILLE 01 BOURG-EN BRESSE,Service d'Accompagnement à la Vie Sociale (S.A.V.S.),BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,40,8,12,46.208594,5.226332
10003085,PHARMACIE DU FAUBOURG,Pharmacie d'Officine,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.208073,5.220947
10003101,PHARMACIE DU MARCHE,Pharmacie d'Officine,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.208959264,5.2274402
10003119,SERVICE D'ACCUEIL DE JOUR EMILE BRUN,Etab.Accueil Non Médicalisé pour personnes handicapées,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,40,8,12,46.208594,5.226332
10003150,PHARMACIE DES VENNES,Pharmacie d'Officine,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.189522,5.23117
10003184,PHARMACIE DU CARREFOUR,Pharmacie d'Officine,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.200722,5.243176
10003200,PHARMACIE BRESSANE,Pharmacie d'Officine,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.194638,5.229937
10003218,IME HENRI LAFAY,Institut Médico-Educatif (I.M.E.),BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,40,8,12,46.211756063,5.225340145
10003267,PHARMACIE PASTEUR,Pharmacie d'Officine,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.20554,5.226552
10003283,PHARMACIE DU NORD,Pharmacie d'Officine,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,250,20,30,46.217927,5.227677
10003317,PHARMACIE BOUVIER,Pharmacie d'Officine,CESSY,1170,11 - Département 11,Île-de-France,250,20,30,46.316944241,6.069894535
10003333,PHARMACIE DE CEYZERIAT,Pharmacie d'Officine,CEYZERIAT,1250,12 - Département 12,Île-de-France,250,20,30,46.179174,5.321783
10003358,RESIDENCE DALLEX ALLOMBERT,Résidences autonomie,BELLIGNAT,1100,11 - Département 11,Île-de-France,40,8,12,46.243412,5.627748
10003366,PHARMACIE DE CHALAMONT,Pharmacie d'Officine,CHALAMONT,1320,13 - Département 13,Île-de-France,250,20,30,45.996942,5.171256
10003382,PHARMACIE DU VALROMEY,Pharmacie d'Officine,CHAMPAGNE EN VALROMEY,1260,12 - Département 12,Île-de-France,250,20,30,45.904722069,5.678599365
10003416,SELARL PHARMACIE DE LA MICHAILLE,Pharmacie d'Officine,VALSERHONE,1200,12 - Département 12,Île-de-France,250,20,30,46.143711,5.798629
10003432,PHARMACIE DES HALLES,Pharmacie d'Officine,CHATILLON SUR CHALARONNE,1400,14 - Département 14,Île-de-France,250,20,30,46.121319,4.954317
10003473,PHIE LUGINBUHL-BERNADAC & ASSOCIES,Pharmacie d'Officine,COLIGNY,1270,12 - Département 12,Île-de-France,250,20,30,46.382726646,5.34535778
10003507,PHARMACIE PRESCHEZ,Pharmacie d'Officine,COLLONGES,1550,15 - Département 15,Île-de-France,250,20,30,46.139184,5.903892
10003523,PHARMACIE DU COLOMBIER,Pharmacie d'Officine,CULOZ,1350,13 - Département 13,Île-de-France,250,20,30,45.848072381,5.781318711
10003549,ECOLE SANITAIRE DU CH FLEYRIAT,Ecoles Formant aux Professions Sanitaires,BOURG EN BRESSE CEDEX,1012,10 - Département 10,Île-de-France,250,20,30,46.205283396,5.224702366
10003556,PHARMACIE DE DAGNEUX,Pharmacie d'Officine,DAGNEUX,1120,11 - Département 11,Île-de-France,250,20,30,45.850944,5.076336
10003572,PHARMACIE DES BAINS,Pharmacie d'Officine,DIVONNE LES BAINS,1220,12 - Département 12,Île-de-France,250,20,30,46.355776,6.137871
10003598,IFAS CH DU HAUT BUGEY,Ecoles Formant aux Professions Sanitaires,OYONNAX CEDEX,1117,11 - Département 11,Île-de-France,250,20,30,46.275058904,5.627347684
10003606,PHARMACIE CENTRALE,Pharmacie d'Officine,DIVONNE LES BAINS,1220,12 - Département 12,Île-de-France,250,20,30,46.355803,6.140313
10003622,PHARMACIE DE DORTAN,Pharmacie d'Officine,DORTAN,1590,15 - Département 15,Île-de-France,250,20,30,46.31462641,5.658832609
10003655,PHARMACIE DE FAREINS,Pharmacie d'Officine,FAREINS,1480,14 - Département 14,Île-de-France,250,20,30,46.019874,4.761028
10003671,PHARMACIE DE FEILLENS,Pharmacie d'Officine,FEILLENS,1570,15 - Département 15,Île-de-France,250,20,30,46.330938,4.886292
10003689,SIAAM01 - SAFEP - SAAAIS,Service d'Éducation Spéciale et de Soins à Domicile,BOURG EN BRESSE,1000,10 - Département 10,Île-de-France,40,8,12,46.195108,5.225346
10003705,PHARMACIE REVOL,Pharmacie d'Officine,FERNEY VOLTAIRE,1210,12 - Département 12,Île-de-France,250,20,30,46.256847,6.109858
10003721,PHARMACIE DU LEVANT,Pharmacie d'Officine,FERNEY VOLTAIRE,1210,12 - Département 12,Île-de-France,250,20,30,46.259187,6.115995
10003754,PHARMACIE DE LA POTERIE,Pharmacie d'Officine,FERNEY VOLTAIRE,1210,12 - Département 12,Île-de-France,250,20,30,46.253575681,6.119997862
10003770,PHARMACIE DE GEX,Pharmacie d'Officine,GEX,1170,11 - Département 11,Île-de-France,250,20,30,46.334011772,6.05817755
10003804,PHARMACIE ROMAND,Pharmacie d'Officine,GEX,1170,11 - Département 11,Île-de-France,250,20,30,46.332848008,6.061643077
10003820,PHARMACIE DE L'AIGLETTE,Pharmacie d'Officine,GEX,1170,11 - Département 11,Île-de-France,250,20,30,46.338644,6.072745
10003838,CADA AIN SITE MIRIBEL,Centre Accueil Demandeurs Asile (C.A.D.A.),MIRIBEL,1700,17 - Département 17,Île-de-France,168,13,20,45.829417,4.971641
10003853,PHARMACIE JEAN-MICHEL GRIZARD,Pharmacie d'Officine,GRIEGES,1290,12 - Département 12,Île-de-France,250,20,30,46.254661,4.851411
10003887,PHARMACIE FREDERIC VALLEE,Pharmacie d'Officine,PLATEAU D HAUTEVILLE,1110,11 - Département 11,Île-de-France,250,20,30,45.976814,5.60062
10003903,PHARMACIE CHRISTELLE BURGAT,Pharmacie d'Officine,PLATEAU D HAUTEVILLE,1110,11 - Département 11,Île-de-France,250,20,30,45.981718,5.604988
10003937,PHARMACIE DU CRET,Pharmacie d'Officine,PLATEAU D HAUTEVILLE,1110,11 - Département 11,Île-de-France,250,20,30,45.979108,5.600073
10003952,PHARMACIE DES MONTS BERTHIAND,Pharmacie d'Officine,IZERNORE,1580,15 - Département 15,Île-de-France,250,20,30,46.218524,5.55382
10003978,ACCUEIL DE JOUR AUX LUCIOLES,Centre de Jour pour Personnes Agées,REYRIEUX,1600,16 - Département 16,Île-de-France,40,8,12,45.929841957,4.814793508
10003986,PHARMACIE DU MARMONT,Pharmacie d'Officine,JASSANS RIOTTIER,1480,14 - Département 14,Île-de-France,250,20,30,45.987171,4.760237
10004000,PHARMACIE JASSANAISE,Pharmacie d'Officine,JASSANS RIOTTIER,1480,14 - Département 14,Île-de-France,250,20,30,45.984539588,4.754945686
10004034,PHARMACIE DE JUJURIEUX,Pharmacie d'Officine,JUJURIEUX,1640,16 - Département 16,Île-de-France,250,20,30,46.041323,5.407779
10004059,EHPAD LE CLOS CHEVALIER ORNEX,Etablissement d'hébergement pour personnes âgées dépendantes,ORNEX,1210,12 - Département 12,Île-de-France,70,8,12,46.263261387,6.111995978
10004067,PHARMACIE MATHIEU,Pharmacie d'Officine,LAGNIEU,1150,11 - Département 11,Île-de-France,250,20,30,45.904154617,5.348971509
10004083,PHARMACIE PERDRIX-DANIERE,Pharmacie d'Officine,LAGNIEU,1150,11 - Département 11,Île-de-France,250,20,30,45.902388,5.348403
10004109,SESSAD DE L'ALBARINE,Service d'Éducation Spéciale et de Soins à Domicile,AMBERIEU EN BUGEY,1500,15 - Département 15,Île-de-France,40,8,12,45.955492,5.335377
10004117,S.C.E.M,Pharmacie d'Officine,LAGNIEU,1150,11 - Département 11,Île-de-France,250,20,30,45.900547,5.34729
10004158,EAM ROMANS FERRARI,Etab.Acc.Médicalisé en tout ou partie personnes handicapées,ROMANS,1400,14 - Département 14,Île-de-France,56,8,12,46.117887,5.02422
10004166,PHARMACIE DE LENT,Pharmacie d'Officine,LENT,1240,12 - Département 12,Île-de-France,250,20,30,46.120251045,5.195362352
10004182,PHARMACIE DE LOYETTES,Pharmacie d'Officine,LOYETTES,1360,13 - Département 13,Île-de-France,250,20,30,45.774291,5.205746
10004216,PHARMACIE DU BOURG,Pharmacie d'Officine,MANZIAT,1570,15 - Département 15,Île-de-France,250,20,30,46.35968,4.907409
10004232,PHARMACIE DE MARBOZ,Pharmacie d'Officine,MARBOZ,1851,18 - Département 18,Île-de-France,250,20,30,46.343401964,5.258113683
10004257,PHARMACIE DE MASSIEUX,Pharmacie d'Officine,MASSIEUX,1600,16 - Département 16,Île-de-France,250,20,30,45.909409251,4.817653529
10004273,PHARMACIE CENTRALE,Pharmacie d'Officine,MEXIMIEUX,1800,18 - Département 18,Île-de-France,250,20,30,45.903036,5.191827
10004307,PHARMACIE LUZY-FOULON,Pharmacie d'Officine,MEXIMIEUX,1800,18 - Département 18,Île-de-France,250,20,30,45.914020448,5.192814634
10004323,PHIE DU CENTRE COMMERCIAL MEXIMIEUX,Pharmacie d'Officine,MEXIMIEUX,1800,18 - Département 18,Île-de-France,250,20,30,45.901227,5.190053
10004356,S.E.L PHARMAXINE,Pharmacie d'Officine,MEZERIAT,1660,16 - Département 16,Île-de-France,250,20,30,46.233975206,5.04768385
10004372,PHARMACIE CENTRALE PIAUD LLEO,Pharmacie d'Officine,MIRIBEL,1700,17 - Département 17,Île-de-France,250,20,30,45.824363,4.953616
10004398,ACCUEIL DE JOUR BON REPOS BELLEY,Centre de Jour pour Personnes Agées,BELLEY,1300,13 - Département 13,Île-de-France,40,8,12,45.755061854,5.688966163
10004406,PHARMACIE DES ACACIAS,Pharmacie d'Officine,MIRIBEL,1700,17 - Département 17,Île-de-France,250,20,30,45.824596,4.954629
10004422,PHARMACIE VUILLEMENOT-LIEGEON,Pharmacie d'Officine,MIRIBEL,1700,17 - Département 17,Île-de-France,250,20,30,45.825822,4.957777
10004455,PHARMACIE DES AUGUSTINS,Pharmacie d'Officine,MONTLUEL,1120,11 - Département 11,Île-de-France,250,20,30,45.850325,5.057328
10004471,PHARMACIE DE LA SEREINE,Pharmacie d'Officine,MONTLUEL,1120,11 - Département 11,Île-de-France,250,20,30,45.851078,5.05551
10004505,PHARMACIE SANDRE,Pharmacie d'Officine,MONTMERLE SUR SAONE,1090,10 - Département 10,Île-de-France,250,20,30,46.080811,4.758121
10004521,PHARMACIE ZAMBUJO,Pharmacie d'Officine,MONTREAL LA CLUSE,1460,14 - Département 14,Île-de-France,250,20,30,46.171279,5.574474
10004554,PHARMACIE DU QUEBEC,Pharmacie d'Officine,MONTREAL LA CLUSE,1460,14 - Département 14,Île-de-France,250,20,30,46.183633,5.579099
10004570,PHARMACIE CENTRALE,Pharmacie d'Officine,MONTREVEL EN BRESSE,1340,13 - Département 13,Île-de-France,250,20,30,46.337287,5.128423
10004604,PHARMACIE DES 4 CHEMINS,Pharmacie d'Officine,MONTREVEL EN BRESSE,1340,13 - Département 13,Île-de-France,250,20,30,46.335934,5.129
10004620,SARL DES DAPHNEES,Pharmacie d'Officine,NANTUA,1130,11 - Département 11,Île-de-France,250,20,30,46.153481306,5.605097612
10004653,PHARMACIE DU COLLEGE,Pharmacie d'Officine,NANTUA,1130,11 - Département 11,Île-de-France,250,20,30,46.153441,5.606655
10004687,SELARL PHARMACIE GLEIZON,Pharmacie d'Officine,NEUVILLE LES DAMES,1400,14 - Département 14,Île-de-France,250,20,30,46.165073,5.002964
10004703,SADRD PHARMAGALT,Pharmacie d'Officine,ORNEX,1210,12 - Département 12,Île-de-France,250,20,30,46.269639855,6.098655692
10004737,PHARMACIE DE LA VAPEUR,Pharmacie d'Officine,OYONNAX,1100,11 - Département 11,Île-de-France,250,20,30,46.261061,5.658935
10004786,MA PHARMACIE,Pharmacie d'Officine,OYONNAX,1100,11 - Département 11,Île-de-France,250,20,30,46.258868,5.657144
10004802,PHARMACIE ANATOLE,Pharmacie d'Officine,OYONNAX,1100,11 - Département 11,Île-de-France,250,20,30,46.258703,5.657067
10004828,MAISON D'ENFANTS LE PETIT LOGIS,Pouponnière à Caractère Social,AMBERIEU EN BUGEY,1500,15 - Département 15,Île-de-France,40,8,12,45.982117,5.350424
10004851,SELARL PHARMACIE DES ROCHETTES,Pharmacie d'Officine,OYONNAX,1100,11 - Département 11,Île-de-France,250,20,30,46.249914,5.644956
10004885,PHARMACIE CENTRALE,Pharmacie d'Officine,OYONNAX,1100,11 - Département 11,Île-de-France,250,20,30,46.262733072,5.645685613
10004901,PHARMACIE DE LA FORGE,Pharmacie d'Officine,OYONNAX,1100,11 - Département 11,Île-de-France,250,20,30,46.25879903,5.638016208
10004935,PHARMACIE DE LA PLAINE,Pharmacie d'Officine,OYONNAX,1100,11 - Département 11,Île-de-France,250,20,30,46.2578,5.645684
10004950,PHARMACIE CHARREIX-FAVRE,Pharmacie d'Officine,OYONNAX,1100,11 - Département 11,Île-de-France,250,20,30,46.259837,5.647287
10004968,SCE D'ACCOMPAGNEMENT A LA VIE SOCIALE,Service d'Accompagnement à la Vie Sociale (S.A.V.S.),MEXIMIEUX,1800,18 - Département 18,Île-de-France,60,8,12,45.914814,5.190799
10004984,PHARMACIE DE LA TREFILERIE,Pharmacie d'Officine,PERONNAS,1960,19 - Département 19,Île-de-France,250,20,30,46.190011,5.210857
10005007,PHARMACIE DE LA MAIRIE,Pharmacie d'Officine,PERONNAS,1960,19 - Département 19,Île-de-France,250,20,30,46.179829,5.2042
10005023,PHARMACIE DE LA VEYLE,Pharmacie d'Officine,POLLIAT,1310,13 - Département 13,Île-de-France,250,20,30,46.249159,5.12802
10005056,PHARMACIE DE PONCIN,Pharmacie d'Officine,PONCIN,1450,14 - Département 14,Île-de-France,250,20,30,46.086281634,5.407106818
10005072,PHARMACIE DES BORDS DE L'AIN,Pharmacie d'Officine,PONT D AIN,1160,11 - Département 11,Île-de-France,250,20,30,46.049236,5.334156
10005098,PHARMACIE SIAUVE,Pharmacie d'Officine,ST GENIS POUILLY,1630,16 - Département 16,Île-de-France,250,20,30,46.24268666,6.019882755
10005106,PHARMACIE SURACE,Pharmacie d'Officine,PONT DE VAUX,1190,11 - Département 11,Île-de-France,250,20,30,46.432296,4.937473
10005148,SESSAD DELTA 01,Service d'Éducation Spéciale et de Soins à Domicile,VILLARS LES DOMBES,1330,13 - Département 13,Île-de-France,61,8,12,46.001634,5.0325
10005155,PHARMACIE VERGOBBI,Pharmacie d'Officine,PONT DE VAUX,1190,11 - Département 11,Île-de-France,250,20,30,46.430104548,4.937851358
10005171,PHARMACIE VOISIN,Pharmacie d'Officine,PONT DE VEYLE,1290,12 - Département 12,Île-de-France,250,20,30,46.263096,4.888319
10005205,PHARMACIE CENTRALE DE PREVESSIN,Pharmacie d'Officine,PREVESSIN MOENS,1280,12 - Département 12,Île-de-France,250,20,30,46.256021534,6.079403308
10005221,PHARMACIE DE PRIAY,Pharmacie d'Officine,PRIAY,1160,11 - Département 11,Île-de-France,250,20,30,46.002156,5.288001
10005239,CH DU HAUT BUGEY - GEOVREISSET,Centre Hospitalier (C.H.),OYONNAX CEDEX,1108,11 - Département 11,Île-de-France,250,20,30,46.275058904,5.627347684
10005254,PHARMACIE DE LA MADELEINE,Pharmacie d'Officine,REPLONGES,1750,17 - Département 17,Île-de-France,250,20,30,46.298743,4.882795
10005270,PHARMACIE DE REYRIEUX,Pharmacie d'Officine,REYRIEUX,1600,16 - Département 16,Île-de-France,250,20,30,45.934991,4.823499
10005288,ESAT HORS LES MURS LADAPT,Etablissement et Service d'Aide par le Travail (E.S.A.T.),VIRIAT,1440,14 - Département 14,Île-de-France,40,8,12,46.219613,5.209255
10005304,PHARMACIE SAINT ANDRE,Pharmacie d'Officine,ST ANDRE DE CORCY,1390,13 - Département 13,Île-de-France,250,20,30,45.928169035,4.953393797
10005320,PHARMACIE DES PLANES,Pharmacie d'Officine,ST DENIS LES BOURG,1000,10 - Département 10,Île-de-France,250,20,30,46.200248,5.19019
10005353,PHARMACIE DU PRINTEMPS,Pharmacie d'Officine,ST DENIS LES BOURG,1000,10 - Département 10,Île-de-France,250,20,30,46.201278,5.203198
10005379,HAD DE L'HOPITAL PRIVE D'AMBERIEU,Hospitalisation à Domicile,AMBERIEU EN BUGEY,1500,15 - Département 15,Île-de-France,250,20,30,45.958393974,5.359568064
10005387,PHARMACIE DE SAINT DENIS,Pharmacie d'Officine,ST DENIS EN BUGEY,1500,15 - Département 15,Île-de-France,250,20,30,45.951688,5.328044
10005403,PHARMACIE DAVIN,Pharmacie d'Officine,ST DIDIER SUR CHALARONNE,1140,11 - Département 11,Île-de-France,250,20,30,46.179353,4.816838
10005437,PHIE GINDRE - BERNADAC ET ASSOCIES,Pharmacie d'Officine,ST ETIENNE DU BOIS,1370,13 - Département 13,Île-de-France,250,20,30,46.289863,5.295427
10005452,PHARMACIE INTERNATIONALE,Pharmacie d'Officine,ST GENIS POUILLY,1630,16 - Département 16,Île-de-France,250,20,30,46.24491171,6.025608626
